#{"t_start": 1614621250.016128, "env_id": "AntBulletEnv-v0"}
r,l,t
468.789063,1000,128.52793
457.86199,1000,343.838898
485.15991,1000,491.276716
480.856326,1000,690.261588
513.51629,1000,860.482992
508.834473,1000,1044.539182
449.262213,1000,1242.463531
478.525311,1000,1394.371733
562.932501,1000,1605.144394
595.432923,1000,1770.607776
574.213035,1000,1980.85927
530.585788,1000,2189.853516
609.601233,1000,2355.483719
651.666032,1000,2562.157623
645.450559,1000,2727.492871
664.087236,1000,2895.6079
350.134578,528,2958.314578
662.392815,1000,3147.268085
636.34301,1000,3312.752569
592.596143,1000,3475.307774
548.506418,1000,3628.588978
874.723801,1000,3820.186502
787.210812,1000,3990.834811
992.93523,1000,4155.593425
977.371075,1000,4361.309733
1040.60706,1000,4508.304761
1101.815097,1000,4713.80003
1142.998184,1000,4922.100002
967.802581,1000,5086.379572
1233.622425,1000,5288.332661
1204.295721,1000,5448.205637
1234.164933,1000,5656.077921
1265.739599,1000,5863.488229
1322.651533,1000,6027.110336
1300.365134,1000,6233.922749
1324.638427,1000,6397.6777
1391.669031,1000,6603.848366
1314.012056,1000,6809.906521
1449.131782,1000,6973.118626
1415.123553,1000,7179.417112
1541.012541,1000,7342.704512
1555.183628,1000,7548.954904
1487.884202,1000,7755.325272
1664.813588,1000,7918.033423
1655.674911,1000,8087.651978
1601.313225,1000,8250.244725
1681.236136,1000,8455.91962
1709.346974,1000,8660.850192
1743.022116,1000,8823.836566
1763.663976,1000,9029.365314
1836.057752,1000,9191.668014
1861.303813,1000,9396.354284
1848.711199,1000,9601.342935
1832.691276,1000,9763.477808
1982.237947,1000,9968.367701
1887.011215,1000,10130.55467
1989.678566,1000,10335.742298
2025.658255,1000,10540.654762
2026.111115,1000,10702.573265
2049.619328,1000,10907.324119
2071.601117,1000,11069.265664
2025.059568,1000,11274.053553
2065.097067,1000,11478.49806
2067.91081,1000,11640.215632
2090.733324,1000,11844.413384
2119.459128,1000,11970.406676
2127.599697,1000,12175.317237
2159.242307,1000,12379.551812
2172.019538,1000,12541.349168
2223.568865,1000,12746.11941
2142.048788,1000,12908.228511
2237.775462,1000,13112.789776
2224.794399,1000,13317.698314
2274.976375,1000,13479.538003
2222.819209,1000,13683.981303
2218.932591,1000,13845.519642
2230.076905,1000,14050.772606
2307.406058,1000,14255.747008
2203.23241,1000,14416.974947
2312.895089,1000,14621.147273
2320.478586,1000,14782.862612
2363.471977,1000,14987.231016
2387.72932,1000,15191.787469
2264.827902,1000,15353.466736
2383.656847,1000,15553.860421
2367.141986,1000,15711.30395
2234.596608,1000,15874.646002
2386.217736,1000,16073.025721
2360.0393,1000,16230.156777
2276.271894,1000,16428.250193
2409.223039,1000,16585.279929
2394.399906,1000,16783.431326
2474.128796,1000,16981.740243
2484.060978,1000,17138.933475
2494.400992,1000,17336.737398
2230.296577,1000,17493.721589
2445.225381,1000,17691.667412
2479.246623,1000,17889.718733
2544.993316,1000,18046.721986
2528.352046,1000,18244.469382
2192.436111,1000,18401.241924
2239.463975,1000,18598.883357
2527.391649,1000,18796.68709
2591.062486,1000,18953.550763
2580.432724,1000,19151.043297
2546.536016,1000,19307.857363
2607.756176,1000,19504.821525
2375.647216,1000,19698.650359
2591.874977,1000,19817.620001
2597.382622,1000,20011.044203
2618.684623,1000,20164.152321
2685.407473,1000,20357.60818
2624.680033,1000,20551.191293
2644.103386,1000,20704.183984
2720.09691,1000,20897.583588
2679.732997,1000,21050.697413
2651.986611,1000,21244.036019
2721.181663,1000,21437.187913
2651.559557,1000,21590.136861
2789.447442,1000,21783.3404
2702.383966,1000,21936.223773
2688.154077,1000,22129.305196
2708.351018,1000,22322.393501
2777.448992,1000,22475.361436
2632.425577,1000,22668.722074
