#{"t_start": 1615214885.8264568, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
1180.0,4432,22.678949
1350.0,8514,53.70989
530.0,2418,62.234994
980.0,2340,70.864818
1520.0,3836,84.693324
2200.0,4752,117.712461
780.0,1866,124.246635
1280.0,3608,137.138173
730.0,1684,142.960622
1650.0,4156,158.041259
1180.0,4420,173.852981
1180.0,2582,182.646237
1540.0,3992,196.546494
630.0,1832,202.551921
2000.0,3340,232.284871
730.0,1648,237.531403
680.0,2032,244.475506
1080.0,1718,250.108713
980.0,2436,258.636304
630.0,1480,263.540298
1180.0,1776,269.394263
1320.0,4094,283.758344
1690.0,5168,301.851531
880.0,1576,307.284497
930.0,1496,332.874195
1080.0,2396,341.115591
2200.0,3708,353.819377
1590.0,3526,365.972025
430.0,1164,369.789614
1300.0,2720,378.897664
1370.0,4064,393.298934
3100.0,6432,416.722467
1300.0,4280,454.131681
830.0,2034,461.329193
1280.0,4164,476.060103
1680.0,3584,488.805392
3100.0,4192,503.252446
1760.0,4538,518.60974
1030.0,3464,547.017624
1300.0,3240,558.228446
1680.0,4554,574.279315
1080.0,2110,581.685932
2450.0,3698,594.489924
2250.0,4642,610.868388
3200.0,4774,627.420328
2200.0,4988,663.490403
1340.0,3018,674.101163
2080.0,3998,687.780413
680.0,1908,694.28176
1280.0,3744,707.181183
980.0,3080,717.992092
2200.0,5004,735.771295
1520.0,2546,764.996374
1080.0,2254,772.671214
2700.0,5994,793.727314
2700.0,5382,811.961675
1300.0,3424,824.017135
1950.0,3440,835.680406
930.0,1734,841.537648
2450.0,4874,878.202839
830.0,1666,883.766855
1810.0,4428,898.871405
2650.0,6084,919.894749
1610.0,4030,933.42795
2030.0,5810,953.597929
930.0,1918,975.497171
1180.0,2236,983.546033
980.0,2874,994.061157
1850.0,5316,1013.051991
1810.0,5124,1031.904257
1400.0,2442,1040.148237
2100.0,4014,1054.376839
2100.0,4550,1088.886515
1520.0,5982,1110.266302
830.0,1688,1116.702404
880.0,1704,1122.652397
1280.0,2892,1132.812305
980.0,2366,1141.609914
1460.0,3130,1152.951206
660.0,1680,1158.857671
1530.0,6230,1196.252589
1180.0,2392,1204.517536
1080.0,2194,1211.851983
680.0,1354,1215.996414
1510.0,1956,1222.799368
1280.0,3274,1234.046462
1580.0,3344,1245.962053
1520.0,2514,1254.762228
1300.0,6572,1292.611604
930.0,1364,1297.541203
1740.0,3232,1308.732463
1530.0,3318,1320.052526
2130.0,3944,1333.765063
980.0,2200,1340.988503
1580.0,3604,1353.408108
530.0,1192,1357.430286
1470.0,2726,1367.317213
930.0,1886,1373.658399
880.0,1900,1390.062179
1630.0,3850,1403.268424
1080.0,2896,1413.423333
730.0,1866,1419.716806
1340.0,3214,1430.772276
1420.0,2740,1440.253947
1280.0,3752,1453.859963
930.0,1884,1460.080912
630.0,1348,1464.806187
2700.0,5204,1497.840072
1370.0,3302,1509.337998
1850.0,5496,1528.799731
1470.0,3260,1539.805718
1080.0,1814,1546.322977
1510.0,2934,1556.259788
1590.0,3948,1570.525832
2150.0,5712,1604.547911
930.0,2258,1612.162041
1420.0,2852,1622.310661
930.0,1516,1627.063488
1540.0,2572,1636.030235
1860.0,3614,1648.289474
560.0,1468,1653.311095
610.0,1232,1657.245315
780.0,1258,1661.705794
1030.0,1878,1667.857609
830.0,1896,1674.6482
1030.0,2326,1682.380772
1030.0,2030,1703.348041
2000.0,3788,1716.548913
980.0,1722,1722.801833
1490.0,4062,1736.40585
780.0,1650,1742.313965
1030.0,1840,1748.285675
1280.0,3246,1758.89518
1180.0,2696,1767.964719
1030.0,2662,1776.88187
610.0,1716,1783.134079
2500.0,6180,1824.615564
1860.0,4932,1841.970772
1900.0,4048,1856.256287
1440.0,3714,1869.376431
1370.0,3538,1881.59315
780.0,1652,1887.001236
880.0,1972,1910.324294
1370.0,5142,1928.485814
1300.0,4072,1942.615335
1280.0,4428,1958.678626
1080.0,2014,1965.694876
1300.0,2626,1974.719312
2750.0,3652,1987.607367
680.0,1400,1992.045373
1080.0,2266,2015.758023
980.0,1950,2021.848507
1320.0,3384,2033.447311
1450.0,3902,2046.682415
1280.0,2970,2056.911124
1350.0,4922,2074.758383
1950.0,3534,2086.69531
880.0,1458,2091.632068
1880.0,3420,2114.464823
980.0,2034,2121.554064
1700.0,3616,2134.26797
1800.0,3412,2146.160143
980.0,1924,2153.27213
1080.0,1682,2159.082698
2150.0,4088,2173.811362
1130.0,1828,2179.811846
1580.0,5860,2201.119768
1080.0,2906,2230.151706
1780.0,2732,2239.749389
1930.0,3648,2252.712387
1980.0,4284,2267.875809
630.0,2034,2275.10064
1180.0,2528,2283.787971
2350.0,5582,2303.316648
780.0,1892,2309.783984
530.0,1508,2328.21486
1130.0,2132,2335.503377
980.0,1538,2340.468259
930.0,1648,2346.597418
1030.0,1700,2352.339728
780.0,1606,2357.853576
1500.0,4248,2372.660022
1280.0,3658,2385.428715
1900.0,3168,2396.256109
1180.0,2476,2404.834252
1350.0,5558,2440.982688
1030.0,2092,2448.168868
2180.0,3030,2458.368571
1830.0,3220,2469.595007
1930.0,5038,2486.961773
1610.0,3272,2498.594109
2300.0,4656,2514.646946
930.0,1326,2533.713086
1630.0,4044,2547.9581
1080.0,1984,2554.414959
1180.0,2270,2562.642209
3000.0,4980,2579.533864
2130.0,4296,2594.72142
2050.0,7158,2619.587151
2400.0,4290,2651.982587
1580.0,4982,2669.064291
1420.0,3774,2682.463302
1280.0,3920,2695.824604
2850.0,5836,2716.249689
830.0,2238,2723.591105
1280.0,2300,2746.082394
2850.0,5228,2764.045759
1420.0,4666,2780.531695
1300.0,5004,2798.306629
1180.0,2002,2805.454384
1710.0,2614,2814.643239
1340.0,5368,2847.919489
1030.0,1942,2854.733706
1180.0,2048,2861.82241
1980.0,4026,2875.236155
1370.0,2624,2884.128156
1830.0,3614,2896.957257
880.0,2222,2904.63322
1480.0,5832,2925.720372
1030.0,2378,2947.728674
1760.0,4252,2962.605772
1540.0,3008,2973.206704
2330.0,4028,2987.181662
830.0,1536,2992.302655
2050.0,4164,3006.346479
830.0,2074,3013.433335
680.0,1724,3019.121434
1370.0,2728,3028.331794
1730.0,3560,3064.487629
1760.0,5996,3085.729029
1480.0,3498,3097.959726
730.0,1694,3104.342131
1560.0,3930,3118.187869
1910.0,4544,3134.321707
1440.0,4122,3167.737099
2200.0,4310,3183.028354
2000.0,2978,3194.111714
1080.0,3692,3207.315624
1300.0,6020,3229.206639
1180.0,1900,3235.710776
1280.0,3232,3247.211632
3220.0,7986,3293.717662
1080.0,2828,3303.410354
2050.0,4610,3319.636118
1440.0,2744,3329.12245
1300.0,3586,3341.447981
2900.0,5956,3362.426391
2000.0,3304,3387.067719
1420.0,2868,3397.221735
1370.0,3432,3408.789458
1350.0,3286,3420.27363
2450.0,4274,3434.83198
1080.0,2406,3442.572101
1560.0,4836,3459.760705
1650.0,3864,3490.549952
1370.0,4194,3505.058144
1180.0,2946,3515.573213
3510.0,5222,3533.673439
2650.0,3704,3546.543485
2900.0,5372,3564.833084
1410.0,6936,3606.395313
1680.0,4396,3621.741487
1850.0,3346,3633.656245
1370.0,4702,3650.454358
880.0,1656,3655.993906
1760.0,3856,3669.30591
1900.0,4340,3705.231565
4570.0,7600,3731.56932
1520.0,2838,3741.278491
1180.0,2062,3748.409616
980.0,1478,3753.576684
2350.0,4842,3770.549342
1080.0,2258,3778.27166
1300.0,2754,3809.771498
880.0,1840,3815.874113
1440.0,3112,3826.692024
2450.0,4902,3843.504044
3620.0,10094,3878.70422
1180.0,2528,3887.915355
1850.0,2800,3912.927132
2450.0,4174,3927.915295
1560.0,3856,3942.220018
1080.0,2644,3951.839492
1280.0,3540,3964.22242
1660.0,4240,3978.723322
3240.0,6064,3999.854739
2500.0,5532,4039.302758
1280.0,4144,4053.976175
1610.0,2982,4064.730497
980.0,1846,4071.030757
1030.0,3262,4082.825513
2400.0,3444,4094.82598
1130.0,2754,4104.957519
930.0,1366,4109.373675
2150.0,4424,4144.192403
880.0,2166,4151.70217
1960.0,3184,4163.164545
1530.0,4168,4178.197272
1390.0,3930,4191.66149
2300.0,3756,4205.29457
1080.0,2700,4214.831979
1280.0,5668,4253.109084
530.0,1282,4257.331076
930.0,1936,4264.343859
1930.0,3506,4277.021775
880.0,1860,4283.315163
1930.0,4316,4298.613217
1810.0,4476,4314.848212
1080.0,1846,4321.655737
2150.0,3488,4350.921594
1030.0,2426,4359.859928
1830.0,4246,4375.129116
1280.0,2766,4384.81941
2850.0,7058,4410.287993
1610.0,7204,4435.95842
2600.0,4370,4472.193302
