#{"t_start": 1614621946.7494812, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
484.0,5717,111.289768
572.0,6866,242.817985
396.0,5431,352.421834
352.0,6657,475.247311
308.0,5975,664.218149
352.0,3939,705.391919
308.0,4079,806.551073
396.0,5607,923.46907
132.0,4275,1024.505518
528.0,6333,1152.740126
352.0,4273,1250.88543
308.0,4290,1348.242976
616.0,6431,1480.814952
220.0,3677,1579.311386
308.0,4987,1678.764616
220.0,3619,1770.911595
396.0,3999,1868.066022
396.0,5079,1984.695021
440.0,4029,2029.971543
660.0,6531,2203.293661
308.0,4417,2306.451339
484.0,5099,2415.677658
660.0,6815,2557.752951
528.0,6007,2681.331273
484.0,4921,2793.520729
440.0,6317,2918.151221
264.0,4329,3017.947514
572.0,6810,3198.251219
528.0,5122,3308.455781
352.0,4247,3354.414219
528.0,5664,3532.198151
440.0,4720,3583.843837
308.0,4909,3695.784403
440.0,5147,3810.021694
528.0,5131,3925.141743
440.0,5297,4112.076706
528.0,5012,4168.336342
660.0,7047,4352.029113
528.0,4703,4467.498735
660.0,7401,4610.47996
440.0,5975,4734.699165
440.0,5109,4850.798769
528.0,6976,5045.370696
572.0,7299,5186.76132
660.0,7617,5402.509812
572.0,5345,5518.484339
660.0,6149,5652.607663
616.0,6123,5782.05516
660.0,7309,5971.380671
660.0,7573,6115.161983
352.0,4550,6225.446481
852.0,8359,6442.505363
440.0,4553,6552.532387
616.0,7065,6692.729265
660.0,5999,6827.720892
308.0,3699,6935.760543
484.0,4644,7044.833962
396.0,5241,7157.435443
572.0,5997,7289.403073
484.0,5075,7402.376824
528.0,4561,7503.259829
660.0,7429,7699.690606
572.0,4907,7814.679378
264.0,4325,7864.631578
396.0,3685,7966.645836
660.0,8561,8174.145279
616.0,6149,8291.046433
396.0,5061,8404.008736
616.0,6387,8529.017288
528.0,5613,8649.63651
308.0,3614,8752.237052
264.0,3943,8861.13587
804.0,8915,9079.946124
440.0,7203,9217.453553
352.0,4487,9317.153139
396.0,5283,9439.346797
484.0,5025,9554.539179
308.0,3553,9653.500936
852.0,8629,9873.427227
804.0,7861,10022.817988
396.0,4211,10133.267252
352.0,5049,10247.902664
528.0,5315,10369.976438
440.0,4189,10485.173587
396.0,3935,10587.270568
660.0,6231,10712.889242
484.0,4855,10822.948701
396.0,4989,10931.274858
396.0,4622,11039.742591
660.0,6519,11168.783616
660.0,6371,11304.098825
1092.0,10087,11529.155537
396.0,3805,11628.055934
484.0,5323,11747.299524
756.0,7755,11948.160138
484.0,4833,12058.941753
660.0,6571,12187.844768
572.0,5935,12312.62132
440.0,5287,12430.190034
440.0,6583,12566.161617
660.0,5571,12747.291656
308.0,4355,12797.514466
528.0,6811,13003.501856
804.0,8059,13154.713444
528.0,5047,13263.196448
660.0,7925,13469.502311
352.0,3987,13563.658088
756.0,8905,13719.803565
660.0,6659,13915.754016
440.0,3667,14017.821192
660.0,8017,14170.144598
484.0,5157,14291.210047
352.0,4467,14400.542778
572.0,5391,14513.782492
1188.0,7613,14734.001074
852.0,5887,14861.016805
804.0,8722,15020.317
440.0,5495,15198.173774
308.0,3537,15237.910963
948.0,9663,15462.146652
804.0,6495,15586.328648
708.0,8175,15809.789513
1044.0,7413,16008.485508
1092.0,7257,16161.969432
660.0,5347,16279.188169
708.0,5157,16403.1139
528.0,4497,16514.621712
1140.0,10589,16747.577251
572.0,5521,16869.392229
352.0,3621,16965.050314
528.0,5551,17096.78092
660.0,5463,17214.38961
616.0,5311,17327.288624
616.0,6205,17446.655539
948.0,8293,17652.039527
1092.0,8701,17864.014043
660.0,6099,17995.72272
996.0,6537,18125.298104
996.0,6025,18253.316129
900.0,5380,18441.771733
528.0,5159,18561.246485
756.0,6114,18688.369152
660.0,5015,18810.287915
708.0,7179,18958.218067
900.0,8395,19180.32715
804.0,5255,19294.195487
1380.0,8316,19527.46457
660.0,4499,19577.749223
1284.0,7669,19788.174548
1432.0,8847,20037.046124
1848.0,12925,20329.865721
616.0,5825,20467.540284
1284.0,9889,20712.498054
1092.0,8171,20949.454582
1092.0,7125,21097.752394
352.0,3819,21205.808869
1536.0,9564,21469.468795
996.0,8877,21726.787215
1380.0,9545,21996.65292
852.0,6945,22145.734111
948.0,7179,22363.048151
1796.0,10593,22641.32145
708.0,5841,22781.252144
1380.0,9108,23044.721062
996.0,7093,23188.693724
660.0,6027,23325.58667
2916.0,13981,23728.602952
1744.0,11764,24033.993913
1744.0,13847,24429.660143
708.0,7557,24679.074522
852.0,8047,24849.55757
660.0,4837,24993.932514
1188.0,8385,25263.724974
1900.0,11416,25556.194957
1188.0,9891,25850.519465
1284.0,7309,26093.818854
1380.0,9642,26361.627504
2440.0,13789,26717.587672
1380.0,8005,26977.966167
1848.0,10677,27256.979996
1380.0,10323,27559.347298
660.0,6853,27718.556366
1140.0,5873,27949.224923
1284.0,7359,28115.375864
1432.0,9253,28380.51682
3084.0,14389,28836.815957
1692.0,11061,29164.03337
352.0,3729,29305.041089
3448.0,15105,29753.751505
2160.0,13050,30121.598532
1380.0,10567,30427.048709
852.0,6245,30642.770139
