#{"t_start": 1614710446.809628, "env_id": "BipedalWalker-v3"}
r,l,t
-111.018713,1600,17.789838
-101.888556,63,18.371968
-112.419072,48,18.826473
-96.897298,87,19.637634
-114.069248,65,20.230075
-124.09518,1600,64.395479
-103.027115,49,64.863982
-119.646674,95,65.778688
-106.728024,1600,109.291439
-109.241279,124,110.435236
-131.436439,121,111.58892
-112.849757,1600,154.769426
-100.122798,75,155.454667
-121.894755,71,156.095009
-106.101393,60,156.641912
-92.221603,1600,200.924924
-102.36745,92,201.792736
-106.226773,93,202.691552
-100.210214,71,203.366559
-93.929187,1600,266.509753
-85.874324,1600,341.921898
-85.745006,1600,379.795148
-100.904631,63,380.366396
-104.169499,80,381.081636
-61.089473,1600,474.60088
-102.083643,92,475.444644
-57.269342,1600,552.642752
-46.465355,1600,647.259019
-43.683633,1600,723.562419
-47.748329,1600,795.777022
-22.076935,1600,870.697218
-14.296781,1600,963.554844
16.405086,1600,1057.144195
7.721669,1600,1107.248919
22.535934,1600,1201.980237
48.634944,1600,1277.716051
35.915437,1600,1372.052295
47.262117,1600,1447.922764
50.534147,1600,1466.295072
96.318507,1600,1552.77555
83.800646,1600,1628.313257
94.940915,1600,1708.605266
110.559597,1600,1760.959812
144.763653,1600,1845.906177
-17.689894,1010,1896.000455
136.081157,1600,1973.293305
3.9881,1048,2005.604917
157.407923,1600,2062.847397
166.914618,1600,2130.387257
161.788656,1600,2165.32944
166.803146,1600,2235.354716
174.983888,1600,2293.688087
202.862998,1600,2358.59064
185.12638,1600,2431.653395
210.950892,1600,2467.513267
215.671572,1600,2540.750807
231.024449,1600,2605.142697
197.416173,1600,2673.897639
219.780854,1600,2708.013159
230.721712,1600,2773.420161
248.512791,1586,2833.171645
236.194684,1600,2908.429853
251.337754,1569,2983.443242
240.806085,1600,3022.73596
238.476267,1600,3096.217262
-69.090726,213,3098.006438
253.555845,1510,3155.290852
259.844068,1430,3228.501136
258.744812,1504,3268.182987
259.855972,1440,3328.922595
269.327602,1324,3402.169067
260.973654,1422,3441.367454
256.300266,1472,3499.465807
264.193707,1418,3559.247407
267.149549,1350,3606.019622
266.409653,1367,3665.721967
274.758192,1271,3721.550621
47.761363,784,3741.414062
266.312682,1334,3800.035377
257.226935,1487,3871.360128
272.057595,1253,3905.274936
271.847243,1278,3962.187424
266.920972,1340,3997.23488
267.860229,1344,4050.880574
274.285054,1219,4106.132663
275.041183,1233,4136.930233
275.076953,1213,4189.43216
275.719035,1230,4220.261964
279.161306,1168,4272.906851
271.485593,1278,4326.163183
269.674878,1286,4355.655763
271.445521,1265,4408.871873
276.619772,1208,4437.514504
280.287041,1184,4487.135794
275.868575,1207,4527.51213
277.138997,1174,4561.266548
