#{"t_start": 1614946043.6094313, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-105.157555,59,3.864706
-107.009879,44,4.229092
-119.899547,104,5.037412
-143.038033,2000,74.530351
-104.768277,121,75.490963
-152.711232,2000,147.424546
-120.108276,98,148.215924
-99.39915,86,148.901263
-101.673315,105,149.738414
-102.911881,59,150.208498
-115.216557,74,150.79333
-108.602635,44,151.145777
-141.429544,2000,249.087663
-132.497025,2000,319.771926
-134.640498,2000,417.242918
-138.48935,2000,509.571753
-133.580952,2000,581.68628
-102.144978,65,582.228991
-105.305674,86,582.934204
-127.444148,2000,685.391815
-131.429846,739,691.111696
-98.827449,77,691.705014
-122.542166,2000,784.01462
-123.724584,2000,847.012191
-118.613583,2000,937.089245
-114.716235,496,941.24045
-117.898233,574,993.635057
-129.787486,2000,1083.793603
-116.287254,542,1087.707309
-125.936632,2000,1171.779325
-106.81066,391,1174.699618
-108.895025,440,1178.005619
-116.59263,531,1231.147513
-100.237616,322,1233.570457
-125.07025,2000,1322.68294
-111.910437,2000,1412.386198
-92.108961,2000,1475.471834
-122.400268,2000,1558.625519
-112.564549,2000,1641.6617
-124.239266,2000,1703.195888
-62.823679,2000,1792.254164
-104.31433,420,1795.157164
-162.242665,1466,1831.258539
-126.283658,721,1883.848482
-120.938126,1002,1891.008969
-109.839578,2000,1973.913287
-113.847842,538,2026.950066
-87.537902,2000,2062.843601
-38.445321,2000,2123.076575
-76.064849,2000,2208.021603
-106.998911,2000,2270.630001
-99.316783,358,2345.246352
-114.992993,2000,2409.146479
-120.542536,1196,2444.869086
-127.398538,1436,2503.804596
-100.800351,502,2507.436266
-18.317985,2000,2588.77047
-138.025294,919,2643.687761
-116.287727,2000,2675.806265
-159.248001,1222,2733.506617
-107.624028,1143,2818.539489
-88.037148,848,2825.174876
-71.134536,2000,2888.602521
-89.759497,1101,2969.19282
-106.0153,2000,3028.715071
-111.393038,481,3056.813824
-176.615716,1601,3116.284316
-76.32308,674,3120.908256
-87.910151,183,3122.1394
-119.745113,692,3143.653095
-105.994784,2000,3206.409403
-93.413545,138,3207.438496
-98.845557,742,3283.686042
-76.091337,467,3287.097784
-197.249639,1960,3349.648765
-99.470425,2000,3431.618932
-113.165568,837,3437.512991
-109.167174,1894,3518.223472
-144.529367,1322,3575.592642
-109.147526,1251,3605.419875
-102.112619,665,3658.008976
-107.571574,2000,3720.742622
-100.941367,2000,3803.490425
-99.335688,2000,3882.748512
-105.313437,2000,3945.016343
-94.160159,2000,4028.554371
-104.493045,2000,4110.295219
-59.295225,2000,4173.833525
-22.7293,2000,4263.771834
-34.601029,2000,4345.769439
-81.401389,2000,4406.89399
-12.309486,2000,4492.868181
-2.792923,2000,4576.047936
-107.637262,1146,4584.479871
-90.412741,191,4585.910069
-96.853336,2000,4663.988996
-91.622009,1036,4720.087889
59.980263,2000,4802.104108
35.276555,2000,4861.957129
-44.584313,2000,4941.539672
-46.808792,1002,4948.708433
-93.038346,2000,5031.189205
-95.23355,2000,5092.648167
-62.304059,1483,5172.537638
-86.730175,157,5173.613773
-100.888902,457,5176.898129
-95.717137,376,5179.642586
-25.758135,2000,5264.546379
-94.75199,358,5266.979893
-68.057365,895,5319.772575
-92.614263,2000,5398.359833
-86.091426,167,5399.57067
-93.023503,300,5401.754533
-17.982303,1724,5479.31668
-89.350763,2000,5540.944368
-52.15571,2000,5619.310118
-90.163819,2000,5705.007112
-99.424242,442,5708.177296
-77.143527,618,5712.529423
-85.800619,954,5765.245858
-90.188622,2000,5846.968205
-98.447833,404,5849.828119
-89.517277,2000,5928.41275
-30.599356,2000,5991.104597
-86.93733,2000,6073.194381
-116.157271,727,6078.435149
-100.900155,456,6081.719326
-25.966953,1313,6161.81757
-100.514226,485,6165.299183
-19.21499,1414,6222.576101
73.035669,2000,6309.576823
-54.631284,451,6313.023674
-87.304986,218,6314.684568
76.402268,2000,6401.739869
-97.999855,357,6404.299817
-11.744738,2000,6487.312447
-94.996998,285,6537.255702
-91.022791,104,6537.973981
-111.027854,659,6542.491332
-75.757743,510,6545.994266
-85.733349,182,6547.245314
-44.484155,465,6597.07694
-84.811875,140,6598.056012
-86.313746,2000,6674.674042
-47.475536,2000,6751.808268
-44.595811,2000,6812.565921
-76.96877,213,6814.060519
-68.770832,454,6817.275711
-106.963995,2000,6894.629297
-37.537447,2000,6970.398484
-45.190225,1542,7030.080982
-77.932042,2000,7104.914939
-98.044213,313,7107.016912
-39.622576,599,7111.254284
29.846656,2000,7195.891963
-52.764454,2000,7255.741715
-86.239577,262,7257.504002
-61.923345,402,7273.622445
-37.967591,2000,7336.210359
-43.215581,1276,7408.998076
-35.810827,2000,7471.67497
15.711991,1421,7538.982725
-74.570396,446,7542.193971
149.756443,2000,7620.974752
-41.837362,2000,7683.242321
-90.350239,2000,7757.791184
-78.453767,2000,7820.421881
-78.335115,433,7839.960163
-84.793752,2000,7901.555416
-14.391281,800,7907.040881
-73.81793,363,7924.914541
29.313659,2000,7986.200134
-95.789685,2000,8066.599347
-62.58879,446,8117.322749
-53.107355,2000,8202.833995
-4.418146,765,8208.143358
-78.75113,2000,8290.345888
-60.516825,276,8292.280174
-126.451743,769,8297.633073
-53.355073,606,8349.591765
-88.379614,2000,8430.705201
-1.318232,812,8436.530883
64.046167,2000,8509.049546
-4.806845,1632,8569.019765
-81.278194,2000,8644.071508
-46.22048,509,8647.693683
-78.441416,2000,8722.922563
-81.616316,177,8724.132641
-9.68401,2000,8786.09661
40.17839,2000,8862.466278
-82.719322,142,8863.49169
-59.935671,296,8865.605639
-73.069475,264,8867.452292
-4.22292,1539,8940.247123
-66.256822,2000,9003.679985
-28.606491,840,9070.765404
-88.546057,2000,9133.175713
-48.785611,2000,9212.089608
-36.964156,1484,9222.54768
-107.928129,573,9272.172545
-89.965131,870,9295.082049
-56.99998,2000,9356.452229
14.634227,1987,9434.432824
-40.844042,2000,9511.413635
-90.621384,137,9512.3723
94.946469,2000,9574.233595
-59.047591,385,9576.950854
-59.109125,332,9594.139849
-75.234932,2000,9655.807342
-27.377272,2000,9732.188319
-52.402297,274,9734.086502
-43.651814,2000,9810.503832
-32.846288,1783,9870.290111
-126.051142,1041,9947.119689
-26.927006,1200,9955.302208
76.725544,2000,10034.21746
-18.525977,974,10088.479706
-116.647553,877,10094.70307
-42.471389,627,10146.608176
-34.014531,1412,10174.313579
-87.949204,683,10227.400502
-89.795711,389,10230.100045
-65.196692,367,10232.652507
-21.051628,740,10237.892924
218.535969,2000,10312.89309
-58.278736,2000,10391.597665
-111.212388,2000,10452.001671
-66.192885,459,10473.15493
-21.183792,727,10525.781823
-100.2594,235,10527.383608
-25.558275,2000,10589.151736
49.529669,1260,10617.627726
-107.985412,855,10670.229355
-41.849691,597,10674.413864
138.851973,1852,10749.218821
-49.908793,2000,10823.356152
-83.363997,121,10824.193438
-86.515141,387,10826.834771
4.049735,2000,10887.97754
-84.922927,125,10888.901095
-70.985526,2000,10973.922094
-34.998486,611,11026.52591
-40.220596,475,11029.91992
-64.135686,217,11031.446197
-34.083985,536,11049.52701
-61.026183,283,11051.581379
206.557395,2000,11113.95864
-36.371086,2000,11192.760715
10.95635,826,11244.641521
-60.5962,282,11246.563106
34.585863,2000,11321.581169
1.988678,2000,11398.711157
-72.420037,2000,11460.209474
-59.70299,321,11462.46863
-21.481024,932,11489.470112
206.773247,2000,11552.460279
82.240503,2000,11632.68977
-73.324146,2000,11706.126261
-13.868684,2000,11767.806758
70.215506,2000,11848.297273
-45.850875,466,11898.774606
-85.304965,2000,11933.540282
-129.400396,1525,11986.044327
138.191603,2000,12064.096591
56.290735,2000,12126.209163
-48.093756,2000,12196.57479
-61.849406,210,12198.00647
-117.752072,2000,12273.588952
-58.659183,613,12326.228572
89.570755,2000,12404.904601
41.683202,1131,12412.997676
-30.338947,2000,12488.873044
-39.695422,1021,12543.685754
-32.676701,599,12547.970383
-46.400611,2000,12630.279788
-84.161442,2000,12688.879883
-18.001038,2000,12764.094132
22.005806,2000,12843.377835
-74.320982,297,12845.53071
7.5509,2000,12908.002248
-88.064389,122,12927.187048
-8.941334,666,12931.870376
12.180379,1313,12989.653905
127.784039,2000,13066.008918
-83.787789,2000,13126.467993
-62.636294,817,13146.512483
-47.749605,456,13149.715454
-92.47001,247,13199.388437
-21.861777,477,13202.907416
45.262424,2000,13287.376833
-47.02717,2000,13345.727802
5.939393,890,13376.514875
-17.51964,1311,13433.70397
-62.466318,265,13435.569022
120.400118,2000,13515.221431
-20.753509,2000,13575.644222
34.564539,1102,13603.228817
-66.114076,2000,13665.006094
228.112145,2000,13748.014925
-22.285721,472,13800.022853
-77.887321,129,13800.911397
-84.648791,111,13801.668908
178.823388,2000,13884.884836
-83.430354,138,13885.874723
76.006905,2000,13965.547381
-31.806034,533,13969.293715
46.99291,2000,14023.903971
-71.020999,379,14043.820734
-92.820819,112,14044.615065
-83.332568,122,14045.462959
-63.521312,2000,14106.334891
-65.43657,2000,14191.17165
183.001489,2000,14269.950979
-73.754967,912,14324.128026
-33.539796,2000,14385.604337
17.508194,987,14414.042216
-21.234031,775,14465.787356
-40.250869,799,14471.463042
66.413026,1473,14547.521995
0.015403,862,14553.608244
39.017868,2000,14639.487524
16.7269,2000,14696.76261
23.309118,2000,14782.420188
-35.376849,451,14785.586639
-25.262155,499,14789.170785
47.328125,2000,14872.492567
-34.031302,648,14923.129076
-47.189065,2000,15002.197591
-47.021465,2000,15063.694333
-4.062545,2000,15144.709381
22.903109,2000,15224.767749
-75.524356,295,15226.918031
-87.956436,2000,15289.760094
-101.292152,273,15291.813992
-83.358729,2000,15371.230735
89.818138,2000,15452.241799
-39.944471,2000,15513.724424
-25.802375,2000,15591.260844
-41.955383,485,15594.695669
-26.827802,2000,15675.971794
212.810672,2000,15738.510609
-2.09485,2000,15819.96588
42.458258,2000,15901.947262
-20.068797,2000,15963.039762
-63.796605,223,15964.59158
-59.490303,2000,16035.162036
-2.86337,2000,16112.044984
228.70916,2000,16173.604593
221.012387,2000,16256.978659
-47.695425,315,16259.143451
-14.61679,704,16263.93134
40.192555,1123,16338.134484
-42.058163,2000,16399.880563
10.854187,1945,16478.219154
26.025587,1172,16534.363775
-62.210911,2000,16567.000779
40.226806,2000,16647.857033
108.013901,2000,16707.501826
48.868958,2000,16787.979619
-18.727208,619,16839.407402
-35.367725,2000,16921.490897
-7.07339,2000,16982.622884
-67.499778,303,16984.77332
-66.863062,229,17002.978262
120.309081,2000,17064.453429
-60.378204,244,17066.137374
-21.644602,492,17069.56616
35.943591,1070,17147.17828
-73.881934,2000,17207.756243
-45.328373,2000,17293.354288
-65.666951,496,17296.862977
63.148036,2000,17375.230674
53.406654,1094,17382.339193
-34.816068,2000,17467.275382
45.972803,2000,17529.176729
-78.646148,2000,17611.869858
-83.045649,115,17612.689368
-37.765639,2000,17695.409625
84.896748,2000,17757.594454
254.728836,1729,17839.259487
-56.208726,560,17890.98245
-61.002807,2000,17967.949927
168.134828,2000,17981.916779
-19.977734,401,18050.59387
-61.510875,2000,18110.912569
82.073037,2000,18187.294713
-49.36804,1027,18194.529623
-70.707657,2000,18280.101006
127.832096,2000,18341.277387
256.967487,1667,18416.382838
-61.514235,2000,18498.017121
-92.14498,362,18500.570566
-54.85528,2000,18562.717146
95.176789,2000,18641.673633
-93.133383,284,18643.627019
-85.754862,2000,18716.968199
95.160578,1516,18772.137304
-0.583835,620,18776.480448
-10.829205,2000,18851.429971
18.441631,2000,18928.693761
-9.741683,2000,18990.236428
55.536194,1039,19057.409654
-57.267157,215,19058.877706
31.879342,767,19064.214568
-16.482629,752,19069.450385
-18.953662,2000,19145.197896
246.354635,1867,19207.821292
253.564352,1681,19281.188065
-31.965801,408,19284.04259
-30.849827,519,19335.123842
-42.287328,365,19337.68984
-25.461225,2000,19416.995785
-16.899668,2000,19497.912453
94.569917,1593,19558.938274
-104.563671,1834,19587.392588
-31.32375,2000,19650.930124
-2.601264,2000,19725.784467
-13.503645,740,19777.477988
-86.149,411,19780.394578
20.36935,2000,19863.489485
171.698404,2000,19942.498775
-140.235684,1513,19997.815079
119.315753,2000,20076.363641
58.051256,2000,20159.936577
22.697589,2000,20220.714284
-40.303914,612,20225.060787
67.847861,2000,20304.797224
-41.081621,2000,20387.92169
-51.588214,478,20391.300894
-58.118987,2000,20449.600308
227.803143,2000,20526.088989
68.220003,2000,20605.918616
-63.906724,2000,20667.854465
-21.883396,746,20696.580449
234.802,2000,20756.342125
-74.964522,2000,20839.921926
-24.150231,2000,20899.871963
120.322815,1533,20978.74812
-20.649057,2000,21062.180758
-23.829615,2000,21123.347361
69.757174,2000,21206.335917
248.004532,1758,21265.911559
238.560091,1885,21340.432778
10.753875,2000,21415.876714
-89.117736,638,21420.16743
-13.795239,2000,21494.917004
139.417484,2000,21555.253262
-55.129076,2000,21631.666625
-138.393417,660,21636.209625
195.396601,2000,21712.47017
249.429479,1753,21771.113744
4.552678,2000,21846.290619
-14.403642,600,21850.488215
24.871715,965,21903.323883
165.627266,2000,21985.434364
-28.319921,478,21988.796063
-59.171153,314,21991.01575
-58.133912,2000,22070.493527
-84.775252,170,22071.661209
-18.880618,2000,22151.923597
-57.242286,2000,22213.940033
10.49891,2000,22294.039054
-73.536117,2000,22380.413241
-50.381555,247,22382.112149
-52.462696,403,22384.95264
67.867364,1672,22444.414863
-42.691145,471,22495.251941
64.853312,1136,22520.466968
-38.951607,2000,22580.707451
162.311254,2000,22657.858479
122.647699,2000,22736.238771
-9.657999,2000,22794.708539
60.835478,2000,22879.303335
-51.461434,2000,22959.44877
-28.369417,2000,23020.173271
-89.661379,255,23022.100641
7.117152,2000,23101.145778
-40.029815,333,23103.436195
160.304451,2000,23182.857079
174.36347,2000,23245.236142
-25.980575,2000,23317.63519
104.19106,2000,23395.191741
112.601693,2000,23453.16887
-26.840671,2000,23538.191991
-91.073182,169,23539.361269
28.742362,2000,23617.996983
96.43412,2000,23679.204747
-28.047424,2000,23756.433865
113.044349,1740,23816.747754
-30.635484,541,23838.407259
12.724833,2000,23899.250325
56.858018,2000,23977.526191
-74.262961,185,23978.8054
-59.425645,2000,24065.430058
55.883686,2000,24120.934295
29.701852,2000,24196.056685
-70.904002,176,24197.260575
15.756879,2000,24272.37601
-32.255034,2000,24336.110987
-43.94369,409,24338.975142
-46.856587,304,24390.503417
-32.218434,341,24417.473213
-62.647828,197,24418.851233
-1.486759,2000,24481.298341
63.419518,2000,24563.814468
71.520126,2000,24641.859104
-52.501944,336,24644.204943
62.457688,2000,24705.784107
27.777318,2000,24786.369447
19.916861,2000,24869.437753
-57.119483,2000,24930.150445
47.85894,2000,25011.406903
72.769805,2000,25087.617958
0.177718,2000,25149.281412
104.122953,2000,25227.556411
-15.940158,461,25230.765641
-71.346963,2000,25313.228762
233.846698,2000,25373.119896
-53.471777,2000,25448.015694
-24.744733,2000,25508.715855
-15.7077,722,25538.807513
100.575281,1122,25594.002023
79.085787,1052,25601.314452
-26.905706,2000,25683.222766
-66.683867,2000,25761.369115
-46.648723,2000,25822.263137
-37.283854,321,25824.518953
-33.790112,507,25893.031247
-73.210226,2000,25954.994996
104.661123,1250,25983.601309
75.484695,2000,26044.884104
83.625521,1108,26116.211424
-52.577895,261,26118.041232
