#{"t_start": 1614621950.5795267, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,499,3.695592
1.0,702,13.612283
2.0,888,21.438111
0.0,533,27.222392
0.0,535,32.986613
4.0,1306,46.217484
0.0,528,51.895773
4.0,1193,73.117269
1.0,717,82.960713
3.0,1008,94.602751
2.0,825,101.960354
0.0,512,107.681314
0.0,515,113.40738
2.0,825,120.804327
0.0,527,138.918957
5.0,1406,155.985456
0.0,532,161.732237
0.0,524,167.444088
5.0,1423,181.290014
5.0,1332,197.856588
0.0,529,212.112959
0.0,523,214.663148
0.0,515,220.321349
2.0,818,230.840958
0.0,519,236.566689
4.0,1201,249.25082
6.0,1503,273.8967
0.0,509,279.492121
2.0,819,286.860835
0.0,515,292.581556
0.0,505,298.206427
8.0,1408,312.121566
2.0,809,322.552031
2.0,833,338.306515
0.0,541,344.039692
9.0,1628,361.997161
2.0,902,372.854629
2.0,809,380.163936
3.0,934,391.379275
2.0,801,408.37149
2.0,822,418.81882
0.0,524,424.433841
6.0,1516,442.051202
1.0,700,448.793411
4.0,1218,461.419606
0.0,512,476.536982
9.0,1616,494.373302
0.0,521,500.102744
2.0,819,507.52079
2.0,910,518.590852
4.0,1085,530.469731
4.0,1190,556.181515
3.0,927,567.217547
2.0,908,574.975909
5.0,1422,591.744113
4.0,1049,603.393176
3.0,1084,627.497566
1.0,633,633.773037
0.0,539,639.478432
13.0,1429,656.352654
4.0,1127,668.436847
0.0,524,673.997997
1.0,640,691.628463
4.0,1111,703.643897
2.0,804,710.869874
5.0,1401,727.53399
8.0,1845,757.62132
8.0,1145,769.734184
4.0,1138,781.859074
9.0,1934,804.577525
12.0,1754,836.277138
5.0,1386,852.869215
3.0,1016,864.417542
7.0,1503,881.683362
3.0,948,903.454116
4.0,1139,915.497017
6.0,1591,933.313607
3.0,967,944.420028
13.0,2204,982.349773
7.0,995,993.612366
13.0,1426,1010.36344
4.0,1337,1023.551935
9.0,1327,1055.028888
3.0,887,1062.489246
4.0,1056,1074.083353
6.0,1307,1090.143886
12.0,1294,1118.366243
10.0,1535,1135.637208
9.0,2029,1158.673794
3.0,843,1166.045878
5.0,1173,1196.622706
6.0,1455,1213.542911
16.0,2687,1243.341931
15.0,2116,1286.661158
9.0,2053,1309.765518
4.0,1152,1321.777679
9.0,1792,1360.649663
8.0,1859,1379.730173
11.0,1823,1401.720642
11.0,2097,1441.45622
10.0,1471,1458.348565
6.0,1460,1475.238986
12.0,1914,1515.535661
11.0,2290,1540.092108
10.0,1523,1578.927952
2.0,832,1586.215032
5.0,1342,1602.50251
14.0,2294,1626.993934
13.0,2311,1669.528099
7.0,999,1680.798012
13.0,2230,1704.888792
6.0,1470,1741.595848
5.0,1102,1753.456308
6.0,1664,1771.467494
15.0,2136,1815.003608
6.0,1380,1831.42381
13.0,2166,1855.210475
10.0,1677,1891.643673
13.0,2375,1919.726028
12.0,1921,1959.516966
9.0,2033,1982.65775
13.0,2103,2006.060528
8.0,1766,2045.69982
12.0,2448,2074.071957
14.0,2093,2120.877814
7.0,1562,2138.311706
9.0,1839,2157.145615
17.0,2448,2208.586619
17.0,2107,2232.03248
22.0,3174,2289.244947
16.0,2240,2313.359121
