#{"t_start": 1592837908.5532045, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.023929
18.0,18,0.034601
16.0,16,0.14915
15.0,15,0.163461
22.0,22,0.295939
11.0,11,0.307052
14.0,14,0.423562
88.0,88,0.791058
43.0,43,0.929518
245.0,245,1.960089
50.0,50,2.101837
135.0,135,2.621708
254.0,254,3.627565
278.0,278,5.168643
136.0,136,6.595264
117.0,117,7.65312
156.0,156,9.011311
144.0,144,10.325727
136.0,136,11.715556
370.0,370,14.729789
188.0,188,16.322354
379.0,379,20.239572
500.0,500,23.520837
500.0,500,29.373612
500.0,500,32.805832
500.0,500,35.08575
500.0,500,42.235825
500.0,500,46.919786
500.0,500,51.168823
500.0,500,53.823851
500.0,500,57.469088
500.0,500,62.958316
500.0,500,67.50139
500.0,500,73.355675
500.0,500,77.486108
500.0,500,81.182578
500.0,500,85.32242
500.0,500,89.625858
500.0,500,94.831466
500.0,500,99.445284
500.0,500,103.791529
