#{"t_start": 1614621978.25274, "env_id": "EnduroNoFrameskip-v4"}
r,l,t
0.0,13312,357.097742
0.0,13312,834.298696
0.0,13312,1197.818009
0.0,13312,1675.470041
0.0,13312,2152.959805
0.0,13312,2515.698926
0.0,13312,2993.288489
1.0,13312,3471.698852
0.0,13312,3834.886281
45.0,13312,4313.990097
49.0,13312,4791.30748
52.0,13312,5151.76353
46.0,13312,5624.421882
94.0,13312,6097.272457
60.0,13312,6456.230341
118.0,13312,6929.116038
129.0,13312,7402.207427
89.0,13312,7762.719527
128.0,13312,8235.487469
115.0,13312,8708.407259
113.0,13312,9068.319366
114.0,13312,9540.81182
115.0,13312,10024.19113
130.0,13312,10384.384596
123.0,13312,10858.54058
126.0,13312,11328.817434
156.0,13312,11700.829285
163.0,13312,12219.910809
145.0,13312,12771.72419
171.0,13312,13177.935884
132.0,13312,13719.27026
161.0,13312,14202.810057
319.0,26624,15205.78893
182.0,13312,15756.815681
192.0,13312,16173.072508
150.0,13312,16758.815915
346.0,26624,17726.946582
391.0,26624,18810.765645
155.0,13312,19318.051709
175.0,13312,19927.148095
359.0,26624,20983.683432
198.0,13312,21601.488433
141.0,13312,21991.819224
126.0,13312,22516.523366
172.0,13312,23031.042673
192.0,13312,23431.535989
188.0,13312,23971.718695
364.0,26624,24960.054885
383.0,26624,26390.398286
417.0,26624,27644.788238
442.0,26624,28928.557688
499.0,26624,30407.57251
150.0,13312,30828.066441
369.0,26624,32214.007769
190.0,13312,32713.966097
426.0,26624,34151.032788
166.0,13312,34584.386513
341.0,26624,35957.872778
154.0,13312,36366.315052
438.0,26624,37676.489824
380.0,26624,38769.175543
161.0,13312,39420.289233
190.0,13312,39806.565817
146.0,13312,40367.179348
195.0,13312,40916.832145
166.0,13312,41316.477348
194.0,13312,41897.295866
179.0,13312,42407.444271
198.0,13312,42782.488318
158.0,13312,43316.52882
164.0,13312,43703.775518
188.0,13312,44189.606533
356.0,26624,45224.844863
406.0,26624,46611.591255
383.0,26624,47852.764287
333.0,26624,48944.641173
432.0,26624,50424.724269
432.0,26624,51675.437222
177.0,13312,52333.349297
382.0,26624,53448.679024
146.0,13312,54068.351946
391.0,26624,55197.384424
422.0,26624,56335.737546
137.0,13312,56855.089843
391.0,26624,57833.131545
163.0,13312,58414.068071
153.0,13312,58948.31313
119.0,13312,59379.697037
177.0,13312,59890.708716
131.0,13312,60401.436305
381.0,26624,61358.588881
146.0,13312,61939.433618
178.0,13312,62313.825295
377.0,26624,63544.710211
385.0,26624,64692.882385
191.0,13312,65439.04862
440.0,26624,66546.488283
469.0,26624,67914.618802
352.0,26624,69339.078327
139.0,13312,69843.221177
460.0,26624,71049.687347
187.0,13312,71732.358566
420.0,26624,72904.285802
427.0,26624,74253.641629
149.0,13312,74747.286948
447.0,26624,76208.113922
472.0,26624,77381.884868
435.0,26624,78610.412632
496.0,26624,79915.968259
399.0,26624,80827.171409
450.0,26624,81815.051029
471.0,26624,83121.233551
436.0,26624,84189.103381
406.0,26624,85152.862495
163.0,13312,85705.599065
413.0,26624,86706.382637
441.0,26624,87955.389401
158.0,13312,88413.846878
457.0,26624,89700.743028
185.0,13312,90092.191322
469.0,26624,91605.902812
192.0,13312,92113.461763
389.0,26624,93455.938332
484.0,26624,94710.632049
450.0,26624,95926.38149
475.0,26624,97442.597291
473.0,26624,98768.593912
447.0,26624,100072.610164
463.0,26624,101471.812522
439.0,26624,102964.898633
427.0,26624,104180.802429
393.0,26624,105299.965542
179.0,13312,105873.542784
443.0,26624,106936.657186
389.0,26624,108357.757969
400.0,26624,109357.854685
451.0,26624,110530.954023
197.0,13312,111127.361085
405.0,26624,112262.300022
377.0,26624,113761.576814
465.0,26624,115022.955691
704.0,39936,117079.429009
473.0,26624,118445.041034
681.0,39936,120599.595836
430.0,26624,122187.090903
480.0,26624,123552.242618
971.0,53248,126650.814586
435.0,26624,128142.029421
449.0,26624,129767.925055
875.0,53248,132969.172285
892.0,53248,136296.820555
494.0,26624,137950.327847
799.0,39936,140463.095112
895.0,53248,143456.922179
435.0,26624,145058.656179
774.0,39936,147378.172052
467.0,26624,148841.214054
450.0,26624,150468.680089
487.0,26624,152290.354208
711.0,39936,154741.555246
479.0,26624,156248.973022
490.0,26624,157714.279954
487.0,26624,159516.676972
496.0,26624,160865.693953
930.0,53248,163986.868828
468.0,26624,165381.953457
990.0,53248,168836.88742
732.0,39936,171681.082927
486.0,26624,173240.03445
434.0,26624,174891.699636
982.0,53248,178271.50614
467.0,26624,180032.984862
447.0,26624,181856.145211
1013.0,53248,185446.756489
770.0,39936,188256.352912
954.0,53248,191968.037946
898.0,53248,195371.884213
976.0,53248,199201.522789
950.0,53248,203030.31079
469.0,26624,204910.503522
495.0,26624,206708.013568
471.0,26624,208568.874716
766.0,39936,211372.026573
966.0,53248,214724.20632
1080.0,53248,218597.629233
792.0,39936,221363.746968
1045.0,53248,225315.756266
1292.0,66560,230035.355994
1099.0,53248,234347.814244
484.0,26624,236109.650172
1091.0,53248,239945.439825
1013.0,53248,244145.619462
1036.0,53248,248198.81126
795.0,39936,251280.019319
1077.0,53248,255394.411681
795.0,39936,258640.448933
798.0,39936,261939.288246
722.0,39936,265317.761136
