#{"t_start": 1635497817.0412834, "env_id": "HalfCheetah-v3"}
r,l,t
-332.688212,1000,1.451781
-350.177727,1000,2.373085
-293.51968,1000,4.18423
-351.446669,1000,5.107545
-342.527281,1000,6.897213
-296.844084,1000,7.820388
-475.043093,1000,9.609355
-158.023563,1000,10.53214
-455.154479,1000,12.319745
-359.046692,1000,13.242938
-418.856577,1000,20.602614
-293.445376,1000,21.527364
-317.416487,1000,23.318597
-329.303868,1000,24.257495
-357.531782,1000,27.036892
-314.495154,1000,28.001065
-369.612631,1000,30.80735
-316.585904,1000,31.760243
-321.88514,1000,33.62193
-399.717817,1000,34.576385
-269.866361,1000,42.282284
-272.453048,1000,43.210021
-314.873975,1000,44.999101
-292.11616,1000,45.945977
-188.7187,1000,47.738269
-282.360936,1000,48.664901
-207.361745,1000,50.461421
-228.847426,1000,51.392194
-256.943571,1000,53.187007
-226.471465,1000,54.115372
-148.162146,1000,61.492076
-230.908872,1000,62.422725
-226.772783,1000,64.215835
-202.928894,1000,65.150724
-216.164998,1000,66.9482
-266.933252,1000,67.87633
-243.531149,1000,69.669395
-167.711067,1000,70.605187
-186.185154,1000,72.403438
-116.751278,1000,73.33767
-167.920454,1000,80.680477
-174.6541,1000,81.614492
-145.926729,1000,82.555246
-106.042707,1000,84.360192
-149.687824,1000,85.289193
-139.971357,1000,87.090396
-188.790454,1000,88.020439
-89.154272,1000,89.817338
-168.71296,1000,90.752885
-78.029378,1000,92.554897
-93.694833,1000,99.002107
-171.557029,1000,100.817802
-342.775257,1000,101.780499
-83.837962,1000,103.651827
-206.507622,1000,104.611265
-109.967492,1000,106.454807
-78.69062,1000,107.404165
-13.233338,1000,110.210278
-69.760711,1000,111.166737
-81.182452,1000,113.980982
-12.887004,1000,121.708914
-3.313401,1000,123.508962
-9.784728,1000,124.441103
-19.937074,1000,126.247223
-468.283905,1000,127.19012
23.227506,1000,128.99244
9.452428,1000,129.922752
-16.097884,1000,131.727761
66.785718,1000,132.657515
-36.733131,1000,134.454843
72.96697,1000,140.851821
22.365492,1000,142.657284
-4.567786,1000,143.590658
73.978988,1000,145.39278
74.743203,1000,146.322248
116.82067,1000,148.146102
103.169233,1000,149.075949
160.319875,1000,150.877951
67.180647,1000,151.810085
174.0755,1000,153.609275
204.325653,1000,159.984902
173.520227,1000,161.785663
158.26091,1000,162.719911
145.945537,1000,164.515157
163.316443,1000,165.450051
101.512428,1000,166.38077
228.582587,1000,168.186907
246.748346,1000,169.119862
196.901172,1000,170.927257
253.176072,1000,171.863422
293.1922,1000,179.267526
257.65224,1000,180.199713
321.205504,1000,182.006416
241.467409,1000,182.940641
249.576726,1000,184.74754
262.092809,1000,185.685407
364.65293,1000,187.492422
394.933644,1000,188.429657
318.732568,1000,190.236315
329.914282,1000,191.170544
396.170471,1000,198.55571
402.819045,1000,199.486569
377.431917,1000,201.289445
347.792945,1000,202.220962
386.178354,1000,204.023838
333.170762,1000,204.955741
346.436267,1000,206.759986
470.250517,1000,207.689743
363.795352,1000,209.497135
380.787909,1000,210.431098
398.109784,1000,217.652837
494.388915,1000,218.587252
-405.980915,1000,220.400593
458.677507,1000,221.331899
468.807667,1000,223.137339
463.658573,1000,224.068229
430.256803,1000,225.868733
498.248983,1000,226.801587
394.183709,1000,228.608552
393.303962,1000,229.542122
500.557002,1000,236.744218
531.60623,1000,237.67708
449.349129,1000,239.478894
442.083998,1000,240.421734
600.706854,1000,242.222596
543.334935,1000,243.159756
482.285787,1000,244.946703
-242.089951,1000,245.886105
520.342422,1000,246.809906
603.505039,1000,248.601226
484.876681,1000,255.069678
504.475964,1000,256.939024
514.843466,1000,257.903648
508.173702,1000,260.728083
584.309362,1000,261.685708
613.39031,1000,264.506929
578.344333,1000,265.453768
-378.312652,1000,267.345162
552.533245,1000,268.290967
547.871929,1000,270.11081
614.905266,1000,276.55845
544.180267,1000,278.362739
641.4348,1000,279.296267
593.813232,1000,281.103632
573.56919,1000,282.034895
630.424575,1000,283.84163
641.96338,1000,284.772459
628.166921,1000,286.582286
665.347429,1000,287.515011
632.762005,1000,289.319891
625.094857,1000,295.788528
676.553897,1000,297.59261
689.530744,1000,298.525988
694.19718,1000,300.330056
672.388247,1000,301.262405
621.28468,1000,303.068467
626.590976,1000,304.002875
668.311059,1000,305.818157
654.229041,1000,306.753093
642.370401,1000,308.560399
581.613715,1000,315.024975
794.766276,1000,316.830603
709.37342,1000,317.762487
700.908901,1000,319.564879
689.627374,1000,320.500312
621.970482,1000,322.309979
819.347737,1000,323.244297
713.10269,1000,325.047772
722.759256,1000,325.983972
666.739684,1000,327.785388
754.428412,1000,334.196735
790.614168,1000,335.127062
761.71375,1000,336.932443
761.7665,1000,337.863522
749.352605,1000,339.670214
804.217964,1000,340.59954
771.520289,1000,342.404188
723.307434,1000,343.334126
791.118812,1000,345.135626
830.676298,1000,346.065887
827.978984,1000,353.287734
733.489684,1000,354.216443
845.229738,1000,356.014929
825.980587,1000,356.942057
830.520462,1000,358.742778
909.338173,1000,359.669432
819.295829,1000,361.4773
824.216839,1000,362.407047
841.440619,1000,364.208909
837.42733,1000,365.138761
899.22139,1000,372.331842
798.648848,1000,373.251717
826.853492,1000,375.032092
916.174758,1000,375.953521
804.153962,1000,377.751971
918.648812,1000,378.681613
923.311158,1000,380.48625
812.244928,1000,381.417409
1003.030797,1000,383.217609
932.518281,1000,384.147907
906.863094,1000,391.332563
903.805491,1000,392.264369
975.456794,1000,394.06667
887.406914,1000,394.998771
953.76353,1000,396.801418
863.982397,1000,397.729134
963.39941,1000,399.527117
947.610715,1000,400.458286
959.286007,1000,402.255777
1002.561913,1000,403.189129
926.583338,1000,410.378825
977.842196,1000,411.313001
931.737487,1000,413.115714
967.130881,1000,414.048238
972.85033,1000,414.988357
964.887872,1000,416.789186
1032.172139,1000,417.720039
968.631664,1000,419.522797
1000.652965,1000,420.451605
959.021958,1000,422.25228
1020.243533,1000,428.571264
1014.795933,1000,430.375562
993.24043,1000,431.306114
967.362299,1000,433.107487
1089.78208,1000,434.037735
1016.622468,1000,435.855659
1032.593948,1000,436.785557
993.33532,1000,438.586711
998.92246,1000,439.515926
931.264787,1000,441.319204
1033.026556,1000,447.638463
1049.179316,1000,449.437626
1040.946185,1000,450.379182
1026.192668,1000,452.183478
1052.829474,1000,453.112483
1069.092679,1000,454.914484
1029.034311,1000,455.847206
1077.253044,1000,457.651546
1004.070918,1000,458.583266
1131.965333,1000,460.381666
1038.68046,1000,466.691434
1022.145936,1000,468.493752
1101.335343,1000,469.424199
1051.078012,1000,471.225649
1099.865746,1000,472.155451
966.214055,1000,473.956043
1110.718673,1000,474.88503
1098.045837,1000,476.691924
1104.902285,1000,477.628273
1041.020835,1000,479.424793
1065.86716,1000,485.75787
1118.219963,1000,487.563729
1161.684119,1000,488.500309
1051.784847,1000,490.306127
1057.482538,1000,491.240963
1078.670537,1000,492.173211
1100.307981,1000,493.978493
1088.137059,1000,494.909941
1129.284267,1000,496.719388
1179.997165,1000,497.650883
1140.021915,1000,504.81803
1142.021885,1000,505.747051
1212.911746,1000,507.553378
1052.854353,1000,508.482012
1146.851171,1000,510.280038
1165.175688,1000,511.207386
1175.629878,1000,513.012062
1109.346841,1000,513.940604
1151.421483,1000,515.738457
1149.949548,1000,516.669112
1120.372178,1000,523.845495
1129.406018,1000,524.77539
1136.160885,1000,526.576218
1153.45186,1000,527.503594
1133.166181,1000,529.304248
1240.940995,1000,530.233855
1143.588095,1000,532.033566
1108.422991,1000,532.960983
1220.430314,1000,534.760789
1093.644958,1000,535.693266
1182.839743,1000,542.87185
1263.942286,1000,543.798457
1123.363193,1000,545.59899
1252.450709,1000,546.52915
1126.362676,1000,548.331067
1171.071415,1000,549.259605
1159.644405,1000,551.061754
1175.374207,1000,551.98668
1214.174294,1000,553.784739
1195.666754,1000,554.710973
1197.626194,1000,561.87784
1189.930793,1000,562.810093
1188.893231,1000,564.615525
1128.576559,1000,565.544859
1170.105318,1000,567.347988
1162.464618,1000,568.281158
1242.027562,1000,570.083988
1184.151108,1000,571.018195
1201.06535,1000,571.949596
1229.077334,1000,573.747521
1190.142659,1000,580.058366
1265.813462,1000,581.857877
1291.571846,1000,582.789037
1272.482833,1000,584.587654
1207.81823,1000,585.51513
1267.98699,1000,587.313521
1183.375864,1000,588.241358
1317.447817,1000,590.039746
1261.599298,1000,590.96788
1238.195692,1000,592.766539
1228.062979,1000,599.063335
1301.156131,1000,600.861869
1245.463763,1000,601.789979
1318.776072,1000,603.590542
1210.524477,1000,604.518139
1259.208754,1000,606.320473
1270.528987,1000,607.249599
1268.317123,1000,609.051644
1283.879626,1000,609.97888
1327.085014,1000,611.778586
1302.273566,1000,618.088896
1300.34407,1000,619.893255
1218.107856,1000,620.82459
1275.834902,1000,622.627353
1254.662688,1000,623.556294
1321.137931,1000,625.359862
1288.448414,1000,626.277115
1291.147501,1000,628.073978
1287.134077,1000,628.993623
1296.015632,1000,630.774785
1273.908129,1000,637.337964
1299.911922,1000,639.200504
1372.115347,1000,640.156302
1345.458973,1000,642.017531
1305.164215,1000,642.983754
1248.708141,1000,644.828424
1353.715334,1000,645.811559
1302.316991,1000,647.696062
1272.859119,1000,648.652875
1280.204489,1000,650.467018
1345.626189,1000,656.806947
1377.944326,1000,657.738624
1224.532495,1000,659.547851
1361.836902,1000,660.477283
1330.257913,1000,662.287361
1353.097964,1000,663.215826
1310.460557,1000,665.024051
1346.051903,1000,665.952119
1328.938668,1000,667.756319
1357.899752,1000,668.68873
1297.716562,1000,675.854426
1335.440613,1000,676.780416
1258.504478,1000,678.58069
1322.18938,1000,679.510655
1280.566009,1000,681.319377
1357.037496,1000,682.253903
1339.058765,1000,684.069304
1310.138142,1000,684.998234
1321.400628,1000,686.806028
1402.900875,1000,687.734297
1360.810987,1000,695.024827
1342.80899,1000,695.955894
1398.345022,1000,697.762939
1425.463821,1000,698.691585
1348.465721,1000,700.492333
1303.917182,1000,701.42306
1366.142496,1000,703.224189
1420.644238,1000,704.153116
1368.453786,1000,705.953658
1353.083965,1000,706.881031
1411.125961,1000,714.060132
1388.733638,1000,714.992286
1436.834278,1000,716.799233
1364.207283,1000,717.73223
1431.298229,1000,719.541197
1383.848187,1000,720.472257
1439.714398,1000,722.294887
1376.700503,1000,723.229465
1389.986025,1000,725.036481
1405.653866,1000,725.978112
1357.330352,1000,733.171008
1458.18175,1000,734.10713
1409.42217,1000,735.911859
1407.515978,1000,736.853033
1404.342468,1000,737.783439
1505.80371,1000,739.593562
1412.725586,1000,740.523722
1403.667504,1000,742.330805
1444.800583,1000,743.268053
1408.543524,1000,745.07446
1413.097852,1000,751.394427
1436.768299,1000,753.194081
1456.835512,1000,754.117077
1418.677692,1000,755.910625
1450.07316,1000,756.834732
1456.340292,1000,758.629024
1431.642106,1000,759.560732
1499.540608,1000,761.368283
1443.874937,1000,762.322333
1382.314034,1000,764.128542
1447.277186,1000,770.438811
1444.081856,1000,772.251935
1442.791617,1000,773.183427
1399.265406,1000,774.990461
1462.452682,1000,775.921514
1425.052417,1000,777.731191
1478.551897,1000,778.662077
1437.683851,1000,780.472274
1507.249595,1000,781.403722
1483.895751,1000,783.21751
1501.139122,1000,789.741572
1504.796123,1000,791.587236
1459.264247,1000,792.527682
1484.140146,1000,794.380463
1505.248617,1000,795.321631
1455.459465,1000,797.180358
1444.048607,1000,798.13291
1489.353159,1000,800.668663
1500.176867,1000,801.60957
1436.159428,1000,803.408262
1539.879804,1000,809.698936
1531.652693,1000,811.494931
1443.148543,1000,812.423976
1531.295297,1000,814.217156
1491.344995,1000,815.146521
1457.894307,1000,816.941552
1435.990257,1000,817.875838
1532.723504,1000,818.805829
1532.454028,1000,820.609883
1473.998911,1000,821.547308
1509.861112,1000,828.722365
1435.625425,1000,829.65181
1499.307757,1000,831.454737
1528.547055,1000,832.382371
1538.371199,1000,834.186055
1516.037358,1000,835.116629
1485.331366,1000,836.921185
1525.319928,1000,837.853939
1516.005396,1000,839.6568
1502.182042,1000,840.585428
1576.748791,1000,847.737188
1517.479462,1000,848.665564
1541.845096,1000,850.466565
1464.583497,1000,851.393737
1528.145577,1000,853.194173
1505.695416,1000,854.12148
1503.426947,1000,855.920268
1544.914134,1000,856.850827
1531.965035,1000,858.655788
1476.068567,1000,859.585297
1479.105572,1000,866.760586
1541.003633,1000,867.692927
1510.062459,1000,869.499391
1433.878794,1000,870.431346
1517.873068,1000,872.238766
1502.196702,1000,873.172035
1555.3232,1000,874.979913
1510.014979,1000,875.911129
1512.173412,1000,877.708075
1545.025678,1000,878.625661
1515.463257,1000,885.752542
1561.291638,1000,886.68116
1573.658099,1000,888.479232
1509.260001,1000,889.411418
1522.477949,1000,891.210405
1492.006361,1000,892.137115
1545.875021,1000,893.930732
1493.43584,1000,894.863216
