#{"t_start": 1614621243.0108757, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1333.1158,1000,93.636905
-1270.906966,1000,249.116311
-1217.964025,1000,363.678748
-1165.185508,1000,512.62723
-737.628518,1000,621.97508
-628.55059,1000,761.632617
-211.918778,1000,898.600083
118.71035,1000,1004.36779
214.11787,1000,1141.084796
422.090002,1000,1244.164963
377.052419,1000,1378.468083
666.340036,1000,1512.307322
644.484273,1000,1614.415815
708.838529,1000,1747.783874
788.265124,1000,1849.625475
845.183692,1000,1982.769642
885.836768,1000,2115.602255
841.881878,1000,2217.267987
950.889942,1000,2349.866549
1051.061485,1000,2451.326149
1020.073936,1000,2583.592177
1107.90873,1000,2697.025085
1305.400312,1000,2798.498623
1221.109583,1000,2930.699229
1353.702526,1000,3031.895963
1409.618734,1000,3163.929952
1324.255717,1000,3295.781708
1596.235498,1000,3396.792349
1568.043821,1000,3528.537845
1623.38429,1000,3629.473142
1694.943335,1000,3760.739179
1811.402056,1000,3892.003289
1845.741258,1000,3992.701297
1706.122776,1000,4123.766167
1826.674783,1000,4224.178188
1790.643405,1000,4355.16719
1959.717529,1000,4486.050273
1920.747451,1000,4586.450587
1773.899073,1000,4717.16899
2034.655716,1000,4817.608925
2065.869568,1000,4948.309983
2110.61127,1000,5078.952891
2291.940372,1000,5160.318479
1941.884689,1000,5290.993183
2097.308567,1000,5391.13609
2217.245882,1000,5521.784594
2255.317255,1000,5652.413041
2348.064238,1000,5752.829922
2237.035233,1000,5883.673579
2301.10545,1000,5984.09101
2371.458002,1000,6115.12525
2321.595536,1000,6246.065445
2305.671994,1000,6346.451643
2397.26841,1000,6477.160992
2340.869968,1000,6577.403649
2183.642269,1000,6708.037751
2598.126025,1000,6838.608757
2293.469323,1000,6938.879714
2511.455467,1000,7069.627569
2483.265749,1000,7169.931642
2293.228336,1000,7300.58586
2446.270346,1000,7431.268732
2525.735482,1000,7531.569269
2414.400178,1000,7643.31295
2626.527745,1000,7743.237592
2634.491066,1000,7872.474366
2502.652598,1000,8001.587462
2606.396498,1000,8100.59955
2487.571053,1000,8229.656933
2659.688307,1000,8328.577631
2549.399341,1000,8457.725826
2715.331289,1000,8586.791748
2670.483505,1000,8685.62897
2504.377329,1000,8814.769616
2698.711215,1000,8913.680456
2686.291914,1000,9042.854702
2549.161906,1000,9171.974375
2733.556688,1000,9270.978719
2721.684873,1000,9400.12562
2673.687426,1000,9499.051898
2728.796424,1000,9628.161053
2680.389911,1000,9757.28744
2564.580476,1000,9856.213946
2808.594512,1000,9985.292131
2747.664456,1000,10084.605438
2701.136408,1000,10197.032145
2642.432166,1000,10326.782947
2732.090837,1000,10426.760355
2627.596323,1000,10556.75156
2775.819086,1000,10656.256247
2806.482807,1000,10786.327456
2614.382266,1000,10916.384
2597.925918,1000,11016.045601
2856.202842,1000,11145.921727
2724.437139,1000,11245.471389
2803.395336,1000,11375.357976
2798.545545,1000,11505.268118
2708.010279,1000,11605.061661
2606.812506,1000,11734.897562
2739.250524,1000,11834.762108
2855.449803,1000,11964.602958
2778.620042,1000,12094.530908
2687.780191,1000,12194.296055
2808.052935,1000,12324.281399
2757.578316,1000,12424.122384
2862.298911,1000,12553.774718
2735.506169,1000,12664.792523
2850.030172,1000,12764.597782
2647.093816,1000,12894.585067
2872.727829,1000,12994.307856
2686.605733,1000,13123.992253
2724.613182,1000,13253.59881
2893.134683,1000,13353.242453
2855.497187,1000,13483.011508
2831.022394,1000,13582.539734
2853.045135,1000,13712.101799
2837.209442,1000,13841.772627
2811.520475,1000,13941.190055
2841.601745,1000,14070.808421
2751.148433,1000,14170.092551
2848.871071,1000,14299.589964
2824.191128,1000,14429.111387
2934.099611,1000,14528.602115
2843.786446,1000,14658.071708
2783.302887,1000,14757.011413
