#{"t_start": 1637082108.1924567, "env_id": "Hopper-v3"}
r,l,t
7.214988,11,0.057627
10.819234,15,0.076205
13.221648,19,0.100116
9.569222,13,0.116631
11.27458,15,0.135432
11.612912,16,0.154964
14.218566,20,0.182246
11.227193,17,0.204385
12.282971,16,0.224389
10.371296,14,0.241983
10.047815,14,0.25941
12.707958,17,0.280739
10.652585,14,0.298771
10.938604,16,0.319664
9.916722,13,0.336516
11.498679,15,0.356245
10.554275,14,0.374604
13.026883,18,0.398184
11.408967,16,0.418622
11.387649,15,0.438078
12.184467,16,0.459014
10.496672,15,0.478471
10.673524,14,0.496709
13.223383,17,0.519038
9.921061,14,0.537206
10.868585,17,0.559362
11.349198,14,0.577705
13.255839,20,0.605452
13.565072,18,0.629039
10.044599,13,0.645934
14.197121,19,0.670685
14.626609,20,0.696955
12.716994,21,1.152686
13.042871,16,1.173547
12.397573,16,1.194128
12.19065,16,1.214741
12.851685,16,1.235592
11.354646,16,1.256628
11.363241,14,1.27498
9.970158,13,1.291746
12.493764,17,1.31366
10.771306,14,1.331905
10.858684,16,1.352694
11.144346,14,1.37085
12.63968,17,1.392787
10.786887,14,1.410949
12.639447,17,1.432996
10.253987,13,1.450053
14.644678,18,1.47307
13.113778,17,1.494829
11.735614,16,1.515607
14.280805,17,1.537538
11.938692,15,1.556794
11.850336,17,1.578952
13.088395,17,1.601134
11.475655,15,1.6203
13.02792,18,1.643639
11.752031,15,1.662927
9.084929,12,1.678599
12.088764,15,1.698073
12.143525,16,1.718889
13.405764,18,1.742385
10.959526,16,1.763133
13.862636,17,1.785141
9.7197,13,2.123346
11.898378,17,2.145613
12.825458,15,2.164588
11.488969,15,2.183716
13.57433,16,2.204129
15.201625,21,2.2313
15.581805,18,2.25462
12.443825,16,2.275156
13.958974,18,2.298317
12.248879,16,2.318932
11.218443,16,2.339344
11.729531,14,2.357092
12.965256,18,2.380371
12.462025,16,2.401192
13.460526,16,2.422
12.782501,16,2.442513
14.477543,18,2.465496
12.702328,17,2.487587
10.994175,15,2.507119
12.934687,16,2.527492
11.625863,15,2.54683
15.844117,19,2.574246
11.450003,17,2.595767
11.847676,16,2.616516
13.325552,19,2.641157
13.426852,18,2.664709
11.888003,15,2.684148
11.659998,18,2.707482
13.653505,19,2.732149
14.185043,18,2.755367
11.698277,17,2.777465
14.317205,18,3.13853
11.979315,18,3.162212
15.372062,19,3.187073
14.316553,18,3.210581
14.074222,18,3.233675
12.475298,18,3.257035
15.555524,19,3.281831
11.6982,15,3.30102
14.630286,18,3.324375
11.236085,17,3.346093
14.203026,18,3.369476
12.350157,17,3.391573
14.591304,21,3.418808
17.540999,20,3.444712
12.411078,16,3.465274
13.444842,20,3.491107
12.700421,15,3.510219
14.068362,17,3.531697
15.342426,18,3.554743
13.443506,19,3.579171
14.974168,18,3.602258
12.681064,16,3.622938
16.904013,21,3.649821
13.788972,17,3.67166
16.459521,20,3.697981
16.447651,19,3.722518
15.827478,20,3.748289
13.993862,16,3.769225
14.743089,18,4.126053
24.248295,25,4.158483
12.134378,15,4.178151
15.830825,20,4.204092
13.700844,18,4.227073
13.026844,16,4.247712
16.843624,19,4.272482
12.459728,16,4.293216
14.117401,16,4.314219
15.613243,19,4.338877
11.730246,15,4.358095
12.345026,18,4.381136
15.918654,18,4.404384
12.775818,19,4.429042
16.945792,19,4.453475
15.018565,18,4.476768
14.756099,18,4.499876
14.12609,20,4.525535
12.813591,18,4.548879
13.164382,16,4.571625
17.132039,24,4.603626
16.538748,20,4.629838
19.976324,23,4.659533
16.74214,20,4.685691
14.85146,18,4.709387
13.214628,16,4.730391
12.892796,16,4.751279
15.662129,18,4.774637
14.142528,19,5.131979
16.049275,20,5.158209
14.742483,17,5.180494
19.380627,23,5.210543
14.463972,17,5.232596
17.541507,21,5.259854
14.682564,17,5.281848
15.839886,19,5.306612
23.961005,26,5.340339
16.816137,19,5.36497
17.648348,21,5.392111
11.809016,16,5.412822
16.510489,19,5.437665
14.738986,19,5.462538
13.655877,19,5.487306
13.772841,19,5.511408
17.907199,21,5.538557
13.890912,17,5.559939
14.022307,21,5.587259
19.094563,21,5.614493
15.1119,18,5.638044
14.660647,20,5.663594
15.632875,19,5.688136
13.487174,17,5.710068
15.311795,19,5.734365
14.713665,18,5.757589
18.401551,21,6.11795
19.762047,24,6.150581
22.563255,23,6.180285
17.791194,23,6.210108
20.838136,23,6.239882
14.593272,16,6.260496
24.279507,23,6.290066
14.896114,18,6.313492
18.448285,23,6.343513
21.16546,22,6.372509
20.645714,21,6.399093
20.228575,21,6.426561
19.643645,21,6.453748
18.401209,20,6.479706
20.147534,21,6.507017
18.822203,26,6.540486
24.134829,23,6.570137
22.639795,23,6.600781
15.216477,18,6.624081
17.188478,19,6.649008
25.386927,27,6.684054
19.428339,20,6.71004
16.837267,18,6.733278
20.893729,22,6.76207
25.05701,26,7.124257
29.638666,28,7.160753
24.392252,24,7.191774
32.497465,30,7.230665
24.512654,29,7.268198
24.227264,30,7.306758
18.593986,24,7.339451
27.13398,32,7.381169
28.959079,26,7.414458
21.533221,21,7.441713
24.093612,26,7.475676
28.322228,32,7.517418
31.466026,34,7.561706
43.687799,34,7.605569
22.085929,23,7.635635
21.02839,22,7.664629
13.772088,18,7.688122
20.291147,23,7.71818
19.496758,23,7.748052
