#{"t_start": 1614621250.018603, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.533704,15,1.264504
27.044637,15,1.624647
26.743197,19,2.079256
30.055425,20,2.556769
23.944609,10,2.795718
28.700202,14,3.126802
29.568745,20,3.607042
25.431953,13,3.915442
23.858578,14,4.251821
22.190466,7,4.419455
25.776394,10,4.66018
26.45978,11,4.921154
27.843897,15,5.281326
22.437896,9,5.497365
26.317553,12,5.78543
26.748865,16,6.16848
23.291179,10,6.404512
25.697036,9,6.623934
23.485758,10,6.863364
27.468604,16,7.244724
18.942114,9,7.463739
14.818214,5,7.584881
29.189725,15,7.94363
29.836867,23,8.494928
21.64016,8,8.686585
23.210663,11,8.952389
26.92372,15,9.312036
21.812369,9,9.525785
21.283259,8,9.721632
27.964403,20,10.198263
20.604256,7,10.369011
21.920902,7,10.537733
34.632322,23,11.086218
17.192362,13,11.400938
25.474709,11,11.66388
31.118345,19,12.121414
27.300096,18,12.554429
24.599515,11,12.819371
26.018763,12,13.10624
25.601809,10,40.257381
23.941232,14,40.686915
23.695993,8,40.931269
25.344217,11,41.26333
26.989864,20,41.876899
28.200547,16,42.368122
24.303744,9,42.639793
29.056836,14,43.068496
32.307899,17,44.208139
24.765874,18,44.754645
21.948084,7,44.971456
34.602333,20,45.575746
20.745469,8,45.822731
29.224509,13,46.219531
25.877879,12,46.585445
20.388239,6,46.771454
18.627982,6,46.949123
28.904245,17,47.465005
22.842345,7,47.685717
28.412032,14,48.112796
17.644671,11,48.446351
24.393877,12,48.810621
21.515128,9,49.08819
24.648795,12,49.45367
24.176424,11,49.790957
25.780898,11,50.127211
21.785714,8,50.372689
20.070392,7,50.585102
21.10301,7,50.801525
21.429493,8,51.043354
29.266867,14,51.47452
21.768772,14,51.89631
24.703399,10,52.199024
24.050287,10,52.500699
28.982756,17,53.020446
20.113638,7,53.230732
29.690202,16,53.718225
32.981094,23,54.415431
29.519538,17,54.934753
24.841177,10,55.236659
22.040483,6,55.422224
24.736148,9,55.695254
23.358279,10,55.999406
30.272717,17,83.107418
23.635838,12,83.470089
27.17075,13,83.860532
21.3681,11,84.191074
20.019028,9,84.463331
26.938431,18,85.010287
29.237756,13,85.401392
31.340164,18,85.942837
32.743951,18,86.484491
27.19412,14,86.911268
21.667418,8,87.151397
30.133215,15,87.603938
21.259677,11,87.934237
26.976888,16,88.416937
28.873699,18,88.960057
24.389191,18,89.498214
26.661427,11,90.32493
26.673788,12,90.688969
22.802262,9,90.9623
25.890055,18,91.509645
19.484642,11,91.84562
22.387504,10,92.14421
22.970297,14,92.564547
29.290696,16,93.047433
21.01653,7,93.259122
23.745874,10,93.559341
22.235078,9,93.832238
25.373884,11,94.16537
21.16179,7,94.374746
20.451275,7,94.586925
21.239867,9,94.859126
22.211953,11,95.191191
24.692432,13,95.582811
21.417664,8,95.827805
24.154924,13,96.218826
32.43402,18,96.757714
25.9717,12,97.117625
25.03881,11,97.452331
21.650285,16,97.936707
25.207568,14,98.350296
26.602489,15,98.804146
33.080195,18,125.941
26.853104,12,126.296305
28.525088,19,126.860931
22.2114,16,127.338293
32.957116,18,127.880466
