#{"t_start": 1614710765.4881034, "env_id": "LunarLander-v2"}
r,l,t
-97.861729,63,0.319829
-347.43662,90,0.570593
-107.243698,70,0.762573
-34.534741,97,1.034726
-8.629423,127,1.390018
-90.614494,72,1.589309
-123.306385,73,1.78759
-447.718658,111,2.723675
-210.625071,72,2.919756
-232.20496,106,3.213181
-187.559072,75,3.422007
-294.09779,115,8.877726
-345.578155,108,9.158239
-90.022065,63,9.323832
-120.664918,111,9.969939
-102.999887,90,10.202806
-284.40038,84,10.417278
-145.655477,75,10.613859
-302.205555,76,10.802873
-131.081313,79,11.004563
-137.004434,88,11.237742
-268.790665,67,11.793948
-170.422581,68,11.964255
-114.446068,106,17.305081
10.182422,97,17.590822
-102.249308,103,17.884738
-44.127323,60,18.073278
-103.678347,74,18.303888
-206.602463,129,20.422364
-198.381001,142,20.95918
-103.249916,116,21.428446
-118.781214,118,21.919755
-105.848826,74,22.222038
-122.553878,85,27.621628
-91.948311,69,31.284657
-69.494039,78,31.513399
-125.330087,74,31.733131
-112.266055,93,32.008033
-45.140459,57,32.161519
-121.091749,80,32.38507
-148.315674,79,32.600446
-55.325754,88,32.839484
-140.650048,119,35.421194
-125.41839,93,35.715685
-95.57164,88,36.021892
-121.554829,97,41.360606
-76.803903,133,41.927343
-58.323437,97,42.29155
-267.42842,105,46.765905
-112.780347,87,47.113666
-119.581139,116,47.555075
-63.998793,83,47.803824
-137.071052,124,48.165262
-120.022421,118,48.536406
-154.023685,114,52.718917
-120.13912,98,58.221691
-48.933665,137,58.641772
-129.868578,105,58.956288
-53.17503,96,59.2354
-57.843026,71,59.453127
-114.177438,110,62.733926
-79.31535,109,63.047036
-133.155146,119,63.394793
-25.303655,96,63.6748
-59.083909,65,63.864748
-57.760071,110,69.287069
-111.918937,130,71.928269
-72.467435,86,72.198631
-59.398804,95,72.494513
-70.238256,85,72.770672
-80.778463,133,73.231679
-63.145445,107,73.605046
-58.323845,108,78.571066
-98.849395,74,78.844018
-59.670876,105,79.242128
-53.272711,76,84.695702
-31.532523,125,85.20943
-56.309934,134,85.713041
-30.47255,126,90.027925
-51.299763,95,90.311306
-11.459971,118,90.687935
-62.091011,91,90.96473
-18.452606,86,91.242666
-34.262483,110,91.595733
-18.933721,84,96.83679
19.240503,120,102.499618
-22.16145,98,102.814448
-36.445757,123,103.217187
-64.343835,123,103.642161
-37.345558,100,103.981283
-21.513524,134,108.101872
-54.814748,105,108.458341
-61.278476,97,108.790503
-73.294839,94,109.115689
-17.7567,102,114.629447
1.75716,122,117.623723
-17.374308,127,118.044891
41.264129,1000,131.053926
-12.5619,109,131.686853
-56.147203,112,138.172122
-33.956684,116,138.973738
26.747863,192,140.408848
10.881385,117,141.370639
-33.920533,150,151.064347
-311.802609,384,154.034862
-5.481456,1000,174.777575
-93.72114,235,177.411042
-3.065708,176,179.333027
-30.014262,199,187.495766
7.36639,121,193.672989
-18.418501,144,195.048982
74.112046,1000,221.266554
39.787966,168,222.469791
19.082045,162,223.843852
88.489639,1000,250.342497
-26.420768,123,251.561456
32.8449,1000,286.061711
118.167527,1000,315.539735
6.440183,157,328.789204
-61.43189,311,337.743821
27.365713,1000,386.234467
-52.440317,181,388.337946
174.072403,1000,441.615506
8.573978,249,444.496455
120.645715,1000,497.380658
78.238958,218,500.473146
-6.313104,269,503.944659
109.265553,1000,556.770355
80.927766,1000,606.280034
13.993104,255,614.394294
169.119125,1000,653.32671
114.513252,1000,679.840462
21.411707,254,689.58451
140.159628,1000,713.477561
21.961343,224,722.598966
128.763481,1000,746.956836
118.235008,1000,776.850143
122.252292,1000,800.473063
-34.386927,248,810.126942
159.205212,1000,835.277857
140.825968,1000,865.591566
106.923899,1000,896.149399
112.391984,1000,920.545644
129.775269,1000,952.819932
0.066704,242,955.071532
146.65348,1000,992.509561
113.49694,1000,1020.480811
119.837805,1000,1056.356382
138.557799,1000,1084.778447
90.906033,1000,1120.042597
129.403211,1000,1153.716177
136.178601,1000,1179.932051
101.191762,1000,1215.912935
164.491099,1000,1244.620333
113.869473,1000,1277.223083
163.817149,1000,1309.078582
121.080762,1000,1334.22254
119.471443,1000,1365.520982
114.740914,1000,1390.292776
150.030243,1000,1417.321723
130.389895,1000,1444.201122
171.566514,1000,1466.282093
-26.48643,287,1474.20818
154.555283,1000,1496.505707
144.259974,1000,1521.911006
143.367658,1000,1548.879034
178.268077,1000,1569.371006
166.791066,1000,1592.96044
142.714952,1000,1612.643771
142.140726,1000,1637.552135
186.590785,1000,1663.438996
161.501946,1000,1683.650908
