#{"t_start": 1614710446.8474045, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-136.769576,95,0.790627
-308.894966,178,2.002449
-214.620644,157,3.088514
-481.281745,99,3.7662
-125.401345,200,6.390736
-174.662304,182,7.6053
-128.596035,71,8.086171
-144.700181,155,14.772612
-87.587827,81,15.317474
-214.328984,130,16.733647
-122.682514,142,17.696776
-126.214711,123,18.516708
-68.922973,76,19.084062
-283.154058,162,20.413381
-297.396843,90,21.787491
-83.1933,195,29.51953
-129.029089,133,30.912051
-93.18879,104,32.034992
-111.904948,86,32.943012
-120.997073,157,34.803175
-64.723064,71,35.304908
-286.677684,148,36.436163
-349.716934,128,37.437511
-108.744825,93,38.113553
-167.942342,134,45.695998
-47.359753,112,46.502943
-400.853851,125,47.42234
-96.977754,149,48.497807
-93.666819,128,49.432981
-126.68521,83,50.855603
-24.909568,88,51.593753
-34.573302,90,52.389946
-82.517563,104,53.353719
-87.101542,81,59.952639
-50.847407,144,61.418744
-48.993477,145,63.92266
-386.427968,155,65.546801
-180.816985,94,66.316281
-32.363412,101,67.23692
-127.120689,174,68.971862
-78.172109,98,70.985368
-38.430396,109,78.0496
-155.497735,147,79.78691
-74.814479,134,80.866123
-62.147716,105,81.705688
-94.751929,85,83.316887
-158.933895,121,84.299607
-118.736372,102,85.022154
-31.604158,104,85.752655
-58.919218,108,86.573452
-85.868024,104,93.18953
-33.528779,132,95.214636
-151.072628,96,95.860419
-84.606877,104,96.560419
-40.249424,99,97.270604
-48.719104,130,98.15257
-97.44564,101,98.840604
-44.692671,83,100.538535
-34.59576,92,101.301731
-58.091217,92,102.041172
-37.060929,110,108.716357
-32.089281,122,109.649618
-27.393557,154,110.958952
-6.216745,102,112.993739
-15.432395,107,114.040197
-46.42598,165,115.753181
-91.00562,129,117.045891
-48.822201,111,117.879969
-39.431167,127,125.788485
-37.465722,99,126.729499
-32.696811,87,127.601161
-11.145973,159,129.161786
-9.598524,117,130.306605
-18.743752,109,142.276341
-35.874713,105,143.47502
-125.32572,139,144.833299
-91.388215,102,145.552779
48.614735,172,152.56632
8.24602,103,154.860896
32.16983,96,155.648006
-64.291274,127,156.733093
-40.590146,104,157.683898
9.843223,110,158.750689
-43.764156,113,159.918642
12.597756,137,173.076869
-34.313142,106,174.562416
7.16907,139,182.273635
-44.430264,93,183.745725
37.883217,121,186.021956
-19.589952,151,198.188755
15.087391,97,200.070242
-1.317483,134,203.020115
9.192697,129,205.498092
9.707359,106,207.687505
-34.610335,108,218.723413
21.707583,175,221.733605
-8.528997,137,223.990815
0.686238,107,225.403321
41.551214,116,227.30864
31.802713,103,232.519198
1.864807,105,234.492213
-51.785998,143,237.310649
9.481466,169,247.205927
48.970237,119,250.611387
26.771725,116,262.245431
63.085907,1000,303.801517
60.142533,1000,354.224403
36.914431,128,357.057988
34.067538,170,361.976657
-29.204199,1000,418.599088
-19.199944,173,424.032936
33.213997,182,431.037612
52.513342,121,438.817178
57.891465,1000,481.294502
83.197652,1000,528.920994
76.529441,1000,573.162016
76.961558,1000,623.612586
83.956911,1000,671.735424
30.15412,1000,720.765562
44.296913,1000,770.221695
72.616551,1000,812.806847
58.802716,1000,864.843474
77.981843,1000,911.734587
88.56457,1000,955.745885
75.357334,1000,1006.779478
-257.608816,504,1033.497493
115.658522,1000,1077.738542
28.384777,1000,1128.82425
34.977885,1000,1169.934843
69.938207,1000,1215.909143
80.232693,1000,1262.110092
51.42668,1000,1301.339252
102.434689,1000,1347.426504
115.939665,1000,1386.59426
54.471373,1000,1426.439969
71.08009,1000,1472.750894
77.453416,1000,1512.922882
104.94779,1000,1554.385004
101.709753,1000,1592.227561
121.614638,1000,1634.415169
33.404679,1000,1679.730706
109.580694,1000,1720.204308
156.666314,1000,1763.472405
146.284129,1000,1802.919853
110.263441,1000,1843.523663
49.089865,210,1850.053725
138.841967,1000,1893.37781
122.076736,1000,1937.406987
104.162353,1000,1978.643508
167.96215,1000,2023.587396
139.562929,1000,2062.375537
108.458318,1000,2111.904917
159.271608,1000,2155.527739
130.461388,1000,2192.781931
158.583781,1000,2231.76456
174.244165,1000,2265.155173
137.571432,1000,2303.51202
127.826225,1000,2340.907972
136.276093,1000,2375.667832
131.907277,1000,2413.957595
189.704353,1000,2446.559338
