#{"t_start": 1614619328.3427496, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.850235
-195.0,195,4.765152
-169.0,169,6.54792
-187.0,187,9.551464
-176.0,176,11.304338
-140.0,140,12.731776
-168.0,168,14.438571
-199.0,199,17.555653
-151.0,151,19.111902
-123.0,123,20.239805
-154.0,154,21.779517
-116.0,116,23.953501
-99.0,99,24.955663
-94.0,94,25.943743
-158.0,158,27.514551
-157.0,157,29.075758
-168.0,168,31.783508
-159.0,159,33.353945
-178.0,178,35.093193
-88.0,88,36.010787
-151.0,151,38.395985
-151.0,151,39.945719
-151.0,151,41.38539
-151.0,151,42.92761
-152.0,152,45.436011
-152.0,152,46.973809
-151.0,151,48.413375
-148.0,148,49.844893
-87.0,87,50.761828
-150.0,150,53.227879
-155.0,155,54.788293
-150.0,150,56.222759
-153.0,153,57.770907
-87.0,87,59.478592
-89.0,89,60.39652
-165.0,165,62.035171
-97.0,97,62.984936
-155.0,155,64.544288
-87.0,87,66.347151
-85.0,85,67.252632
-157.0,157,68.708468
-163.0,163,70.400802
-90.0,90,71.221838
-151.0,151,73.805694
-155.0,155,75.253746
-156.0,156,76.807174
-149.0,149,78.236771
-150.0,150,80.880181
-153.0,153,82.326286
-96.0,96,83.270863
-157.0,157,84.832718
-150.0,150,86.36624
-94.0,94,88.357887
-87.0,87,89.269159
-152.0,152,90.705467
-154.0,154,92.255526
-151.0,151,93.69295
-87.0,87,95.633341
-149.0,149,97.53291
-85.0,85,98.332421
-150.0,150,99.867066
-89.0,89,100.68807
-151.0,151,103.270077
-161.0,161,104.833956
-156.0,156,106.366437
-92.0,92,107.182153
-152.0,152,109.629126
-87.0,87,110.417694
-151.0,151,111.944976
-151.0,151,113.367369
-159.0,159,114.903646
-86.0,86,116.851891
-98.0,98,117.786246
-155.0,155,119.213908
-94.0,94,120.137795
-152.0,152,121.656725
-155.0,155,124.124206
-163.0,163,125.765154
-158.0,158,127.190881
-87.0,87,128.081349
-152.0,152,129.492777
-152.0,152,131.940749
-86.0,86,132.732392
-85.0,85,133.620938
-149.0,149,135.023104
-158.0,158,136.556312
-85.0,85,138.21391
-150.0,150,139.610295
-172.0,172,141.29069
-112.0,112,142.362881
-157.0,157,144.853236
-152.0,152,146.352077
