#{"t_start": 1614619328.3311796, "env_id": "MountainCarContinuous-v0"}
r,l,t
97.027775,328,2.591098
97.616289,409,4.932336
94.193633,413,7.242365
89.78058,558,10.380547
89.504623,299,12.046483
91.499372,162,12.99284
91.70387,179,13.997763
92.683382,164,14.901955
82.170924,442,17.41967
92.408503,164,18.323538
88.348687,222,19.575605
88.207002,177,20.5645
90.545711,163,21.470967
82.879039,339,23.411039
85.927495,285,25.022599
92.022375,162,25.964009
87.938923,218,27.188534
88.473158,225,28.454049
89.943369,299,30.121432
86.790504,367,32.208986
89.222389,296,33.887259
92.120783,261,35.373671
91.851309,153,36.242089
88.806538,243,37.59218
91.627387,158,38.486896
87.561277,241,39.843863
91.197815,148,40.699052
91.38164,156,41.565213
89.099905,177,42.557312
90.918845,178,43.59359
87.596073,277,45.131342
88.264837,266,46.678424
89.088282,260,48.127565
88.329206,233,49.438114
88.327792,167,50.394775
88.241152,168,51.338284
88.023864,159,52.243522
86.877399,172,53.197229
85.715554,183,54.232898
85.426234,178,55.263959
86.72948,161,56.162096
87.076224,158,57.021566
87.412047,158,59.054916
85.983923,173,60.036561
85.590657,182,61.074142
86.385072,173,62.020542
89.487723,160,62.931776
80.520482,295,64.608022
69.387509,458,67.187994
27.905904,939,72.501485
72.591587,415,74.836127
83.274916,224,76.097456
84.337013,226,77.354914
83.351677,262,78.827248
88.521652,167,79.728442
90.265885,161,80.664821
84.472499,202,81.799805
85.890544,202,82.926213
89.910158,142,83.734376
87.261176,172,84.679927
84.641446,193,85.757947
85.898796,198,86.886265
78.641022,341,88.831107
84.031761,197,89.909084
83.894947,197,91.022137
39.285293,893,96.034738
77.661353,673,99.761302
91.501505,231,101.043597
90.173216,228,102.285908
86.418109,346,104.211199
88.555431,360,106.204862
90.913195,212,107.400055
91.771292,215,108.596101
92.305155,201,109.712267
89.477172,214,110.902986
89.527193,217,112.112144
92.529474,115,112.735907
91.163657,132,113.480197
