#{"t_start": 1652831758.8159873, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
330.0,2042,7.204991
200.0,1922,10.866594
290.0,2010,14.65999
200.0,1850,18.22049
240.0,2258,22.423098
1190.0,3298,33.651174
510.0,2034,37.515463
720.0,2650,42.52699
1390.0,3378,49.01225
600.0,2978,54.733829
640.0,2834,64.848443
450.0,2250,69.260634
280.0,2570,74.157791
650.0,2666,79.238547
1340.0,2970,84.946966
650.0,2658,94.861629
660.0,2882,100.159728
440.0,2746,105.441334
420.0,1914,108.905572
310.0,2042,112.740252
590.0,2434,123.061138
490.0,2426,127.706318
1010.0,2042,131.567641
360.0,1778,134.846357
630.0,2442,139.484304
670.0,2378,148.453754
800.0,2554,153.296781
960.0,3570,160.071819
650.0,2442,164.701008
450.0,3858,177.13594
350.0,1914,180.769052
490.0,2290,185.18551
560.0,2490,189.765269
560.0,2722,195.019347
530.0,2482,199.635542
420.0,2178,209.152715
540.0,2834,214.428158
450.0,2330,218.918693
540.0,2650,223.895163
540.0,2722,229.021999
430.0,1914,238.549068
470.0,1914,242.033943
340.0,1722,245.408943
360.0,2410,249.854621
1820.0,2746,255.161674
640.0,2786,264.99576
1060.0,2226,269.162266
1120.0,2698,274.368191
710.0,3362,280.673334
510.0,1898,284.320496
750.0,4282,297.628849
320.0,1938,301.295451
470.0,1970,305.03489
620.0,3002,310.5438
570.0,2482,315.24492
500.0,2458,325.901372
380.0,2314,330.340524
430.0,2002,334.015378
300.0,2194,338.305493
300.0,1522,341.22136
1330.0,3010,346.823682
530.0,2354,356.211858
980.0,3786,363.403209
380.0,2474,368.177768
380.0,2602,373.16118
370.0,1634,380.306352
790.0,3170,386.314597
840.0,2842,391.842448
850.0,2258,396.103356
830.0,3778,403.412273
460.0,2066,412.147717
750.0,2506,416.762002
650.0,3106,422.670044
1050.0,2522,427.499002
320.0,2314,431.97102
620.0,2418,440.822395
160.0,1122,442.897767
400.0,1890,446.351811
530.0,2450,451.039258
450.0,1850,454.633
1100.0,3242,460.747507
270.0,1794,469.996667
1150.0,3154,475.962783
610.0,2418,480.622425
510.0,1802,484.124949
660.0,1986,487.920628
370.0,2298,497.013321
450.0,1762,500.271223
580.0,2394,504.867548
640.0,2090,508.795299
520.0,1826,512.331078
400.0,2362,516.718299
530.0,2594,527.131273
1150.0,2906,532.682387
550.0,2242,536.888777
1050.0,2570,541.762365
780.0,2794,546.989802
560.0,2426,556.665272
680.0,2466,561.38249
830.0,2394,565.784679
1250.0,3562,572.595759
540.0,2426,577.259864
760.0,2194,585.80388
530.0,2378,590.421682
400.0,1586,593.428936
420.0,1962,597.180956
650.0,2234,601.400306
590.0,2354,605.963981
540.0,2194,614.832634
1210.0,2538,619.707304
800.0,2626,624.687615
600.0,2202,628.84575
640.0,2170,632.989823
250.0,2002,641.668377
430.0,1706,644.893161
390.0,1482,647.724488
1090.0,2762,653.13312
800.0,2306,657.484992
500.0,2378,662.102806
1200.0,3114,673.717154
740.0,2914,679.218128
700.0,2658,684.453272
440.0,1762,687.703568
750.0,2274,691.937245
610.0,2354,701.169537
570.0,3538,707.959312
880.0,2906,713.358076
700.0,2962,719.060449
440.0,1786,722.557782
420.0,1674,730.87189
1100.0,2402,735.312519
970.0,3066,741.155672
