#{"t_start": 1614621347.154917, "env_id": "Pendulum-v0"}
r,l,t
-1825.589992,200,0.420751
-1552.893206,200,0.616663
-1168.746279,200,0.81242
-1283.332209,200,1.008616
-1332.489772,200,1.204273
-1571.913299,200,1.400384
-1271.204938,200,2.389831
-836.808448,200,2.58519
-876.349264,200,2.782475
-1323.210744,200,2.978766
-1701.820438,200,16.074089
-1170.348068,200,16.270048
-930.45056,200,17.245472
-1633.755065,200,17.441256
-863.174124,200,17.636911
-1063.451159,200,17.834325
-1020.582446,200,18.030847
-896.464799,200,18.226136
-1706.746582,200,19.187424
-1823.381089,200,19.382817
-1534.67471,200,32.465123
-1124.664209,200,32.671607
-1489.031016,200,32.867713
-920.618386,200,33.063327
-1414.638228,200,33.258375
-862.662542,200,34.220744
-1078.772611,200,34.416077
-1467.959808,200,34.611214
-1323.930016,200,34.80651
-878.422446,200,35.001673
-997.413573,200,48.091881
-865.209176,200,49.096243
-914.553539,200,49.291548
-1606.918269,200,49.487135
-1017.621429,200,49.682643
-1115.375267,200,49.877883
-1338.220395,200,50.073407
-967.473474,200,51.03744
-1311.891496,200,51.232932
-732.049162,200,51.428384
-871.260675,200,64.517406
-909.115562,200,64.78504
-908.585687,200,64.980748
-1023.897887,200,65.957018
-974.184711,200,66.152574
-1151.50234,200,66.347825
-806.820674,200,66.543165
-1017.819315,200,66.738503
-755.453169,200,66.934092
-1025.047616,200,67.129648
-1351.605402,200,68.095944
-1264.569529,200,81.200562
-1029.832921,200,81.396491
-885.698457,200,81.592068
-1360.395723,200,81.787519
-888.696362,200,81.983142
-1242.638434,200,82.951091
-1469.645923,200,83.146623
-1283.852512,200,83.34208
-1341.984852,200,83.538348
-971.74465,200,83.734176
-1070.910374,200,96.839492
-1046.242863,200,97.813245
-853.004923,200,98.009235
-892.563733,200,98.206472
-1014.061699,200,98.403657
-1093.189781,200,98.652727
-763.12102,200,98.848054
-1038.476219,200,99.811073
-1286.999136,200,100.006625
-1592.724977,200,100.202024
-1205.791055,200,113.108797
-982.426044,200,113.340534
-884.034404,200,113.535652
-1458.593903,200,113.730866
-911.296222,200,114.697436
-882.841822,200,114.892111
-1375.681903,200,115.086929
-915.568418,200,115.28164
-896.053333,200,115.476366
-1369.419213,200,115.671206
-1040.323932,200,129.317477
-990.656048,200,129.579455
-1057.813655,200,129.774874
-1097.141751,200,129.970052
-1103.660053,200,130.165214
-990.368067,200,130.36024
-760.045751,200,131.32637
-1018.420021,200,131.521517
-1049.251739,200,131.716935
-1009.812845,200,131.91145
-1326.574659,200,132.106474
-1046.538866,200,145.058557
-1346.984545,200,146.021307
-1044.545084,200,146.216319
-1020.006783,200,146.411396
-1098.432551,200,146.606843
-1103.184149,200,146.802323
-1117.664551,200,146.997565
-1064.621436,200,147.193045
-1051.754968,200,148.158602
-1356.713557,200,148.353478
-1187.722052,200,161.269409
-1128.505114,200,161.465751
-1007.088404,200,161.660563
-1045.208355,200,161.855303
-1040.016741,200,162.819785
-1041.155977,200,163.015516
-1009.574091,200,163.210303
-1032.050549,200,163.405193
-1130.864644,200,163.60012
-1274.914384,200,163.794928
-901.13294,200,177.443208
-1189.266112,200,177.669906
-1080.671207,200,177.86571
-1109.698908,200,178.061475
-1294.023899,200,178.256352
-1255.686639,200,178.451538
-1155.140546,200,179.417246
-1170.829406,200,179.612464
-1145.553,200,179.807617
-1084.803386,200,180.002457
-1174.252173,200,192.865148
-1110.180838,200,193.122174
-1351.154545,200,193.317077
-1098.286527,200,194.283436
-1237.024334,200,194.478573
-1185.601414,200,194.673843
-1063.347412,200,194.870085
-1087.87622,200,195.06554
-1038.368105,200,195.260592
-1235.54,200,196.223567
-1248.534176,200,196.418617
-964.7991,200,209.352052
-1111.729064,200,209.547467
-1172.195184,200,209.742405
-1040.506862,200,209.937428
-1014.299331,200,210.902643
-1097.475951,200,211.097682
-1098.693464,200,211.292986
-1119.278145,200,211.488056
-1111.82612,200,211.683262
-1106.019501,200,211.878443
-994.591105,200,225.599951
-1091.103796,200,225.79506
-1034.041936,200,225.990215
-1090.531272,200,226.185199
-1326.68017,200,226.380313
-985.288234,200,226.575643
-1050.147099,200,226.771089
-1048.191119,200,227.736742
-1034.513638,200,227.932539
-1057.540086,200,228.127964
-1056.935493,200,241.029101
-1123.934651,200,241.251185
-987.127984,200,241.447148
-1115.25072,200,242.410912
-1014.32024,200,242.605399
-1018.655081,200,242.80028
-1133.525483,200,242.995905
-1130.686603,200,243.190424
-1097.838959,200,243.385211
-1056.712532,200,244.346129
-1029.917666,200,257.196826
-1095.375551,200,257.448306
-1278.587863,200,257.64318
-1268.084838,200,257.837877
-1035.14498,200,258.03361
-1029.828015,200,258.995983
-1061.338949,200,259.190698
-1044.930985,200,259.385661
-1130.258502,200,259.580384
-1137.81458,200,259.774829
-1459.864089,200,259.969509
-1032.818634,200,272.893118
-1135.427618,200,273.859053
-1039.191843,200,274.054066
-1100.952508,200,274.249389
-1041.722925,200,274.444716
-1032.448336,200,274.639775
-908.829105,200,274.834949
-1079.845703,200,275.80019
-1156.002399,200,275.995678
-1184.975433,200,276.191158
-917.913909,200,289.110146
-1032.346962,200,289.305938
-1019.016624,200,289.501235
-985.262843,200,290.46776
-1185.263294,200,290.663366
-1086.485849,200,290.858562
-1121.178227,200,291.054084
-1289.292036,200,291.249083
-966.242966,200,291.444127
-1121.520747,200,292.407525
-1009.368809,200,305.324717
-883.200431,200,305.541414
-1091.894269,200,305.741348
-1033.988062,200,305.97633
-1020.66189,200,306.211173
-1117.796584,200,306.445985
-1094.902234,200,307.415595
-909.474131,200,307.610849
-1115.178176,200,307.806304
-1019.098439,200,308.002429
-1125.110365,200,320.873625
-915.394063,200,321.120503
-1179.476457,200,322.084984
-988.919262,200,322.280572
-1027.45406,200,322.476078
-994.994011,200,322.671391
-1031.256328,200,322.866623
-901.543648,200,323.063048
-993.307789,200,324.025956
-988.036017,200,324.220986
-1019.735762,200,324.416165
-1122.543455,200,337.343826
-1031.017005,200,337.53938
