#{"t_start": 1614621946.4322774, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,5027,52.557298
-21.0,3880,128.454547
-21.0,3656,201.6561
-20.0,4385,279.317924
-21.0,4260,362.767694
-20.0,3370,397.171766
-20.0,3988,472.831384
-21.0,3605,546.562047
-21.0,3656,621.063834
-21.0,3613,659.577074
-21.0,3780,735.488234
-21.0,3617,809.833264
-20.0,4524,894.24698
-20.0,3481,932.243874
-19.0,4573,1016.411092
-21.0,3300,1085.136162
-20.0,3479,1155.978058
-20.0,4333,1235.37386
-21.0,3131,1268.641713
-21.0,3296,1337.453898
-20.0,3588,1412.763017
-19.0,3755,1452.058987
-20.0,4349,1534.430529
-21.0,3296,1601.791912
-21.0,3851,1676.390316
-21.0,4380,1724.697823
-20.0,3577,1798.180036
-21.0,3788,1870.870425
-19.0,3661,1947.538287
-20.0,3923,1990.50933
-21.0,3900,2064.221893
-20.0,3847,2139.860245
-18.0,4182,2217.46188
-21.0,3408,2255.004408
-20.0,4206,2331.483002
-20.0,3719,2405.763733
-21.0,3853,2482.856071
-21.0,4024,2555.449519
-20.0,3675,2597.400275
-17.0,4562,2677.626284
-19.0,5027,2769.449399
-19.0,4470,2853.332196
-20.0,4406,2935.311626
-21.0,3544,3008.979242
-20.0,3609,3047.37365
-20.0,3901,3127.689156
-21.0,3131,3198.198424
-20.0,4702,3286.691999
-19.0,4071,3373.215541
-21.0,4123,3417.314821
-17.0,5001,3512.902266
-18.0,4852,3605.353427
-18.0,6000,3757.781933
-18.0,4939,3849.914925
-20.0,5109,3956.421941
-19.0,4589,4005.849155
-15.0,6289,4187.617744
-17.0,6350,4310.008228
-18.0,7257,4444.127402
-18.0,5399,4565.494166
-18.0,6136,4751.782374
-19.0,6037,4890.410692
-20.0,5624,5020.647815
-19.0,6242,5161.205645
-12.0,10912,5424.577263
-18.0,7410,5661.590834
-11.0,9896,5918.397025
-19.0,7168,6080.881545
-10.0,12070,6483.621242
-13.0,12246,6801.274362
-13.0,9984,7099.176632
-8.0,13990,7533.38883
-18.0,9700,7838.975911
-17.0,8920,8118.275957
-19.0,8470,8288.624496
-10.0,12508,8686.530033
-20.0,6812,8862.259773
-5.0,14558,9294.354866
-8.0,12751,9698.268686
-16.0,8382,9885.498392
-7.0,11824,10270.704572
1.0,13230,10586.443792
-1.0,14473,11012.622176
-20.0,6408,11262.748573
4.0,11382,11557.625199
-7.0,12319,11876.239219
-14.0,9532,12164.073668
-14.0,9561,12440.669658
-14.0,9712,12740.247027
7.0,10856,13057.957177
-2.0,13526,13503.658042
5.0,13046,13838.356869
-14.0,9324,14134.61114
-3.0,13954,14582.958988
-13.0,9187,14874.759272
6.0,14908,15355.398467
-8.0,11206,15662.456317
6.0,12482,16119.777292
-10.0,11155,16456.952273
-10.0,10916,16815.099426
5.0,15477,17335.331563
6.0,14538,17832.340058
-4.0,12497,18305.462048
8.0,14251,18681.524415
-14.0,10018,19025.097757
11.0,12703,19521.241858
9.0,13374,20035.7691
2.0,15689,20590.602702
10.0,12553,20994.087338
-13.0,11602,21544.68663
4.0,15048,22099.790523
2.0,20153,22932.081853
3.0,17640,23535.242878
11.0,15700,24053.26287
16.0,10561,24397.110401
19.0,9522,24712.6573
9.0,14247,25186.331171
9.0,12177,25593.467826
16.0,8402,25780.382894
17.0,8639,26056.941594
10.0,10057,26338.776037
14.0,10666,26616.518461
19.0,7437,26845.699869
18.0,7261,26998.334825
18.0,8278,27224.135369
19.0,7843,27375.719668
20.0,7077,27589.86369
19.0,7120,27735.854648
18.0,7774,27959.365503
19.0,7948,28111.894757
18.0,7494,28326.941282
16.0,8286,28487.982736
17.0,7813,28709.627016
20.0,7077,28852.989046
20.0,6685,29056.719997
18.0,8322,29213.089772
16.0,8103,29444.625436
18.0,7649,29596.805716
20.0,6931,29804.307729
21.0,6695,29946.292448
20.0,7113,30150.205642
18.0,7939,30295.041852
19.0,7306,30503.061332
19.0,7045,30651.919204
20.0,6668,30788.22296
15.0,8669,31027.738223
19.0,6955,31168.711946
19.0,7037,31382.222475
20.0,6751,31523.749505
20.0,7012,31728.968624
20.0,6908,31868.374057
20.0,7149,32004.315223
16.0,8261,32222.470584
20.0,7216,32366.670744
21.0,6876,32565.231698
17.0,7972,32711.327567
20.0,7156,32914.981882
20.0,7062,33053.67926
21.0,6877,33254.54266
21.0,6695,33388.904021
18.0,8431,33606.071848
21.0,6877,33739.420126
21.0,6695,33874.422529
20.0,6931,34075.384503
20.0,7262,34215.952503
19.0,6973,34415.657013
19.0,7534,34555.644481
19.0,7116,34756.488098
18.0,8294,34906.645987
20.0,6972,35111.446895
21.0,6701,35246.338371
20.0,7356,35383.953713
21.0,6876,35580.147369
21.0,6621,35710.928366
18.0,7441,35908.879696
21.0,6695,36042.591722
21.0,6701,36174.062826
21.0,6701,36367.337655
21.0,6621,36497.553167
21.0,6621,36628.600266
20.0,6900,36820.884026
21.0,6701,36952.45787
19.0,7398,37091.807046
20.0,6900,37283.611698
21.0,6701,37413.894037
20.0,6906,37549.278252
20.0,6829,37742.364841
20.0,6969,37882.174297
19.0,6955,38079.912483
19.0,7041,38215.324111
20.0,6904,38349.101947
21.0,6695,38540.782583
21.0,6621,38670.71681
20.0,6903,38805.443709
21.0,6695,38996.770191
21.0,6701,39127.588897
20.0,6906,39261.344183
21.0,6701,39457.327093
21.0,6878,39592.425906
20.0,7150,39787.350698
21.0,6701,39917.256448
21.0,6619,40046.800666
21.0,6619,40232.735315
21.0,6701,40368.807147
20.0,6906,40500.229887
20.0,6833,40692.418701
21.0,6621,40822.684266
21.0,6701,40953.366343
19.0,7023,41152.380646
20.0,6904,41283.037945
21.0,6695,41414.490455
21.0,6701,41604.126354
21.0,6695,41734.899057
21.0,6619,41863.955352
