#{"t_start": 1614622062.1676908, "env_id": "QbertNoFrameskip-v4"}
r,l,t
0.0,1133,13.135769
125.0,1554,25.06853
175.0,1324,39.010154
225.0,1400,63.904344
150.0,1275,74.688349
200.0,1305,85.759305
300.0,1437,100.152264
150.0,1079,120.718529
175.0,1335,134.844029
25.0,1204,145.340478
175.0,1253,155.974947
325.0,1625,182.557305
150.0,1263,196.239769
275.0,1470,207.854104
175.0,1418,222.10906
225.0,1325,244.424976
350.0,1340,258.563223
250.0,1365,272.853254
275.0,1340,284.07259
625.0,1912,314.473241
175.0,1134,324.822939
350.0,1550,339.844217
425.0,1595,365.207548
275.0,1369,376.621958
275.0,1660,392.128622
250.0,1277,406.005786
275.0,1232,428.399261
225.0,1190,439.158753
250.0,1255,453.018424
350.0,1620,468.37923
275.0,1730,494.871569
325.0,1235,505.669502
250.0,1377,519.897242
150.0,1064,530.003033
350.0,1235,550.851518
350.0,1285,564.751103
275.0,1400,576.313202
250.0,1434,590.947363
275.0,1225,613.107983
275.0,1147,623.651392
275.0,1220,637.378015
275.0,1347,648.648732
275.0,1550,673.868153
250.0,1280,684.803988
325.0,1665,700.32399
300.0,1230,724.507583
300.0,1162,735.105235
350.0,1607,750.509472
275.0,1290,761.683766
375.0,1635,787.10939
325.0,1295,801.147035
425.0,1565,816.351408
325.0,1620,831.700441
275.0,1375,853.002278
300.0,1375,867.457412
250.0,1325,878.768423
300.0,1240,892.630379
350.0,1627,918.632541
200.0,1510,933.699186
400.0,1602,948.961262
350.0,1455,972.611844
200.0,1172,986.01182
175.0,1103,996.235678
300.0,1287,1007.242828
150.0,1205,1028.829002
225.0,1222,1042.473137
275.0,1382,1053.737419
200.0,1260,1064.640929
200.0,1330,1090.519465
325.0,1355,1104.852632
200.0,1172,1115.413677
250.0,1295,1126.501572
275.0,1225,1147.456457
375.0,1439,1162.062461
225.0,1300,1173.058087
375.0,1650,1191.440999
425.0,1582,1217.500685
300.0,1400,1228.99657
250.0,1304,1243.091602
300.0,1275,1254.12513
325.0,1455,1280.560141
325.0,1599,1295.977638
225.0,1237,1306.875978
225.0,1078,1317.021906
300.0,1230,1338.264183
275.0,1505,1353.125753
175.0,1172,1363.695389
275.0,1250,1377.491213
275.0,1235,1398.919467
275.0,1250,1409.88699
175.0,1185,1420.546991
275.0,1375,1435.021473
275.0,1405,1460.33288
275.0,1340,1471.636425
300.0,1240,1485.572042
400.0,1440,1497.289372
250.0,1610,1523.055483
350.0,1610,1538.457231
350.0,1265,1552.292644
250.0,1352,1574.166178
375.0,1500,1589.165772
250.0,1525,1604.30221
525.0,1315,1615.459169
375.0,1622,1641.611802
300.0,1547,1656.815852
175.0,1260,1670.730635
400.0,1880,1699.130541
300.0,1545,1714.205115
200.0,1272,1728.17957
300.0,1232,1739.021601
325.0,1232,1762.275149
375.0,1705,1778.0811
325.0,1654,1793.732574
250.0,1300,1819.84514
375.0,1774,1835.738088
475.0,1695,1851.314568
225.0,1245,1865.141427
225.0,1357,1889.629875
275.0,1675,1905.224088
325.0,1682,1923.852048
200.0,1414,1948.049898
225.0,1375,1962.365638
300.0,1360,1973.759994
250.0,1265,1987.664057
350.0,1555,2015.024938
300.0,1552,2030.083959
300.0,1554,2042.131365
