#{"t_start": 1614939459.0633156, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-21.760296,150,2.787757
0.000471,150,3.121036
-14.806794,150,3.452146
-20.929044,150,10.05454
-2.605647,150,10.385073
-5.47747,150,10.710688
-7.807781,150,17.900106
-30.461978,150,18.286795
-4.501797,150,20.146921
4.951145,150,20.528303
-43.847024,150,28.37608
-34.635266,150,28.761344
-11.973962,150,29.144213
-41.274113,150,36.996593
-19.896612,150,37.3791
-5.276765,150,37.766303
-26.948581,150,39.590778
-6.465757,150,47.446666
-11.553976,150,47.829813
16.516039,150,48.215968
-4.39601,150,56.07643
-8.950919,150,56.462558
4.767866,150,56.845694
10.018921,150,64.716826
-5.693316,150,65.096962
-17.221489,150,66.952974
10.485157,150,67.336053
5.207011,150,75.197081
6.275805,150,75.580368
4.722716,150,75.966667
-9.043851,150,83.825068
-15.989537,150,84.210758
10.600798,150,84.593123
-11.392202,150,86.44119
-13.563523,150,94.291369
6.984907,150,94.677032
3.094307,150,95.057251
-9.525004,150,102.869924
10.13777,150,103.253359
17.410322,150,103.637698
3.997672,150,111.436191
-17.190942,150,113.247111
-4.165294,150,113.625852
-11.715783,150,114.010514
-0.228432,150,121.961564
-18.051315,150,122.342738
-4.608269,150,122.72672
-7.746234,150,130.529025
11.291262,150,130.913445
1.2532,150,131.29202
-18.261793,150,133.100814
-1.341229,150,141.03407
10.607254,150,141.419416
-3.230973,150,141.79809
5.135247,150,149.7289
-6.732633,150,150.106175
-10.702729,150,150.489181
-7.168316,150,150.866728
-16.103602,150,160.048611
-7.777698,150,160.431289
-18.343662,150,160.808341
13.558883,150,168.550688
-7.205443,150,168.928603
2.589749,150,169.311058
-1.833207,150,177.036545
-9.612519,150,177.415552
-4.948626,150,179.227522
-1.150079,150,179.606591
-0.111826,150,187.368834
11.652273,150,187.750932
-5.023252,150,188.137356
2.053492,150,196.064684
3.161678,150,196.447002
1.540968,150,196.824144
-1.338992,150,197.207865
-21.931782,150,207.006099
9.464052,150,207.385203
4.233846,150,207.765903
-5.123054,150,216.136124
-16.556997,150,216.518087
-15.094605,150,216.896945
12.284465,150,225.276256
-18.308437,150,225.658453
-4.817851,150,227.494996
-4.664183,150,227.87801
-1.511031,150,235.976246
-3.881916,150,236.356184
-11.622861,150,236.738951
-8.106026,150,244.445148
-16.063338,150,244.827432
5.67918,150,245.207454
-0.538924,150,247.016477
6.800668,150,254.726275
-10.966776,150,255.110516
4.482927,150,255.488379
-3.376872,150,263.198483
12.247694,150,263.578339
-1.554599,150,263.962479
4.295581,150,271.660155
12.277308,150,272.043485
-2.638018,150,273.872845
-8.583642,150,274.253182
13.53302,150,281.932516
-4.340584,150,282.315102
12.954659,150,282.693215
6.252065,150,290.412023
5.67927,150,290.789747
10.601409,150,291.171665
10.756673,150,292.971241
3.431417,150,300.679744
-27.31503,150,301.058116
10.826628,150,301.438961
-5.106134,150,309.141956
2.140585,150,309.522513
-1.755157,150,309.90131
15.850351,150,310.282037
-16.64907,150,319.404188
1.116146,150,319.784046
-4.348167,150,320.161395
9.581428,150,327.866982
-4.627759,150,328.243315
-5.620366,150,328.625761
20.656432,150,336.31129
15.176569,150,336.691665
-6.070974,150,337.071252
15.176227,150,338.873811
1.152163,150,346.463306
-1.005211,150,346.84561
2.282929,150,347.222739
1.825791,150,354.92419
16.619074,150,355.300797
21.296187,150,355.682271
-9.770365,150,356.059306
5.704329,150,365.177501
13.853984,150,365.555913
10.460163,150,365.935828
21.188651,150,373.629804
-8.910194,150,374.011072
16.966728,150,374.38955
12.488124,150,382.097796
16.394955,150,382.476816
-1.229794,150,384.288116
9.62826,150,384.669262
-11.625974,150,392.37287
-6.897547,150,392.751248
10.29796,150,393.132769
14.204743,150,400.841812
6.203777,150,401.224855
13.225268,150,401.604333
-29.825099,150,401.984835
1.554276,150,411.131393
21.340874,150,411.513017
2.863991,150,411.893059
9.559789,150,419.606941
2.035257,150,419.984398
5.991012,150,420.366747
16.533598,150,420.744438
20.865103,150,428.450386
-1.15215,150,430.251068
-17.814719,150,430.633906
3.451171,150,438.333963
12.316401,150,438.717448
