#{"t_start": 1615214886.4842908, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,619,8.609821
0.0,565,10.876348
0.0,369,11.950947
0.0,320,13.384156
0.0,416,15.173137
0.0,1062,19.73026
0.0,797,22.844386
0.0,588,25.20311
0.0,428,26.946712
0.0,435,28.74948
0.0,337,29.739082
0.0,691,32.474603
0.0,563,34.662938
0.0,593,36.99144
500.0,2992,49.574227
0.0,616,51.983191
0.0,574,54.276381
1300.0,2793,66.403952
600.0,3362,79.972316
1100.0,1516,86.202389
400.0,2227,95.13231
1500.0,2378,104.90589
1200.0,2823,130.013244
2800.0,3801,145.565592
6000.0,3572,159.92868
100.0,1776,166.832823
2200.0,2070,175.342622
2100.0,1761,182.043778
3200.0,2396,191.934042
1700.0,2056,200.385401
2100.0,1475,206.141999
1200.0,1907,213.327587
2100.0,1656,219.663469
3700.0,3223,242.259827
2000.0,1287,247.504895
2500.0,2074,255.838044
100.0,1709,262.401953
4100.0,3353,276.268055
2200.0,1463,281.823887
3400.0,2557,292.140656
2100.0,1487,298.00348
3900.0,3995,314.350548
1300.0,1654,320.865569
4500.0,2641,331.386491
3500.0,3753,361.791562
300.0,1571,367.725459
3100.0,1829,374.915066
1200.0,1442,380.70787
2700.0,2377,389.954626
2300.0,2435,399.935838
2500.0,3572,414.614158
1400.0,3008,426.53785
2500.0,3225,439.933087
2000.0,3473,453.792048
3200.0,3004,484.547966
2400.0,3048,496.903715
3500.0,3229,509.576934
3200.0,1643,515.793284
1100.0,1464,521.544665
5200.0,3225,534.251332
2500.0,1756,541.427096
2000.0,1356,546.349405
2200.0,1301,551.705645
1000.0,1465,557.253993
2900.0,4597,575.975154
1400.0,4342,606.529066
2100.0,1229,611.302082
1400.0,2164,619.765358
2300.0,3180,632.464935
2200.0,1652,638.794808
2400.0,2189,647.668369
200.0,2037,655.674634
1400.0,1927,663.105669
200.0,1641,669.529193
3200.0,1356,675.089169
4200.0,3057,687.486304
2100.0,1914,708.874906
3500.0,2996,721.035935
1500.0,3356,734.922121
1300.0,1921,742.299723
2000.0,1639,748.645754
2600.0,3235,761.820182
2400.0,2248,770.617785
2700.0,2221,779.467691
2300.0,1710,786.141117
2500.0,1915,793.9384
1700.0,4344,823.442289
1300.0,1755,830.740213
1400.0,2235,839.712302
2500.0,3806,854.768247
2600.0,3109,867.051645
3300.0,1821,874.623286
5400.0,4127,891.294084
5000.0,3026,903.45143
1600.0,1227,908.000404
1500.0,2813,918.943235
1400.0,1532,937.340649
3000.0,1817,944.834618
2300.0,1351,949.921139
1400.0,1185,954.511486
2400.0,1849,961.884265
2600.0,4017,978.379632
3300.0,4120,995.691846
3200.0,4094,1012.636846
2200.0,1835,1019.977869
1300.0,1642,1026.574664
2600.0,2758,1053.095004
3900.0,2526,1063.528334
3000.0,2451,1073.541109
4000.0,2754,1084.597578
1600.0,2226,1094.342182
3100.0,2377,1103.977314
1800.0,1937,1112.090153
4200.0,4620,1131.400777
1800.0,1990,1139.670116
6400.0,3576,1153.791656
3800.0,4244,1191.745709
3200.0,3570,1205.399463
700.0,2174,1214.355232
2900.0,1816,1221.227632
1500.0,1816,1228.8801
5800.0,4178,1245.705803
3400.0,2074,1254.103223
10000.0,4134,1270.820095
5000.0,1759,1277.663153
2500.0,1822,1299.17516
2700.0,1512,1305.500688
8400.0,4175,1322.059196
3000.0,2226,1330.658171
3700.0,2688,1341.517518
6800.0,4342,1358.647101
7300.0,2759,1369.585532
9700.0,4090,1385.986556
8000.0,3822,1420.074283
7000.0,2221,1428.836196
10700.0,4144,1445.525229
10800.0,3778,1460.564056
9600.0,3826,1475.438785
18700.0,4058,1491.218848
10400.0,3782,1506.690863
7100.0,4059,1543.564359
8900.0,3927,1559.907333
6600.0,4240,1576.925944
11100.0,3920,1592.618455
14600.0,4017,1608.20505
6400.0,3701,1622.616518
9600.0,3704,1657.498888
12500.0,3856,1672.637282
11000.0,3825,1688.187536
14100.0,3781,1703.102507
13500.0,3932,1718.690586
14700.0,3735,1734.005055
13600.0,4161,1750.562786
10200.0,4290,1789.591021
9300.0,4001,1805.989856
7200.0,3766,1821.367254
13300.0,3622,1836.234741
15100.0,3998,1852.569571
14800.0,3791,1867.733288
14300.0,3929,1904.74754
12500.0,4074,1920.300113
19600.0,3864,1936.008868
14100.0,3747,1950.934835
6900.0,2612,1961.343698
16600.0,4296,1978.210587
17400.0,3917,1994.080614
10000.0,3808,2030.384368
18100.0,3947,2046.000266
20500.0,3617,2060.284841
10100.0,4163,2077.268728
8900.0,3818,2092.472304
16400.0,4154,2109.009379
18100.0,3733,2124.375358
19300.0,4242,2163.878087
13600.0,4594,2182.609679
23200.0,3519,2196.678876
24300.0,3458,2210.722053
10700.0,3570,2225.483556
17300.0,4005,2242.198476
18400.0,3571,2277.576369
15000.0,3616,2292.161912
15100.0,4018,2307.697379
9000.0,3552,2321.504381
12500.0,3859,2337.158531
14200.0,3535,2350.932662
13700.0,3936,2366.946541
14500.0,3677,2402.671489
9900.0,3634,2417.20547
13200.0,4226,2433.588338
19500.0,3941,2449.286595
17100.0,3685,2463.659932
16700.0,3595,2478.02735
17600.0,4289,2515.080884
13100.0,3621,2529.276338
13900.0,3586,2543.738528
19800.0,3617,2558.172806
17200.0,3674,2572.661286
16100.0,3568,2586.768692
16400.0,3444,2600.485418
19700.0,3696,2615.001618
18900.0,3553,2649.004849
23000.0,3769,2664.454306
21900.0,3467,2677.70023
25400.0,3908,2693.319544
12300.0,3455,2707.117321
12500.0,4188,2723.572154
21500.0,3565,2758.490555
15000.0,3904,2774.204696
16800.0,3516,2788.405657
25400.0,3596,2802.8655
25200.0,3586,2817.152264
24500.0,3694,2832.165953
29500.0,3810,2847.237006
21900.0,3726,2882.987559
21700.0,3583,2897.498623
20400.0,3731,2912.85307
17700.0,3630,2927.314677
23000.0,3540,2940.720903
24300.0,3472,2954.413324
22800.0,3797,2969.160823
16500.0,3343,3002.644991
22500.0,3513,3016.49047
22900.0,3729,3031.199196
25200.0,3463,3044.712364
18300.0,3550,3058.541841
31200.0,3517,3072.405132
31300.0,3432,3086.509022
23500.0,3495,3121.120513
18600.0,3362,3134.805532
24000.0,3456,3148.771182
19300.0,3556,3162.16343
18300.0,3580,3176.884892
18300.0,3382,3191.128963
15300.0,3562,3205.813788
23000.0,3761,3221.074289
43600.0,3618,3256.644323
19200.0,3444,3270.608956
20600.0,3569,3284.58107
22700.0,3407,3298.497379
34800.0,3536,3312.798503
29300.0,3876,3328.229481
22100.0,3634,3342.814192
26700.0,3539,3377.364169
20200.0,3406,3390.827201
21500.0,3668,3405.275118
22800.0,3513,3419.27023
15100.0,3529,3432.8571
23600.0,3503,3446.628003
18000.0,3783,3461.399402
13400.0,3584,3495.959709
26500.0,3533,3510.109709
20100.0,3481,3524.292941
17100.0,3654,3538.773311
35400.0,3403,3552.469608
19900.0,3521,3565.96343
37700.0,3695,3580.059619
31400.0,3615,3614.573249
19400.0,3648,3629.262473
22400.0,3855,3645.245937
15800.0,3930,3660.507202
24500.0,3070,3672.689888
22500.0,3431,3686.30101
28800.0,3619,3700.294521
31500.0,3609,3734.994004
31000.0,3446,3748.777456
24100.0,3435,3762.084606
31500.0,3357,3775.550078
34300.0,3569,3789.725097
22100.0,3506,3802.917746
18300.0,3680,3817.326041
26500.0,3426,3851.237951
37600.0,3568,3865.523495
22100.0,3348,3879.132083
27100.0,3407,3893.409482
31000.0,3415,3907.647013
24300.0,3808,3922.938356
22600.0,3398,3936.702494
26500.0,3982,3973.905529
25700.0,3477,3988.082723
32700.0,3406,4001.567461
25800.0,3550,4015.904869
37600.0,3410,4030.07046
33000.0,3449,4043.514503
28500.0,4019,4059.925109
29200.0,3764,4095.950195
24500.0,3685,4111.269271
24900.0,3420,4124.559049
24600.0,4260,4141.2108
17000.0,3439,4155.367641
22700.0,3749,4170.544545
24300.0,3514,4184.966035
18100.0,4036,4222.894715
32300.0,3888,4238.259133
31100.0,3364,4252.221832
34800.0,4046,4268.304941
39000.0,3423,4281.658867
27700.0,3742,4296.797496
18400.0,3545,4311.367919
26100.0,3743,4347.163039
34900.0,3646,4362.711841
20200.0,4173,4379.858791
27700.0,3580,4393.963649
26600.0,3864,4409.839364
33900.0,3758,4425.078474
23600.0,3747,4440.031879
29900.0,3619,4475.705534
35300.0,3611,4490.43487
29700.0,3565,4505.01389
24500.0,3873,4520.983931
33100.0,3901,4536.548765
23400.0,3663,4551.257001
20200.0,3816,4566.62283
26300.0,3678,4602.640625
24600.0,3928,4618.434741
27500.0,3665,4633.097204
32100.0,3550,4647.514395
26300.0,3889,4663.441398
20900.0,3648,4678.08136
37300.0,3712,4714.268946
25800.0,3487,4728.399791
31000.0,3521,4742.260789
21000.0,3693,4757.26374
31300.0,3890,4772.742721
21300.0,4360,4789.863214
24800.0,3844,4805.308628
22700.0,3715,4841.112767
28200.0,3547,4855.028488
28500.0,3571,4869.219722
30900.0,3898,4884.285385
14600.0,3472,4898.83577
29700.0,3667,4913.668169
30000.0,3514,4928.190728
23600.0,3539,4963.710137
28500.0,3506,4977.23897
22600.0,3698,4991.439345
26100.0,3733,5006.245553
23000.0,3898,5021.536699
24200.0,3785,5036.415118
29500.0,3765,5051.738657
26500.0,3854,5087.87894
26800.0,3664,5102.117841
24400.0,3491,5115.804916
20200.0,3675,5130.189326
18300.0,3458,5143.796521
35000.0,3505,5157.320413
27300.0,3697,5172.336788
27600.0,3611,5206.979831
25200.0,3971,5222.828475
23100.0,3592,5237.055083
17700.0,3575,5251.047729
26800.0,3676,5265.427601
32900.0,3794,5280.122697
17700.0,3434,5293.882421
25900.0,3626,5328.613107
19900.0,3489,5342.632391
20700.0,3461,5356.16513
21000.0,3661,5370.75787
32800.0,4004,5386.744634
26800.0,3706,5401.211314
24800.0,3467,5414.790261
37000.0,3573,5449.66707
25000.0,3734,5464.41035
19600.0,3698,5479.089636
32500.0,3701,5493.844238
18400.0,3711,5509.097588
25800.0,3312,5522.871996
26900.0,3713,5537.762062
23300.0,3812,5573.706112
28100.0,3907,5590.131133
27100.0,3391,5603.73838
19200.0,3624,5618.477695
25000.0,3520,5632.859755
41000.0,3669,5647.871465
23300.0,3769,5663.561399
25600.0,3820,5698.904565
33000.0,3603,5713.54647
27000.0,3617,5728.182739
30700.0,3941,5743.984263
17200.0,3459,5758.349859
36000.0,3835,5774.435051
27700.0,3557,5809.613274
30700.0,3922,5825.583508
21900.0,3515,5839.585053
29600.0,3445,5853.047881
16900.0,3710,5868.12763
32800.0,3745,5883.84151
20300.0,3772,5899.215838
23000.0,3599,5935.966711
21700.0,3938,5951.665202
30000.0,3761,5967.185198
28300.0,3696,5982.509775
30300.0,3542,5997.646691
38000.0,3589,6012.93791
25100.0,3745,6028.695628
27800.0,4303,6069.214598
27500.0,3758,6084.719401
36100.0,3746,6100.418058
18200.0,3734,6115.43404
32000.0,3551,6129.863182
37400.0,4051,6146.143862
33800.0,3877,6162.116868
28900.0,3604,6198.441208
27700.0,3888,6214.182082
38500.0,3538,6228.890877
34100.0,3573,6243.453779
34000.0,3616,6258.063782
28500.0,3579,6272.447637
12400.0,3617,6287.212635
29800.0,4277,6326.83214
40500.0,3771,6342.200696
29500.0,3552,6356.964805
27600.0,3600,6371.609455
29400.0,3513,6385.898235
26600.0,3579,6400.434129
22400.0,3537,6414.859911
37300.0,3827,6452.737217
25500.0,3742,6468.158326
40500.0,3647,6482.943104
25000.0,4179,6500.128859
31700.0,3764,6515.919402
24500.0,3620,6530.653335
30300.0,3936,6567.349455
27500.0,3588,6581.984268
24600.0,3619,6596.71662
31100.0,3733,6611.969574
29300.0,3505,6626.590095
26100.0,3733,6641.860335
36900.0,3666,6656.951559
38500.0,3749,6693.752771
26100.0,3862,6709.053216
33600.0,3469,6723.411223
41500.0,3650,6738.559376
24700.0,3723,6753.731851
39200.0,3757,6768.993465
38300.0,4000,6785.555334
32800.0,3778,6821.339064
51000.0,4120,6838.018942
24100.0,3469,6852.182743
30400.0,3841,6867.714686
27700.0,3663,6882.805406
32000.0,3569,6897.592867
24900.0,3907,6913.65715
41100.0,4499,6953.322131
23600.0,3697,6968.171228
36400.0,3678,6983.082111
27100.0,3511,6997.491327
32700.0,3489,7011.312366
39500.0,3777,7027.088811
32800.0,3788,7063.599537
46000.0,3629,7078.507128
23200.0,3909,7094.238173
28000.0,3459,7108.425858
25900.0,3524,7122.546544
22500.0,3629,7137.221543
23600.0,3617,7151.963706
21600.0,3733,7188.131296
25600.0,3619,7203.007114
21400.0,3533,7217.539134
35200.0,3809,7232.739971
41000.0,3520,7246.99774
30000.0,3755,7262.067721
31000.0,3532,7276.521942
21600.0,3505,7311.668099
23200.0,3486,7325.392319
29500.0,3555,7339.847535
23200.0,3336,7353.73304
28300.0,3581,7368.400067
13800.0,3662,7383.152626
30100.0,3635,7397.798436
30400.0,3772,7433.442366
29700.0,3639,7448.105224
35400.0,4091,7464.996092
30700.0,3825,7480.534927
20800.0,3976,7497.014038
20400.0,3505,7511.687729
16700.0,3971,7527.582845
28200.0,4591,7567.556839
29500.0,3731,7582.917843
38200.0,4001,7599.60707
22900.0,4108,7616.730828
25100.0,3928,7633.097698
19300.0,3628,7648.132226
17800.0,3988,7686.43396
36300.0,3489,7700.731591
21400.0,3662,7715.731706
31600.0,3699,7730.967999
29200.0,3857,7747.18705
21300.0,3680,7762.390979
28700.0,3582,7777.175597
28700.0,4222,7817.005881
31300.0,4173,7834.098502
24900.0,3585,7848.781558
28800.0,3534,7863.370608
25200.0,3670,7878.167665
38500.0,3728,7893.301415
26000.0,3936,7909.139346
27900.0,3799,7945.97072
36100.0,3923,7961.586348
26500.0,4088,7978.087006
37400.0,3600,7992.631072
44400.0,4067,8009.495321
30800.0,4347,8027.400161
25000.0,3705,8066.126481
35700.0,3797,8081.530722
15900.0,3664,8096.295113
30000.0,3705,8111.228471
32400.0,3689,8125.956295
30700.0,3770,8141.347973
21200.0,3511,8154.992449
32000.0,3695,8192.430552
36600.0,3692,8207.402714
22700.0,3531,8221.401297
39100.0,3902,8237.482894
25400.0,3737,8252.453705
35200.0,3895,8268.365794
24800.0,3777,8283.58212
25900.0,3870,8321.382202
37500.0,3633,8336.238848
27000.0,3949,8352.208982
30200.0,3788,8367.463294
36200.0,3793,8383.040373
37200.0,3923,8398.242944
26100.0,3752,8436.427892
36100.0,3873,8452.208977
22200.0,3616,8467.265062
36800.0,3905,8483.164346
28300.0,3968,8499.841607
36400.0,4299,8517.306357
30400.0,4143,8534.274566
22000.0,3897,8573.333098
27500.0,4151,8590.546331
22600.0,3888,8606.221345
27600.0,4020,8622.803733
31300.0,3960,8639.333775
31700.0,4076,8656.178648
32100.0,3873,8694.136764
31500.0,4058,8710.719796
30500.0,4048,8727.482229
25600.0,4158,8744.656523
43500.0,4013,8761.355901
38700.0,3984,8777.484328
25500.0,3648,8814.795225
35000.0,4000,8831.210414
34300.0,3851,8847.079304
26600.0,3554,8861.346136
31500.0,3554,8876.026228
31500.0,3754,8891.399148
44000.0,4063,8908.254289
25900.0,3666,8944.968254
29300.0,3790,8960.802229
40100.0,4035,8976.90525
19400.0,3568,8991.526659
35800.0,4080,9008.428545
