#{"t_start": 1615214886.1527014, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
100.0,2094,13.942504
260.0,3458,27.454592
120.0,2026,35.128758
220.0,3101,46.995014
360.0,4369,63.698481
640.0,7681,93.568561
180.0,3082,134.892654
540.0,6233,158.606558
420.0,4789,176.849224
580.0,7321,204.467185
600.0,7098,265.552825
620.0,6969,291.894089
420.0,5401,311.798611
580.0,7086,338.346003
580.0,7322,397.840521
540.0,7226,425.562968
460.0,6010,448.354373
640.0,7610,476.953154
540.0,6458,541.588357
440.0,5101,560.471035
580.0,6954,586.024377
760.0,9081,663.116078
660.0,7706,691.823986
440.0,5178,710.861989
560.0,6822,736.257716
700.0,8314,812.243516
660.0,8225,843.000261
740.0,9082,876.765679
820.0,8954,953.193057
760.0,9082,987.578956
760.0,9081,1022.174082
820.0,9082,1102.20288
740.0,9082,1137.337684
780.0,8666,1170.115316
720.0,8186,1245.616674
700.0,8309,1276.442121
780.0,9081,1310.30723
580.0,7354,1384.360063
800.0,9081,1417.989431
680.0,7705,1446.725419
800.0,9081,1525.910502
800.0,9081,1559.56783
820.0,9082,1638.923779
800.0,9082,1671.946709
800.0,9081,1705.630108
860.0,9081,1784.36683
820.0,9082,1818.095059
820.0,9082,1852.381274
640.0,7205,1924.772373
660.0,7353,1952.087691
600.0,6746,1977.08073
880.0,9081,2055.264776
860.0,9082,2088.943012
840.0,9082,2122.600369
860.0,9082,2204.428508
860.0,9081,2238.620692
880.0,9081,2272.431748
880.0,9082,2351.859425
880.0,9081,2385.275856
640.0,7226,2412.154727
880.0,9081,2492.858513
860.0,9082,2526.23809
860.0,9081,2559.552871
680.0,7257,2629.428446
880.0,9081,2662.960585
840.0,9081,2696.729576
880.0,9082,2775.451187
860.0,9082,2809.50181
880.0,9082,2888.912966
900.0,9082,2922.883184
860.0,9081,2956.485224
880.0,9081,3034.354676
860.0,9082,3067.748477
880.0,9082,3101.673636
880.0,9082,3181.973899
880.0,9082,3216.691812
880.0,9082,3250.769654
880.0,9081,3332.299543
880.0,9114,3365.908072
900.0,9081,3399.064676
860.0,9082,3479.31006
880.0,9082,3512.116393
880.0,9082,3593.081887
860.0,9082,3626.527727
900.0,9081,3659.665315
880.0,9081,3739.467048
820.0,8762,3771.241561
840.0,9081,3804.075725
880.0,9082,3884.788457
880.0,9082,3919.348627
860.0,9082,3953.775593
860.0,9082,4036.458612
880.0,9081,4070.705336
900.0,9082,4152.814954
660.0,7354,4180.574807
900.0,9082,4214.585482
880.0,9081,4296.484345
900.0,9082,4329.872392
900.0,9081,4364.220381
880.0,9081,4446.274181
860.0,9082,4479.967245
880.0,9081,4514.411851
880.0,9082,4594.602544
840.0,9082,4628.950113
800.0,8057,4658.968209
880.0,9082,4740.29524
880.0,9082,4774.345662
880.0,9081,4808.391263
880.0,9082,4890.006884
880.0,9082,4925.392811
920.0,9082,5008.202863
880.0,9082,5042.55473
880.0,9081,5075.742809
880.0,9082,5155.115634
880.0,9082,5189.047043
900.0,9082,5222.984375
780.0,8186,5300.924794
900.0,9082,5334.736968
900.0,9082,5369.188287
900.0,9082,5450.80998
880.0,9082,5485.352642
920.0,9082,5519.787559
900.0,9081,5601.745114
900.0,9082,5635.855415
880.0,9081,5716.636743
880.0,9081,5750.686225
920.0,9081,5785.295992
900.0,9082,5865.256539
860.0,9081,5899.645274
900.0,9081,5934.06216
880.0,9081,6017.052609
900.0,9082,6051.33415
880.0,9082,6085.370759
900.0,9081,6168.221322
900.0,9081,6202.44622
880.0,9081,6284.343844
920.0,9081,6318.362939
920.0,9082,6352.372011
900.0,9082,6434.755149
900.0,9081,6469.39255
900.0,9081,6503.31178
880.0,9082,6586.069126
880.0,9082,6620.654657
