#{"t_start": 1614621945.911006, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
260.0,2767,31.33445
335.0,2789,77.568447
75.0,1743,98.179523
90.0,1465,111.421204
215.0,2605,161.207178
155.0,2461,188.369415
210.0,2719,239.85277
185.0,2677,268.861627
80.0,1157,283.623051
210.0,2453,326.382548
135.0,2097,349.220237
50.0,1551,386.644679
60.0,1175,398.47097
160.0,2417,425.691493
180.0,2493,478.09707
210.0,2735,506.887129
190.0,2355,556.314182
210.0,2521,581.515415
210.0,2521,633.87224
180.0,2509,661.718745
380.0,2557,720.550088
155.0,2433,747.874915
210.0,2521,798.50728
165.0,2379,826.075917
155.0,2451,879.548415
260.0,2909,909.475664
180.0,2467,961.58466
240.0,2875,994.141258
210.0,2551,1044.318011
185.0,2465,1071.719834
230.0,3213,1131.835322
180.0,2459,1186.907068
410.0,2563,1214.765681
470.0,2951,1273.483258
210.0,2413,1297.436304
105.0,1571,1314.208006
345.0,3291,1378.271224
260.0,2947,1433.848368
180.0,2463,1461.612113
210.0,2519,1516.745811
160.0,2353,1540.367059
210.0,2415,1594.797715
180.0,2563,1622.780186
210.0,2597,1678.981067
180.0,2485,1707.107456
200.0,2625,1759.510549
210.0,2545,1787.807208
260.0,2891,1839.614659
250.0,2833,1871.927784
210.0,2513,1920.878631
145.0,2313,1947.468027
260.0,2965,2007.699802
210.0,2587,2036.389684
635.0,4803,2113.739196
105.0,1685,2131.313344
120.0,2145,2177.287337
105.0,1223,2189.204961
425.0,2859,2243.964432
155.0,2357,2267.852235
120.0,1311,2283.275359
545.0,3379,2338.826092
110.0,2003,2361.27444
265.0,2913,2414.449183
105.0,1651,2432.026306
105.0,1195,2469.090775
180.0,2371,2495.962832
100.0,1531,2512.61517
290.0,2697,2568.459073
245.0,2581,2596.935663
130.0,1943,2637.332252
155.0,2353,2664.499461
135.0,1953,2707.779503
190.0,2347,2731.293699
115.0,1935,2752.952405
240.0,2535,2803.746332
155.0,1997,2825.87472
195.0,1897,2866.821041
170.0,2969,2900.421859
35.0,1407,2940.677943
345.0,3687,2980.051576
195.0,2119,3025.634769
270.0,2701,3054.385131
140.0,2295,3103.528137
345.0,3238,3141.808975
275.0,3095,3202.588318
185.0,1675,3220.188465
195.0,2625,3271.81512
