#{"t_start": 1635497829.3145916, "env_id": "Swimmer-v3"}
r,l,t
-13.638556,1000,1.06759
6.868457,1000,1.909744
-2.196024,1000,4.15933
22.527156,1000,5.001924
1.678718,1000,7.245692
12.278075,1000,8.09036
27.393681,1000,10.339212
16.915851,1000,11.187216
27.106684,1000,13.437856
22.224229,1000,14.288553
18.223056,1000,26.99718
25.880919,1000,27.855088
24.809338,1000,30.117791
22.687071,1000,30.974307
24.819359,1000,33.239393
29.006436,1000,34.097737
24.36947,1000,36.36037
27.805351,1000,37.217988
25.163007,1000,39.482425
25.129744,1000,40.341172
27.02983,1000,53.039624
30.893248,1000,53.896366
32.204037,1000,56.154887
20.399755,1000,57.012516
22.234578,1000,59.274591
18.613106,1000,60.133608
33.468587,1000,62.396531
20.508368,1000,63.251315
25.098617,1000,65.513152
27.944408,1000,66.368543
30.447269,1000,78.993515
32.346752,1000,79.852007
27.799899,1000,82.119454
22.903954,1000,82.981286
25.505857,1000,85.252362
37.869734,1000,86.108964
29.046224,1000,88.373431
33.273826,1000,89.233049
29.366422,1000,91.47296
30.398997,1000,92.359509
33.240795,1000,104.834409
36.831407,1000,105.751881
29.452083,1000,106.612897
31.562561,1000,108.877409
29.827405,1000,109.737521
34.504594,1000,112.002324
32.496653,1000,112.862348
36.05899,1000,115.129746
31.799986,1000,115.988881
26.67502,1000,118.255807
32.560074,1000,129.378403
36.959591,1000,131.689549
31.492609,1000,132.548265
31.617587,1000,134.813986
32.298239,1000,135.671086
22.499537,1000,137.937297
31.365584,1000,138.794808
28.779301,1000,141.064948
34.925067,1000,141.922751
31.960784,1000,144.18841
34.132821,1000,155.314585
32.373118,1000,157.577644
34.782637,1000,158.436233
35.600618,1000,160.704295
36.818268,1000,161.561413
31.109362,1000,163.82475
31.937171,1000,164.684467
36.607801,1000,166.948791
35.051505,1000,167.806458
35.888981,1000,170.07458
34.963827,1000,181.193347
32.115088,1000,183.460006
31.865004,1000,184.316731
40.197953,1000,186.58412
29.422432,1000,187.442554
30.490485,1000,189.707221
39.873332,1000,190.566489
29.763793,1000,192.830283
40.442136,1000,193.688881
31.900546,1000,195.982518
35.221941,1000,207.129514
35.262772,1000,209.364188
34.200985,1000,210.257326
31.03504,1000,212.458448
30.290132,1000,213.381662
27.566628,1000,214.240303
33.487017,1000,216.509793
32.727301,1000,217.368366
32.695848,1000,219.634537
29.929385,1000,220.494945
32.439149,1000,233.027945
34.722514,1000,233.886936
39.778954,1000,236.161124
37.401252,1000,237.02481
32.300059,1000,239.294085
44.958097,1000,240.155479
36.057312,1000,242.423563
38.783926,1000,243.283259
30.655841,1000,245.557926
35.548769,1000,246.418119
35.596358,1000,258.952882
35.539222,1000,259.815796
36.623423,1000,262.127376
35.806529,1000,262.987761
36.821897,1000,265.25633
38.613937,1000,266.116071
36.127188,1000,268.382411
37.570965,1000,269.242466
37.216521,1000,271.50987
37.156912,1000,272.368541
38.307844,1000,284.912617
37.586144,1000,285.77174
41.978488,1000,288.038843
40.381828,1000,288.899745
39.20059,1000,291.170629
39.268955,1000,292.030232
38.348038,1000,294.296626
41.195207,1000,295.15687
38.328405,1000,297.421527
37.306935,1000,298.280701
35.339889,1000,310.834069
40.964212,1000,311.693607
34.867511,1000,313.953474
41.210579,1000,314.8207
41.226172,1000,317.049571
39.693435,1000,317.94716
35.508178,1000,320.148772
40.722638,1000,321.076998
40.670239,1000,321.935749
42.118433,1000,324.202045
38.0998,1000,335.395355
41.31302,1000,337.662502
38.012392,1000,338.521603
38.105879,1000,340.793176
43.599631,1000,341.652013
41.620018,1000,343.92016
43.626653,1000,344.779854
45.746187,1000,347.047107
42.825457,1000,347.906082
40.049848,1000,350.174084
37.826629,1000,361.317883
45.248734,1000,363.585057
39.30662,1000,364.444589
36.129334,1000,366.714651
42.855136,1000,367.574251
39.155024,1000,369.841094
41.178098,1000,370.701063
40.647163,1000,372.967724
43.682982,1000,373.830076
39.772802,1000,376.098455
39.870647,1000,387.238945
43.810113,1000,389.510365
44.42705,1000,390.409512
44.322639,1000,392.731583
41.803098,1000,393.591579
42.995644,1000,395.862701
39.439346,1000,396.722196
44.26028,1000,398.989409
43.561177,1000,399.85344
36.939868,1000,402.125506
41.611495,1000,413.251918
42.329405,1000,415.522656
45.633653,1000,416.382721
43.323336,1000,418.649894
45.303277,1000,419.510035
45.148928,1000,421.76962
44.982416,1000,422.642474
40.532814,1000,424.869406
45.894235,1000,425.7739
38.087673,1000,427.968214
38.833727,1000,439.085064
38.068221,1000,439.947463
41.102029,1000,442.216186
46.447831,1000,443.077028
46.214042,1000,445.347383
35.23958,1000,446.209494
38.616288,1000,448.476587
43.532949,1000,449.338313
40.647825,1000,451.610865
41.55774,1000,452.470594
42.03321,1000,464.9678
45.675845,1000,465.831534
44.452076,1000,468.09995
38.281034,1000,468.960445
41.57294,1000,471.233147
43.402118,1000,472.092798
40.949192,1000,474.363527
51.3999,1000,475.225559
40.787358,1000,477.493145
45.545698,1000,478.35304
35.703909,1000,490.8486
40.315584,1000,491.707517
44.273558,1000,493.975844
46.93138,1000,494.835189
45.609352,1000,497.104898
42.334302,1000,497.963888
38.889757,1000,500.232881
42.979893,1000,501.092987
44.044377,1000,503.359266
43.012849,1000,504.22032
42.801466,1000,516.658617
36.416861,1000,517.517625
34.906469,1000,519.785172
44.035021,1000,520.648359
45.145442,1000,522.959626
40.625856,1000,523.820527
37.122243,1000,526.09304
46.500584,1000,526.954559
36.507001,1000,529.205019
34.79822,1000,530.083091
35.217199,1000,542.474463
41.698584,1000,543.382284
42.805078,1000,545.571485
40.367524,1000,546.512702
37.373833,1000,547.372649
41.907019,1000,549.643422
34.220064,1000,550.505563
39.823264,1000,552.777097
34.013448,1000,553.639953
43.265692,1000,555.914852
38.167516,1000,567.016011
41.119485,1000,569.285213
42.17016,1000,570.147875
43.784747,1000,572.417159
43.258935,1000,573.278694
43.931526,1000,575.552399
41.452711,1000,576.414675
39.713144,1000,578.685035
44.685371,1000,579.54768
45.657072,1000,581.823812
42.657296,1000,592.96248
42.696288,1000,595.235407
46.86307,1000,596.097978
44.34473,1000,598.369376
43.355121,1000,599.23401
44.56499,1000,601.509456
46.482347,1000,602.374156
43.186817,1000,604.64656
44.63216,1000,605.512187
46.633997,1000,607.782904
43.493499,1000,618.90462
45.030421,1000,621.179634
41.853193,1000,622.042974
45.48964,1000,624.314682
40.433478,1000,625.179446
41.347266,1000,627.451901
44.936565,1000,628.314036
44.208194,1000,630.588363
40.176548,1000,631.449894
44.193309,1000,633.720269
42.062072,1000,644.866625
40.442053,1000,647.118909
44.625132,1000,648.002128
45.222718,1000,650.222108
45.265009,1000,651.140738
44.094432,1000,652.007201
43.511276,1000,654.297293
42.41241,1000,655.159545
41.760207,1000,657.429275
45.924527,1000,658.290971
42.187865,1000,670.828408
45.132073,1000,671.692154
44.937794,1000,673.962209
44.135806,1000,674.825849
42.073777,1000,677.101744
45.64866,1000,677.965384
44.379094,1000,680.23773
44.00097,1000,681.100168
44.394791,1000,683.370554
44.152048,1000,684.233075
42.759387,1000,696.761756
42.261064,1000,697.626177
44.568212,1000,699.899746
46.403262,1000,700.765131
43.14548,1000,703.038037
45.549049,1000,703.901092
45.488653,1000,706.175179
45.431195,1000,707.037667
41.674995,1000,709.308132
43.61187,1000,710.172308
43.531149,1000,722.69323
46.210055,1000,723.554812
42.619509,1000,725.829997
44.339787,1000,726.69145
43.790039,1000,728.961371
46.780628,1000,729.824337
49.423661,1000,732.098112
42.536084,1000,732.960473
42.538015,1000,735.234248
47.621628,1000,736.097185
47.408197,1000,748.537376
43.491665,1000,749.399763
43.50577,1000,751.671934
45.357204,1000,752.533141
45.328479,1000,754.774706
46.068019,1000,755.663892
43.593512,1000,757.874344
43.660756,1000,758.795273
44.450594,1000,759.656765
46.648269,1000,761.928625
44.454038,1000,773.010281
42.763659,1000,775.282642
45.333754,1000,776.145104
44.095394,1000,778.414567
42.745687,1000,779.277977
43.126219,1000,781.560947
44.993111,1000,782.429579
45.010212,1000,784.70299
47.168093,1000,785.566074
43.613484,1000,787.836252
45.92935,1000,798.912883
44.478695,1000,801.19085
45.868001,1000,802.053221
44.53849,1000,804.323973
27.372802,1000,805.184893
48.995633,1000,807.457732
44.442024,1000,808.32127
43.621012,1000,810.598033
45.356516,1000,811.462404
43.197507,1000,813.735422
