#{"t_start": 1614621249.99463, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
19.851402,13,1.333698
19.620233,14,1.786837
23.160257,22,2.504287
25.864552,23,3.257176
21.470194,15,3.746909
44.532413,40,5.057505
21.300504,14,5.516189
26.199663,21,6.200672
21.812264,18,6.789317
21.980186,15,7.279062
14.212473,9,7.576433
22.462664,15,8.06869
59.583788,51,9.744371
21.522669,13,10.169161
32.097978,29,11.118092
19.780052,16,11.639677
20.17222,13,12.066956
26.287501,22,12.78673
19.519327,13,13.214677
21.118147,19,13.848853
19.681515,14,14.310936
22.840071,16,14.836253
33.106216,27,15.724437
33.618426,27,16.608318
14.175703,8,16.873114
31.552787,26,51.32098
21.433878,14,51.906031
15.113705,8,52.236977
28.215866,20,53.074005
21.998145,19,53.863603
21.902724,18,54.604464
42.788902,34,57.301712
26.113786,21,58.177421
27.952517,26,59.253309
18.379396,12,59.758369
21.434944,17,60.466492
24.159854,22,61.378617
21.039845,23,62.337704
27.31372,23,63.303232
26.619733,20,64.129253
29.125363,26,65.203841
17.666489,10,65.620978
28.776133,21,66.49281
26.144439,24,67.479209
22.686825,16,68.149641
23.531635,21,69.019741
21.104668,17,69.723127
23.714802,17,70.43598
16.099806,13,70.974968
21.945018,15,71.605886
27.076407,20,72.4339
16.1739,10,72.851773
20.7255,14,73.434714
17.938244,12,107.299806
19.337402,14,107.870283
61.116395,49,109.890471
17.699357,13,110.426748
21.957272,19,111.211306
27.557094,24,112.201699
26.550787,22,113.103796
34.888244,29,114.295067
20.072699,15,114.915331
79.731414,78,119.747368
27.222762,21,120.61465
23.638825,16,121.279691
12.759937,8,121.607479
25.141257,21,122.476867
19.665355,18,123.21328
26.583846,20,124.034256
40.103844,37,125.556188
15.307973,9,125.926078
23.342618,31,127.186711
24.55359,19,127.96066
18.504418,13,128.496074
25.376174,20,129.311723
24.427708,26,163.749237
51.506921,59,166.185941
30.577418,28,167.325851
30.973007,27,168.424205
27.64097,20,169.24362
36.912701,32,170.542093
29.458607,24,171.517795
26.702566,22,172.418373
29.087633,30,173.642071
20.39039,16,174.290697
35.924203,38,175.834671
33.350406,30,177.060626
21.49062,22,181.413576
42.4015,39,182.980305
47.179522,44,184.753896
19.491042,14,185.329108
16.270545,9,185.692278
51.729341,50,220.906433
54.108225,66,223.567198
42.300535,51,225.633901
23.630983,20,226.438858
69.103959,87,229.954105
30.865183,34,231.329411
19.879383,14,231.908692
10.032616,7,232.191613
41.258311,46,234.05658
46.675648,40,235.678605
31.360332,26,236.735923
34.791427,44,238.525763
46.981276,53,244.018049
38.826116,33,278.626303
84.111478,103,282.774725
35.843546,114,287.370539
53.570565,51,289.43951
23.246952,24,290.412408
21.441179,46,292.26841
47.272241,53,294.411662
48.380429,45,296.232409
21.668327,31,297.476901
42.082457,40,332.061891
32.298417,98,339.972457
44.560639,40,341.589687
66.572188,62,344.095478
52.215429,54,346.271627
42.517698,108,350.6292
33.560847,90,354.294322
26.015364,81,390.760098
38.048954,44,392.529996
60.924303,62,395.014348
75.274467,74,408.703573
87.638163,82,412.000723
47.577515,50,414.012805
16.252357,11,414.456045
73.794144,65,417.0884
28.962884,35,418.496716
81.742664,78,454.744654
31.543468,84,458.13065
69.961512,60,460.547502
96.436391,92,464.240756
35.104871,44,469.319545
70.877747,62,471.793621
54.881892,42,473.461836
64.89944,59,475.826586
68.013848,65,511.327691
59.463925,54,513.496708
83.937348,74,516.467489
80.330507,63,518.990157
102.002042,89,522.530548
17.274519,14,523.085333
63.91911,57,525.368932
103.419882,104,532.296618
61.519545,57,567.47296
88.01365,85,570.840434
24.492995,18,571.556326
88.56384,92,575.201329
82.037164,71,578.024996
47.969726,42,579.688214
82.914982,73,582.589687
55.163745,49,584.537366
44.596349,108,624.813437
69.54679,55,627.02439
78.858106,67,629.717549
78.968275,61,632.166754
76.552532,63,634.703741
86.052761,79,637.881996
67.846924,62,640.376544
29.119683,40,641.966649
79.274375,66,677.410033
55.30295,52,679.482825
83.321968,68,686.202486
56.642939,64,688.761554
75.834394,99,692.709968
21.996759,21,693.549871
13.866455,13,694.069381
71.484065,74,697.046293
79.664003,63,699.573271
60.452447,61,735.07508
88.475929,76,738.101735
62.24153,59,740.449357
69.337764,64,746.250635
87.976207,94,749.991385
88.167673,77,753.03838
54.852914,70,755.811057
74.40238,73,791.567656
73.646598,75,794.547938
66.424453,57,796.817885
64.147765,118,801.522099
116.720877,111,809.940674
35.118256,30,811.155959
104.579891,103,848.240521
92.755015,79,851.377457
84.019859,73,854.284018
83.369428,76,857.311458
98.087262,92,860.989596
87.850652,71,863.833523
19.061082,76,870.27362
95.921008,79,906.282554
72.905491,56,908.539183
96.105393,89,912.137909
61.948149,82,915.426728
86.292341,79,918.61745
78.850919,70,921.450616
80.332128,69,924.209436
91.763489,79,963.938485
83.33253,75,966.937109
69.266899,60,969.326267
70.319076,63,971.842554
65.091905,63,974.359204
115.069291,120,979.134346
69.552232,56,981.361289
67.621793,56,1016.610497
70.159358,69,1019.369205
69.568558,54,1021.53656
76.474632,61,1027.597652
65.342748,129,1032.753076
78.683822,69,1035.509659
