#{"t_start": 1635497834.0833619, "env_id": "Walker2d-v3"}
r,l,t
7.582105,16,0.103314
-4.53651,16,0.121682
3.0473,16,0.140444
36.84042,51,0.19535
-0.381275,10,0.20662
-8.055878,17,0.228287
-3.279557,12,0.242457
2.78037,16,0.260267
-2.971805,8,0.269519
9.279033,33,0.304183
1.014939,16,0.32133
-1.999072,23,0.346062
-8.508993,16,0.363485
9.115608,29,0.394693
-1.40488,15,0.411272
1.297279,13,0.425761
-7.870898,17,0.444845
-3.862238,8,0.454779
-2.424589,9,0.465017
-1.550429,20,0.487311
-8.263023,18,0.507809
-2.290942,21,0.530308
0.536121,10,0.54149
-0.813449,11,0.553544
-6.139171,14,0.568918
-0.415642,31,0.601576
2.016679,12,0.614918
-2.19693,8,0.623382
1.936979,25,0.650068
-3.777508,11,0.661938
6.303843,22,0.686115
-10.419901,24,0.712281
-0.245834,15,0.728746
-4.626761,19,0.749394
-2.233304,22,0.773129
5.107152,24,0.799108
6.050271,17,0.817705
-5.913682,14,0.833241
-7.392666,11,0.845532
2.010211,20,0.86705
-2.215115,15,0.883254
1.167558,15,0.899579
-8.429528,15,0.915485
-2.845113,12,0.928667
0.245681,27,0.957585
-4.378156,21,0.980085
6.707706,19,1.000745
-3.840963,8,1.009886
0.23202,15,1.02668
-6.101464,8,1.035811
0.296305,13,1.049835
-0.693964,15,1.066466
-3.699671,12,1.079708
-2.64886,11,1.092154
-3.529339,11,1.104412
9.357725,21,1.127641
-1.717017,8,1.13687
0.10519,20,1.158918
-5.412421,23,1.184021
-2.689139,17,1.202778
0.765575,12,1.215729
3.456408,14,1.230903
1.285946,12,1.244616
-5.942905,19,1.264883
3.424776,25,1.2918
-1.136873,22,1.315889
6.509311,21,1.339013
-3.966766,18,1.359242
6.671008,20,1.382068
-7.604051,21,1.405125
4.677763,16,1.423085
-2.703639,11,1.435314
13.316343,35,1.476572
6.374275,21,1.499525
8.277052,26,1.52733
-3.554727,10,1.538419
-0.779141,15,1.55461
-4.869505,15,1.571131
1.743876,12,1.584543
-4.630919,20,1.606177
-3.92388,20,1.627944
4.129004,19,1.648708
5.035685,20,1.670089
-0.764549,16,1.688139
-0.410166,10,1.699285
0.595504,17,1.717816
-4.367556,16,1.736039
-2.294269,20,1.758525
2.451661,14,1.773306
1.638261,19,1.794537
-0.66696,13,1.809529
0.914546,17,1.828931
-0.095369,33,1.86608
4.533177,22,1.891113
1.813345,14,1.907158
4.044244,38,1.94974
2.712773,12,1.963854
10.586777,34,2.001681
-0.573665,12,2.015178
-1.982997,22,2.038897
-2.318279,13,2.053323
-0.480127,19,2.074368
-3.421544,18,2.093886
-3.769766,20,2.116444
-10.495445,22,2.140067
1.120788,18,2.160586
-0.078128,17,2.179947
-1.247866,20,2.202514
0.25468,12,2.216338
8.122246,25,2.244
-0.654996,13,2.258539
3.235914,16,2.276049
1.934799,19,2.296552
-1.26069,18,2.316199
-2.818994,11,2.328433
2.087065,12,2.341432
0.279384,21,3.45762
-3.578309,14,3.477379
2.752996,17,3.496938
-6.848372,14,3.512953
-1.289384,8,3.522212
0.653242,13,3.537285
0.177731,9,3.547918
-0.622559,19,3.57015
4.224419,27,3.600161
-8.776449,18,3.620452
-1.051781,8,3.630903
5.913544,15,3.648318
0.741743,25,3.675444
-1.602094,29,3.706678
-9.477912,20,3.728496
-2.174895,16,3.746072
-0.632138,45,3.794277
-6.298501,11,3.806497
-2.611409,11,3.818357
7.845636,35,3.855559
41.465026,48,3.908081
5.01756,14,3.923954
22.479164,38,3.964796
2.685711,15,3.981225
-1.420811,21,4.004009
4.733656,30,4.037978
-3.21806,15,4.055052
-2.504338,12,4.068904
1.041735,27,4.098437
7.719064,42,4.145057
3.177259,19,4.166505
0.345484,24,4.193187
4.806107,17,4.211877
-2.159999,14,4.227329
-2.421121,19,4.248019
-2.588525,18,4.267955
-4.203368,19,4.289117
3.076176,19,4.311396
0.278105,12,4.325153
-7.444096,19,4.346464
-0.174575,24,4.372719
0.041474,21,4.396244
11.556926,25,4.423708
3.433257,13,4.437993
-3.917578,15,4.454489
3.076795,13,4.468754
13.095015,27,4.497862
0.464135,15,4.514507
5.584635,16,4.531417
4.570958,14,4.546784
-2.78628,13,4.560979
1.926731,25,4.5877
0.569621,13,4.602129
17.412608,47,4.652422
0.359212,16,4.669875
0.183619,22,4.693827
8.619759,28,4.724025
-3.427316,10,4.735112
-3.187345,9,4.745184
0.540717,12,4.758574
-6.252395,16,4.775979
11.756915,28,4.806247
15.214061,28,4.836478
-8.411473,11,4.849034
6.162485,23,4.874593
-7.303402,19,4.895549
-1.571131,17,4.914261
0.885037,12,4.92761
-0.053743,10,4.939006
-7.381632,13,4.953458
3.378658,13,4.967812
4.059746,20,4.989186
3.177792,19,5.009616
-1.792114,15,5.026173
-2.977729,14,5.041989
-1.492905,10,5.053512
-1.356842,17,5.072035
-0.208311,13,5.086769
-0.527675,12,5.09996
-4.229814,25,5.127189
1.870315,16,5.145066
9.043049,30,5.176969
5.363502,15,5.193594
5.766535,19,5.214269
1.962239,21,5.236949
0.205566,10,5.248051
6.469309,31,5.280396
-1.314193,10,5.291121
12.541667,46,5.340192
