#{"t_start": 1614621646.9728448, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.60289
-500.0,500,5.293254
-500.0,500,8.117563
-347.0,348,10.033315
-500.0,500,12.745873
-500.0,500,15.538372
-500.0,500,18.30896
-500.0,500,21.097891
-332.0,333,22.974046
-427.0,428,25.382781
-283.0,284,26.998644
-304.0,305,28.709292
-500.0,500,31.555041
-241.0,242,32.916864
-269.0,270,34.462257
-221.0,222,35.715097
-282.0,283,37.329464
-279.0,280,38.933621
-274.0,275,40.518602
-212.0,213,41.737669
-320.0,321,43.576697
-500.0,500,46.441287
-263.0,264,47.950792
-193.0,194,49.079902
-169.0,170,50.048393
-201.0,202,51.217123
-146.0,147,52.066947
-148.0,149,52.920614
-224.0,225,54.210842
-162.0,163,55.156511
-283.0,284,59.523673
-196.0,197,60.663485
-260.0,261,62.173708
-167.0,168,63.144643
-133.0,134,63.940645
-158.0,159,64.871894
-197.0,198,66.018142
-174.0,175,67.044686
-176.0,177,68.076166
-210.0,211,69.319306
-133.0,134,70.089452
-112.0,113,70.767026
-87.0,88,71.281543
-100.0,101,71.868106
-259.0,260,73.397828
-134.0,135,74.198129
-104.0,105,74.80888
-144.0,145,75.653622
-136.0,137,76.45074
-154.0,155,77.364669
-191.0,192,78.493936
-148.0,149,79.364801
-100.0,101,79.973657
-147.0,148,80.844069
-108.0,109,81.479489
-123.0,124,82.204557
-148.0,149,83.069237
-85.0,86,83.584625
-180.0,181,84.639096
-190.0,191,85.766849
-113.0,114,86.427716
-171.0,172,87.44543
-82.0,83,87.93713
-99.0,100,88.528187
-141.0,142,89.350623
-102.0,103,89.961104
-134.0,135,90.75352
-120.0,121,91.462397
-210.0,211,92.702016
-157.0,158,93.618522
-102.0,103,94.226656
-116.0,117,94.905095
-91.0,92,95.444241
-131.0,132,96.214411
-69.0,70,96.634502
-123.0,124,97.361221
-136.0,137,98.156618
-68.0,69,98.557996
-215.0,216,99.820327
-110.0,111,100.475509
-155.0,156,101.390766
-182.0,183,102.46609
-106.0,107,103.095684
-83.0,84,103.58766
-119.0,120,104.288926
-120.0,121,104.993272
-149.0,150,105.866183
-95.0,96,106.429064
-70.0,71,106.848601
-64.0,65,107.225098
-113.0,114,107.901811
-98.0,99,108.487903
-97.0,98,109.054114
-120.0,121,109.752341
-101.0,102,110.360908
-147.0,148,111.231329
-79.0,80,111.700015
-150.0,151,112.584248
-174.0,175,113.596355
-104.0,105,114.225635
-103.0,104,114.834764
-100.0,101,115.421196
-126.0,127,116.169024
-76.0,77,116.61459
-94.0,95,117.182576
-104.0,105,118.381448
-74.0,75,118.82857
-81.0,82,119.294174
-85.0,86,119.807278
-91.0,92,120.344522
-122.0,123,121.048561
-111.0,112,121.702788
-88.0,89,122.238363
-100.0,101,122.824559
-105.0,106,123.434333
-141.0,142,124.270293
-103.0,104,124.881757
-86.0,87,125.394604
-83.0,84,125.886809
-100.0,101,126.47014
-79.0,80,126.935422
-90.0,91,127.472798
-95.0,96,128.036229
-87.0,88,128.550754
-81.0,82,129.019167
-114.0,115,129.700641
-85.0,86,130.191667
-80.0,81,130.684431
-121.0,122,131.397312
-79.0,80,131.867295
-107.0,108,132.502263
-134.0,135,133.297688
-143.0,144,134.136563
-99.0,100,134.722726
-96.0,97,135.283776
-89.0,90,135.820093
-136.0,137,136.614775
-80.0,81,137.08213
-99.0,100,137.671706
-93.0,94,138.234979
-99.0,100,138.822541
-83.0,84,139.313407
-110.0,111,139.949137
-82.0,83,140.439173
-107.0,108,141.070478
-89.0,90,141.606133
-93.0,94,142.144991
-102.0,103,142.751803
-106.0,107,143.384238
-82.0,83,143.851916
-98.0,99,144.433474
-83.0,84,144.923022
-100.0,101,145.504987
-75.0,76,145.948806
-92.0,93,146.507783
-61.0,62,146.859838
-82.0,83,147.350925
-80.0,81,147.820839
-70.0,71,148.241189
-101.0,102,148.835381
-170.0,171,149.836913
-92.0,93,150.375136
-123.0,124,151.096313
-167.0,168,152.081584
-92.0,93,152.640478
-83.0,84,153.129674
-100.0,101,153.71655
-122.0,123,154.437302
-96.0,97,154.998765
-85.0,86,155.488997
-86.0,87,156.009285
-101.0,102,156.619065
-119.0,120,157.319233
-94.0,95,157.863112
-98.0,99,158.447037
-104.0,105,159.060295
-70.0,71,159.481825
-109.0,110,160.135326
-76.0,77,160.582121
-78.0,79,161.058839
-95.0,96,161.619325
-70.0,71,162.020084
-108.0,109,162.673853
-87.0,88,163.185028
-118.0,119,163.865886
-123.0,124,164.592669
-83.0,84,165.083311
-63.0,64,165.457802
-102.0,103,166.073067
-77.0,78,166.543234
-96.0,97,167.106395
-102.0,103,167.713719
-80.0,81,168.185353
-99.0,100,168.770577
-95.0,96,169.332517
-74.0,75,169.776011
-66.0,67,170.153322
-114.0,115,170.830465
-96.0,97,171.399835
-75.0,76,171.844437
-86.0,87,172.359559
-87.0,88,172.887217
-88.0,89,173.400984
-96.0,97,173.98668
-99.0,100,174.589756
-117.0,118,175.272223
-87.0,88,175.787557
-97.0,98,176.375531
-69.0,70,177.340907
-80.0,81,177.815254
-82.0,83,178.306516
-98.0,99,178.888994
-99.0,100,179.482545
-85.0,86,179.983471
-86.0,87,180.499239
-88.0,89,181.012638
-143.0,144,181.856273
-95.0,96,182.417736
-69.0,70,182.840744
-126.0,127,183.593564
-64.0,65,183.968987
-121.0,122,184.675901
-93.0,94,185.236945
-90.0,91,185.776622
-69.0,70,186.17524
-106.0,107,186.805401
-80.0,81,187.275407
-76.0,77,187.72474
-103.0,104,188.33414
-83.0,84,188.823915
-85.0,86,189.340078
-91.0,92,189.87834
-85.0,86,190.374908
-92.0,93,190.940373
-100.0,101,191.52778
-91.0,92,192.06955
-83.0,84,192.565901
-79.0,80,193.045307
-100.0,101,193.633454
-115.0,116,194.312742
-91.0,92,194.856691
-103.0,104,195.470162
-120.0,121,196.180207
-146.0,147,197.057296
-81.0,82,197.554385
-100.0,101,198.156535
-77.0,78,198.608392
-93.0,94,199.178785
-79.0,80,199.661404
-89.0,90,200.192159
-72.0,73,200.644735
-95.0,96,201.223186
-83.0,84,201.733197
-116.0,117,202.429569
-76.0,77,202.89013
-87.0,88,203.423879
-92.0,93,203.980436
-116.0,117,204.698538
-102.0,103,205.30178
-76.0,77,205.781406
-107.0,108,206.431107
-85.0,86,206.940836
-96.0,97,207.517831
-95.0,96,208.099044
-93.0,94,208.679252
-110.0,111,209.354593
-100.0,101,209.962533
-75.0,76,210.425192
-80.0,81,210.909099
-115.0,116,211.619993
-90.0,91,212.177017
-84.0,85,212.68756
-63.0,64,213.083653
-99.0,100,213.686647
-97.0,98,214.289347
-76.0,77,214.751914
-83.0,84,215.259878
-92.0,93,215.818645
-77.0,78,216.305316
-85.0,86,216.814974
-73.0,74,217.274887
-88.0,89,217.809652
-75.0,76,218.272654
