#{"t_start": 1615214853.9926243, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
280.0,2486,2.945515
1640.0,6494,5.335321
880.0,3414,6.608703
360.0,1462,7.161667
930.0,4002,8.66537
580.0,1824,9.349935
480.0,2226,10.182079
1730.0,5872,12.37982
980.0,5088,14.297719
760.0,3104,15.451345
530.0,1740,16.104145
630.0,2928,17.205361
1180.0,6764,19.697192
780.0,2228,20.524727
280.0,1868,21.222692
680.0,3576,22.556325
480.0,3396,23.822568
1300.0,6920,26.350285
1410.0,4742,28.105906
680.0,4072,29.628999
1410.0,7444,32.393695
1390.0,6720,34.861305
680.0,2272,35.7153
1300.0,7786,38.597939
680.0,3346,39.848293
1300.0,5376,41.862113
1300.0,7078,44.506246
930.0,4012,46.056592
480.0,2672,47.084698
430.0,2234,48.00874
780.0,2012,48.817102
530.0,3224,50.067645
1080.0,3202,51.300071
880.0,4792,53.186092
1030.0,5760,55.474265
830.0,3194,56.742765
930.0,3290,58.048461
1180.0,6042,60.431485
480.0,3124,61.687511
1180.0,5756,63.977774
260.0,2182,64.854197
1080.0,3864,66.390991
380.0,2212,67.272607
780.0,2408,68.229819
580.0,2612,69.272753
480.0,2310,70.196855
630.0,2346,71.130606
1030.0,2536,72.139566
630.0,2964,73.322789
1130.0,5234,75.378827
980.0,4044,76.981167
730.0,2608,78.041181
1900.0,7662,97.742584
730.0,2376,99.709809
1510.0,6990,105.521101
1560.0,7578,111.877546
410.0,3550,114.868883
1800.0,8338,121.801066
430.0,1424,122.982968
260.0,1522,124.236077
1380.0,4294,127.840347
1180.0,3838,131.05203
1370.0,3884,134.292796
510.0,1706,135.721559
730.0,3696,138.817593
1550.0,4920,142.932643
680.0,2426,144.946455
110.0,886,145.674405
310.0,1432,146.877435
1130.0,4388,150.548423
980.0,2592,152.738094
460.0,1170,153.722947
630.0,2418,155.772961
2000.0,8374,162.920509
480.0,2432,164.991574
980.0,2742,167.312563
110.0,938,168.091704
610.0,2236,169.979906
1080.0,5952,175.104346
310.0,1620,176.501148
1530.0,5028,180.826982
1360.0,8750,188.389152
480.0,1362,189.554395
230.0,2102,191.34065
580.0,1374,192.516933
980.0,3528,195.556699
1030.0,4466,199.42395
680.0,1828,201.006788
1300.0,3518,204.054177
680.0,2170,205.942442
480.0,2244,207.892301
1350.0,10694,217.250373
330.0,2146,219.129313
680.0,3166,221.967512
1780.0,5758,227.0295
380.0,2308,229.05543
1350.0,4436,232.954132
1280.0,7040,239.220254
580.0,2200,241.178244
480.0,2230,243.176077
360.0,1902,244.875078
1280.0,4926,249.204709
1080.0,4932,253.65135
580.0,1976,255.448747
1280.0,13732,267.735427
580.0,3080,288.972625
630.0,2190,290.934906
1350.0,7290,297.519676
1410.0,6068,303.022092
280.0,1602,304.46821
280.0,2216,306.463994
180.0,928,307.286018
410.0,1348,308.502068
330.0,1272,309.676606
730.0,2394,311.846414
510.0,2324,313.945337
680.0,2628,316.33959
330.0,3866,319.862153
180.0,1340,321.085121
430.0,2272,323.181891
780.0,4432,327.250791
880.0,3392,330.318563
530.0,2284,332.400156
530.0,2642,334.812212
1660.0,4390,338.896069
1350.0,6840,345.21012
1470.0,4370,349.230577
830.0,3274,352.225649
1320.0,7836,359.484561
680.0,2616,361.874023
780.0,3028,364.712902
730.0,3052,367.552121
1080.0,5620,372.797274
630.0,2386,375.013703
680.0,2544,377.361853
630.0,2616,379.770006
1180.0,5850,385.152261
430.0,1866,386.845416
880.0,2314,388.979323
680.0,2662,391.427322
1280.0,5278,396.307711
580.0,2092,398.268728
680.0,3196,401.298018
460.0,2364,403.520262
1300.0,6944,409.995044
1320.0,6492,416.072429
810.0,4282,420.108875
830.0,3108,423.038361
80.0,1478,424.396017
110.0,1218,425.524098
1180.0,6536,431.714221
780.0,2146,433.712217
1280.0,6938,440.21349
630.0,2048,442.147049
1030.0,4846,446.676205
410.0,1362,447.946076
460.0,1660,449.503537
530.0,2038,451.43237
630.0,2484,453.790537
130.0,1310,455.025271
780.0,1608,456.537128
680.0,2542,459.000608
1130.0,2432,461.336695
630.0,5428,466.541295
130.0,1448,467.927818
430.0,1674,469.521908
160.0,1288,470.748016
430.0,1084,471.766636
680.0,2650,474.292815
430.0,2486,476.671368
1030.0,4010,500.261762
660.0,2552,502.668801
680.0,2298,504.825545
980.0,3456,508.122758
580.0,2552,510.567047
1380.0,5244,515.590291
980.0,2910,518.382696
830.0,4028,522.256096
730.0,1988,524.148635
630.0,2476,526.552055
880.0,3514,529.951526
930.0,2768,532.651434
530.0,3100,535.677118
230.0,940,536.581035
780.0,3558,540.00729
1390.0,5908,545.774575
630.0,2216,547.938606
530.0,2228,550.09929
1080.0,4112,554.106895
710.0,5500,559.521138
480.0,2168,561.636459
880.0,3260,564.791405
580.0,3278,567.964333
530.0,3132,571.014194
730.0,3048,573.984793
1080.0,3160,577.049706
1030.0,3428,580.389417
880.0,3142,583.400296
360.0,2278,585.607193
1080.0,5254,590.736116
230.0,2374,593.082148
580.0,2422,595.464453
1280.0,8396,603.728948
1300.0,7400,610.986516
480.0,2114,613.062015
630.0,2736,615.783119
530.0,2082,617.782583
780.0,2026,619.77053
1280.0,8198,627.853977
380.0,2008,629.83632
310.0,1310,631.112242
1690.0,7480,638.589211
260.0,1124,639.684557
1300.0,3818,643.497331
930.0,3244,646.776018
460.0,2256,649.013501
730.0,2922,651.953073
380.0,2404,654.355735
380.0,1970,656.336138
880.0,2620,658.944811
460.0,2646,661.589419
1030.0,3758,665.315148
830.0,4446,669.736777
160.0,1336,671.067229
680.0,2956,674.015329
1180.0,5794,679.797161
780.0,3142,682.954593
360.0,2284,685.255755
380.0,2062,687.333946
210.0,1362,688.700677
560.0,1980,690.680294
630.0,2508,693.207685
1080.0,4448,709.467136
280.0,1882,711.316588
480.0,2604,713.921778
580.0,2086,716.026889
280.0,2310,718.338663
410.0,1572,719.922367
630.0,2398,722.342205
1300.0,9620,732.100462
930.0,4708,736.911644
260.0,1284,738.206508
210.0,1482,739.688947
1420.0,10482,750.404159
1080.0,5488,756.060916
330.0,2268,758.376861
430.0,1688,760.073311
930.0,4478,764.593927
430.0,2440,767.06513
380.0,2868,769.978429
710.0,3672,773.701506
280.0,1676,775.419418
730.0,2804,778.292894
560.0,1568,779.892293
360.0,2050,781.971296
140.0,1438,783.428983
780.0,3446,786.962161
260.0,1400,788.383802
310.0,1956,790.415107
310.0,2254,792.767216
530.0,3162,796.035625
480.0,2546,798.66607
530.0,2000,800.732471
430.0,3308,804.202913
330.0,2382,806.66123
310.0,2208,808.941366
360.0,2246,811.278147
680.0,3482,814.89997
1180.0,6588,821.770313
630.0,2504,824.373353
330.0,2524,826.991853
260.0,1614,828.657319
580.0,3434,832.232564
380.0,2230,834.543366
530.0,2996,837.658902
730.0,2836,840.629486
530.0,2178,842.89087
330.0,3152,846.189543
430.0,4186,850.604038
230.0,1476,852.144812
240.0,2028,854.288822
280.0,2372,856.769032
380.0,2204,859.074482
460.0,2060,861.225096
230.0,2534,863.886689
160.0,2556,866.554225
310.0,2080,868.754854
410.0,3412,872.374199
260.0,3844,876.458593
410.0,2680,879.276081
210.0,2304,881.717778
180.0,1828,883.685484
410.0,2768,886.647211
310.0,1672,888.408308
380.0,3558,892.207865
290.0,2092,894.417141
310.0,3778,898.442473
160.0,3652,902.307513
180.0,1832,904.331631
110.0,2222,906.66292
310.0,1672,908.416859
130.0,1830,910.336032
190.0,1544,911.974001
130.0,1476,913.532021
210.0,1876,915.514591
280.0,1832,917.462321
110.0,2188,919.790193
210.0,1192,945.105501
110.0,2206,947.375147
110.0,1480,948.909439
330.0,3664,952.67691
160.0,3464,956.275579
140.0,3324,959.831194
210.0,1676,961.625201
80.0,1830,963.57742
230.0,3682,967.519568
410.0,2068,969.731879
210.0,1710,971.54325
210.0,1364,972.998083
210.0,1978,975.11356
380.0,2754,978.047833
240.0,3402,981.676559
180.0,1894,983.676004
210.0,3190,987.107402
240.0,1654,988.858274
160.0,2438,991.46651
160.0,3312,995.018137
140.0,2030,997.175482
380.0,3764,1001.206583
260.0,2264,1003.618561
210.0,1534,1005.247555
290.0,1756,1007.10363
180.0,1966,1009.207954
130.0,3082,1012.497465
180.0,3076,1015.784246
260.0,4618,1020.725065
210.0,2580,1023.483543
140.0,2026,1025.642299
240.0,1674,1027.423749
