#{"t_start": 1614632387.7236426, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
528.0,7594,8.05721
352.0,5836,10.506479
660.0,8263,13.981863
176.0,5140,16.135984
132.0,4433,17.986604
308.0,5413,20.242523
176.0,4707,44.968059
528.0,7734,48.232114
528.0,7249,51.285888
528.0,6805,54.1483
264.0,3885,55.769359
264.0,4074,57.470668
264.0,4967,59.54932
708.0,7985,84.270952
484.0,7181,87.28689
484.0,6282,89.913733
308.0,6205,92.520215
352.0,5827,94.965517
264.0,4453,96.83024
132.0,4125,98.557151
308.0,3999,122.711572
484.0,5091,124.842701
484.0,6469,127.56711
352.0,6043,130.113227
88.0,3667,131.64098
440.0,5952,134.142684
440.0,6535,136.891717
220.0,3897,138.521366
396.0,6475,164.683552
264.0,4009,166.359147
440.0,5895,168.83567
220.0,4269,170.62387
396.0,5481,172.92392
132.0,4417,174.771103
352.0,4921,176.841179
308.0,4341,178.66025
220.0,4048,205.273663
132.0,4323,208.960785
440.0,5865,214.005645
308.0,4985,218.290405
220.0,4387,222.04626
616.0,7197,228.294844
572.0,7422,234.726846
220.0,4797,266.662057
264.0,4577,270.64745
264.0,7667,277.352606
572.0,6877,283.266864
396.0,7299,289.550162
264.0,4221,293.187647
616.0,7027,299.361668
484.0,4117,330.762965
484.0,7009,336.84714
308.0,4907,341.182257
220.0,4667,345.269522
440.0,7075,351.540391
220.0,5357,356.248216
440.0,6043,361.601149
176.0,4553,391.006491
176.0,4281,394.792572
176.0,5857,399.977942
440.0,6573,405.820154
220.0,5805,410.913619
264.0,4509,414.821314
220.0,7377,421.30822
264.0,6219,468.752599
132.0,3540,471.860544
352.0,4735,476.060041
176.0,3671,479.331774
396.0,5323,484.097448
352.0,4930,488.506253
132.0,4379,492.454081
264.0,5453,497.375736
440.0,5299,502.140821
220.0,3809,529.849668
572.0,8591,537.634623
484.0,5531,542.639843
264.0,5405,547.521913
616.0,6820,553.68132
264.0,3991,557.247742
440.0,7281,563.768617
352.0,5171,602.575806
396.0,5935,607.904292
132.0,4381,611.887966
308.0,3915,615.464045
220.0,3739,618.844012
1140.0,13631,631.392296
264.0,5887,668.952766
220.0,3721,672.363128
352.0,6695,678.524748
396.0,5925,683.991478
132.0,4233,687.842415
440.0,6227,693.528625
308.0,3891,697.071235
352.0,7097,703.547403
132.0,5271,742.267531
440.0,6177,747.911304
484.0,6741,754.175953
528.0,6753,760.49448
132.0,6035,766.090746
708.0,9379,774.841788
308.0,6291,815.990164
484.0,6129,821.763638
440.0,6860,828.147395
88.0,5283,833.060549
132.0,3326,836.106154
440.0,6613,842.268283
352.0,6166,881.505581
308.0,6291,887.394994
352.0,6741,893.783671
708.0,7859,901.268867
176.0,7177,908.072383
528.0,6273,914.028964
308.0,7899,956.452583
308.0,6039,962.172346
352.0,4509,966.407948
484.0,7229,973.218343
440.0,5253,978.20592
660.0,7739,985.659005
484.0,5857,991.261981
396.0,6415,1026.643077
132.0,4377,1030.862598
396.0,7159,1037.786285
264.0,6290,1043.870341
396.0,6405,1049.986188
132.0,6039,1055.736233
308.0,5945,1095.121676
220.0,6127,1101.007754
396.0,6653,1107.674636
308.0,6539,1114.070415
484.0,7300,1121.21559
176.0,6813,1127.900857
220.0,3915,1131.765305
88.0,5557,1175.969577
660.0,9217,1184.924563
264.0,7445,1192.219672
352.0,4812,1196.946357
308.0,5303,1202.173313
528.0,7101,1209.199643
660.0,10345,1275.130018
352.0,7395,1282.48249
396.0,7967,1290.40086
264.0,4509,1294.88121
176.0,4471,1299.314304
132.0,4212,1303.502704
308.0,8171,1369.517575
88.0,5194,1374.632431
132.0,4384,1378.949271
220.0,5151,1384.067933
220.0,7674,1391.704583
220.0,3783,1395.440642
396.0,6091,1401.472006
352.0,7485,1451.771749
352.0,6733,1458.457203
396.0,6135,1464.609035
484.0,7591,1472.27566
352.0,6277,1478.609438
396.0,5821,1484.439806
308.0,7543,1535.216469
44.0,4936,1540.117332
264.0,4650,1544.801514
88.0,6475,1551.365126
852.0,11495,1563.051913
264.0,5022,1568.139043
660.0,7869,1650.828376
528.0,7883,1658.889314
176.0,7969,1667.004013
440.0,5123,1672.184433
352.0,5003,1677.216748
44.0,6065,1683.453446
352.0,8210,1751.437026
264.0,5063,1756.602606
352.0,6521,1763.260662
660.0,7729,1771.173915
440.0,5535,1776.842134
572.0,6239,1783.259307
220.0,5695,1789.088775
528.0,6601,1834.21591
396.0,5989,1840.366733
528.0,6051,1846.570191
308.0,6929,1853.655218
396.0,4824,1858.55109
132.0,8599,1867.403651
528.0,5819,1924.268277
132.0,6001,1930.421661
528.0,6717,1937.306088
352.0,6701,1944.156159
616.0,9735,1954.228358
484.0,6407,1960.798241
616.0,7815,2038.98226
660.0,8866,2048.155112
528.0,6561,2054.922211
220.0,5016,2060.063329
176.0,5569,2065.775814
220.0,3999,2069.834649
264.0,7213,2109.576992
440.0,6789,2116.485444
176.0,6335,2122.955576
484.0,8238,2131.484303
756.0,9381,2141.19661
528.0,6018,2182.210719
352.0,7157,2189.592709
308.0,4171,2193.878173
396.0,6149,2200.148687
132.0,5342,2205.598134
308.0,6303,2211.981945
572.0,7255,2219.456131
132.0,4447,2294.375483
440.0,7615,2302.20526
616.0,10723,2313.257628
352.0,6179,2319.613779
660.0,7621,2327.495813
660.0,7265,2392.061999
660.0,9513,2401.947607
308.0,6825,2408.999995
132.0,4021,2413.133393
660.0,8189,2421.573628
616.0,9523,2431.390146
660.0,7357,2494.07602
660.0,7955,2502.316421
484.0,6219,2508.740489
572.0,5931,2514.822457
44.0,4281,2519.181878
616.0,9350,2528.753157
572.0,6881,2576.427024
308.0,6655,2583.288997
264.0,4715,2588.13711
264.0,4981,2593.284804
396.0,6571,2600.055402
528.0,5960,2606.155108
660.0,9479,2675.992653
484.0,6415,2682.621165
176.0,3354,2686.074884
176.0,7401,2693.684686
660.0,9699,2703.704628
616.0,9042,2713.073364
132.0,3687,2753.061074
616.0,7197,2760.510329
132.0,3615,2764.231794
440.0,6009,2770.44599
484.0,6689,2777.348941
572.0,6743,2784.25675
176.0,4483,2788.78659
528.0,6651,2837.170372
484.0,4733,2841.999625
528.0,7247,2849.517318
660.0,7419,2857.223292
308.0,6035,2863.478636
440.0,5093,2868.758407
572.0,6205,2935.252562
132.0,4813,2940.244777
616.0,9014,2949.565029
352.0,4243,2953.92774
484.0,5921,2960.06996
804.0,10729,2971.169757
616.0,7755,3029.470287
396.0,5174,3034.809584
660.0,6423,3041.476459
572.0,5741,3047.39986
572.0,5999,3053.619698
572.0,6765,3060.561755
660.0,7727,3100.213746
660.0,6567,3106.959312
528.0,5901,3112.987285
660.0,6545,3119.727798
484.0,4667,3124.520051
396.0,6467,3131.246121
528.0,4997,3136.424324
220.0,4091,3140.634048
660.0,5691,3208.42481
264.0,3403,3211.885153
396.0,3943,3215.954216
396.0,4695,3220.789695
572.0,5249,3226.213959
396.0,3789,3230.121737
572.0,4893,3235.186803
572.0,4915,3240.239815
264.0,4159,3244.498217
264.0,3867,3293.708265
660.0,7375,3301.32829
572.0,5549,3307.05066
660.0,7007,3314.329807
660.0,6701,3321.254926
616.0,5411,3326.845347
308.0,3983,3330.95378
308.0,6435,3372.154943
660.0,7082,3379.498139
528.0,5059,3384.71987
616.0,4953,3389.811656
660.0,6967,3396.994977
756.0,10017,3407.386896
352.0,4339,3466.33025
396.0,6649,3473.261245
660.0,7117,3480.598325
396.0,5043,3485.736724
660.0,7284,3493.175441
660.0,7642,3501.120155
756.0,8347,3547.682243
616.0,7473,3555.455107
352.0,4415,3560.026188
660.0,6886,3567.205219
484.0,7043,3574.462444
440.0,5195,3579.808767
308.0,4991,3619.950467
660.0,7459,3627.652783
440.0,5067,3632.864871
660.0,5861,3638.928812
660.0,6418,3645.596772
616.0,5297,3651.086341
616.0,5721,3656.989996
616.0,7379,3693.617618
308.0,3373,3697.096378
396.0,7355,3704.751598
484.0,5297,3710.174448
660.0,4825,3715.0772
352.0,5861,3721.086112
440.0,6105,3727.406247
616.0,6431,3795.81572
660.0,8617,3804.774766
660.0,5481,3810.448923
708.0,5407,3816.032552
708.0,4759,3820.933387
660.0,5009,3826.125697
484.0,4702,3830.967267
264.0,3167,3834.227916
396.0,4661,3887.686895
616.0,5665,3893.564593
572.0,6417,3900.196382
528.0,4261,3904.570624
440.0,4643,3909.351799
756.0,5663,3915.196927
660.0,6215,3921.66607
264.0,4645,3956.037633
572.0,5573,3961.770304
852.0,6665,3968.703779
660.0,5468,3974.386985
1332.0,8677,3983.416468
660.0,6857,3990.533591
572.0,4856,3995.458306
528.0,6655,4046.613922
616.0,7141,4053.916104
948.0,6505,4060.644809
660.0,6591,4067.496048
572.0,6623,4074.364349
756.0,5539,4080.12616
660.0,5695,4120.068218
660.0,6847,4127.184844
660.0,5071,4132.421208
440.0,4438,4136.978721
660.0,7662,4144.901465
660.0,7869,4153.061572
660.0,6855,4203.499666
852.0,6133,4209.906916
900.0,8195,4218.469505
572.0,5063,4223.706859
660.0,6985,4230.857031
396.0,5169,4236.164249
440.0,3719,4239.966845
660.0,6392,4285.941351
660.0,6166,4292.346839
264.0,4537,4297.062481
804.0,7352,4304.712035
616.0,6660,4311.645045
616.0,5091,4316.895234
660.0,5303,4322.362368
396.0,4709,4372.791161
660.0,6755,4379.805211
484.0,5603,4385.62693
756.0,7112,4392.987326
660.0,4871,4397.992635
616.0,7131,4405.379202
660.0,6009,4442.796046
396.0,5235,4448.233222
396.0,4089,4452.450154
708.0,6007,4458.608312
660.0,5877,4464.622744
616.0,5953,4470.706051
572.0,4479,4475.327576
528.0,5701,4481.228039
352.0,5327,4517.200159
660.0,5467,4522.807493
308.0,3657,4526.577358
440.0,4575,4531.286991
528.0,5663,4537.165621
660.0,6157,4543.568141
660.0,7327,4551.15488
264.0,3886,4555.118523
660.0,6687,4590.485872
572.0,6001,4596.720332
484.0,5643,4602.541652
616.0,7045,4609.815709
440.0,7003,4617.055908
528.0,5505,4622.762683
396.0,4447,4660.461876
660.0,5585,4666.23456
660.0,6775,4673.26887
396.0,4777,4678.230762
852.0,6083,4684.556483
572.0,7299,4692.125321
660.0,4817,4697.025036
264.0,4451,4750.831764
396.0,3775,4754.687735
572.0,5777,4760.637009
528.0,5401,4766.23272
132.0,3721,4770.089589
660.0,5094,4775.371898
264.0,4107,4779.593477
660.0,10505,4790.496243
660.0,9170,4857.350827
352.0,3617,4861.066346
220.0,3057,4864.205435
440.0,4227,4868.590461
660.0,4863,4873.642709
572.0,6027,4879.907865
528.0,5907,4886.020499
660.0,7395,4917.121554
264.0,4885,4922.195495
528.0,4698,4927.063326
660.0,5713,4932.993842
660.0,8597,4941.880804
572.0,4605,4946.603617
616.0,4123,4950.843304
708.0,4579,4955.566301
352.0,4753,4986.287354
660.0,6441,4992.929886
484.0,5315,4998.418483
308.0,3813,5002.379056
1140.0,8919,5011.665848
852.0,6583,5018.532422
352.0,4481,5023.143051
352.0,4407,5055.911269
708.0,6522,5062.713332
308.0,3957,5066.814455
264.0,3737,5070.684322
756.0,6273,5077.162991
660.0,7067,5084.392818
616.0,5071,5089.539942
616.0,5117,5147.88571
660.0,7807,5156.026433
528.0,5995,5162.255449
264.0,3577,5165.95456
616.0,5005,5171.14049
440.0,5357,5176.642735
572.0,6325,5183.17506
528.0,3607,5186.862769
708.0,5549,5229.34941
616.0,6469,5236.053115
352.0,4259,5240.476516
528.0,7143,5247.920895
352.0,4053,5252.128861
660.0,7861,5260.289914
440.0,4777,5265.172167
616.0,7857,5311.168257
572.0,5426,5316.707138
220.0,3297,5320.062504
660.0,4360,5324.5121
616.0,4731,5329.332123
308.0,6221,5335.781138
528.0,5737,5341.725679
660.0,5872,5403.130426
660.0,9173,5412.600988
660.0,5991,5418.776669
616.0,5739,5424.734035
708.0,7165,5432.186932
660.0,5129,5437.493931
804.0,11115,5503.100489
660.0,7559,5510.87517
756.0,13091,5524.481482
396.0,4209,5528.828893
616.0,6488,5535.560512
264.0,4329,5594.646702
308.0,3783,5598.5269
708.0,9185,5608.02914
616.0,6045,5614.318571
852.0,9263,5623.95211
396.0,3625,5627.686781
708.0,8317,5686.123231
616.0,8051,5694.430398
440.0,5787,5700.400516
1140.0,10755,5711.614629
528.0,4754,5716.545445
572.0,5259,5722.007775
756.0,10115,5771.583309
264.0,3833,5775.572029
660.0,11481,5787.472961
616.0,8675,5796.380186
264.0,3819,5800.279222
616.0,6318,5806.82709
660.0,8287,5861.93532
660.0,5503,5867.67396
660.0,7879,5875.856082
660.0,4084,5880.090312
900.0,7399,5887.786683
804.0,7433,5895.472806
660.0,7555,5962.105927
660.0,4204,5966.468309
528.0,5049,5971.731168
660.0,6885,5978.870339
484.0,4865,5983.848239
660.0,4295,5988.238787
1284.0,9187,6037.495256
660.0,8693,6046.466946
804.0,5713,6052.393367
948.0,8283,6061.017406
572.0,4384,6065.573192
572.0,6787,6072.626509
616.0,8869,6118.85096
572.0,5531,6124.571446
756.0,5393,6130.144437
660.0,5356,6135.67995
572.0,5078,6140.942614
804.0,7559,6148.842013
756.0,8211,6191.701815
660.0,5578,6197.521317
660.0,5591,6203.347091
660.0,5063,6208.627535
616.0,7291,6216.178856
708.0,8711,6225.102154
660.0,4951,6230.179457
616.0,7123,6277.909168
528.0,6823,6284.967896
528.0,5481,6290.653388
660.0,6321,6297.245589
528.0,4378,6301.793222
660.0,8955,6311.119789
660.0,6272,6360.960878
660.0,7622,6368.864737
308.0,4045,6373.03954
660.0,7949,6381.295967
996.0,8449,6390.134857
1044.0,7704,6398.200459
708.0,7353,6446.204499
996.0,5906,6452.373116
660.0,7623,6460.218546
660.0,5719,6466.060745
852.0,7883,6474.188024
852.0,8301,6549.54842
660.0,4865,6554.557179
804.0,6547,6561.324949
660.0,7015,6568.620613
1332.0,10487,6579.564281
804.0,8291,6588.182601
1484.0,10697,6641.985226
1284.0,7353,6649.565221
708.0,5152,6654.897206
660.0,6523,6661.619474
1284.0,7321,6669.260179
900.0,8031,6720.860268
1092.0,8125,6729.352275
1140.0,7615,6737.321505
996.0,6881,6744.459338
756.0,5453,6750.087065
948.0,7027,6757.294615
996.0,5352,6807.016727
852.0,4855,6812.049078
1380.0,9195,6821.603664
660.0,6627,6828.499549
1188.0,9447,6838.387765
660.0,5283,6843.874076
1044.0,11233,6917.720861
1692.0,10907,6929.190378
852.0,5655,6935.07772
1640.0,8799,6944.199435
852.0,6925,7002.884949
660.0,3931,7006.959299
1140.0,8187,7015.530135
804.0,5819,7021.58286
948.0,8610,7030.573699
1332.0,7227,7038.090329
1332.0,7551,7094.700884
1380.0,8725,7103.857265
948.0,7113,7111.298692
3028.0,12035,7123.842323
1236.0,7717,7131.845306
756.0,5377,7184.876592
1432.0,9281,7194.618925
708.0,7321,7202.26029
1284.0,7551,7210.162408
1332.0,8761,7219.306093
2608.0,12661,7284.997112
1284.0,9542,7294.98068
708.0,7229,7302.515173
1188.0,11833,7314.866767
1140.0,9009,7387.264716
1380.0,10867,7398.665958
1284.0,12066,7411.125174
948.0,7643,7419.028099
1380.0,8137,7486.126728
1380.0,12178,7498.899066
1044.0,13959,7513.464233
900.0,10321,7628.927427
996.0,11079,7640.552025
708.0,10603,7651.504734
1092.0,10601,7662.474533
660.0,8429,7723.744545
2832.0,14737,7739.246134
996.0,8153,7747.697572
804.0,4917,7752.762677
708.0,5157,7758.046694
1140.0,9568,7826.266669
1284.0,9051,7835.768911
1188.0,9109,7845.241546
1952.0,13371,7859.20732
1432.0,8722,7959.887805
1432.0,10505,7970.894085
1380.0,8293,7979.522186
1188.0,8654,7988.41357
852.0,6929,7995.564761
1380.0,8775,8070.104261
1332.0,8628,8079.117783
1284.0,6511,8085.896288
3420.0,19025,8176.684624
2972.0,11947,8189.166728
3140.0,15199,8205.105261
2496.0,13139,8299.887973
1900.0,9818,8310.225533
2056.0,10483,8321.236288
4680.0,17567,8339.435168
3660.0,19035,8435.192266
3308.0,14981,8450.872655
1848.0,10449,8532.318709
1380.0,10161,8542.98294
1188.0,6653,8549.932074
1432.0,10772,8561.154522
1640.0,11565,8653.283973
3180.0,16797,8670.800797
2160.0,11245,8682.493102
1952.0,9629,8692.587053
2108.0,12747,8816.753806
1640.0,11527,8828.745686
2160.0,13283,8842.668679
5812.0,24137,8966.08089
3420.0,14692,8981.60882
2004.0,11345,9071.724679
3750.0,18013,9090.842135
2160.0,12594,9104.155353
3180.0,15273,9206.538339
3964.0,20731,9228.623201
2160.0,13042,9319.539517
7260.0,27209,9348.578651
5676.0,23756,9490.525263
4770.0,17725,9509.194638
2552.0,14109,9656.42599
6750.0,22939,9680.791545
4320.0,19265,9794.338414
5282.0,20747,9816.357056
6240.0,25645,9952.427931
5182.0,20927,9974.663453
3000.0,13705,10104.706096
4348.0,20639,10126.906395
1900.0,12271,10269.839434
6062.0,21875,10293.315233
2004.0,11721,10305.810707
3870.0,17695,10440.406164
4990.0,17646,10459.391904
2888.0,14385,10595.14363
6490.0,20719,10617.460733
4996.0,22499,10769.958165
5054.0,22509,10794.169243
2004.0,11140,10934.990543
2888.0,16745,10952.983708
2272.0,13901,10967.845049
5540.0,23569,11142.239763
6528.0,25839,11323.745272
7264.0,30442,11356.520389
4414.0,18777,11544.125738
4476.0,19075,11564.525486
4284.0,18135,11714.880966
5846.0,21749,11738.285182
5212.0,20655,11911.23677
1952.0,9783,11921.675375
4834.0,18879,12091.19978
5446.0,18555,12111.067973
9690.0,36031,12295.200661
4156.0,20939,12317.945647
6164.0,23819,12531.862418
7302.0,26887,12692.655041
6802.0,24333,12719.063163
7920.0,24926,12870.323802
6138.0,23615,12896.01364
7230.0,26921,13091.27289
8832.0,34341,13291.088602
7386.0,26675,13451.227551
8660.0,34739,13645.838058
4320.0,17911,13665.156432
3964.0,18175,13684.741032
3660.0,18321,13874.416547
9540.0,33709,14078.650607
4668.0,18661,14098.841159
11058.0,36727,14291.753715
8154.0,29801,14488.625354
4412.0,20765,14511.093202
4770.0,17577,14713.031623
5760.0,22302,14737.099051
5662.0,21217,14909.089771
10260.0,31643,15101.732368
5476.0,26909,15130.893777
6390.0,30007,15323.547148
4350.0,17067,15480.259434
2636.0,14423,15495.713518
9496.0,26563,15658.267268
8476.0,28759,15689.29654
4220.0,21449,15834.743114
6984.0,24391,15860.969176
4798.0,19967,16043.433486
9130.0,28699,16217.590179
8680.0,31503,16251.551123
2664.0,12155,16414.537006
7182.0,25651,16441.902781
3420.0,15039,16632.492054
10200.0,32155,16821.344474
8018.0,27663,16850.876003
4348.0,17808,17026.863416
5568.0,19219,17047.267804
5184.0,20041,17218.564557
3420.0,15897,17235.406215
7398.0,25601,17398.090773
7652.0,31263,17431.585242
9538.0,27485,17653.970231
2552.0,14556,17817.550252
10170.0,37891,17858.054001
6082.0,20600,18046.059156
4350.0,16171,18063.196321
4542.0,18825,18256.787935
7936.0,25450,18411.225839
4926.0,19337,18431.812549
