#{"t_start": 1614629826.1891553, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,821,4.38092
1.0,716,4.678014
0.0,531,4.900265
0.0,519,5.118927
5.0,1314,5.670797
1.0,692,5.963327
0.0,532,6.18566
3.0,937,6.578637
0.0,518,6.796711
0.0,516,7.014278
1.0,632,7.27981
2.0,922,7.662502
0.0,535,7.883559
1.0,627,8.148669
1.0,647,8.416442
0.0,517,8.630433
2.0,812,8.97284
0.0,520,9.192181
0.0,535,9.415095
2.0,807,9.755219
1.0,642,10.020221
0.0,507,10.234285
0.0,517,10.453244
6.0,1622,11.129245
4.0,1221,11.636518
1.0,710,11.934633
2.0,808,12.271961
0.0,541,12.496286
0.0,524,12.716942
0.0,535,12.938694
3.0,1001,13.357189
0.0,517,13.57609
1.0,705,13.871792
0.0,515,14.087551
4.0,1065,14.530479
1.0,625,14.792723
1.0,644,15.060585
4.0,1226,15.572555
1.0,651,15.843075
1.0,651,16.113938
2.0,900,16.489954
1.0,710,16.787813
0.0,511,17.003695
1.0,647,17.273316
0.0,536,17.496901
2.0,912,17.876269
0.0,539,18.099708
3.0,938,18.491729
0.0,497,18.702017
0.0,529,18.922306
1.0,688,19.214408
0.0,530,19.435032
1.0,640,19.703918
1.0,710,19.998343
0.0,516,20.215312
0.0,519,20.430339
0.0,519,20.646316
1.0,637,20.91435
0.0,543,21.139383
0.0,511,21.355835
1.0,704,21.651366
4.0,1199,22.153832
7.0,1296,25.745012
0.0,521,25.962268
0.0,503,26.175448
1.0,726,26.477223
0.0,528,26.697226
0.0,515,26.911536
1.0,725,27.218031
0.0,531,27.440024
1.0,616,27.699903
0.0,527,27.918664
1.0,691,28.210081
4.0,1212,28.716991
0.0,526,28.936715
0.0,533,29.15965
2.0,812,29.502505
2.0,817,29.845332
1.0,686,30.13475
2.0,823,30.480605
3.0,1028,30.907425
4.0,1144,31.388472
0.0,527,31.608544
3.0,935,32.001382
1.0,693,32.292094
1.0,693,32.584569
3.0,997,33.002492
0.0,519,33.220748
4.0,1280,33.756922
2.0,890,34.130601
1.0,739,34.43661
0.0,522,34.656568
1.0,731,34.960155
1.0,713,35.261337
0.0,518,35.475848
2.0,812,35.815931
6.0,1610,36.489435
1.0,719,36.789627
1.0,651,37.060129
2.0,823,37.406529
0.0,524,37.627214
2.0,906,38.004993
1.0,702,38.299746
2.0,887,38.672147
0.0,521,38.892813
1.0,625,39.156299
4.0,1126,39.629521
0.0,501,39.842167
2.0,821,40.186124
1.0,690,40.477164
4.0,1173,40.968103
1.0,702,41.264614
1.0,693,41.557767
1.0,703,41.852775
0.0,515,42.070288
2.0,821,42.413759
6.0,1594,43.080999
0.0,522,43.300639
0.0,537,43.524382
2.0,901,43.899692
1.0,642,47.013977
1.0,685,47.303452
2.0,804,47.640541
3.0,1119,48.107636
1.0,633,48.373385
1.0,626,48.636559
1.0,649,48.906674
0.0,526,49.127314
1.0,700,49.419668
0.0,493,49.628344
1.0,698,49.921396
0.0,543,50.145831
5.0,1403,50.728864
3.0,1000,51.148393
0.0,519,51.36614
5.0,1418,51.954695
2.0,800,52.291523
3.0,1102,52.751858
1.0,644,53.020101
0.0,520,53.237909
1.0,698,53.530387
1.0,641,53.798419
0.0,536,54.020983
0.0,525,54.241709
2.0,931,54.628069
0.0,501,54.8401
0.0,521,55.056779
1.0,701,55.350297
3.0,940,55.744794
1.0,633,56.01122
1.0,625,56.272604
0.0,520,56.490249
2.0,801,56.825827
1.0,696,57.11823
1.0,645,57.387158
1.0,639,57.654617
0.0,529,57.875937
4.0,1202,58.379467
1.0,714,58.675552
1.0,635,58.940813
0.0,521,59.16092
3.0,961,59.559504
1.0,654,59.83042
1.0,700,60.123563
0.0,508,60.33876
1.0,644,60.607165
1.0,626,60.872229
1.0,707,61.167814
2.0,809,61.506783
1.0,695,61.799792
0.0,521,62.019192
0.0,521,62.237611
1.0,715,62.537174
3.0,998,62.956492
0.0,507,63.171502
3.0,935,63.563368
0.0,515,63.78171
0.0,506,63.995194
0.0,528,64.212893
1.0,635,64.476668
0.0,521,64.69667
1.0,711,64.992658
0.0,527,65.213763
2.0,892,68.78954
1.0,718,69.087507
0.0,525,69.306905
0.0,514,69.520119
2.0,898,69.895148
0.0,516,70.110614
0.0,521,70.330337
0.0,533,70.55093
1.0,653,70.821748
1.0,707,71.119129
1.0,698,71.411903
3.0,1079,71.863815
0.0,536,72.086729
0.0,532,72.308648
0.0,529,72.529944
0.0,536,72.751399
0.0,535,72.972049
2.0,911,73.349332
4.0,1200,73.849361
1.0,691,74.141285
1.0,709,74.436279
2.0,808,74.776589
1.0,620,75.038328
2.0,811,75.377194
0.0,530,75.598765
1.0,702,75.893919
0.0,522,76.112118
0.0,518,76.329818
0.0,519,76.546976
0.0,533,76.769768
2.0,907,77.147181
3.0,1008,77.57108
0.0,521,77.787982
0.0,523,78.008718
0.0,532,78.230684
0.0,521,78.4492
1.0,655,78.720702
2.0,808,79.05769
1.0,637,79.32335
4.0,1140,79.79854
5.0,1350,80.360061
0.0,527,80.579715
3.0,1006,81.001281
1.0,629,81.266622
0.0,516,81.483046
3.0,980,81.89065
3.0,951,82.285326
0.0,520,82.503248
0.0,541,82.727004
1.0,691,83.016897
5.0,1354,83.578401
2.0,835,83.925897
1.0,702,84.219629
2.0,831,84.565222
3.0,1086,85.020472
5.0,1331,85.574059
2.0,816,85.913507
0.0,535,86.136197
6.0,1358,86.699571
1.0,727,87.001383
0.0,521,90.374399
0.0,493,90.583685
3.0,1093,91.040541
5.0,1398,91.622701
0.0,526,91.842742
1.0,733,92.14731
5.0,1230,92.656805
0.0,531,92.876787
1.0,630,93.140733
4.0,1202,93.644641
0.0,519,93.863867
0.0,507,94.077464
0.0,532,94.297648
0.0,528,94.517498
1.0,712,94.817708
5.0,1418,95.409424
0.0,535,95.63
3.0,962,96.028761
1.0,699,96.320123
2.0,822,96.664698
0.0,499,96.876218
1.0,714,97.172229
0.0,523,97.391932
4.0,1055,97.833036
13.0,1906,98.625344
4.0,1228,99.135335
2.0,826,99.480582
0.0,527,99.701293
1.0,700,99.996255
2.0,922,100.379066
0.0,517,100.597642
2.0,821,100.939998
0.0,523,101.159542
1.0,613,101.418295
2.0,888,101.789852
1.0,728,102.092039
8.0,1502,102.718917
3.0,1024,103.144367
0.0,537,103.371807
1.0,695,103.664167
0.0,503,103.876741
