#{"t_start": 1614852763.4426186, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.143055
14.0,14,2.144739
26.0,26,2.148645
13.0,13,2.150226
45.0,45,2.156761
13.0,13,2.158345
33.0,33,2.162644
35.0,35,2.167827
22.0,22,2.170712
14.0,14,2.172346
29.0,29,2.176504
11.0,11,2.177983
10.0,10,2.179446
20.0,20,2.182227
13.0,13,2.184577
15.0,15,2.186283
22.0,22,2.189151
16.0,16,2.191692
26.0,26,2.194775
19.0,19,2.197447
40.0,40,2.202896
63.0,63,2.212022
10.0,10,2.213488
21.0,21,2.216314
25.0,25,2.219362
29.0,29,2.223431
19.0,19,2.226131
20.0,20,2.228873
34.0,34,2.233257
15.0,15,2.235746
19.0,19,2.238456
19.0,19,2.241157
12.0,12,2.242683
13.0,13,2.24426
19.0,19,2.246989
18.0,18,2.249706
26.0,26,2.253597
20.0,20,2.256358
16.0,16,2.258122
35.0,35,2.26333
16.0,16,2.265083
11.0,11,2.266544
12.0,12,2.268833
12.0,12,2.270371
12.0,12,2.271895
9.0,9,2.273255
22.0,22,2.276146
19.0,19,2.278878
62.0,62,2.887919
20.0,20,2.892582
11.0,11,2.89537
14.0,14,2.89924
22.0,22,2.903906
16.0,16,2.906482
12.0,12,2.909325
14.0,14,2.912937
13.0,13,2.914634
19.0,19,2.918479
16.0,16,2.921118
21.0,21,2.925774
72.0,72,3.37005
64.0,64,3.384817
10.0,10,3.388974
49.0,49,3.398546
10.0,10,3.4011
22.0,22,3.408382
10.0,10,3.411057
12.0,12,3.414663
27.0,27,3.419989
36.0,36,3.858899
40.0,40,3.870779
14.0,14,3.875324
19.0,19,3.879168
21.0,21,3.88858
13.0,13,3.892046
39.0,39,3.899769
12.0,12,3.904238
108.0,108,4.368539
52.0,52,4.384081
59.0,59,4.402704
18.0,18,4.409171
65.0,65,4.424706
31.0,31,4.436082
31.0,31,4.879362
40.0,40,4.89126
42.0,42,4.904427
24.0,24,4.911991
26.0,26,4.91912
31.0,31,4.928083
25.0,25,4.933716
56.0,56,5.384311
119.0,119,5.423259
14.0,14,5.426676
42.0,42,5.440953
50.0,50,5.457441
48.0,48,5.859062
24.0,24,5.865026
20.0,20,5.869793
17.0,17,5.874089
48.0,48,5.8887
22.0,22,5.895737
24.0,24,5.903794
