#{"t_start": 1615294407.6652124, "env_id": "EnduroNoFrameskip-v4"}
r,l,t
0.0,13312,20.174123
0.0,13312,25.485404
0.0,13312,30.805388
0.0,13312,36.106561
0.0,13312,41.407449
0.0,13312,46.715184
0.0,13312,51.996574
0.0,13312,57.331729
0.0,13312,62.617421
0.0,13312,67.882586
0.0,13312,73.134426
0.0,13312,78.439428
0.0,13312,83.786043
0.0,13312,89.098335
0.0,13312,94.425565
0.0,13312,169.640445
0.0,13312,186.539708
0.0,13312,203.468519
0.0,13312,220.310212
0.0,13312,237.231171
0.0,13312,254.19573
0.0,13312,271.193314
0.0,13312,288.19336
0.0,13312,305.270985
0.0,13312,322.394749
0.0,13312,339.571868
0.0,13312,356.867059
0.0,13312,374.224874
0.0,13312,391.551059
0.0,13312,408.864738
0.0,13312,487.596454
0.0,13312,505.007342
0.0,13312,522.538683
0.0,13312,540.027326
0.0,13312,557.633006
0.0,13312,575.198704
0.0,13312,592.915389
0.0,13312,610.587122
0.0,13312,628.336854
0.0,13312,646.146526
0.0,13312,663.989097
0.0,13312,681.958878
0.0,13312,699.925061
0.0,13312,717.970904
0.0,13312,735.989893
0.0,13312,819.819277
0.0,13312,837.905087
0.0,13312,856.074708
0.0,13312,874.307191
0.0,13312,892.573272
7.0,13312,910.867393
0.0,13312,929.272266
0.0,13312,947.695459
0.0,13312,966.124326
0.0,13312,984.603589
0.0,13312,1003.176215
1.0,13312,1021.783432
0.0,13312,1040.470026
13.0,13312,1059.160087
0.0,13312,1077.905209
15.0,13312,1166.486982
0.0,13312,1185.219452
1.0,13312,1203.956921
0.0,13312,1222.743506
0.0,13312,1241.549996
0.0,13312,1260.379889
0.0,13312,1279.272913
0.0,13312,1298.213129
0.0,13312,1317.214842
0.0,13312,1336.332369
0.0,13312,1355.463245
0.0,13312,1374.628032
0.0,13312,1393.885428
0.0,13312,1413.190521
0.0,13312,1432.573556
0.0,13312,1526.17466
0.0,13312,1545.503283
0.0,13312,1564.841833
0.0,13312,1584.172464
3.0,13312,1603.510011
0.0,13312,1622.889925
0.0,13312,1642.23966
0.0,13312,1661.603315
0.0,13312,1680.947384
0.0,13312,1700.301766
6.0,13312,1719.684224
0.0,13312,1739.04684
2.0,13312,1758.36816
0.0,13312,1777.714751
0.0,13312,1797.073811
0.0,13312,1889.318425
0.0,13312,1908.627514
10.0,13312,1927.952048
2.0,13312,1947.270191
0.0,13312,1966.587408
1.0,13312,1985.921122
0.0,13312,2005.259213
0.0,13312,2024.575236
1.0,13312,2043.866641
1.0,13312,2063.178927
1.0,13312,2082.484877
4.0,13312,2101.768914
0.0,13312,2121.084769
12.0,13312,2140.457111
3.0,13312,2159.784581
2.0,13312,2253.65929
0.0,13312,2273.015531
15.0,13312,2292.364618
0.0,13312,2311.746947
0.0,13312,2331.10873
1.0,13312,2350.460384
0.0,13312,2369.816424
0.0,13312,2389.195783
0.0,13312,2408.552403
2.0,13312,2427.946986
0.0,13312,2447.327175
3.0,13312,2466.707903
2.0,13312,2486.077494
7.0,13312,2505.470871
2.0,13312,2524.825657
8.0,13312,2618.62923
0.0,13312,2637.961602
0.0,13312,2657.330642
5.0,13312,2676.673433
6.0,13312,2696.021232
1.0,13312,2715.378766
17.0,13312,2734.74146
4.0,13312,2754.06722
3.0,13312,2773.395418
6.0,13312,2792.723252
0.0,13312,2812.062196
41.0,13312,2831.399151
3.0,13312,2850.797688
23.0,13312,2870.206017
10.0,13312,2889.648052
21.0,13312,2983.744022
17.0,13312,3003.149299
18.0,13312,3022.571063
44.0,13312,3041.976829
47.0,13312,3061.395158
59.0,13312,3080.820308
80.0,13312,3100.254301
20.0,13312,3119.684288
13.0,13312,3139.118715
55.0,13312,3158.542437
88.0,13312,3177.986232
149.0,13312,3197.363303
99.0,13312,3216.75622
82.0,13312,3236.130171
117.0,13312,3255.511172
126.0,13312,3349.629009
116.0,13312,3369.042046
52.0,13312,3388.450386
147.0,13312,3407.859695
115.0,13312,3427.285623
145.0,13312,3446.70567
114.0,13312,3466.125564
139.0,13312,3485.552077
130.0,13312,3504.98536
27.0,13312,3524.429687
92.0,13312,3543.850672
119.0,13312,3563.292849
130.0,13312,3582.688591
135.0,13312,3602.077435
125.0,13312,3621.481244
52.0,13312,3715.517151
115.0,13312,3734.896114
98.0,13312,3754.274045
125.0,13312,3773.649225
188.0,13312,3793.02237
156.0,13312,3812.418563
149.0,13312,3831.80001
91.0,13312,3851.167433
110.0,13312,3870.555321
131.0,13312,3889.956144
164.0,13312,3909.325016
139.0,13312,3928.68117
143.0,13312,3948.056053
354.0,26624,3986.853751
170.0,13312,4103.134985
186.0,13312,4122.560677
187.0,13312,4141.971343
127.0,13312,4161.386974
149.0,13312,4180.805706
126.0,13312,4200.206982
172.0,13312,4219.619119
183.0,13312,4239.033184
191.0,13312,4258.469422
92.0,13312,4277.919868
155.0,13312,4297.318272
160.0,13312,4316.726041
164.0,13312,4336.157054
154.0,13312,4355.588754
105.0,13312,4375.008507
130.0,13312,4468.790678
391.0,26624,4507.742998
361.0,26624,4546.680476
376.0,26624,4585.573504
177.0,13312,4604.991565
177.0,13312,4624.391169
349.0,26624,4663.266506
180.0,13312,4682.69094
378.0,26624,4721.577078
386.0,26624,4885.475499
184.0,13312,4904.830391
182.0,13312,4924.229983
421.0,26624,4963.026225
151.0,13312,4982.405862
410.0,26624,5021.212418
169.0,13312,5040.594552
424.0,26624,5079.450395
356.0,26624,5118.267797
360.0,26624,5157.047073
479.0,26624,5337.096649
450.0,26624,5375.931951
311.0,26624,5414.774049
406.0,26624,5453.59172
484.0,26624,5492.560385
410.0,26624,5531.4303
463.0,26624,5570.279388
698.0,39936,5785.222208
411.0,26624,5824.065596
462.0,26624,5862.934519
714.0,39936,5921.341477
690.0,39936,5979.784923
416.0,26624,6018.730024
421.0,26624,6222.05885
466.0,26624,6261.058525
489.0,26624,6300.158195
447.0,26624,6339.238286
464.0,26624,6378.228585
415.0,26624,6417.172399
487.0,26624,6456.141865
487.0,26624,6495.137053
729.0,39936,6746.336456
694.0,39936,6804.761392
460.0,26624,6843.841158
796.0,39936,6902.471962
645.0,39936,6961.099444
470.0,26624,7201.126307
728.0,39936,7259.586219
459.0,26624,7298.661657
464.0,26624,7337.793379
710.0,39936,7396.481135
662.0,39936,7455.216147
496.0,26624,7694.893796
437.0,26624,7733.866142
709.0,39936,7792.289844
482.0,26624,7831.111079
482.0,26624,7869.99983
423.0,26624,7908.835131
786.0,39936,7967.203981
493.0,26624,8222.987462
456.0,26624,8262.147594
727.0,39936,8320.933065
771.0,39936,8379.615638
487.0,26624,8418.678671
682.0,39936,8477.367929
469.0,26624,8784.619967
455.0,26624,8823.587418
494.0,26624,8862.548398
914.0,53248,8940.5706
497.0,26624,8979.564255
476.0,26624,9018.572366
772.0,39936,9307.483615
764.0,39936,9365.729368
457.0,26624,9404.530125
719.0,39936,9462.744735
441.0,26624,9501.522456
777.0,39936,9559.718453
789.0,39936,9819.24615
437.0,26624,9858.067247
713.0,39936,9916.339643
732.0,39936,9974.621462
704.0,39936,10032.904534
725.0,39936,10322.634715
643.0,39936,10380.962512
1033.0,53248,10458.71841
769.0,39936,10516.999506
485.0,26624,10555.779094
974.0,53248,10842.37792
1042.0,53248,10920.132086
1082.0,53248,10997.925634
1008.0,53248,11075.633879
776.0,39936,11394.978948
1015.0,53248,11472.734399
1049.0,53248,11550.468915
766.0,39936,11608.792151
843.0,53248,11963.587608
706.0,39936,12021.830638
702.0,39936,12080.041763
710.0,39936,12138.263566
780.0,39936,12196.494726
1046.0,53248,12587.382305
750.0,39936,12645.651419
786.0,39936,12703.986642
965.0,53248,12781.70522
1066.0,53248,13122.742925
766.0,39936,13181.000663
991.0,53248,13258.702821
1083.0,53248,13336.405508
1002.0,53248,13656.05206
1018.0,53248,13733.855413
966.0,53248,13811.644557
1036.0,53248,13889.394176
1035.0,53248,14249.717803
1027.0,53248,14327.508652
414.0,26624,14366.383312
1043.0,53248,14444.132254
778.0,39936,14800.87543
767.0,39936,14859.178792
1055.0,53248,14936.940541
1026.0,53248,15014.72869
1271.0,66560,15423.344319
484.0,26624,15462.160041
1064.0,53248,15539.860076
1018.0,53248,15617.698085
1277.0,66560,15997.837929
1012.0,53248,16075.672811
1085.0,53248,16153.578234
1068.0,53248,16231.553743
787.0,39936,16595.172522
956.0,53248,16673.044697
1044.0,53248,16750.87154
1036.0,53248,16828.70843
1392.0,66560,17231.41762
952.0,53248,17309.058224
1048.0,53248,17386.723
1040.0,53248,17702.601502
1018.0,53248,17780.288182
914.0,53248,17857.964756
1380.0,66560,17955.140071
1086.0,53248,18352.572809
1052.0,53248,18430.227153
735.0,39936,18488.401512
1313.0,66560,18585.424609
1057.0,53248,18995.186589
1029.0,53248,19072.653304
1041.0,53248,19150.101442
1682.0,79872,19616.018502
1036.0,53248,19693.33147
789.0,39936,19751.281407
1344.0,66560,19847.832701
1369.0,66560,20322.37989
1344.0,66560,20418.987942
1059.0,53248,20496.57844
1346.0,66560,20942.509809
1048.0,53248,21019.783815
1071.0,53248,21097.155587
1072.0,53248,21472.190485
994.0,53248,21549.625479
1596.0,79872,21666.091999
1057.0,53248,21743.873568
1675.0,79872,22172.765171
1045.0,53248,22250.287907
1371.0,66560,22347.185333
1043.0,53248,22773.972734
746.0,39936,22831.988309
1372.0,66560,22928.697834
782.0,39936,22986.685404
769.0,39936,23371.710699
1004.0,53248,23449.032445
1340.0,66560,23545.717519
1076.0,53248,23979.976116
1367.0,66560,24076.723521
1053.0,53248,24154.048282
1099.0,53248,24231.378116
1010.0,53248,24688.009138
1032.0,53248,24765.298665
1367.0,66560,24861.932412
1073.0,53248,25188.814205
1087.0,53248,25266.149382
1371.0,66560,25362.868533
1075.0,53248,25440.2083
1901.0,93184,25976.719778
1395.0,66560,26073.373716
1089.0,53248,26150.645359
1286.0,66560,26567.35279
1397.0,66560,26664.17302
1064.0,53248,26741.640501
1069.0,53248,27183.919036
1377.0,66560,27280.860888
1073.0,53248,27358.346581
1399.0,66560,27872.976182
1305.0,66560,27969.706889
1090.0,53248,28047.058725
1311.0,66560,28441.101345
1352.0,66560,28537.939764
1981.0,93184,28673.588141
1073.0,53248,29115.404964
1898.0,93184,29250.870781
1385.0,66560,29347.616935
1636.0,79872,29895.549648
1085.0,53248,29972.792068
787.0,39936,30030.824066
1382.0,66560,30491.446414
1086.0,53248,30568.874131
1346.0,66560,30665.709327
1347.0,66560,30762.543998
1297.0,66560,31216.859256
