#{"t_start": 1614712499.8624604, "env_id": "LunarLander-v2"}
r,l,t
-363.824829,102,0.240013
-111.187258,77,0.354033
-53.613296,103,0.508735
-123.99636,75,0.619253
-230.67951,112,0.786001
-363.771586,91,0.921818
-133.170986,78,1.035861
-149.63127,70,1.137413
-316.372025,77,1.252213
-105.939183,67,1.35059
-527.279942,106,1.508582
-143.211743,92,1.644814
-257.977633,93,1.787636
-115.5737,65,1.884827
-223.49671,115,2.054807
-142.869676,61,2.143373
-212.179715,107,2.301082
-195.315698,110,2.46463
-48.650668,75,2.575079
-320.747484,115,2.747566
-261.237089,105,2.903952
-316.240633,83,3.031101
-284.732619,91,3.170703
-372.337149,104,3.32531
-247.56747,110,3.4894
-230.824118,124,3.676501
-100.590125,76,3.789336
-126.462678,112,3.959594
-178.834147,96,4.103595
-288.948197,77,4.21718
-115.636103,92,4.354154
-340.204348,120,4.534992
-115.004784,128,4.732901
-33.457195,117,4.910096
-183.127826,108,5.071682
-82.610812,79,5.191834
-269.086767,89,5.32701
-223.294481,65,5.426186
-125.799986,100,5.584294
-324.670895,81,5.711861
-146.773114,82,5.837649
-133.629876,67,5.936898
-105.872938,104,6.095512
-335.967657,127,6.287615
-103.269104,111,6.453243
-96.020889,91,6.590542
-121.240493,82,6.713087
-117.013241,78,6.829721
-58.114102,73,6.93982
-102.69124,104,7.098775
-190.554327,81,7.221538
-122.896232,62,7.314853
-52.085969,68,7.416718
33.199539,1000,9.876323
-115.079202,85,10.006457
-71.024822,65,10.104964
-96.175213,88,10.239064
-209.893321,108,10.404552
-91.314993,75,10.519149
-325.776535,136,10.732859
-252.317232,71,10.839523
-76.165239,83,10.965695
-135.965778,100,11.120386
-318.382154,84,11.24786
-105.218779,75,11.361598
-287.628472,65,11.464899
-91.369305,86,11.595366
-267.201582,101,11.746527
-99.886994,76,11.86026
-133.545687,128,12.058492
-53.926941,67,12.160282
-88.971452,70,12.268602
-141.666944,81,12.392109
-282.059082,116,12.571505
-72.366339,71,12.680059
-199.915819,74,12.79416
-69.076545,64,12.891209
-182.051386,100,13.047673
-143.457161,99,13.205685
