#{"t_start": 1614621651.8499, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.063546
-200.0,200,0.093306
-200.0,200,0.122621
-200.0,200,0.15403
-200.0,200,0.183711
-200.0,200,0.650986
-200.0,200,1.161295
-200.0,200,1.621717
-200.0,200,2.124013
-200.0,200,2.586532
-200.0,200,3.082972
-200.0,200,3.548804
-200.0,200,4.102729
-200.0,200,4.625595
-200.0,200,5.176687
-200.0,200,5.683838
-200.0,200,6.235504
-200.0,200,6.748401
-200.0,200,7.300075
-200.0,200,7.809408
-200.0,200,8.358977
-200.0,200,8.869735
-200.0,200,9.431546
-200.0,200,9.947592
-200.0,200,10.507823
-200.0,200,11.030738
-200.0,200,11.59318
-200.0,200,12.117867
-200.0,200,12.677772
-200.0,200,13.201394
-200.0,200,13.77453
-200.0,200,14.306436
-200.0,200,14.876974
-200.0,200,15.403508
-200.0,200,15.975744
-200.0,200,16.50858
-200.0,200,17.083745
-200.0,200,17.61508
-200.0,200,18.182706
-200.0,200,18.710902
-200.0,200,19.282797
-200.0,200,19.81479
-200.0,200,20.386169
-200.0,200,20.924173
-200.0,200,21.496188
-200.0,200,22.030051
-200.0,200,22.611421
-200.0,200,23.144841
-200.0,200,23.720942
-200.0,200,24.259223
-200.0,200,25.769597
-200.0,200,26.308939
-200.0,200,26.888503
-200.0,200,27.436413
-200.0,200,28.018845
-200.0,200,28.559024
-200.0,200,29.134965
-200.0,200,29.676387
-200.0,200,30.254107
-200.0,200,30.790916
-200.0,200,31.374452
-200.0,200,31.920335
-200.0,200,32.512891
-200.0,200,33.063155
-200.0,200,33.653114
-200.0,200,34.205929
-200.0,200,34.789806
-200.0,200,35.336389
-200.0,200,35.928506
-200.0,200,36.481047
-200.0,200,37.074451
-200.0,200,37.626084
-200.0,200,38.223429
-200.0,200,38.779664
-200.0,200,39.375606
-200.0,200,39.926272
-200.0,200,40.524057
-200.0,200,41.079701
-200.0,200,41.677769
-200.0,200,42.239261
-200.0,200,42.834114
-200.0,200,43.384036
-200.0,200,43.984742
-200.0,200,44.541126
-200.0,200,45.142763
-200.0,200,45.703534
-200.0,200,46.297875
-200.0,200,46.856652
-200.0,200,47.459678
-200.0,200,48.02139
-200.0,200,48.623957
-200.0,200,49.188323
-200.0,200,49.795929
-200.0,200,50.357777
-200.0,200,50.963722
-200.0,200,51.527237
-200.0,200,52.134067
-200.0,200,52.70501
-200.0,200,53.314882
-200.0,200,53.884784
-200.0,200,55.400767
-200.0,200,55.974005
-200.0,200,56.58149
-200.0,200,57.148609
-200.0,200,57.750438
-200.0,200,58.315023
-200.0,200,58.921604
-200.0,200,59.492856
-200.0,200,60.100879
-200.0,200,60.682849
-127.0,127,61.065905
-200.0,200,61.68366
-200.0,200,62.262829
-200.0,200,62.880783
-200.0,200,63.46195
-200.0,200,64.082315
-200.0,200,64.662904
-200.0,200,65.290169
-200.0,200,65.877555
-200.0,200,66.500485
-200.0,200,67.080302
-200.0,200,67.70661
-200.0,200,68.287054
-200.0,200,68.908026
-200.0,200,69.490248
-200.0,200,70.111415
-200.0,200,70.696721
-200.0,200,71.320363
-200.0,200,71.905416
-166.0,166,72.435472
-200.0,200,73.025313
-200.0,200,73.649197
-200.0,200,74.237688
-188.0,188,74.814768
-200.0,200,75.44038
-200.0,200,76.023475
-200.0,200,76.648455
-200.0,200,77.236346
-200.0,200,77.857101
-200.0,200,78.441275
-200.0,200,79.068538
-200.0,200,79.653719
-200.0,200,80.283689
-200.0,200,80.870328
-200.0,200,81.504749
-200.0,200,82.088569
-200.0,200,82.710125
-200.0,200,83.293633
-136.0,136,83.71935
-200.0,200,84.300822
-200.0,200,85.841626
-200.0,200,86.422167
-200.0,200,87.055573
-200.0,200,87.642317
-200.0,200,88.263319
-158.0,158,88.706648
-200.0,200,89.330934
-200.0,200,89.912814
-200.0,200,90.539413
-156.0,156,91.025212
-200.0,200,91.61812
-200.0,200,92.250066
-200.0,200,92.845796
-200.0,200,93.475883
-200.0,200,94.060418
-157.0,157,94.546178
-188.0,188,95.128475
-197.0,197,95.711142
-200.0,200,96.336461
-200.0,200,96.926788
-180.0,180,97.462858
-200.0,200,98.086994
-200.0,200,98.671283
-200.0,200,99.29624
-169.0,169,99.783554
-148.0,148,100.261018
-200.0,200,100.843794
-168.0,168,101.369706
-200.0,200,101.951276
-93.0,93,102.244781
-141.0,141,102.675466
-200.0,200,103.259789
-160.0,160,103.741348
-89.0,89,104.032366
-200.0,200,104.615961
-200.0,200,105.236354
-200.0,200,105.819523
-196.0,196,106.439141
-169.0,169,106.927106
-159.0,159,107.410531
-200.0,200,108.036819
-200.0,200,108.622445
-155.0,155,109.102145
-187.0,187,109.640879
-182.0,182,110.214633
-185.0,185,110.750941
-200.0,200,111.375321
-155.0,155,111.859721
-200.0,200,112.447938
-162.0,162,112.930904
-200.0,200,113.556041
-194.0,194,114.138792
-144.0,144,114.579102
-160.0,160,115.06742
-200.0,200,115.652549
-200.0,200,117.032303
-200.0,200,117.624291
-200.0,200,118.252883
-154.0,154,118.696149
-148.0,148,119.179
-116.0,116,119.518955
-152.0,152,119.957207
-200.0,200,120.586551
-200.0,200,121.172059
-200.0,200,121.80629
-154.0,154,122.291987
-132.0,132,122.68084
-199.0,199,123.268685
-174.0,174,123.799427
-200.0,200,124.422596
-200.0,200,125.009512
-134.0,134,125.400997
-168.0,168,125.929005
-100.0,100,126.222321
-200.0,200,126.847996
-153.0,153,127.296094
-189.0,189,127.871955
-200.0,200,128.493327
-200.0,200,129.071196
-200.0,200,129.694477
-200.0,200,130.276485
-188.0,188,130.855163
-200.0,200,131.434695
-169.0,169,131.962246
-200.0,200,132.55205
-200.0,200,133.172448
-200.0,200,133.755458
-173.0,173,134.281218
-196.0,196,134.86086
-168.0,168,135.386542
-200.0,200,135.965877
-161.0,161,136.484849
-166.0,166,136.9656
-200.0,200,137.551125
-200.0,200,138.169989
-200.0,200,138.748807
-200.0,200,139.369748
-158.0,158,139.846641
-151.0,151,140.282121
-141.0,141,140.714108
-169.0,169,141.239481
-120.0,120,141.581326
-180.0,180,142.112016
-200.0,200,142.742125
-157.0,157,143.222034
-114.0,114,143.55874
-200.0,200,144.135721
-144.0,144,144.568289
-200.0,200,145.191461
-118.0,118,145.532319
-200.0,200,146.149952
-200.0,200,146.734643
-200.0,200,148.270962
-161.0,161,148.761834
-183.0,183,149.299052
-151.0,151,149.784819
-123.0,123,150.128319
-200.0,200,150.755002
-177.0,177,151.288734
-138.0,138,151.678771
-198.0,198,152.309287
-159.0,159,152.798385
-174.0,174,153.330271
-168.0,168,153.818755
-200.0,200,154.445613
-127.0,127,154.83392
-119.0,119,155.175494
-187.0,187,155.757079
-200.0,200,156.346895
-194.0,194,156.935588
-154.0,154,157.42434
-200.0,200,158.010473
-200.0,200,158.639615
-200.0,200,159.223807
-150.0,150,159.703866
-84.0,84,159.950804
-165.0,165,160.439449
-200.0,200,161.066257
-144.0,144,161.500548
-196.0,196,162.077716
-170.0,170,162.596221
-170.0,170,163.08562
-106.0,106,163.425334
-200.0,200,164.054829
-200.0,200,164.645459
-184.0,184,165.224316
-167.0,167,165.716169
-155.0,155,166.203649
-118.0,118,166.547776
-170.0,170,167.082342
-178.0,178,167.620715
-170.0,170,168.111955
-176.0,176,168.64978
-96.0,96,168.943905
-191.0,191,169.526625
-164.0,164,170.057536
-157.0,157,170.500856
-143.0,143,170.937485
-191.0,191,171.525849
-185.0,185,172.105548
-169.0,169,172.594785
-200.0,200,173.219721
-89.0,89,173.466186
-90.0,90,173.752407
-131.0,131,174.13914
-165.0,165,174.666093
-168.0,168,175.150563
-165.0,165,175.638956
-174.0,174,176.170524
-175.0,175,176.701544
-194.0,194,177.284016
-109.0,109,177.620207
-171.0,171,178.148959
-133.0,133,179.156757
-153.0,153,179.635647
-200.0,200,180.224131
-180.0,180,180.75986
-149.0,149,181.239194
-189.0,189,181.815626
-200.0,200,182.404203
-200.0,200,183.02177
-200.0,200,183.597969
-166.0,166,184.079466
-164.0,164,184.602376
-136.0,136,184.989021
-172.0,172,185.51401
-200.0,200,186.090934
-174.0,174,186.616404
-200.0,200,187.236897
-107.0,107,187.576029
-165.0,165,188.062708
-171.0,171,188.592713
-115.0,115,188.934165
-119.0,119,189.278035
-139.0,139,189.7168
-159.0,159,190.203057
-144.0,144,190.639238
-128.0,128,191.025287
-107.0,107,191.32139
-195.0,195,191.949044
-200.0,200,192.536159
-168.0,168,193.059801
-184.0,184,193.591928
-125.0,125,193.97556
-110.0,110,194.30974
-200.0,200,194.88726
-171.0,171,195.413296
-118.0,118,195.752551
-200.0,200,196.371026
-169.0,169,196.856776
-168.0,168,197.390368
-121.0,121,197.771097
-165.0,165,198.255017
-178.0,178,198.784117
-180.0,180,199.315828
-118.0,118,199.695419
-169.0,169,200.17885
-169.0,169,200.706977
-172.0,172,201.192614
-113.0,113,201.569881
-200.0,200,202.152071
-159.0,159,202.638049
-170.0,170,203.168244
-108.0,108,203.465352
-158.0,158,203.946592
-184.0,184,204.525154
-200.0,200,205.109209
-132.0,132,205.498221
-164.0,164,206.023926
-200.0,200,206.608176
-164.0,164,207.094855
-127.0,127,207.487878
-180.0,180,208.064451
-200.0,200,208.650996
-170.0,170,210.084359
-188.0,188,210.664994
-178.0,178,211.199459
-143.0,143,211.644954
-138.0,138,212.04018
-164.0,164,212.533764
-137.0,137,212.967171
-95.0,95,213.257081
-200.0,200,213.841088
-149.0,149,214.32199
-163.0,163,214.806726
-200.0,200,215.390561
-120.0,120,215.773254
-199.0,199,216.36032
-161.0,161,216.846014
-96.0,96,217.135965
-160.0,160,217.624509
-164.0,164,218.147389
-200.0,200,218.727267
-199.0,199,219.346309
-121.0,121,219.688366
-182.0,182,220.261869
-173.0,173,220.748214
-200.0,200,221.367841
-124.0,124,221.754612
-104.0,104,222.051622
-134.0,134,222.489739
-106.0,106,222.786463
-169.0,169,223.320171
-91.0,91,223.569147
-165.0,165,224.098018
-187.0,187,224.639891
-89.0,89,224.930096
-115.0,115,225.27441
-155.0,155,225.760143
-187.0,187,226.344043
-127.0,127,226.691084
-171.0,171,227.225311
-162.0,162,227.714419
-118.0,118,228.096609
-154.0,154,228.537549
-91.0,91,228.825969
-166.0,166,229.312224
-156.0,156,229.794385
-104.0,104,230.132342
-155.0,155,230.575087
-175.0,175,231.106915
-122.0,122,231.493089
-150.0,150,231.929864
-171.0,171,232.467133
-153.0,153,232.912214
-151.0,151,233.395658
-86.0,86,233.645939
-156.0,156,234.132766
-159.0,159,234.622663
-148.0,148,235.064491
-183.0,183,235.647905
-187.0,187,236.191528
-190.0,190,236.778314
-131.0,131,237.17149
-114.0,114,237.562195
-100.0,100,237.858797
-124.0,124,238.248876
-114.0,114,238.594392
-94.0,94,238.888021
-131.0,131,239.280626
-119.0,119,239.625054
-109.0,109,239.968167
-156.0,156,241.365603
-110.0,110,241.707806
-132.0,132,242.101242
-152.0,152,242.54966
-157.0,157,243.034612
-125.0,125,243.421315
-106.0,106,243.758174
-120.0,120,244.108364
-152.0,152,244.594034
-119.0,119,244.938098
-161.0,161,245.429791
-165.0,165,245.923563
-159.0,159,246.414526
-109.0,109,246.756219
-113.0,113,247.101296
-161.0,161,247.596766
-112.0,112,247.937224
-150.0,150,248.420733
-112.0,112,248.763217
-110.0,110,249.103387
-87.0,87,249.349995
-174.0,174,249.887653
-92.0,92,250.177404
-164.0,164,250.664622
-86.0,86,250.911712
-175.0,175,251.447443
-159.0,159,251.935047
-121.0,121,252.323255
-122.0,122,252.673925
-115.0,115,253.01734
-132.0,132,253.449957
-168.0,168,253.941498
-113.0,113,254.283363
-123.0,123,254.671423
-153.0,153,255.15785
-164.0,164,255.647915
-184.0,184,256.184459
-175.0,175,256.71985
-100.0,100,257.014989
-92.0,92,257.311965
-146.0,146,257.757033
-109.0,109,258.097118
-91.0,91,258.387112
-112.0,112,258.728081
-153.0,153,259.172395
-113.0,113,259.514891
-109.0,109,259.854334
-92.0,92,260.146481
-103.0,103,260.442805
-119.0,119,260.830292
-90.0,90,261.122525
-110.0,110,261.424648
-111.0,111,261.765557
-160.0,160,262.25194
-115.0,115,262.644627
-200.0,200,263.23395
-111.0,111,263.576445
-132.0,132,263.968175
-180.0,180,264.508712
-168.0,168,265.044242
-140.0,140,265.481649
-123.0,123,265.829577
-107.0,107,266.169991
-169.0,169,266.708388
-124.0,124,267.059762
-108.0,108,267.40613
-114.0,114,267.754595
-114.0,114,268.098881
-178.0,178,268.686089
-106.0,106,268.987037
-106.0,106,269.329313
-94.0,94,269.625302
-108.0,108,269.92872
-114.0,114,270.31727
-116.0,116,270.664468
-176.0,176,271.207081
-200.0,200,271.808845
-114.0,114,272.673298
-168.0,168,273.214479
-107.0,107,273.555851
-111.0,111,273.899568
-130.0,130,274.29127
-107.0,107,274.592269
-91.0,91,274.885057
-95.0,95,275.182139
-118.0,118,275.528843
-105.0,105,275.870482
-165.0,165,276.372493
-106.0,106,276.714813
-175.0,175,277.258302
-106.0,106,277.592951
-118.0,118,277.992204
-109.0,109,278.349239
-184.0,184,278.928206
-104.0,104,279.286986
-138.0,138,279.694016
-136.0,136,280.141801
-90.0,90,280.401595
-130.0,130,280.81118
-120.0,120,281.207304
-111.0,111,281.561768
-110.0,110,281.910312
-105.0,105,282.2217
-116.0,116,282.630284
-108.0,108,282.937529
-167.0,167,283.468506
-104.0,104,283.767272
-108.0,108,284.115229
-125.0,125,284.501446
-117.0,117,284.827458
-108.0,108,285.151
-114.0,114,285.47714
-91.0,91,285.754869
-110.0,110,286.079471
-90.0,90,286.316772
-86.0,86,286.592111
-200.0,200,287.152117
-91.0,91,287.432702
-107.0,107,287.719493
-96.0,96,288.001817
-93.0,93,288.280139
-113.0,113,288.607491
-117.0,117,288.973842
-182.0,182,289.48996
-102.0,102,289.771271
-166.0,166,290.274719
-108.0,108,290.602603
-159.0,159,291.034912
-135.0,135,291.485032
-137.0,137,291.876626
-108.0,108,292.2112
-116.0,116,292.555822
-88.0,88,292.851049
-122.0,122,293.242963
-131.0,131,293.631092
-170.0,170,294.102332
-113.0,113,294.432626
-122.0,122,294.807277
-164.0,164,295.276978
-92.0,92,295.557424
-125.0,125,295.931448
-198.0,198,296.493223
-121.0,121,296.86472
-113.0,113,297.194512
-134.0,134,297.579864
-113.0,113,297.911874
-121.0,121,298.286545
-120.0,120,298.619395
-200.0,200,299.229304
-147.0,147,299.651456
-112.0,112,299.980193
-93.0,93,300.262059
-111.0,111,300.591166
-126.0,126,300.966231
-108.0,108,301.253036
-125.0,125,301.629209
-111.0,111,301.959035
-119.0,119,302.336292
-109.0,109,302.627975
-170.0,170,303.622362
-119.0,119,303.993503
-112.0,112,304.319155
-115.0,115,304.647893
-113.0,113,304.976588
-112.0,112,305.304641
-94.0,94,305.585511
-112.0,112,305.914282
-112.0,112,306.242328
-160.0,160,306.711156
-95.0,95,306.993988
-112.0,112,307.337382
-108.0,108,307.64934
-113.0,113,308.003278
-120.0,120,308.40171
-111.0,111,308.76114
