#{"t_start": 1652937344.7391813, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
280.0,1930,1.527134
200.0,1898,1.863419
150.0,1714,2.166435
260.0,2202,2.561636
310.0,2026,2.922585
320.0,2170,3.30755
390.0,2482,3.748678
200.0,2066,4.116393
170.0,1762,4.428519
270.0,2098,4.801354
320.0,2170,5.186939
250.0,1538,5.46112
270.0,2082,5.830711
260.0,2226,6.226144
280.0,2346,6.640652
210.0,2146,7.022882
220.0,2026,7.383264
410.0,2178,7.77072
260.0,1906,8.108768
180.0,1882,8.444778
200.0,2418,8.874557
210.0,1962,9.223196
230.0,1986,9.576329
230.0,2274,9.979609
180.0,1810,10.299729
200.0,1890,10.634826
160.0,1714,10.938655
220.0,1754,11.249086
430.0,2146,11.629278
220.0,1818,11.953082
250.0,2250,12.353914
240.0,2162,12.737442
360.0,2346,13.153295
780.0,2954,13.67986
270.0,1890,14.014455
270.0,2530,14.463528
300.0,1850,14.792886
210.0,2066,15.158196
250.0,1922,15.499046
420.0,2434,15.93116
170.0,1882,16.265553
240.0,2002,16.621372
180.0,1730,16.927841
200.0,1610,17.212944
190.0,2050,17.577012
240.0,1858,17.908552
350.0,2242,18.307321
240.0,1922,18.649614
130.0,1714,18.953279
430.0,2722,22.497771
190.0,1434,22.751989
90.0,1562,23.029084
190.0,1842,23.35583
230.0,2322,23.768255
260.0,1866,24.099994
270.0,2426,24.530005
170.0,1506,24.795902
270.0,2138,25.176204
490.0,3210,25.74584
410.0,2514,26.191132
340.0,2242,26.588813
230.0,2178,26.973635
1010.0,2938,27.495125
230.0,1906,27.831406
160.0,2098,28.203344
320.0,2410,28.632965
340.0,2458,29.06933
200.0,2010,29.424763
250.0,1922,29.765209
170.0,1906,30.102563
570.0,3154,30.661061
270.0,2010,31.017305
310.0,2202,31.409123
300.0,2122,31.784784
200.0,1810,32.10514
170.0,2002,32.459576
300.0,1890,32.792467
160.0,1802,33.113022
100.0,1546,33.38445
230.0,2106,33.756988
270.0,2290,34.161955
280.0,1770,34.47332
320.0,1930,34.814869
420.0,2754,35.303155
260.0,1906,35.6415
220.0,1754,35.952057
410.0,2378,36.374263
200.0,2018,36.729736
210.0,1674,37.025433
260.0,1658,37.318418
270.0,2010,37.672871
200.0,1994,38.024669
300.0,2306,38.431498
220.0,2098,38.80194
100.0,1914,39.141321
310.0,2186,39.528344
200.0,2130,39.905883
250.0,1730,42.789507
330.0,1938,43.689009
190.0,2202,44.69281
290.0,1666,45.456443
210.0,2018,46.410955
290.0,2690,47.727889
280.0,1922,48.650008
260.0,1650,49.441026
210.0,1770,50.261758
290.0,2074,51.241066
270.0,1978,52.204535
280.0,1586,52.996684
540.0,2562,54.201211
240.0,1954,55.111803
280.0,2194,56.12893
250.0,1562,56.848596
310.0,2458,58.003752
260.0,1778,58.835472
160.0,1578,59.588511
200.0,1650,60.365331
360.0,1922,61.295232
520.0,2578,62.538652
250.0,2274,63.641278
380.0,1890,64.538694
730.0,2738,65.823126
580.0,2802,67.178638
110.0,1202,67.740316
230.0,1802,68.595813
340.0,2274,69.678284
350.0,2090,70.673405
340.0,2050,71.650415
660.0,2754,72.978488
310.0,2354,74.116351
230.0,1890,75.048962
160.0,1922,75.99327
200.0,1514,76.746799
440.0,3066,78.243208
220.0,2186,79.274487
270.0,2042,80.257262
220.0,2010,81.234287
320.0,2194,82.322581
570.0,2818,83.718952
300.0,1874,84.609096
350.0,1882,85.518955
260.0,1762,86.391462
180.0,1442,87.117784
240.0,2178,88.164251
140.0,1698,88.970376
330.0,2122,89.989911
430.0,2818,93.980243
260.0,1834,94.858186
240.0,1722,95.690946
230.0,1938,96.620574
1500.0,4106,98.576037
500.0,2426,99.753878
250.0,2042,100.725663
500.0,2882,102.117595
200.0,1690,102.93147
250.0,2138,103.967778
190.0,1618,104.743822
220.0,1778,105.593602
400.0,1898,106.493124
500.0,2594,107.742069
390.0,2082,108.750128
530.0,2250,109.845322
320.0,2210,110.93241
300.0,2050,111.931397
1000.0,2114,112.970452
650.0,2898,114.379714
270.0,2234,115.469912
200.0,1594,116.244135
180.0,2130,117.282961
260.0,1674,118.10091
330.0,2042,119.117902
340.0,2426,120.345829
260.0,1650,121.184993
250.0,2106,122.238118
200.0,1850,123.147898
330.0,1626,123.953385
960.0,2226,125.053492
330.0,2098,126.087811
390.0,2282,127.229712
680.0,1994,128.205573
250.0,2002,129.193289
180.0,1386,129.867325
320.0,1818,130.760207
920.0,3562,132.567872
320.0,2498,133.809844
670.0,2458,135.0223
330.0,1978,135.994155
280.0,2162,137.057301
700.0,3122,138.620153
330.0,2258,139.733427
740.0,4194,141.833211
1020.0,2850,146.185988
710.0,2754,147.554328
290.0,2170,148.65525
220.0,1778,149.528306
460.0,2730,150.90116
250.0,1738,151.769842
250.0,1882,152.695352
370.0,2586,153.969956
240.0,2026,154.980273
280.0,1714,155.849119
150.0,1194,156.430582
310.0,2146,157.508508
350.0,1842,158.459717
260.0,2154,159.609839
400.0,2218,160.750137
250.0,1858,161.693749
910.0,2282,162.880852
560.0,2570,164.181933
330.0,2002,165.220605
400.0,1946,166.219099
240.0,1874,167.165663
550.0,2770,168.588055
370.0,2362,169.801224
350.0,1914,170.788269
280.0,1802,171.720033
770.0,2634,173.06794
280.0,2058,174.122945
330.0,2138,175.216841
430.0,2210,176.344472
240.0,1594,177.170293
410.0,1970,178.190003
390.0,2042,179.231771
780.0,3450,181.033958
290.0,2154,182.15327
480.0,2586,183.492243
580.0,2466,184.800912
270.0,1834,185.751102
630.0,2570,187.099051
280.0,1642,187.940683
570.0,2714,189.353871
350.0,2370,190.583405
1720.0,2298,191.781497
280.0,1658,192.662169
480.0,2146,193.804242
240.0,1746,194.732476
800.0,4010,196.897362
450.0,2442,201.695475
260.0,1666,202.553051
270.0,1922,203.536665
330.0,2650,204.910044
380.0,2082,206.008797
610.0,2434,207.307278
470.0,2554,208.644444
650.0,3082,210.252964
220.0,1546,211.057735
480.0,2570,212.408724
400.0,1946,213.422668
650.0,2394,214.683487
130.0,1434,215.448452
260.0,1570,216.294029
260.0,1730,217.213192
380.0,1906,218.202313
220.0,1570,219.023522
500.0,2858,220.520481
320.0,1898,221.522422
600.0,3362,223.319521
210.0,1338,224.019286
360.0,2554,225.370328
1580.0,3570,227.255149
480.0,1906,228.2697
370.0,2434,229.567781
760.0,3034,231.213034
360.0,2274,232.414454
290.0,1722,233.334067
340.0,1690,234.233649
270.0,1954,235.275706
340.0,1858,236.271269
230.0,1458,237.058769
650.0,2754,238.529202
290.0,1818,239.488829
490.0,2586,240.879757
300.0,2194,242.051297
300.0,1938,243.091118
390.0,2362,244.365694
330.0,1754,245.331957
910.0,3570,247.283813
790.0,2386,248.579322
570.0,2730,250.044892
600.0,2962,251.628571
1080.0,2834,253.172488
350.0,2034,254.251301
1030.0,3482,259.180476
440.0,2642,260.63134
310.0,1794,261.597175
860.0,2826,263.128046
300.0,1938,264.172523
580.0,2978,265.79064
480.0,2226,266.987488
250.0,2130,268.142598
570.0,2066,269.255528
520.0,2698,270.731167
530.0,3898,272.869122
310.0,1994,273.961153
400.0,2530,275.339983
790.0,3234,277.10175
390.0,1850,278.111561
470.0,2082,279.230225
270.0,1962,280.293435
660.0,2810,281.853349
410.0,2434,283.199662
530.0,2506,284.554075
300.0,1938,285.623868
360.0,2290,286.87348
490.0,2162,288.0722
860.0,2802,289.643023
400.0,1930,290.699944
420.0,2426,292.038433
300.0,2210,293.260434
830.0,2594,294.709278
530.0,2938,296.322294
420.0,2250,297.584891
220.0,1698,298.551476
1030.0,4930,301.290179
1640.0,3226,303.124247
460.0,2562,304.552916
750.0,2290,305.817179
600.0,2314,307.117995
490.0,2874,308.774297
660.0,2890,310.426404
430.0,2386,311.791347
270.0,1554,312.644764
1030.0,3730,318.692106
410.0,2146,319.862632
520.0,1954,320.930326
400.0,2442,322.289069
240.0,2082,323.453213
1170.0,2730,324.984477
790.0,2786,326.549019
520.0,2778,328.107962
1650.0,3098,329.847776
280.0,1682,330.804526
480.0,1978,331.918897
670.0,2186,333.137861
660.0,3066,334.858927
1630.0,3698,336.912159
1030.0,2874,338.567298
580.0,2458,339.978179
310.0,1570,340.870313
1280.0,4386,343.406309
630.0,3386,345.384201
1280.0,2938,347.038891
350.0,1866,348.080926
380.0,2738,349.63855
450.0,2466,351.062289
310.0,1618,352.009264
660.0,2770,353.614901
340.0,1954,354.718536
560.0,2482,356.131331
870.0,2954,357.810731
490.0,2554,359.261943
890.0,2962,360.953422
630.0,2914,362.685713
430.0,2626,364.226671
670.0,3474,366.30408
600.0,2634,367.852719
580.0,3450,369.848227
400.0,2418,371.237319
930.0,3586,373.293139
450.0,2314,374.622057
1300.0,3322,380.814774
530.0,3482,382.831516
330.0,1946,383.956163
280.0,1858,385.027514
340.0,1586,385.957515
550.0,2602,387.461885
1070.0,2114,388.684522
400.0,1626,389.618554
970.0,3378,391.575629
340.0,1690,392.55711
680.0,3362,394.498642
400.0,2770,396.098318
660.0,3186,397.970413
480.0,2946,399.679916
670.0,2330,401.021903
570.0,2626,402.527928
2510.0,4354,405.062317
190.0,1458,405.905076
440.0,2010,407.057585
420.0,1858,408.131303
1050.0,2762,409.746735
620.0,2874,411.424262
240.0,1746,412.442916
590.0,3154,414.290566
300.0,1378,415.08312
330.0,1714,416.085377
480.0,2122,417.315504
890.0,3106,419.118489
1560.0,3130,420.96295
560.0,2706,422.553902
1390.0,3666,424.727948
820.0,2842,426.384619
430.0,2394,427.797457
870.0,2994,429.600726
1350.0,2874,431.339461
1310.0,2794,433.022055
380.0,1530,433.918369
