#{"t_start": 1614631342.40165, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3056,7.944641
-21.0,3296,9.075335
-21.0,3484,10.269627
-21.0,3296,11.399584
-21.0,3608,12.634792
-21.0,3368,13.787387
-20.0,3367,14.940872
-21.0,3412,16.112574
-21.0,3056,17.159741
-21.0,3648,18.407342
-21.0,3487,19.610926
-20.0,3348,33.939245
-21.0,3300,35.069422
-21.0,3056,36.114575
-21.0,3056,37.160685
-21.0,3168,38.246226
-21.0,3244,39.358667
-21.0,3756,40.645957
-18.0,4100,42.047746
-19.0,4062,43.43751
-21.0,3189,44.528601
-20.0,3479,45.717822
-18.0,4108,47.125074
-19.0,3749,61.612212
-21.0,3660,62.868469
-21.0,3728,64.144328
-20.0,3936,65.491047
-20.0,3367,66.642188
-20.0,4087,68.03949
-21.0,3131,69.110479
-20.0,4149,70.529387
-20.0,3803,71.827294
-21.0,4016,73.203345
-21.0,4372,87.319155
-20.0,3588,88.548734
-20.0,3725,89.823016
-21.0,3408,90.989357
-19.0,3746,92.273194
-21.0,3648,93.522107
-21.0,3616,94.760476
-20.0,4147,96.178772
-20.0,4052,97.56555
-20.0,3485,98.756502
-19.0,4200,100.193483
-21.0,3296,114.646781
-21.0,3706,115.912446
-21.0,3056,116.960036
-19.0,3901,118.295779
-21.0,3286,119.41918
-20.0,3683,120.678362
-21.0,3656,121.930722
-20.0,3688,123.194588
-18.0,4548,124.748207
-21.0,3484,125.938465
-20.0,3610,127.173517
-21.0,3174,141.410614
-20.0,3348,145.836316
-21.0,3685,150.720229
-20.0,4267,156.432281
-21.0,3128,160.600694
-21.0,3375,165.169337
-20.0,3824,170.467367
-18.0,4244,176.33218
-20.0,3350,180.935527
-21.0,3408,185.575945
-21.0,3379,190.138497
-21.0,3794,195.284444
-20.0,3976,212.608648
-20.0,4925,219.264086
-20.0,3597,224.140907
-20.0,3794,229.30343
-21.0,3485,234.16807
-21.0,3168,238.590248
-21.0,3796,243.88715
-21.0,3784,249.15526
-18.0,4395,255.184518
-19.0,3687,260.210721
-21.0,3056,276.492845
-20.0,4058,282.004289
-21.0,3056,286.140912
-20.0,4056,291.616539
-20.0,3556,296.513071
-19.0,3967,302.066436
-21.0,3376,306.793166
-21.0,3296,311.441484
-21.0,3056,315.669291
-21.0,3056,319.858612
-20.0,3350,324.42524
-21.0,3056,328.612692
-20.0,3367,347.609213
-20.0,3373,352.241132
-18.0,4432,358.31411
-21.0,3056,362.509445
-21.0,3243,366.953262
-20.0,3348,371.565479
-19.0,4398,377.634246
-20.0,3367,382.255946
-20.0,3618,387.279397
-21.0,3296,391.861372
-19.0,3871,397.321506
-19.0,4774,418.8123
-20.0,3540,423.71789
-21.0,3619,428.708725
-21.0,3304,433.279545
-20.0,3915,438.733548
-20.0,4035,444.3563
-21.0,3168,448.728198
-19.0,3731,453.972254
-19.0,3678,459.153919
-21.0,3056,463.501731
-21.0,3296,468.298867
-21.0,3168,488.30537
-21.0,3412,493.081736
-21.0,3648,498.177803
-21.0,4376,504.308028
-21.0,3056,508.618257
-20.0,4209,514.467552
-20.0,4093,520.206083
-21.0,3416,525.052837
-21.0,3300,529.861429
-21.0,3392,534.816674
-21.0,3536,539.993333
-21.0,3133,560.567184
-20.0,3373,565.295213
-19.0,4087,571.059991
-21.0,3540,576.047472
-20.0,3479,580.942623
-21.0,3296,585.580898
-20.0,3370,590.309608
-19.0,3910,595.983274
-20.0,3618,601.227631
-21.0,3412,606.154794
-21.0,3619,611.368024
-21.0,3131,615.796786
-21.0,3536,634.240431
-20.0,3483,639.351713
-21.0,3056,643.798201
-20.0,3685,649.071134
-21.0,3412,653.916205
-21.0,3528,658.896808
-21.0,3300,663.540565
-20.0,4205,669.496847
-21.0,3300,674.16597
-20.0,4060,679.9807
-21.0,4180,685.978532
-21.0,3168,705.168605
-20.0,3727,710.660757
-21.0,3056,715.021927
-21.0,3304,719.757288
-20.0,4450,726.056278
-21.0,3128,730.545552
-21.0,3412,735.400426
-21.0,3355,740.219572
-21.0,3304,744.948769
-21.0,3056,749.344223
-20.0,3367,754.17653
-20.0,3367,759.0961
-21.0,3056,778.751588
-21.0,3056,783.188475
-21.0,3304,787.944871
-20.0,3373,792.785121
-21.0,3296,797.508365
-21.0,3056,801.915995
-20.0,3511,806.984791
-21.0,3056,811.374372
-21.0,3524,816.457246
-21.0,3056,820.895393
-21.0,3172,825.592319
-20.0,3367,830.628739
-21.0,3056,849.244633
-20.0,3612,854.472432
-20.0,3607,859.67248
-21.0,3056,864.114253
-21.0,3056,868.53379
-21.0,3056,872.946165
-21.0,3056,877.386878
-21.0,3056,881.82606
-21.0,3635,887.159148
-21.0,3724,892.786351
-21.0,3056,897.392356
-21.0,3296,902.356295
-21.0,3296,907.321557
-21.0,3056,926.091558
-21.0,3056,930.570757
-21.0,3168,935.212849
-20.0,3719,940.6306
-21.0,3056,945.094527
-21.0,3056,949.567914
-20.0,4411,956.180347
-20.0,3422,961.394172
