#{"t_start": 1614633516.5790026, "env_id": "QbertNoFrameskip-v4"}
r,l,t
25.0,1194,4.200414
100.0,1337,4.740885
100.0,1228,5.238455
150.0,1295,5.764076
75.0,1244,6.265429
150.0,1229,6.766783
525.0,1285,7.293597
300.0,1688,7.983568
50.0,992,8.385657
175.0,1387,8.94769
225.0,1482,9.554
225.0,1469,10.149543
150.0,1454,10.736404
100.0,1283,11.258999
625.0,1729,11.961185
175.0,1517,12.578468
25.0,1163,13.048823
100.0,1328,13.584825
125.0,1198,14.070632
200.0,1410,14.643032
100.0,1373,15.205962
125.0,1365,15.757709
100.0,1334,16.301162
75.0,1344,16.846891
100.0,1297,17.374933
200.0,1300,17.907586
125.0,1180,18.38818
0.0,1148,18.853548
225.0,1663,19.535573
50.0,1274,20.052558
450.0,1438,20.636079
50.0,1198,26.538619
200.0,1582,27.185968
175.0,1199,27.675748
250.0,1548,28.311371
200.0,1314,28.852976
25.0,1179,29.332231
75.0,1094,29.77978
625.0,1630,30.446994
325.0,1667,31.136451
50.0,1208,31.630553
75.0,1334,32.174001
50.0,1289,32.701018
575.0,1704,33.400567
75.0,1098,33.848431
75.0,1234,34.351474
500.0,1463,34.950299
25.0,1174,35.429796
675.0,1808,36.171113
300.0,1748,36.887942
175.0,1274,37.411855
150.0,1263,37.925768
50.0,1037,38.351023
25.0,1004,38.763467
475.0,1409,39.337636
150.0,1288,39.865676
225.0,1358,40.427111
25.0,1179,40.907573
650.0,1983,41.715997
575.0,1592,42.363314
75.0,1339,42.906572
150.0,1212,48.901047
125.0,1297,49.431297
50.0,1219,49.925757
100.0,1199,50.416478
25.0,1018,50.833055
50.0,1028,51.258483
150.0,1199,51.751714
0.0,1123,52.20843
125.0,1129,52.671219
75.0,1028,53.093981
75.0,1258,53.608242
100.0,1259,54.118515
175.0,1554,54.754468
25.0,1224,55.254198
75.0,1228,55.756695
525.0,1467,56.35728
100.0,1287,56.882448
25.0,1158,57.355087
500.0,1612,58.014455
50.0,983,58.418773
150.0,1304,58.951441
50.0,1187,59.433502
300.0,1702,60.127797
50.0,1238,60.631618
200.0,1378,61.198107
375.0,1793,61.934527
50.0,1237,62.437558
125.0,1559,63.072985
0.0,1154,63.542753
200.0,1729,64.247532
0.0,1113,64.702219
225.0,1315,65.244532
75.0,1289,65.767684
75.0,1364,72.098259
25.0,1148,72.567223
100.0,1277,73.090067
250.0,1814,73.833144
475.0,1492,74.44416
125.0,1404,75.017171
325.0,1992,75.838006
100.0,1419,76.417024
100.0,1344,76.965297
0.0,1128,77.424206
150.0,1392,77.992341
150.0,1337,78.542131
100.0,1199,79.032235
150.0,1573,79.674516
75.0,1048,80.103921
75.0,1243,80.61337
475.0,1514,81.233401
0.0,1113,81.68846
25.0,1184,82.171238
250.0,1717,82.873947
175.0,1362,83.433517
100.0,1393,83.99869
75.0,1249,84.508024
100.0,1289,85.036322
125.0,1383,85.601573
225.0,1384,86.170216
475.0,1534,86.799194
50.0,1194,87.283019
150.0,1492,87.890123
625.0,2079,94.284585
500.0,1404,94.85697
175.0,1482,95.461785
125.0,1219,95.960594
75.0,1094,96.408079
0.0,1138,96.872825
575.0,1588,97.5195
225.0,1399,98.092169
400.0,1709,98.79052
25.0,1158,99.258646
550.0,1782,99.986737
575.0,1549,100.618259
50.0,1244,101.121365
25.0,1029,101.544556
100.0,1254,102.054074
200.0,1547,102.687382
100.0,1378,103.250868
25.0,1153,103.721466
25.0,1188,104.201557
200.0,1632,104.866413
275.0,1904,105.643597
100.0,1357,106.196473
50.0,1232,106.698468
250.0,1689,107.39425
150.0,1268,107.9091
75.0,1239,108.414204
75.0,1249,108.924782
200.0,1617,109.584221
25.0,1209,110.078701
125.0,1324,110.617602
100.0,1234,111.11978
0.0,1133,117.419059
75.0,1123,118.363365
600.0,1769,119.857755
100.0,1322,120.98368
100.0,1313,122.082777
25.0,1178,123.077388
400.0,1358,124.228458
225.0,1274,125.295446
75.0,1228,126.333294
125.0,1338,127.469624
75.0,1343,128.608507
175.0,1555,129.935485
50.0,1108,130.861166
125.0,1202,131.881638
200.0,1360,133.019953
250.0,1667,134.406607
425.0,1343,135.520982
0.0,1194,136.516545
525.0,1422,137.707352
100.0,1419,138.872917
50.0,1229,139.931799
50.0,1044,140.804453
75.0,1277,141.880807
50.0,1229,142.909146
200.0,1603,144.276454
100.0,1323,145.377911
50.0,1173,146.34664
100.0,1433,147.542452
50.0,1233,148.589201
350.0,1719,150.057878
175.0,1344,151.213046
25.0,1189,157.626639
525.0,1770,159.145874
200.0,1473,160.402552
575.0,1609,161.778806
75.0,1113,162.73335
50.0,1294,163.830641
75.0,1119,164.7666
150.0,1379,165.930249
150.0,1084,166.854585
200.0,1447,168.082041
125.0,1223,169.11762
100.0,1063,170.009798
50.0,1002,170.871549
200.0,1254,171.929085
150.0,1452,173.174696
25.0,999,174.006399
225.0,1579,175.347663
150.0,1504,176.632659
475.0,1479,177.876144
200.0,1704,179.315601
200.0,1470,180.568727
150.0,1143,181.530282
250.0,1710,182.962758
75.0,1413,184.158607
25.0,1209,185.156536
175.0,1474,186.393781
25.0,978,187.213022
150.0,1242,188.274484
0.0,1169,189.229567
325.0,1519,190.517403
125.0,1282,191.58645
125.0,1399,192.782836
575.0,1514,200.620571
75.0,1339,201.769717
0.0,1139,202.737038
200.0,1534,204.04306
650.0,1636,205.463317
300.0,1444,206.711703
75.0,1304,207.812339
150.0,1134,208.772193
0.0,1149,209.760964
200.0,1399,210.960215
75.0,1254,212.017313
225.0,1290,213.114802
200.0,1228,214.161072
225.0,1453,215.41793
150.0,1469,216.677387
550.0,1683,218.131104
350.0,1564,219.487184
75.0,1267,220.557514
200.0,1355,221.702902
175.0,1603,223.046431
125.0,1393,224.238085
325.0,1875,225.837363
100.0,1344,226.984224
125.0,1187,227.979611
75.0,1074,228.882689
150.0,1353,230.033337
50.0,1203,231.03119
0.0,1153,232.017338
150.0,1133,232.964626
175.0,1399,234.162444
75.0,1209,240.863378
100.0,1292,241.973554
100.0,1397,243.191356
200.0,1274,244.285329
200.0,1389,245.480151
50.0,1094,246.420461
75.0,1074,247.339178
25.0,1039,248.231551
50.0,1243,249.32377
0.0,1144,250.308873
100.0,1154,251.313898
125.0,1808,252.890454
125.0,1263,253.99062
325.0,1697,255.477929
75.0,1239,256.550851
175.0,1245,257.632366
100.0,1404,258.869253
525.0,1478,260.172219
350.0,1679,261.664042
500.0,1519,262.957365
0.0,1169,263.959441
150.0,1327,265.100333
50.0,1199,266.135587
200.0,1265,267.228572
225.0,1486,268.504374
100.0,1382,269.707097
0.0,1128,270.665868
225.0,1280,271.782382
175.0,1067,272.703176
50.0,1017,273.584785
175.0,1313,274.713114
25.0,1169,275.727828
125.0,1368,276.921086
25.0,1188,283.293063
150.0,1153,284.303375
325.0,1494,285.61933
250.0,1471,286.907134
125.0,1079,287.860935
125.0,1275,288.979783
125.0,1274,290.088774
225.0,1287,291.220498
225.0,1302,292.349748
75.0,1149,293.344228
75.0,1329,294.50963
75.0,1238,295.577888
75.0,1069,296.497751
50.0,1082,297.438164
50.0,1224,298.504467
200.0,1209,299.556497
775.0,1730,301.096628
200.0,1285,302.211786
150.0,1329,303.378929
250.0,1642,304.844116
275.0,1225,305.921045
250.0,1355,307.114811
150.0,1274,308.231557
100.0,1238,309.303156
525.0,1463,310.585914
100.0,1333,311.741681
25.0,1153,312.735495
0.0,1129,313.708201
0.0,1149,314.693935
275.0,1355,315.878422
150.0,1300,317.012165
225.0,1220,318.077651
525.0,1222,326.06676
225.0,1304,327.233582
200.0,1453,328.518156
275.0,1615,329.955514
175.0,1190,331.009398
150.0,1233,332.094028
175.0,1372,333.287226
25.0,1174,334.322317
0.0,1154,335.34722
25.0,1168,336.363331
50.0,1239,337.464714
100.0,1339,338.660252
550.0,2112,340.575297
175.0,1108,341.575462
150.0,1679,343.089472
0.0,1148,344.097296
250.0,1612,345.554348
75.0,1309,346.714317
0.0,1169,347.742261
275.0,1302,348.906394
600.0,1498,350.239058
125.0,1208,351.304951
150.0,1237,352.411631
25.0,1009,353.306175
325.0,1315,354.468393
175.0,1554,355.863696
0.0,1133,356.849898
50.0,1238,357.938199
25.0,1143,358.955453
575.0,1929,360.688826
175.0,1285,361.817441
175.0,1229,362.904663
0.0,1149,369.442797
0.0,1148,370.462541
250.0,1479,371.782151
500.0,1584,373.208695
0.0,1163,374.243703
0.0,1129,375.263828
50.0,1249,376.368957
150.0,1354,377.594751
550.0,1669,379.095436
150.0,1489,380.432641
50.0,1202,381.502985
200.0,1198,382.585956
150.0,1424,383.883462
200.0,1300,385.051744
500.0,1329,386.260403
175.0,1425,387.526499
0.0,1164,388.561863
25.0,1224,389.66943
0.0,1133,390.706216
100.0,1299,391.878178
150.0,1282,393.038545
200.0,1323,394.216419
600.0,1759,395.822004
75.0,1288,396.984998
100.0,1174,398.03268
50.0,1317,399.208142
25.0,1219,400.281512
75.0,1174,401.328123
50.0,1249,402.448301
225.0,1570,403.860782
200.0,1438,405.147278
250.0,1653,413.26342
275.0,1404,414.540409
125.0,1248,415.676781
150.0,1563,417.08512
300.0,1902,418.829617
50.0,1203,419.917511
175.0,1373,421.15233
0.0,1133,422.166517
25.0,1153,423.201989
50.0,1099,424.182069
250.0,1370,425.449673
175.0,1382,426.694122
200.0,1277,427.838625
400.0,1877,429.559259
200.0,1349,430.795255
200.0,1309,431.970044
75.0,1287,433.14453
250.0,1405,434.420174
175.0,1397,435.693251
150.0,1147,436.713679
175.0,1405,437.995189
500.0,1293,439.149211
200.0,1439,440.45124
225.0,1764,442.042503
175.0,1302,443.221466
75.0,1239,444.323195
300.0,1558,445.734144
50.0,1289,446.890424
50.0,1183,447.937213
50.0,1199,449.000298
125.0,1434,450.275514
75.0,1104,458.34465
150.0,1294,459.52689
150.0,1264,460.674307
125.0,1334,461.893168
75.0,1122,462.920327
425.0,1394,464.192455
150.0,1437,465.530704
650.0,1617,467.017368
300.0,1760,468.643599
275.0,1579,470.117412
275.0,1595,471.60838
225.0,1479,472.963758
325.0,1834,474.652039
150.0,1255,475.811075
300.0,2034,477.715581
75.0,1068,478.670916
0.0,1133,479.691276
425.0,1329,480.905776
250.0,1430,482.23561
225.0,1832,483.931653
150.0,1345,485.151427
275.0,1635,486.641251
125.0,1198,487.72348
175.0,1473,489.067716
200.0,1352,490.285281
100.0,1228,491.378301
50.0,1173,492.434144
175.0,1383,493.68736
200.0,1567,495.111748
300.0,1525,504.214826
200.0,1212,505.351138
125.0,1311,506.56003
250.0,1585,508.005833
200.0,1344,509.224084
300.0,1577,510.686651
200.0,1393,511.968259
150.0,1165,513.052786
275.0,1767,514.694685
75.0,1282,515.87446
225.0,1208,516.98411
175.0,1175,518.065275
200.0,1547,519.505112
25.0,1259,520.649747
