#{"t_start": 1615214788.1696455, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,537,22.409593
0.0,883,22.790396
0.0,338,22.934386
400.0,2464,23.932332
0.0,576,24.16622
0.0,357,24.311815
0.0,651,24.578691
0.0,933,24.953302
0.0,721,25.244417
0.0,340,25.379476
0.0,723,25.668491
0.0,409,25.832462
0.0,947,26.213844
0.0,550,26.433212
0.0,1221,26.927321
400.0,2488,27.930549
0.0,529,28.146065
0.0,527,28.357883
0.0,832,28.691369
0.0,787,29.009205
0.0,1234,29.508775
0.0,760,29.814935
0.0,833,30.150931
0.0,383,30.307959
0.0,386,30.462362
0.0,1325,30.996222
0.0,448,31.179178
200.0,1144,31.639913
0.0,589,31.878856
0.0,512,32.08513
0.0,1009,32.496963
0.0,705,32.781984
0.0,446,32.960035
0.0,592,33.198731
0.0,805,33.525201
0.0,690,33.803905
0.0,527,34.014368
0.0,569,34.242754
0.0,549,34.466547
0.0,1345,35.010464
0.0,341,35.150355
0.0,483,35.34378
0.0,422,35.515869
0.0,401,35.677261
0.0,766,35.985838
0.0,433,36.158185
0.0,366,36.307705
0.0,376,36.464714
0.0,1681,37.212625
0.0,960,37.619168
0.0,462,37.815948
0.0,480,38.014022
0.0,580,38.25047
0.0,480,38.44378
0.0,397,38.605358
0.0,469,38.798647
0.0,576,39.028372
0.0,681,39.303422
0.0,613,39.55122
0.0,517,39.769013
0.0,878,40.122956
0.0,1003,40.524347
0.0,321,40.657099
0.0,753,40.960549
200.0,1331,41.497573
0.0,785,41.810774
0.0,1103,42.256573
0.0,440,42.432179
0.0,417,42.60213
0.0,652,42.864801
0.0,329,42.997066
0.0,738,43.292765
0.0,611,43.553525
0.0,433,43.742786
0.0,581,43.995215
0.0,1308,44.549627
0.0,337,44.695088
0.0,534,44.922165
0.0,459,45.118092
0.0,632,45.379975
0.0,929,45.75474
0.0,1444,46.333468
0.0,354,46.474801
200.0,1022,46.883995
0.0,591,47.124701
0.0,673,47.39677
0.0,416,47.566353
0.0,1185,48.037692
0.0,632,48.290606
0.0,693,48.569541
0.0,880,48.92087
0.0,436,49.094857
0.0,325,49.226717
0.0,645,49.487293
0.0,339,49.634163
0.0,1155,50.161719
0.0,334,50.316684
0.0,622,50.607434
0.0,433,50.809226
0.0,413,51.000426
0.0,1092,51.498208
0.0,312,51.645124
0.0,430,51.84239
0.0,613,52.110551
0.0,485,52.320626
0.0,964,52.720677
0.0,1146,53.188511
0.0,596,53.431712
0.0,930,53.813551
0.0,668,54.090387
0.0,401,54.255826
0.0,353,54.399901
0.0,848,54.751325
0.0,668,55.025693
0.0,370,55.177394
0.0,339,55.316365
0.0,755,55.628433
0.0,324,55.76604
0.0,449,55.958538
0.0,510,56.184892
0.0,644,56.467509
0.0,289,56.601928
0.0,907,57.014324
0.0,645,57.304224
0.0,457,57.507145
0.0,851,57.886384
0.0,692,58.198838
0.0,357,58.358083
0.0,894,58.764436
0.0,530,59.010602
0.0,554,59.253871
0.0,800,59.606552
100.0,1663,60.380179
0.0,689,60.699219
0.0,688,61.013144
0.0,1315,61.625956
0.0,541,61.872543
0.0,328,62.015787
0.0,571,62.274859
0.0,759,62.616004
0.0,502,62.851286
0.0,398,63.037127
0.0,563,63.28457
0.0,738,63.612936
0.0,688,63.932046
0.0,383,64.109449
0.0,857,64.499997
0.0,564,64.754576
0.0,673,65.064742
0.0,365,65.223509
0.0,592,65.481732
0.0,592,65.73951
0.0,525,65.969378
0.0,411,66.162521
100.0,1392,66.783063
0.0,892,67.178618
0.0,481,67.394408
0.0,384,67.565303
0.0,506,67.790028
200.0,1480,68.437926
0.0,450,68.636923
0.0,833,69.002223
0.0,584,69.25599
100.0,1781,70.033103
100.0,1422,70.65584
0.0,733,70.978047
0.0,772,71.316685
0.0,372,71.477601
0.0,403,71.654493
0.0,782,71.991787
100.0,1381,72.597578
0.0,712,72.909502
0.0,758,73.241741
0.0,654,73.524248
0.0,363,73.683941
0.0,403,73.861212
0.0,929,74.266478
0.0,485,74.477409
0.0,480,74.686392
0.0,1243,75.231978
0.0,768,75.565799
0.0,333,75.712604
0.0,592,75.972391
0.0,612,76.237907
0.0,335,76.386522
0.0,852,76.767495
0.0,469,76.96947
0.0,538,77.20127
0.0,595,77.466403
0.0,787,77.808302
0.0,564,78.054571
0.0,1203,78.580308
0.0,502,78.800708
0.0,732,79.133382
0.0,555,79.382147
100.0,1649,80.102156
0.0,834,80.467003
0.0,361,80.626976
0.0,582,80.883819
0.0,523,81.110698
0.0,463,81.314405
0.0,426,81.499911
0.0,1221,82.037955
0.0,626,82.309399
300.0,1074,82.782066
0.0,333,82.930281
0.0,352,83.083269
0.0,330,83.229346
0.0,402,83.404304
0.0,969,83.82518
0.0,672,84.119895
0.0,618,84.392091
400.0,1348,84.986099
0.0,1052,85.448352
0.0,367,85.608993
0.0,506,85.831062
0.0,728,86.149031
0.0,355,86.301974
0.0,403,86.478127
0.0,337,86.623507
0.0,959,87.043197
0.0,609,87.312125
0.0,333,87.459276
0.0,977,87.881761
0.0,768,88.213999
100.0,1149,88.711287
100.0,1083,89.186325
0.0,377,89.351495
0.0,1110,89.832954
0.0,1101,90.310579
0.0,662,90.597994
0.0,526,90.830435
0.0,749,91.15502
0.0,432,91.343321
200.0,1254,91.892211
0.0,757,92.219337
0.0,834,92.580834
0.0,664,92.871941
0.0,676,93.170187
0.0,812,93.521502
0.0,533,93.753007
0.0,653,94.040946
0.0,461,94.246175
0.0,1329,94.823766
0.0,570,95.07357
0.0,515,95.29766
300.0,1814,96.097785
0.0,360,96.257276
0.0,863,96.638898
0.0,362,96.795168
0.0,735,97.112607
0.0,684,97.410755
0.0,478,97.617689
0.0,911,98.014986
0.0,345,98.163461
0.0,324,98.304676
0.0,385,98.471557
0.0,609,98.740181
0.0,390,98.910951
0.0,959,99.326592
0.0,878,99.706824
0.0,612,99.974984
0.0,459,100.17649
100.0,1490,100.819803
0.0,379,100.983294
0.0,1107,101.472099
0.0,420,101.664614
0.0,1260,102.222492
0.0,579,102.473968
0.0,788,102.815824
0.0,325,102.958009
0.0,708,103.266109
0.0,349,103.41888
0.0,507,103.642767
0.0,498,103.859786
0.0,561,104.107201
0.0,433,104.298245
0.0,479,104.505646
0.0,659,104.79244
0.0,339,104.941969
0.0,352,105.097985
0.0,387,105.269185
0.0,564,105.515529
0.0,801,105.859173
0.0,350,106.014055
100.0,1471,106.681323
0.0,531,106.914782
0.0,805,107.264191
0.0,325,107.407161
0.0,499,107.626443
0.0,546,107.865261
0.0,691,108.165406
0.0,361,108.324217
0.0,782,108.663274
0.0,621,108.934029
0.0,341,109.080326
0.0,698,109.398943
0.0,486,109.623546
0.0,335,109.780694
0.0,668,110.078604
0.0,630,110.360607
0.0,482,110.579363
0.0,673,110.881472
0.0,886,111.274536
0.0,588,111.536997
0.0,418,111.722885
300.0,1021,112.180207
0.0,383,112.351941
0.0,601,112.620429
0.0,706,112.939884
0.0,798,113.318561
0.0,543,113.57991
0.0,374,113.76167
0.0,1202,114.317067
0.0,507,118.041228
0.0,883,118.793522
0.0,670,119.368459
0.0,610,119.886018
0.0,485,120.291426
0.0,1041,121.175872
0.0,467,121.578448
100.0,1497,122.866518
0.0,342,123.141858
0.0,576,123.624721
0.0,369,123.931175
100.0,1441,125.185262
0.0,602,125.695767
0.0,811,126.397531
200.0,2259,128.35625
100.0,1428,129.590183
0.0,354,129.893666
0.0,1029,130.784085
0.0,568,131.27022
0.0,1483,132.563443
0.0,400,132.905539
0.0,389,133.233745
0.0,929,134.020622
300.0,1297,135.142858
0.0,896,135.909651
0.0,293,136.157865
0.0,309,136.418247
0.0,352,136.712626
0.0,321,136.975025
0.0,396,137.310681
100.0,1488,138.598956
0.0,569,139.098512
0.0,1459,140.368402
0.0,421,140.725333
100.0,1165,141.752639
0.0,1199,142.783287
100.0,1693,144.272781
0.0,597,144.773726
0.0,623,145.301796
0.0,1389,146.516989
0.0,951,147.335274
100.0,1312,148.489803
0.0,829,149.207935
100.0,2093,151.052955
0.0,437,151.414351
0.0,486,151.830749
0.0,330,152.10125
0.0,578,152.593164
0.0,321,152.873274
0.0,438,153.229208
0.0,384,153.549349
0.0,867,154.302912
0.0,420,154.659461
0.0,452,155.040589
0.0,416,155.398977
0.0,673,155.996192
0.0,846,156.697682
0.0,457,157.092085
0.0,1518,158.405031
800.0,3290,161.341335
0.0,722,161.996642
0.0,736,162.660268
0.0,640,163.220776
0.0,387,163.55982
0.0,489,164.018671
0.0,692,164.64745
0.0,996,165.559964
0.0,418,165.909166
300.0,1191,167.01803
0.0,609,167.573838
1200.0,3215,170.562522
0.0,653,171.15074
0.0,361,171.463951
200.0,1818,173.122981
100.0,1299,174.331524
0.0,430,174.734029
0.0,549,175.232358
0.0,436,175.617187
100.0,1051,176.591086
0.0,1641,178.113211
100.0,1530,179.535917
0.0,1286,180.712446
0.0,445,181.113074
0.0,1108,182.121391
0.0,617,182.690741
0.0,565,183.210873
0.0,386,183.549091
0.0,644,184.12358
0.0,509,184.579341
0.0,766,185.277297
0.0,518,185.759749
0.0,772,186.47157
0.0,526,186.93773
0.0,486,187.37574
0.0,767,188.087728
0.0,1409,189.40585
0.0,632,189.993773
0.0,675,190.607191
0.0,680,191.251104
