#{"t_start": 1615214788.1634173, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
60.0,1970,23.014378
20.0,1986,23.732505
80.0,1769,24.370909
120.0,2205,25.172371
60.0,1626,25.761504
0.0,1506,26.30342
140.0,2786,27.312997
100.0,2981,28.397144
160.0,2373,29.256038
40.0,2222,30.059832
120.0,2333,30.905995
80.0,2146,31.681633
40.0,1498,32.221673
100.0,2398,33.087465
220.0,3890,34.496622
20.0,1622,35.081169
80.0,2254,35.896964
20.0,1362,36.385022
20.0,1594,37.011823
100.0,2221,37.903344
0.0,1434,38.420587
40.0,1538,38.974473
20.0,1345,39.456742
40.0,1554,40.017788
180.0,4090,41.500398
40.0,1898,42.186129
280.0,3230,43.35594
200.0,3086,44.550847
80.0,1918,45.27472
160.0,3034,46.369351
140.0,2246,47.182059
120.0,2622,48.125993
80.0,1909,48.812357
0.0,1386,49.307822
20.0,1706,49.981361
140.0,2457,51.043437
60.0,2202,52.017022
60.0,2213,52.851243
80.0,2110,53.629971
80.0,1774,54.281635
220.0,3198,55.467828
20.0,1346,55.976056
120.0,2501,57.021143
120.0,2785,58.1612
20.0,1654,58.814029
60.0,1798,59.521027
100.0,1990,60.34372
80.0,2158,61.222132
20.0,1442,61.803137
160.0,2818,62.936309
100.0,2626,64.030103
20.0,1781,64.776948
0.0,1938,65.547421
20.0,1814,66.277204
180.0,2566,67.296088
240.0,3265,68.581865
140.0,2486,69.563716
20.0,1474,70.13662
20.0,1686,70.79248
180.0,3490,72.166794
80.0,1818,72.875056
40.0,1866,73.603127
40.0,1814,74.312118
120.0,2501,75.287046
60.0,1846,76.011506
80.0,1994,76.796094
120.0,2258,77.689045
60.0,1794,78.391579
0.0,1242,78.874154
40.0,1577,79.510163
0.0,1454,80.081136
0.0,1510,80.669249
80.0,2166,81.51335
40.0,1666,82.164443
120.0,2689,83.222902
140.0,2566,84.227092
220.0,3593,85.640833
200.0,3430,86.995689
0.0,1245,87.479448
20.0,1453,88.051346
80.0,1909,88.796039
100.0,2126,89.628001
40.0,1874,90.362784
180.0,2494,91.342507
20.0,1366,91.873904
80.0,2361,92.802246
20.0,1681,93.457674
120.0,2389,94.39152
100.0,1881,95.126338
60.0,1842,95.846932
20.0,1638,96.489185
40.0,2113,97.312564
180.0,3074,98.522785
40.0,1713,99.193335
0.0,1241,99.67187
20.0,1845,100.389715
120.0,2230,101.267339
0.0,1482,110.448645
0.0,1642,111.749922
240.0,3830,114.900386
80.0,1586,116.15875
220.0,2802,118.43929
140.0,2258,120.288055
200.0,3078,122.858164
200.0,2957,125.329875
400.0,5233,129.699433
160.0,2493,131.780674
80.0,1801,133.30177
120.0,3226,136.006352
300.0,4058,139.399491
100.0,1622,140.737327
0.0,1214,141.738619
80.0,2017,143.445053
420.0,5734,148.343805
40.0,1498,149.594532
140.0,2650,151.825716
160.0,2290,153.726503
40.0,1510,154.953612
220.0,3993,158.319885
200.0,3798,161.589618
60.0,1474,162.887388
260.0,3589,166.044516
40.0,1741,167.558595
120.0,2702,169.902808
300.0,4333,173.752013
20.0,2117,175.623205
180.0,2373,177.706791
140.0,2853,180.232948
200.0,4154,183.911379
60.0,1938,185.642996
60.0,1793,187.220246
0.0,1290,188.336472
200.0,4066,192.015054
160.0,2302,194.075181
220.0,3226,196.986416
40.0,1997,198.741556
120.0,2990,201.401292
240.0,4170,205.141269
120.0,2561,207.427539
140.0,2762,209.877403
200.0,3597,213.159349
0.0,1506,214.492368
180.0,2981,217.162963
200.0,2754,219.621816
140.0,3166,222.500876
220.0,3314,225.462442
280.0,4257,229.330549
260.0,3597,232.61193
240.0,4746,236.917586
160.0,2658,239.323058
160.0,2593,241.674443
240.0,4202,245.53558
140.0,2514,247.817812
180.0,3969,251.459284
40.0,1986,253.243158
200.0,2718,255.693578
380.0,4429,259.730433
80.0,2201,261.729021
160.0,2610,264.13682
140.0,3057,266.93247
60.0,2198,268.946977
120.0,2598,271.367067
20.0,1838,272.999636
360.0,5694,278.32599
20.0,1753,279.948894
80.0,1858,281.679933
200.0,3254,284.738163
220.0,3106,287.614593
20.0,3213,303.579902
260.0,3621,307.007168
180.0,3282,310.050292
60.0,2630,312.500816
300.0,4409,316.673246
280.0,4021,320.467594
160.0,2982,323.261726
20.0,2946,326.008226
260.0,3949,329.705367
220.0,4057,333.52594
80.0,2074,335.478898
120.0,2793,338.099944
60.0,2818,340.725073
140.0,1953,342.561683
120.0,2034,344.434906
320.0,4274,348.476021
160.0,3830,352.083928
20.0,1810,353.760873
140.0,2526,356.166044
240.0,3406,359.437839
160.0,2670,361.990198
180.0,3649,365.466846
140.0,2198,367.555889
120.0,2645,370.110178
60.0,2534,372.534281
380.0,5505,377.811554
160.0,2906,380.57143
20.0,1681,382.165129
240.0,3754,385.775257
100.0,2918,388.572722
160.0,2694,391.15034
100.0,2845,393.897075
260.0,3358,397.146219
300.0,3926,400.949809
240.0,4265,405.093564
140.0,3301,408.30838
280.0,4366,412.615823
260.0,3330,415.840949
280.0,3794,419.525735
100.0,3174,422.600624
120.0,2566,425.081846
300.0,4070,429.057975
60.0,1946,430.933803
180.0,3042,433.910602
240.0,3650,437.487854
220.0,2894,440.291785
280.0,3882,444.077547
120.0,2938,446.894283
220.0,2982,449.78578
100.0,2269,451.978296
40.0,1498,453.40519
80.0,1953,455.275939
60.0,1853,457.043969
200.0,3842,460.775419
160.0,2498,463.238875
260.0,3758,466.970766
140.0,2266,469.148625
80.0,1809,470.94288
240.0,3298,474.1746
320.0,3878,477.969006
160.0,3810,481.703959
300.0,4542,486.196738
80.0,1838,487.987565
260.0,3309,491.267644
140.0,2725,493.939387
160.0,2994,496.887449
180.0,3370,519.785464
140.0,2834,522.604106
420.0,5094,527.649685
260.0,3821,531.458919
200.0,2970,534.395166
160.0,2522,536.905697
100.0,2345,539.229446
180.0,3218,542.455227
100.0,2346,544.721328
220.0,3346,547.968868
80.0,2670,550.607078
100.0,1837,552.418813
140.0,2742,555.133436
380.0,5478,560.615322
180.0,3178,563.817121
120.0,2218,566.051033
220.0,3014,569.100265
120.0,1930,571.0279
160.0,4293,575.384321
320.0,4325,579.768387
240.0,3878,583.692826
320.0,4833,588.608893
120.0,2374,591.026805
180.0,2702,593.761806
420.0,6377,600.326298
180.0,3861,604.286029
160.0,2561,606.874338
180.0,2990,609.911285
160.0,3122,613.096858
260.0,4342,617.547346
80.0,2409,619.984691
40.0,4018,624.107744
140.0,2854,627.027051
160.0,3298,630.336532
100.0,2474,632.850048
160.0,3925,636.827116
160.0,2870,639.714084
140.0,2790,642.555269
160.0,3222,645.831094
100.0,2777,648.615853
140.0,2381,651.054812
200.0,3458,654.587416
220.0,4154,658.855418
80.0,1838,660.750629
180.0,2990,663.847804
100.0,3049,666.98066
20.0,1358,668.358878
100.0,2982,671.459609
300.0,5718,677.361721
80.0,2922,680.399773
80.0,2182,682.645571
180.0,2538,685.286074
120.0,2661,688.024665
140.0,3237,691.366498
200.0,2718,694.166731
100.0,2229,696.486725
160.0,3902,700.528948
260.0,3945,704.688009
100.0,2845,707.634453
40.0,2533,710.280401
180.0,4162,714.662396
160.0,2601,717.402947
160.0,3110,720.672921
140.0,2938,723.750245
140.0,2602,744.524499
180.0,3177,747.892264
120.0,2941,750.989479
100.0,2646,753.785141
120.0,3754,757.756386
220.0,4078,762.072885
40.0,2170,764.328077
140.0,2934,767.376204
400.0,5454,773.047612
120.0,2754,775.952227
100.0,2038,778.063601
100.0,2726,780.919304
300.0,4618,785.807937
80.0,1634,787.509966
100.0,2858,790.522957
100.0,2181,792.828306
140.0,3190,796.230298
40.0,2614,798.989863
240.0,4981,804.294688
20.0,2370,806.803515
80.0,1966,808.86313
100.0,1906,810.867898
100.0,2614,813.649304
80.0,1774,815.517091
80.0,2313,817.974641
60.0,2313,820.434339
60.0,3342,824.001754
120.0,2350,826.493681
100.0,2917,829.602222
80.0,2306,832.0623
120.0,2446,834.665176
180.0,2938,837.763978
140.0,3173,841.157279
60.0,2265,843.588314
120.0,2606,846.38772
100.0,1794,848.287156
140.0,2822,851.312113
180.0,2662,854.1603
160.0,2574,856.936077
100.0,2749,859.904214
100.0,2006,862.041519
120.0,3226,865.520299
140.0,2986,868.76066
260.0,3782,872.846539
200.0,2962,876.069497
140.0,2210,878.467704
40.0,2925,881.655191
80.0,2198,884.024374
80.0,2150,886.332212
160.0,3258,889.876945
140.0,4166,894.403297
20.0,2014,896.596015
100.0,2093,898.8316
240.0,4310,903.579456
160.0,4590,908.600409
100.0,1794,910.555725
100.0,1953,912.695108
120.0,2846,915.784984
180.0,3693,919.842182
100.0,2190,922.227986
100.0,3585,926.140551
80.0,2022,928.360581
60.0,2845,931.464958
120.0,3458,935.269188
100.0,2362,937.842829
120.0,3486,941.652905
80.0,2666,944.560795
120.0,2541,947.34665
100.0,2662,950.269721
80.0,2405,952.89502
100.0,2422,955.571007
100.0,1782,957.515583
120.0,3094,960.921373
40.0,2613,977.960689
80.0,1973,980.117652
80.0,2917,983.341397
100.0,2350,985.942126
180.0,3878,990.217038
100.0,2922,993.438915
100.0,1649,995.236288
100.0,2577,998.069414
180.0,3802,1002.155691
80.0,1917,1004.180217
140.0,2618,1006.967095
100.0,3185,1010.416159
120.0,2501,1013.149136
120.0,2238,1015.596719
180.0,4430,1020.352854
100.0,2529,1023.137228
80.0,2542,1025.900381
80.0,2625,1028.760431
120.0,2894,1031.951646
80.0,3362,1035.684121
240.0,4606,1040.805119
120.0,2721,1043.810724
220.0,3298,1047.464971
200.0,2533,1050.264371
220.0,3118,1053.72101
100.0,3054,1057.072324
140.0,2794,1060.159056
140.0,3257,1063.76956
100.0,3110,1067.205576
140.0,3170,1070.694338
160.0,2502,1073.448254
200.0,3626,1077.467031
160.0,3082,1080.89628
100.0,2162,1083.28468
100.0,2134,1085.615182
100.0,2285,1088.125376
100.0,2090,1090.421007
60.0,3089,1093.824008
120.0,2254,1096.301864
140.0,2518,1099.082496
120.0,2726,1102.083744
80.0,2566,1104.921116
80.0,3025,1108.257168
120.0,2085,1110.544259
100.0,3005,1113.86545
180.0,2714,1116.859789
200.0,4298,1121.612131
120.0,3486,1125.451612
120.0,3045,1128.821577
200.0,4082,1133.315183
160.0,3886,1137.630019
220.0,3202,1141.152257
120.0,2862,1144.329036
140.0,2638,1147.245654
240.0,3490,1151.116259
100.0,2497,1153.879333
120.0,2421,1156.548444
160.0,2530,1159.328999
140.0,2442,1162.021453
120.0,3122,1165.449008
80.0,2929,1168.675498
120.0,1837,1170.67652
260.0,3625,1174.679998
60.0,2174,1177.055841
120.0,2805,1180.134102
120.0,2754,1183.172749
80.0,2458,1185.886307
100.0,3158,1189.355091
140.0,2182,1191.748656
180.0,3238,1195.293406
80.0,1689,1197.140043
100.0,2121,1199.459481
120.0,2602,1214.501982
100.0,3309,1218.109751
120.0,2546,1220.875208
200.0,4773,1226.151474
100.0,2818,1229.263195
160.0,3122,1232.686398
140.0,2622,1235.548626
80.0,2346,1238.10403
140.0,2674,1241.033437
120.0,2374,1243.633033
100.0,2945,1246.880629
140.0,3546,1250.813548
160.0,3086,1254.21912
140.0,2442,1256.887137
180.0,3549,1260.785494
180.0,3102,1264.193545
100.0,2605,1267.052964
80.0,2906,1270.226054
80.0,1674,1272.03349
180.0,3502,1275.897761
220.0,4493,1280.873339
100.0,2690,1283.840134
180.0,2762,1286.890536
100.0,2510,1289.648922
160.0,2342,1292.234633
160.0,3070,1295.615443
80.0,2173,1298.011691
100.0,3138,1301.479927
140.0,2097,1303.772967
80.0,2262,1306.257764
100.0,3625,1310.258726
160.0,3622,1314.289381
120.0,2326,1316.839251
100.0,1918,1318.944356
120.0,2682,1321.896634
120.0,2694,1324.858717
100.0,2002,1327.064901
140.0,2474,1329.774787
120.0,2438,1332.458382
100.0,2146,1334.809082
160.0,2562,1337.638134
80.0,1754,1339.531206
160.0,2745,1342.559346
100.0,3053,1345.931649
80.0,2474,1348.661949
100.0,2662,1351.595986
120.0,2734,1354.617562
200.0,2854,1357.762893
300.0,4046,1362.251946
120.0,2541,1365.040393
120.0,2042,1367.290013
220.0,4958,1372.815643
200.0,3946,1377.186712
160.0,2722,1380.220597
180.0,4413,1385.124403
120.0,2186,1387.512181
180.0,3738,1391.656664
160.0,3550,1395.586457
240.0,4654,1400.739157
320.0,3330,1404.416204
100.0,2534,1407.171333
400.0,5498,1413.235322
200.0,3022,1416.558749
120.0,1986,1418.726673
160.0,2705,1421.680115
200.0,3889,1425.973416
160.0,2902,1429.16386
200.0,4758,1434.431757
220.0,3693,1485.464033
360.0,5637,1491.711146
120.0,1909,1493.786221
120.0,2526,1496.557044
220.0,3058,1499.931456
280.0,4821,1505.293954
320.0,4586,1510.393786
100.0,2262,1512.887643
100.0,2182,1515.272216
120.0,2338,1517.825963
280.0,5346,1523.739247
200.0,3621,1527.738843
120.0,3085,1531.111962
340.0,4974,1536.630435
140.0,2958,1539.881941
220.0,3182,1543.396871
200.0,3854,1547.651957
220.0,3934,1552.000165
220.0,4558,1557.062828
360.0,5957,1563.68699
300.0,4853,1569.057287
200.0,4718,1574.297405
100.0,2277,1576.796473
180.0,2789,1579.868733
180.0,2933,1583.109023
280.0,4549,1588.13825
160.0,3073,1591.545108
300.0,4062,1596.025169
100.0,3670,1600.082571
140.0,3877,1604.33607
120.0,2454,1607.027736
300.0,4042,1611.482081
280.0,4498,1616.450172
320.0,4858,1621.844061
180.0,4241,1626.530618
380.0,6857,1634.165963
460.0,6462,1641.359256
200.0,3390,1645.089598
160.0,3070,1648.466793
160.0,3313,1652.121756
320.0,4418,1657.012535
320.0,4370,1661.855637
240.0,4986,1667.390056
220.0,3909,1671.694369
180.0,3070,1675.081038
220.0,4062,1679.578472
180.0,2854,1682.720146
380.0,4938,1688.195835
280.0,4454,1693.120886
280.0,4030,1697.541255
160.0,2514,1700.290738
180.0,3298,1703.921346
400.0,5530,1760.209603
200.0,3106,1763.644047
300.0,4989,1769.197826
440.0,6014,1775.854361
400.0,5746,1782.207732
400.0,5937,1788.7478
300.0,4274,1793.447651
160.0,2825,1796.5605
180.0,3378,1800.287713
360.0,4697,1805.441674
260.0,3662,1809.442373
320.0,4422,1814.281547
360.0,5882,1820.725294
220.0,4493,1825.691888
280.0,4513,1830.691272
260.0,4190,1835.33016
360.0,5326,1841.242123
220.0,3685,1845.30829
600.0,6218,1852.203182
280.0,3745,1856.329998
360.0,4993,1861.871166
280.0,4174,1866.473586
260.0,3518,1870.375337
240.0,3649,1874.424092
460.0,5222,1880.201289
320.0,4606,1885.272412
420.0,5266,1891.117032
420.0,5746,1897.48307
140.0,2562,1900.302112
480.0,6149,1907.127105
360.0,5058,1912.752625
320.0,4038,1917.222015
360.0,5054,1922.818711
340.0,4874,1928.190742
200.0,3214,1931.746033
340.0,3953,1936.08805
240.0,3829,1940.302445
400.0,4850,1945.680123
220.0,3938,1950.03431
220.0,3042,1953.381235
480.0,5450,1959.4411
440.0,5114,1965.135134
320.0,3894,1969.470147
420.0,5570,1975.668539
260.0,3806,1979.876736
300.0,3482,2018.356678
360.0,4850,2023.705354
420.0,5241,2029.509795
220.0,2714,2032.481562
400.0,4930,2037.914072
320.0,4034,2042.338636
360.0,5450,2048.323058
500.0,5946,2054.932504
420.0,4722,2060.167763
220.0,2854,2063.302922
500.0,5590,2069.516352
340.0,4654,2074.660992
400.0,5274,2080.521764
260.0,3862,2084.803295
360.0,4546,2089.847717
360.0,4670,2095.022937
400.0,4522,2100.046065
340.0,3846,2104.31111
220.0,3446,2108.12334
400.0,4826,2113.476852
340.0,4549,2118.528085
380.0,5014,2124.100382
520.0,6521,2131.345587
400.0,4738,2136.598203
320.0,3962,2140.993383
400.0,4602,2146.082004
280.0,3690,2150.179594
500.0,6026,2156.873354
240.0,3438,2160.653871
280.0,4926,2166.097654
440.0,5310,2171.946614
360.0,4397,2176.815978
340.0,4530,2181.840821
320.0,4278,2186.580321
620.0,6905,2194.260497
580.0,6970,2202.02722
520.0,6554,2209.355013
580.0,7270,2217.422025
360.0,5029,2222.962903
380.0,4898,2228.358172
520.0,6370,2235.44332
460.0,5442,2241.514977
360.0,4490,2277.118747
300.0,4074,2281.638738
220.0,3566,2285.557646
260.0,4146,2290.130259
380.0,4890,2295.525746
360.0,4793,2300.802124
400.0,4818,2306.112999
120.0,2502,2308.855026
320.0,4922,2314.325716
180.0,3658,2318.384003
540.0,7506,2326.764874
420.0,4813,2332.098845
440.0,5466,2338.168148
140.0,3070,2341.559319
220.0,3410,2345.329616
240.0,4001,2349.766138
580.0,6938,2357.498999
360.0,5234,2363.311274
500.0,6106,2370.093096
280.0,3505,2373.947955
480.0,5765,2380.372014
500.0,6237,2387.311963
160.0,3026,2390.677037
560.0,6422,2397.819729
420.0,5138,2403.517387
440.0,5434,2409.541857
420.0,5474,2415.603341
540.0,6618,2422.919534
640.0,7226,2430.871556
720.0,8314,2440.078925
480.0,5970,2446.716818
580.0,7146,2454.6741
680.0,7638,2463.1743
540.0,6777,2470.699094
660.0,7190,2478.689506
840.0,9081,2488.857059
760.0,8602,2553.221058
640.0,7225,2561.249673
480.0,5482,2567.322678
520.0,6009,2574.002274
440.0,5986,2580.650512
820.0,9082,2590.779898
460.0,5358,2596.745818
320.0,4665,2601.942272
580.0,7778,2610.635167
480.0,5609,2616.887
400.0,5089,2622.543555
540.0,6425,2629.685593
480.0,5529,2635.772584
360.0,4266,2640.340363
540.0,6265,2647.172324
420.0,4989,2652.67668
520.0,5714,2659.029067
200.0,4554,2664.08573
380.0,5034,2669.689703
300.0,3805,2673.92168
540.0,6390,2681.058368
200.0,2794,2684.151466
580.0,6790,2691.730042
480.0,5754,2698.127615
740.0,8281,2707.382704
480.0,5902,2713.971711
360.0,4982,2719.504869
580.0,7290,2727.642423
620.0,7310,2735.801724
340.0,4542,2740.848305
620.0,7002,2748.660974
480.0,5894,2755.219609
440.0,5650,2761.494955
620.0,7177,2769.465827
440.0,5258,2775.325298
700.0,8186,2824.682501
520.0,6266,2831.652958
420.0,5594,2837.847003
220.0,4094,2842.33512
220.0,2958,2845.577288
360.0,4302,2850.31173
340.0,4294,2855.076084
320.0,4377,2859.907127
680.0,8290,2869.125812
340.0,5342,2875.035346
540.0,6586,2882.305866
560.0,6778,2889.818526
420.0,5785,2896.219424
440.0,5625,2902.454244
640.0,7418,2910.711249
260.0,3694,2914.80053
620.0,7482,2923.116198
600.0,7162,2931.113888
520.0,6490,2938.347944
540.0,6522,2945.611274
160.0,3238,2949.183199
240.0,3290,2952.822078
240.0,3529,2956.742802
720.0,7977,2965.616662
300.0,4309,2970.373521
160.0,2949,2973.634815
520.0,5937,2980.219526
680.0,8057,2989.155554
560.0,6330,2996.193354
580.0,7034,3004.002741
260.0,4157,3008.598076
620.0,7482,3016.931568
560.0,6842,3024.515578
360.0,4542,3029.530764
560.0,6618,3036.861496
300.0,4190,3062.040162
360.0,4378,3066.810221
520.0,6681,3074.221685
500.0,6046,3080.945212
360.0,4682,3086.155106
500.0,6390,3093.294664
420.0,4990,3098.854145
220.0,3281,3102.45858
460.0,5470,3108.503807
440.0,5254,3114.333571
400.0,5053,3119.93024
240.0,3866,3124.19085
100.0,1970,3126.355097
440.0,5318,3132.273119
420.0,5641,3138.554253
280.0,4802,3143.886836
80.0,2045,3146.120175
520.0,6042,3152.863639
400.0,5281,3158.722843
420.0,5598,3164.931319
320.0,4430,3169.867523
220.0,3094,3173.293588
240.0,3657,3177.352223
360.0,4670,3182.54205
280.0,4730,3187.786464
300.0,4893,3193.204
480.0,6330,3200.25209
360.0,4126,3204.827575
260.0,3950,3209.216589
320.0,3849,3213.480879
100.0,2338,3216.039779
320.0,4250,3220.733898
420.0,5166,3226.447631
220.0,2945,3229.70207
280.0,4610,3234.83234
160.0,3546,3238.757105
340.0,4570,3243.830889
280.0,3877,3248.135048
320.0,5270,3254.003805
260.0,4438,3258.949575
420.0,6169,3265.787508
240.0,3269,3269.360628
140.0,2649,3272.257885
440.0,6650,3279.602625
460.0,6361,3315.439695
80.0,1934,3317.540501
420.0,5850,3324.012263
320.0,4137,3328.562475
240.0,4309,3333.202005
160.0,2293,3335.678448
380.0,4753,3340.918394
120.0,2122,3343.251953
460.0,6042,3349.944272
180.0,2502,3352.683173
120.0,3321,3356.361159
300.0,3802,3360.579205
340.0,5970,3367.214304
200.0,3133,3370.677495
460.0,6362,3377.743633
460.0,6810,3385.309414
380.0,5210,3391.081589
60.0,2938,3394.310546
320.0,4310,3399.066773
160.0,2650,3401.987105
340.0,5701,3408.314883
260.0,3510,3412.204492
160.0,2709,3415.183437
220.0,3346,3418.893691
200.0,3050,3422.265253
240.0,3754,3426.419727
500.0,6249,3433.382374
160.0,2306,3435.910998
180.0,2510,3438.671439
220.0,3901,3442.988043
180.0,2253,3445.448735
520.0,5794,3451.897838
240.0,3465,3455.739614
480.0,6873,3463.409645
280.0,3502,3467.279836
180.0,3493,3471.134484
220.0,4202,3475.783271
320.0,3698,3479.8714
360.0,4506,3484.833746
360.0,4378,3489.634719
460.0,5546,3495.763144
320.0,4774,3501.062553
320.0,4338,3505.871818
500.0,7226,3513.936559
460.0,5945,3520.54914
360.0,5142,3526.275014
300.0,4441,3531.219921
240.0,4746,3536.498134
280.0,4634,3567.245346
220.0,2762,3570.267751
300.0,4118,3574.705379
260.0,3362,3578.31518
340.0,4254,3582.926982
380.0,5754,3589.109618
140.0,2561,3591.894528
200.0,3413,3595.675951
340.0,4578,3600.779423
500.0,6077,3607.549105
100.0,2730,3610.556576
260.0,4038,3615.049912
340.0,4981,3620.571367
160.0,3446,3624.358536
320.0,4182,3628.999357
200.0,2818,3632.093018
360.0,4653,3637.252174
340.0,4326,3642.054037
100.0,2073,3644.323672
100.0,1885,3646.381947
160.0,2366,3648.963486
360.0,4246,3653.657443
300.0,4402,3658.540228
300.0,4250,3663.27234
260.0,4434,3668.218657
60.0,2506,3670.979864
80.0,2498,3673.739247
120.0,2670,3676.689501
280.0,4405,3681.566471
220.0,3929,3685.931874
200.0,3262,3689.542928
120.0,2477,3692.284577
220.0,3470,3696.104541
200.0,3074,3699.480069
220.0,4122,3704.009721
240.0,3725,3708.113741
140.0,2202,3710.511428
220.0,3657,3714.55995
120.0,2782,3717.619473
240.0,4958,3723.128736
120.0,2358,3725.718285
220.0,4270,3730.455482
100.0,2237,3732.904059
120.0,2130,3735.235243
100.0,2845,3738.363497
180.0,4134,3742.9283
220.0,4362,3747.758174
140.0,2461,3750.460861
180.0,3190,3753.996093
300.0,5706,3760.348994
200.0,3605,3764.34497
320.0,4377,3769.21619
360.0,5506,3775.35487
180.0,3265,3778.964431
100.0,1885,3781.012761
340.0,5414,3787.024387
380.0,6489,3816.48876
140.0,2574,3819.31676
340.0,4689,3824.489573
180.0,2918,3827.69017
220.0,3806,3831.882304
220.0,3058,3835.256925
220.0,3065,3838.626033
280.0,2793,3841.675998
140.0,2182,3844.055551
160.0,2714,3847.031029
80.0,2393,3849.661347
360.0,5225,3855.456866
180.0,2885,3858.644591
200.0,2946,3861.912322
320.0,4770,3867.194093
260.0,4517,3872.197336
280.0,4573,3877.25668
300.0,3878,3881.537347
