#{"t_start": 1614632250.3450158, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
80.0,1807,5.711549
135.0,2073,6.573781
20.0,1491,7.196143
135.0,2259,8.130084
115.0,1925,8.93093
270.0,3791,10.477977
210.0,1901,11.265391
245.0,2283,12.203178
300.0,2971,13.420086
140.0,2455,14.438668
80.0,1671,15.136945
120.0,1179,15.627224
135.0,2421,16.62782
105.0,1377,17.198689
410.0,2311,18.149395
105.0,2019,18.989248
210.0,2463,20.004075
35.0,1063,20.44552
10.0,1595,21.110368
120.0,1953,30.945544
130.0,1771,31.681198
110.0,2275,32.62564
250.0,3392,34.015862
90.0,2059,34.875551
50.0,1497,35.49517
165.0,1955,36.305506
45.0,1397,36.884533
410.0,2523,37.918392
65.0,1177,38.408922
110.0,1439,39.005179
180.0,2247,39.936421
135.0,1247,40.450601
90.0,1255,40.969625
105.0,1955,41.779536
20.0,1269,42.308795
55.0,1231,42.81942
590.0,3309,44.166889
155.0,2781,45.317966
100.0,1789,46.057224
50.0,1569,46.707264
210.0,2403,47.697857
145.0,1953,57.786471
35.0,1507,58.415372
105.0,1565,59.066332
105.0,1599,59.728998
55.0,1497,60.350502
235.0,2745,61.482462
105.0,1875,62.259563
110.0,1451,62.860685
65.0,1635,63.539706
90.0,1659,64.228812
30.0,1209,64.733539
105.0,2077,65.596717
225.0,2691,66.708897
30.0,1875,67.486021
515.0,3768,69.018222
60.0,1149,69.496233
65.0,1473,70.10899
185.0,2273,71.05011
290.0,2953,72.258802
45.0,1185,72.751951
95.0,2223,73.673575
110.0,1853,83.2638
255.0,2683,84.368433
180.0,2293,85.31314
185.0,2009,86.148315
155.0,2017,86.984524
125.0,2087,87.849379
120.0,2085,88.714015
180.0,2275,89.655693
240.0,2553,90.70679
165.0,2353,91.685509
345.0,4299,93.443826
435.0,3241,94.762732
210.0,2423,95.763396
50.0,1261,96.28805
185.0,2021,97.127958
265.0,2327,98.089718
75.0,1239,98.606114
110.0,2109,99.481595
150.0,3455,110.465453
125.0,1633,111.141789
250.0,2243,112.068302
