#{"t_start": 1635497692.412976, "env_id": "Ant-v3"}
r,l,t
-208.806271,383,12.809209
-18.40862,26,12.826909
-27.795484,48,12.859034
-249.236045,1000,13.547288
-289.923399,1000,14.239923
-4.01098,39,14.266179
-11.539588,103,14.335145
-16.367615,30,14.355408
-43.804398,64,14.398709
-4.157229,22,14.413561
-8.441612,14,14.423406
-36.08363,41,14.451111
11.870311,45,14.481556
-55.277689,140,14.577747
-35.006384,122,14.660759
-292.530089,1000,15.348652
-300.001235,1000,16.036917
-1.419848,16,16.048497
-98.536853,210,16.199837
-105.796131,110,16.27848
18.658717,44,16.309495
-4.192872,30,16.330882
-54.920734,102,16.402431
-30.418313,69,16.450806
-107.026005,238,16.618267
-55.640403,103,16.691015
-7.388847,60,16.733549
-28.572076,86,16.794223
3.265142,21,16.808661
-56.210332,101,16.876693
-8.414473,90,16.937341
-265.540813,1000,17.624472
-10.733063,30,17.644759
-63.793003,148,17.744509
-31.596632,239,17.903995
-330.188298,1000,18.592356
-78.609435,128,18.678449
-77.750578,170,18.792454
-38.532066,73,18.84164
-30.831196,72,18.890433
-40.965153,29,18.91045
-17.511199,25,18.927384
15.43401,43,18.956496
-8.13732,119,19.036448
-79.218817,112,19.111405
-18.616414,77,19.162933
-352.498913,1000,40.76537
-59.097805,100,41.73684
-4.201389,17,41.902534
-118.508981,211,43.954625
-19.188938,50,44.458778
-54.630171,82,45.266569
-0.62094,14,45.405107
-9.849256,19,45.595637
7.264969,41,45.995004
14.923219,51,46.49558
-72.012404,124,47.698758
-69.751906,46,48.144871
4.861859,19,48.329535
-19.985093,76,49.066326
-55.199695,131,50.348947
-35.253854,87,51.204511
-77.39218,80,52.006135
-38.524527,47,52.463187
-75.918018,160,54.017249
-14.216997,37,54.376463
-23.180287,58,54.96769
-30.867202,91,55.872868
-445.852067,1000,65.609616
-22.459228,64,66.231133
-13.22727,22,66.445689
-26.948951,67,67.096351
-518.813662,1000,76.851915
-16.458541,30,77.143735
-0.172146,48,77.609536
-93.066415,85,78.435215
-29.246125,119,79.591092
