#{"t_start": 1614621287.2261643, "env_id": "AntBulletEnv-v0"}
r,l,t
476.650231,1000,14.536834
157.814391,339,14.99292
510.819453,1000,16.312102
522.000166,1000,17.683625
488.086023,1000,19.028527
492.951976,1000,20.353476
472.681191,1000,21.678359
3.488873,21,21.704262
519.266461,1000,23.074982
527.366893,1000,24.463717
507.886803,1000,25.799854
172.191948,379,26.304139
395.147964,1000,38.350454
89.930529,226,42.379982
224.185611,501,51.372393
2.633242,20,51.415272
1.932246,20,51.458276
-0.079611,20,52.421468
375.730479,1000,69.3602
53.655101,181,72.738927
-0.199446,20,72.783384
390.892568,1000,91.048514
502.163459,1000,109.455169
386.560872,1000,126.732207
318.72133,1000,144.927199
415.237144,1000,162.153675
454.856197,1000,179.846453
465.399035,1000,196.792429
390.774821,1000,233.68224
374.863718,1000,250.686076
377.837798,1000,267.710233
501.616918,1000,283.816592
2.97088,20,284.787122
2.959424,21,284.830361
2.921818,21,284.873854
3.289797,21,285.846837
4.784772,23,285.895286
8.850375,32,285.962748
351.881352,596,296.560199
69.960798,164,298.770205
299.004421,1000,315.842926
526.023197,1000,332.845596
427.78345,1000,349.231744
114.505643,480,358.159708
78.536903,163,360.408748
334.016039,1000,378.508218
310.800986,1000,414.688396
326.631688,1000,432.819926
361.305788,1000,451.049027
555.175244,1000,468.278723
459.922355,1000,486.526254
359.329293,1000,504.620538
398.909434,1000,521.808543
517.59681,1000,540.043497
472.47144,1000,557.190307
643.237687,1000,575.246977
589.012273,1000,614.545874
312.13024,1000,631.673305
383.437278,1000,649.888834
587.926086,1000,667.020037
396.743182,680,678.019371
494.348174,1000,695.92641
522.911463,1000,713.912929
254.890366,1000,732.945832
379.475244,1000,750.468347
585.585627,1000,766.939382
640.815471,1000,785.179782
3.549664,21,785.231487
3.237249,21,786.35023
400.888782,1000,826.049226
545.048913,1000,845.207594
514.895231,1000,863.560726
471.444032,1000,882.862813
576.076439,1000,902.224308
476.962216,1000,920.368138
319.321519,1000,939.567911
336.456903,544,949.154398
522.913603,1000,968.223091
583.164789,1000,987.402399
493.073067,1000,1028.643016
644.039552,1000,1048.070288
526.016874,1000,1067.415055
