#{"t_start": 1614710446.786623, "env_id": "BipedalWalker-v3"}
r,l,t
-101.647677,129,0.308552
-103.662805,63,0.352713
-118.53815,116,0.427567
-83.858834,1600,1.44582
-118.460297,69,1.489405
-85.747309,1600,2.509544
-97.050686,85,2.567171
-87.130868,1600,3.576091
-108.990612,72,3.621943
-106.388263,69,3.668858
-114.789525,84,3.725152
-92.559343,1600,4.743027
-109.359038,43,4.774938
-69.698129,1600,5.779998
-99.483256,74,5.829757
-168.392276,1385,12.784603
-119.992821,49,12.848619
-132.505287,127,16.066967
-118.160303,121,19.280202
-97.820389,56,20.838765
-109.376729,59,22.409979
-124.927424,100,25.638187
-106.061017,118,29.132363
-92.681708,161,32.637405
-129.248224,177,37.728888
-107.619769,151,41.133327
-95.824785,132,44.544856
-107.322566,66,46.252051
-117.961151,114,49.575506
-121.056688,75,51.295286
-114.621514,36,52.971547
-101.402997,51,54.659882
-110.506359,69,56.372238
-97.912698,126,59.798917
-99.455652,83,61.512285
-118.387749,86,63.253987
-120.247499,71,64.977784
-106.180172,54,66.708971
-111.513006,50,68.374897
-110.260625,102,71.751586
-123.524231,124,75.173985
-120.900209,146,78.615607
-118.409846,97,80.371053
-124.457256,82,83.729811
-109.762083,113,85.502085
-131.853424,453,97.480726
-111.974369,264,105.909158
-120.881826,139,109.291245
-130.644323,94,111.034397
-110.103713,37,112.7071
-99.365887,64,114.412049
-129.509561,262,121.131952
-104.466228,114,124.523278
-128.726994,234,129.679394
-122.2695,72,131.383499
-131.859934,184,136.437938
-143.420496,340,146.59189
-132.755753,134,149.972439
-104.48308,1600,192.454706
-117.079601,212,197.556383
-96.395899,1600,239.91798
-102.072273,1600,293.827318
-146.171031,1600,335.984522
-86.095966,1600,378.549746
-108.75137,1600,421.389943
-79.071713,1600,463.858046
-104.432139,51,465.562774
-62.442059,1600,507.978242
-100.582905,67,509.694971
-100.902394,72,511.414912
-101.853772,219,516.581902
-61.681187,1600,559.878855
-103.845139,52,561.558775
-104.864037,47,563.261743
-106.417207,49,564.966182
-108.105597,48,566.666497
-104.164471,54,566.738285
-105.39406,57,568.451962
-104.788103,47,570.152145
-102.228153,68,571.877813
-107.17252,54,573.574263
-115.013787,65,575.258117
-98.235791,82,576.964185
-113.028843,69,578.689275
-115.877616,69,580.42197
-111.931488,56,582.140769
-115.727944,61,583.857864
-107.077987,46,585.555087
-109.377475,45,587.265491
-105.813423,45,587.32483
-103.051716,40,589.02133
-102.94548,37,589.071234
-103.386991,43,590.765278
-103.203805,42,592.459718
-103.901744,35,592.506806
-104.007725,35,594.190711
-103.291153,52,595.90462
-103.64632,44,595.963202
-102.833996,43,597.666028
-104.365267,40,599.36423
-104.150144,39,599.416739
-103.496218,44,601.118925
-104.004139,58,602.834106
-113.537548,68,604.559755
-99.977337,119,607.955904
-108.541327,63,609.653299
-92.962616,1600,652.323236
-65.544238,1600,694.932256
-58.828313,1600,737.993147
-49.844307,1600,780.757556
-109.778994,137,784.248739
-105.575728,75,786.003004
-108.262466,73,787.759646
-109.708843,109,791.20855
-107.79497,82,792.948148
-111.589239,238,799.885055
-113.523624,107,803.35656
-99.344565,129,806.836462
-102.980197,104,808.605894
-104.159517,497,823.804402
-99.439489,91,825.538152
-112.788097,152,830.572003
-118.463518,226,835.690887
-70.773522,1600,878.909071
-96.583503,294,887.624151
-127.550992,109,891.0637
-133.894638,150,894.602828
-36.839643,1600,938.125103
-96.358173,154,941.662889
-135.13689,1338,978.546377
-50.214369,1600,1022.17722
-41.925709,1600,1066.26314
-45.638987,1600,1129.306489
-46.875372,1600,1173.265182
-56.801569,1600,1217.587265
-57.767591,1600,1261.682206
-55.72821,1600,1305.825953
-51.781105,1600,1349.621545
-63.469007,1600,1407.551243
-38.792909,1600,1451.712422
-37.2045,1600,1495.6947
-98.590182,62,1497.465677
-95.640271,99,1500.957863
-104.664925,80,1502.747087
-96.081902,351,1513.202883
-94.481039,309,1520.35759
-100.818852,210,1527.403928
-106.737112,71,1529.193756
-42.109841,1600,1573.644387
-69.124455,1600,1618.033603
-54.230339,1600,1662.251766
-58.501079,1600,1725.303976
-35.122219,1600,1770.086874
-99.832844,188,1775.51087
-100.015262,191,1780.947
-136.645201,710,1800.958159
-34.550985,1600,1846.123781
-51.438532,1600,1891.873601
-41.243659,1600,1937.812006
-139.010993,758,1960.04681
-35.955957,1600,2016.637089
-61.692415,1600,2063.148292
-39.806934,1600,2109.880698
-55.877805,1600,2156.340466
-59.438929,1600,2203.357877
-99.303814,204,2208.993447
-30.753818,1600,2255.930001
-87.564884,411,2267.307216
-52.507139,1600,2332.906388
-71.263829,1600,2380.332126
-44.930755,1600,2427.796185
-45.112942,1600,2475.083734
-40.700946,1600,2522.567097
-25.339765,1600,2569.978272
-12.458458,1600,2631.046096
-30.188383,1600,2678.353957
-31.573219,1600,2725.866619
-27.248497,1600,2773.508646
-99.867709,404,2786.781249
-24.754275,1600,2834.473311
-33.952736,1600,2882.074116
6.463557,1600,2946.607531
-18.976466,1600,2993.608466
-23.500275,1600,3040.622267
-24.189363,1600,3087.794232
-93.876612,138,3091.575887
-22.581184,1600,3138.314282
-48.455286,1600,3185.066186
-11.402472,1600,3243.412857
-23.880096,1600,3290.23724
-12.601405,1600,3336.88088
-22.289844,1600,3383.528667
-27.152371,1600,3430.192846
-72.721,386,3441.274439
-23.086475,1600,3487.934764
-116.878771,55,3489.776983
-122.06108,66,3491.627142
-99.736181,780,3514.033591
-28.981544,1600,3561.567033
-90.837761,210,3567.207375
-80.027069,271,3574.722928
-88.390546,159,3580.273625
-86.736077,244,3587.740045
-17.634486,1600,3634.720677
-137.69819,1110,3666.584441
-29.29973,1600,3713.768916
-83.562894,394,3725.152872
-89.377982,150,3730.797062
-28.506918,1600,3777.768447
-42.507177,1600,3832.727581
-39.428765,1600,3879.801938
57.845173,1600,3927.033541
-2.387382,1600,3974.237365
-9.099394,1600,4021.143632
-21.681126,1600,4068.427463
-2.43635,1600,4115.783052
-112.346325,107,4117.732178
-67.62421,699,4153.797035
1.475738,1600,4201.111399
-1.905868,1600,4248.737895
-0.623138,1600,4296.224267
38.47251,1600,4343.385585
-100.397516,122,4347.189895
19.965693,1600,4394.484293
-106.972328,277,4402.023229
88.322593,1600,4464.821038
-131.906791,1522,4510.154866
79.977171,1600,4557.540772
15.138866,1600,4605.010897
98.56576,1600,4652.128991
127.273035,1600,4699.684617
113.097886,1600,4761.536844
32.659229,1600,4808.886449
93.511124,1600,4855.855089
147.490063,1600,4902.290948
-44.885053,1600,4948.754099
-45.394554,552,4965.308397
-23.222596,964,4993.143314
-60.905929,560,5009.869692
-95.41578,603,5026.499835
-34.489092,1600,5084.374502
5.360219,1600,5130.76395
119.810827,1600,5177.320553
97.092147,1600,5223.635824
121.536396,1600,5269.946997
76.595123,1600,5316.490792
67.067197,1600,5379.920508
106.642612,1600,5426.275538
124.080935,1600,5472.639154
74.130503,1600,5518.66028
-121.743798,58,5520.498594
126.977032,1600,5567.238613
-25.656261,1600,5613.660698
-36.397171,610,5630.474801
14.474614,1543,5692.606796
7.033642,1175,5726.105875
-81.19368,219,5731.674341
16.603777,1436,5774.392509
5.366735,1405,5815.293967
-46.163611,701,5835.55946
118.230857,1600,5881.951923
80.597343,1600,5927.950148
-80.972414,283,5935.397517
104.158625,1600,5999.454005
123.050412,1600,6045.476884
135.429162,1600,6091.127945
13.83112,1458,6133.377173
-26.777727,899,6158.96393
131.504484,1600,6205.276028
60.220841,1534,6249.145079
147.172261,1600,6307.410045
-61.434056,458,6320.312739
-122.136503,113,6324.009665
17.741611,1217,6359.428078
161.476939,1600,6405.646313
-77.183748,285,6413.108717
-39.484028,660,6433.482044
38.544996,1460,6473.982512
163.358409,1600,6520.366477
146.403407,1600,6574.156856
157.79881,1600,6620.808087
4.685081,1383,6661.64699
-68.124321,484,6676.484966
176.456913,1600,6722.633055
168.34462,1600,6769.023761
-74.813455,237,6774.606965
143.093397,1600,6821.192429
146.17252,1600,6881.20253
5.337997,988,6911.049463
171.046724,1600,6957.446609
183.061651,1600,7003.958706
-76.884084,188,7009.511575
142.31106,1600,7056.32268
182.823054,1600,7102.721709
158.23055,1600,7148.760188
-16.614394,727,7181.302433
-39.026079,577,7197.685924
196.86453,1600,7243.006712
179.057139,1600,7288.569579
-33.712791,627,7306.924206
179.376446,1600,7352.08318
181.773961,1600,7397.491123
162.720418,1600,7442.88533
-48.436625,457,7455.703669
175.318723,1600,7519.261395
183.386889,1600,7564.813755
158.444625,1600,7610.364231
198.94467,1600,7655.661851
210.217718,1600,7701.375185
185.802442,1600,7746.992898
186.683052,1600,7807.608325
171.835072,1600,7853.152418
197.40663,1600,7898.232141
27.613197,883,7923.888898
10.659386,985,7951.331274
62.984002,1264,7987.424029
214.366838,1600,8032.769925
-33.883286,449,8045.368511
196.473313,1600,8108.536872
197.091068,1600,8153.876123
69.793734,1448,8195.979231
-78.919932,207,8201.399082
207.606923,1600,8246.91394
198.381052,1600,8292.155252
209.674487,1600,8337.758697
-35.136416,487,8350.439854
207.277551,1600,8413.600309
190.858861,1600,8459.367353
201.241631,1600,8504.812913
174.788368,1600,8550.177874
207.450469,1600,8595.62449
25.547044,917,8622.969501
221.529498,1600,8668.764664
223.938935,1600,8730.981888
212.398243,1600,8776.215202
248.756473,1600,8821.869963
230.361311,1600,8867.696122
229.015471,1600,8913.282312
6.819589,707,8933.18977
233.823746,1600,8993.979731
247.77395,1600,9039.724587
239.240377,1600,9085.363216
270.592659,1573,9129.287938
274.223643,1450,9170.999775
270.840695,1536,9214.930806
270.676909,1490,9257.059807
-36.220531,462,9269.977588
269.227111,1543,9325.603623
272.529455,1447,9365.935776
-23.08743,514,9380.538549
273.903225,1426,9422.357588
-40.218512,372,9431.620719
55.822403,771,9453.780143
-11.584662,493,9468.513754
272.78824,1310,9507.144629
274.597935,1454,9547.440602
275.333138,1441,9604.817286
277.157322,1423,9644.866814
272.002624,1379,9685.263888
33.590303,685,9703.65487
273.117394,1366,9744.050355
270.591712,1451,9784.296291
-27.178049,421,9796.957474
6.127854,539,9811.54663
274.984119,1308,9850.022555
29.542685,681,9868.245816
275.601421,1318,9920.719187
-17.685095,424,9933.602719
280.851769,1293,9970.270144
51.6346,731,9990.535853
276.511136,1279,10027.086417
-75.403006,216,10034.327919
274.750722,1316,10071.151601
-68.846918,201,10076.706608
10.0413,542,10093.168563
275.78462,1266,10130.000504
23.978795,617,10146.889532
276.488269,1226,10192.216168
277.434313,1214,10227.359968
41.083022,665,10247.639698
53.04251,714,10267.825757
35.801752,659,10286.279689
-27.464025,407,10297.441585
97.715756,961,10325.210627
287.03684,1225,10361.895675
-66.763012,188,10367.52164
284.154749,1240,10403.072186
278.814663,1246,10437.92758
32.236226,628,10456.466875
-77.082919,154,10461.995639
281.333312,1239,10509.474174
133.715331,1022,10539.05913
166.684975,1154,10572.244807
283.878318,1214,10607.306927
282.291124,1217,10642.801904
-63.272759,202,10648.314775
282.471448,1197,10683.244164
-85.197437,147,10686.988247
138.068541,1020,10716.70654
-74.065109,169,10722.189543
-41.784461,307,10731.359672
278.178401,1245,10766.396704
36.034218,625,10792.926049
277.549234,1214,10827.738769
280.442872,1166,10861.112029
-70.537081,165,10864.898611
281.089815,1165,10900.033519
154.945458,1126,10931.331548
285.62092,1185,10966.38629
280.483418,1179,10999.337447
279.983395,1169,11032.677641
-68.458824,179,11038.218312
280.036461,1179,11086.12845
282.297804,1137,11117.810151
164.215762,1056,11149.025655
279.426931,1157,11182.110508
277.152333,1198,11217.038658
282.412351,1173,11250.101482
281.954658,1202,11285.176595
280.972,1187,11318.156684
280.238288,1216,11353.381148
3.092278,458,11368.024606
284.206009,1139,11410.829198
-22.809221,346,11421.919037
279.815608,1174,11455.096183
-82.204601,129,11458.765392
279.062975,1212,11493.464561
278.557419,1187,11527.942279
280.472292,1214,11562.446734
282.544924,1191,11595.490654
284.298904,1196,11630.23858
281.239287,1221,11664.799535
285.181665,1128,11708.867866
280.19138,1178,11741.578587
277.971431,1248,11777.916538
280.39253,1230,11812.543251
278.647375,1237,11847.641126
-35.951031,339,11856.848943
-88.719768,115,11860.476943
-46.094367,284,11869.54632
152.340509,1204,11902.423332
282.142258,1234,11938.800594
153.433858,1099,11982.33268
282.627832,1178,12015.133945
283.860014,1168,12049.657238
79.400383,787,12071.513373
122.350704,1005,12100.981063
287.358543,1227,12135.676642
288.02305,1193,12168.404964
42.510569,610,12186.532551
287.008787,1190,12219.273588
-11.753402,421,12231.955268
23.255906,549,12248.243701
52.732037,647,12276.717142
287.676433,1163,12309.479886
161.968554,1096,12340.755839
285.701218,1156,12373.426854
290.093939,1146,12406.062486
44.252995,601,12422.412601
287.863415,1215,12456.848172
291.445237,1160,12489.504348
287.839983,1201,12523.951745
289.469146,1157,12570.081155
-119.111358,113,12573.696273
68.043287,729,12593.695038
292.418337,1171,12628.099021
289.658617,1234,12662.579444
289.076761,1207,12697.027772
291.197621,1181,12729.717582
288.189364,1163,12764.248212
-57.555039,239,12769.818189
-45.019101,286,12778.968197
290.012248,1186,12811.854257
288.585195,1183,12846.28266
124.823276,948,12885.370145
288.110648,1127,12916.311286
289.786683,1137,12949.06885
294.185984,1126,12981.857596
292.697563,1178,13015.102808
292.578415,1134,13047.921413
292.57076,1111,13078.914673
291.343654,1134,13111.708247
290.909849,1128,13142.743713
111.267467,903,13179.667067
294.807393,1120,13212.530829
293.357626,1136,13245.514589
113.0243,836,13269.572532
-83.586302,119,13273.26363
293.202822,1125,13304.397924
288.491999,1183,13339.081014
289.614775,1126,13370.190878
288.960864,1146,13403.088146
292.587689,1121,13435.985565
286.537226,1116,13482.307153
290.333612,1109,13517.176834
-16.662118,382,13529.37255
292.042721,1119,13565.902395
291.032458,1154,13602.482012
291.675347,1121,13637.089609
293.82556,1112,13673.72082
295.530947,1106,13708.775532
294.502166,1112,13745.342383
291.651323,1092,13793.489866
290.581487,1085,13827.983029
294.145503,1076,13860.515597
291.788631,1074,13894.911985
293.52267,1072,13929.651528
24.765791,528,13946.029493
292.197712,1090,13980.435576
291.031067,1089,14014.78475
4.314107,434,14028.887809
293.163154,1083,14063.249824
291.910773,1083,14097.645629
291.915467,1091,14145.027317
290.916448,1101,14179.748418
291.92131,1077,14214.093791
290.721727,1085,14248.460039
292.518862,1116,14282.842353
291.285296,1090,14317.21203
294.297088,1091,14351.774219
288.395848,1131,14388.500328
293.296712,1122,14424.870446
291.33677,1115,14470.749203
181.067787,1101,14505.161593
25.681197,509,14521.351609
293.625885,1062,14555.842442
294.048208,1068,14588.618809
146.877749,982,14620.925699
292.179727,1152,14657.341827
295.397639,1090,14691.70307
296.932704,1107,14726.157018
