#{"t_start": 1615196862.23805, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-114.311341,2000,3.412109
-107.195053,121,3.460521
-118.611791,64,3.487254
-125.232244,2000,4.258218
-113.296465,71,4.287777
-113.244075,81,4.320922
-113.698716,46,4.341156
-100.446706,100,4.382306
-109.392423,2000,5.187964
-106.134663,60,5.213629
-92.915524,2000,6.009915
-192.52532,1540,7.529343
-136.144781,610,12.472623
-112.364891,72,13.053433
-113.095838,125,14.06161
-111.588339,67,14.606123
-170.837747,933,22.174185
-241.496334,1797,36.577242
-101.052918,56,37.02596
-101.996132,59,37.49821
-104.507007,53,37.922858
-105.580562,64,38.435575
-106.360407,53,38.85964
-101.258397,67,39.396015
-100.667732,84,40.068289
-102.144568,53,40.494084
-101.378351,65,41.015664
-106.348009,48,41.401094
-103.807985,40,41.723104
-102.191279,44,42.076785
-102.574909,52,42.494277
-102.629221,53,42.919576
-102.96735,54,43.353243
-99.435659,212,45.045589
-102.760269,50,45.447686
-103.632847,46,45.816912
-98.991866,59,46.293822
-103.501583,55,46.734727
-104.687907,77,47.350362
-100.376221,61,47.839029
-102.120706,73,48.423485
-100.643172,54,48.856135
-104.168625,59,49.328788
-106.368012,90,50.048142
-101.802541,63,50.55337
-122.1661,70,51.113732
-114.01863,73,51.697894
-105.427776,82,52.354487
-112.824975,81,53.003127
-109.288049,80,53.6429
-101.96692,73,54.228518
-97.425842,75,54.829927
-105.518211,68,55.374349
-103.880352,58,55.839018
-104.78224,58,56.303993
-104.846998,75,56.904698
-101.053242,67,57.441657
-105.179401,80,58.081545
-244.791582,1785,72.29467
-153.675576,476,76.023576
-178.776587,1374,86.796233
-112.344684,47,87.166264
-107.166857,68,87.699604
-120.004289,57,88.146881
-109.474336,46,88.509206
-107.673923,72,89.074072
-108.92205,44,89.420975
-100.986788,325,91.967169
-130.958252,172,93.311713
-111.416821,87,93.993749
-113.593679,134,95.042324
-117.750532,58,95.498599
-117.621569,123,96.462531
