#{"t_start": 1635497646.2105772, "env_id": "HalfCheetah-v3"}
r,l,t
-289.556359,1000,32.207439
-300.131795,1000,32.575448
-347.846638,1000,32.941625
-166.433004,1000,33.315654
-253.902374,1000,33.684784
-226.46796,1000,34.050707
-342.791282,1000,34.415926
-291.979544,1000,34.781347
-344.851276,1000,35.148776
-278.687189,1000,35.515012
-344.408802,1000,56.02447
-263.430499,1000,67.520733
-192.781652,1000,78.966329
-192.477708,1000,90.466004
-219.312216,1000,101.878827
-169.723307,1000,113.295597
-202.313986,1000,125.000106
-184.468638,1000,136.841187
-267.045169,1000,148.254133
-181.838124,1000,160.058982
-111.011009,1000,177.78333
-123.798031,1000,189.854411
-95.465107,1000,202.032827
-431.237882,1000,214.285382
150.527747,1000,226.294839
-84.298379,1000,238.355615
526.405174,1000,250.420812
275.829647,1000,262.459687
1179.07378,1000,274.631043
838.836532,1000,286.96101
254.493672,1000,304.922393
1358.619699,1000,317.086436
291.944228,1000,329.239292
144.755758,1000,341.332695
583.438882,1000,353.546199
1228.50995,1000,365.703222
676.449646,1000,377.815401
1958.752583,1000,389.955055
1336.876903,1000,402.052158
2053.350867,1000,414.197044
832.831315,1000,432.30793
2373.046002,1000,444.53568
2404.360474,1000,456.677435
30.299025,1000,468.873008
2321.61333,1000,481.015467
2561.966235,1000,493.183627
2599.652724,1000,505.360954
2651.907867,1000,517.444486
2719.272132,1000,529.593404
2924.466144,1000,541.754154
3053.272816,1000,559.686227
2936.312021,1000,571.773357
3354.634834,1000,583.954952
2866.009846,1000,596.075264
3161.934649,1000,608.192912
943.611004,1000,620.364821
2869.994527,1000,632.461727
3254.196565,1000,644.600783
3208.388402,1000,656.789546
3336.433622,1000,668.906994
3316.428592,1000,686.860953
3388.536041,1000,699.016639
3430.743438,1000,711.156345
3335.197115,1000,723.239418
3541.10206,1000,735.435418
3360.941862,1000,747.568792
3513.911969,1000,759.687565
3502.809948,1000,771.837011
3501.483086,1000,783.931622
3482.007292,1000,796.077503
3708.965215,1000,814.207679
3576.048026,1000,826.538924
3580.993951,1000,838.611726
3927.050896,1000,850.740769
3965.781666,1000,862.886421
3865.767422,1000,874.97266
4029.026053,1000,887.055285
4028.991117,1000,899.089565
3743.682025,1000,911.086272
4108.491387,1000,923.097203
4110.242255,1000,940.702002
4127.967928,1000,952.536021
4138.266213,1000,964.567252
4233.777982,1000,976.537713
3790.183097,1000,988.390619
4222.984341,1000,1000.291723
4038.108804,1000,1012.127143
4176.90304,1000,1024.011049
4436.587839,1000,1035.901389
4342.30782,1000,1047.739221
4301.670122,1000,1065.308013
4421.809932,1000,1077.204184
4543.213068,1000,1089.018419
4650.181787,1000,1100.897735
4550.739453,1000,1112.94491
4735.007786,1000,1125.002399
2873.276623,1000,1136.888656
4846.42446,1000,1148.757271
4871.890571,1000,1160.565393
4634.386628,1000,1172.375511
4911.778035,1000,1189.784186
4960.690893,1000,1201.591078
4760.482048,1000,1213.631263
4516.954157,1000,1225.660447
5064.522344,1000,1237.648245
4904.196892,1000,1249.726201
4928.49956,1000,1261.742109
4856.036109,1000,1273.769635
5123.273013,1000,1285.819366
5116.041516,1000,1297.771834
5070.789167,1000,1315.406214
5159.240827,1000,1327.33515
5177.406059,1000,1339.217234
5081.826294,1000,1351.071923
4943.888033,1000,1362.995455
5291.0295,1000,1374.868799
5341.897868,1000,1386.746921
5476.649114,1000,1398.663279
5048.169912,1000,1410.511183
5462.411182,1000,1422.4236
5128.424777,1000,1439.970527
5340.773672,1000,1451.84334
5253.700188,1000,1463.668671
5227.323282,1000,1475.592666
5155.608787,1000,1487.41279
5611.027668,1000,1499.329206
5413.887201,1000,1511.266163
5516.773976,1000,1523.093339
5430.884097,1000,1535.001466
5238.252798,1000,1546.89718
5622.732388,1000,1564.426075
5681.965738,1000,1576.323881
5492.767795,1000,1588.263838
5324.949046,1000,1600.115452
5453.131805,1000,1612.023662
5601.623455,1000,1623.938617
5625.205339,1000,1635.762329
5603.995887,1000,1647.897873
5574.031919,1000,1659.834731
5529.992404,1000,1671.695897
5653.388467,1000,1689.290997
5594.321909,1000,1701.212906
5581.290995,1000,1713.0726
5769.758924,1000,1725.034486
5748.44803,1000,1736.928899
5782.669327,1000,1748.790414
5917.748472,1000,1760.690497
700.654244,1000,1772.512864
5873.289446,1000,1784.367797
5816.441568,1000,1796.340482
5849.123949,1000,1813.972203
5810.483963,1000,1825.769587
5534.693949,1000,1837.622059
5807.090714,1000,1849.379521
5880.121436,1000,1861.21271
5959.446144,1000,1873.060608
6041.26151,1000,1884.949192
5819.390614,1000,1896.881656
5586.842562,1000,1908.722852
5885.818305,1000,1920.5432
5979.036133,1000,1937.954456
6033.47306,1000,1949.836618
6029.887131,1000,1961.581353
5852.162809,1000,1973.459732
5918.220991,1000,1985.248488
6110.574166,1000,1997.032985
6095.162972,1000,2008.76191
5913.00243,1000,2020.389611
6073.886533,1000,2032.145551
6101.904633,1000,2043.846833
6106.313724,1000,2061.065471
6158.551017,1000,2072.743383
5885.457113,1000,2084.461772
6141.084462,1000,2095.787062
6287.279398,1000,2107.350293
6054.386291,1000,2118.553154
6148.007007,1000,2129.657033
6107.16258,1000,2140.778257
6160.05985,1000,2151.892505
6191.168504,1000,2163.047393
6012.711906,1000,2179.447496
6182.987878,1000,2190.568532
6341.426412,1000,2201.691831
5995.588656,1000,2212.806231
6357.800322,1000,2223.954103
6021.13374,1000,2235.038769
6381.315153,1000,2246.105373
6172.423873,1000,2257.233844
6157.003835,1000,2268.567272
6288.81584,1000,2279.886402
6262.054063,1000,2296.493222
5974.944479,1000,2307.754758
6268.20605,1000,2318.995486
6242.024197,1000,2330.202281
6073.84767,1000,2341.421664
6210.911144,1000,2352.638593
6150.045884,1000,2363.85658
6179.98376,1000,2375.060075
6188.535021,1000,2386.112093
6489.796647,1000,2397.192941
6176.522477,1000,2413.984412
6355.466375,1000,2425.09798
6627.445202,1000,2436.171945
6520.081269,1000,2447.242617
6292.809434,1000,2458.330955
6376.431973,1000,2469.383197
6481.995014,1000,2480.795992
6409.301254,1000,2492.065031
6558.140364,1000,2503.133123
6385.15369,1000,2514.19291
6413.107362,1000,2530.538203
6392.053465,1000,2541.585936
6405.564696,1000,2552.675376
6546.367479,1000,2563.736132
6536.298426,1000,2574.851907
6558.954182,1000,2585.969814
6560.232328,1000,2597.004311
6460.35285,1000,2608.066813
6754.581089,1000,2619.191668
6487.638825,1000,2630.262369
6582.575478,1000,2646.561463
6550.543234,1000,2657.627892
6438.177321,1000,2668.667773
6567.475095,1000,2679.767688
6446.577219,1000,2690.937973
6585.044175,1000,2702.005704
6671.755398,1000,2713.211247
6553.49847,1000,2724.384429
3183.531244,1000,2735.634565
6291.967916,1000,2746.845048
3846.269445,1000,2763.17395
6379.107895,1000,2774.2168
6546.304638,1000,2785.308602
6628.915463,1000,2796.361358
6533.061074,1000,2807.50241
6607.444727,1000,2818.555682
6630.29745,1000,2829.608369
6695.118818,1000,2840.624909
6688.655109,1000,2851.653867
6599.157076,1000,2863.136181
6574.279812,1000,2879.690666
6695.231493,1000,2890.722592
6570.448255,1000,2901.739963
6704.489307,1000,2912.764815
6699.071135,1000,2923.868791
6634.042577,1000,2935.19009
6819.145081,1000,2946.643453
6409.125007,1000,2957.703129
6724.351197,1000,2968.788052
6654.996675,1000,2979.891411
6745.660545,1000,2996.193023
6644.893316,1000,3007.451822
6785.40512,1000,3019.036597
6647.555661,1000,3030.229823
6626.529667,1000,3041.262254
6697.089962,1000,3052.355806
6422.468424,1000,3063.478068
6732.563223,1000,3074.571809
6704.368719,1000,3085.922735
6803.820374,1000,3097.414392
6703.863479,1000,3113.647305
6736.112262,1000,3124.783526
6780.709921,1000,3135.881821
6745.981408,1000,3146.937078
6768.981261,1000,3157.988091
6814.678542,1000,3169.03594
6803.047203,1000,3180.108248
6742.20601,1000,3191.16888
6686.579724,1000,3202.24973
6771.923253,1000,3213.291965
6815.221001,1000,3229.515342
6672.3107,1000,3240.560904
6830.127379,1000,3251.619885
6866.172141,1000,3262.680493
6680.144293,1000,3273.766957
6844.985631,1000,3284.818824
6789.404971,1000,3295.824471
6816.006891,1000,3306.773569
6881.399125,1000,3318.009941
6705.916991,1000,3329.306998
6828.221958,1000,3345.864122
6803.898296,1000,3357.11753
6881.069422,1000,3368.352722
6778.432764,1000,3379.567511
6883.621871,1000,3390.800156
6879.043884,1000,3402.026835
6793.258979,1000,3413.226213
6977.199175,1000,3424.427881
6877.826043,1000,3435.679856
6785.698603,1000,3446.814156
6735.828213,1000,3463.169595
6768.530713,1000,3474.643996
6826.765261,1000,3485.674482
6754.116286,1000,3496.705425
6916.650418,1000,3507.770373
6965.766005,1000,3518.853986
6808.499113,1000,3529.932013
6799.531403,1000,3541.279113
6819.263053,1000,3552.778286
6803.467743,1000,3563.817188
6906.162711,1000,3580.088527
6950.427481,1000,3591.169053
6855.435755,1000,3602.256146
7072.794786,1000,3613.442637
6983.127536,1000,3624.981761
6761.879791,1000,3636.092693
6937.759788,1000,3647.157331
6890.238815,1000,3658.182477
6800.4209,1000,3669.227045
6996.523189,1000,3680.26479
6903.718262,1000,3696.986071
6932.898506,1000,3708.225524
6876.246191,1000,3719.261518
7064.497557,1000,3730.362635
7000.73854,1000,3741.498166
7045.319912,1000,3752.601871
7032.299273,1000,3763.819546
6949.169663,1000,3775.43214
6958.676459,1000,3786.694986
7090.471819,1000,3797.716896
6994.561065,1000,3813.992801
7056.416598,1000,3825.147743
6842.607325,1000,3836.181659
7082.197926,1000,3847.564971
6997.653517,1000,3858.846465
7027.145006,1000,3869.9446
6975.202765,1000,3880.984276
7046.488184,1000,3892.022818
6973.889381,1000,3903.078764
6901.108443,1000,3914.144382
7124.146564,1000,3931.070032
6903.900123,1000,3942.094611
6998.133976,1000,3953.233146
7010.95416,1000,3964.280149
7083.295924,1000,3975.432438
7084.604097,1000,3986.479706
7127.137968,1000,3997.825011
6985.745824,1000,4009.243368
7079.816384,1000,4020.30679
6948.632701,1000,4031.359354
7102.712161,1000,4047.671027
6993.967327,1000,4058.750757
7102.040723,1000,4069.834537
7066.976073,1000,4080.96839
7168.626045,1000,4092.05231
7096.800806,1000,4103.154253
7169.158019,1000,4114.219914
6871.210737,1000,4125.282928
7104.165267,1000,4136.315765
7352.234489,1000,4147.578696
7068.120527,1000,4164.240751
7181.502123,1000,4175.351951
7069.505268,1000,4186.426072
7215.48961,1000,4197.470028
7185.996597,1000,4208.538139
7183.696971,1000,4219.626483
7132.963321,1000,4230.820957
7108.640842,1000,4241.983934
7183.177675,1000,4253.063055
7531.907239,1000,4264.119477
7342.963448,1000,4280.424013
7201.644672,1000,4291.471648
7160.735692,1000,4302.868641
7216.167776,1000,4314.167323
7137.816157,1000,4325.225186
7307.280981,1000,4336.289794
7272.145825,1000,4347.401794
7325.310318,1000,4358.455902
7261.610046,1000,4369.413799
7317.988492,1000,4380.833449
7260.459936,1000,4397.412944
7378.948847,1000,4408.686831
7227.615037,1000,4419.941379
7173.027344,1000,4431.174265
7290.718988,1000,4442.386657
7281.76381,1000,4453.936201
7555.145813,1000,4465.4406
7085.705571,1000,4476.69731
7125.233111,1000,4488.006897
7206.311114,1000,4499.304049
7490.530479,1000,4515.576157
7330.768922,1000,4526.615496
7326.859561,1000,4537.696415
7475.454476,1000,4548.803184
7650.780447,1000,4559.929743
7592.096175,1000,4570.989894
7424.929897,1000,4582.020875
7317.334666,1000,4593.071366
7676.544941,1000,4604.481465
7376.862765,1000,4615.955896
7656.948663,1000,4632.165736
7652.913903,1000,4643.230235
7352.764294,1000,4654.352513
7748.0718,1000,4665.512739
7480.994495,1000,4676.707217
7544.55333,1000,4688.314165
7462.033504,1000,4699.444558
7656.198348,1000,4710.524688
7496.365942,1000,4721.593175
7543.549223,1000,4732.74746
7592.890066,1000,4749.057483
7562.458357,1000,4760.590427
7665.57271,1000,4771.758847
7608.077605,1000,4782.839046
7576.370734,1000,4793.909526
7588.802512,1000,4805.006626
7637.083704,1000,4816.155475
7568.54076,1000,4827.267843
7582.348886,1000,4838.425698
7651.797993,1000,4849.591195
7498.409266,1000,4865.885576
7875.447111,1000,4876.992384
7514.165031,1000,4888.07003
7497.802253,1000,4899.148801
7578.570195,1000,4910.611702
7426.782827,1000,4921.969529
7679.103602,1000,4933.07525
7650.552679,1000,4944.152163
7433.636245,1000,4955.174141
7593.645969,1000,4966.214919
7741.345096,1000,4982.665077
7597.184678,1000,4994.172211
7823.152373,1000,5005.240286
7838.840051,1000,5016.323488
7791.851856,1000,5027.415612
7600.261995,1000,5038.512962
7720.517079,1000,5049.605422
7551.738696,1000,5060.995338
7599.94417,1000,5072.417261
7705.530021,1000,5083.495297
7569.970346,1000,5099.777531
7871.028121,1000,5110.828163
7774.829725,1000,5121.880805
7720.820857,1000,5132.979273
7719.797891,1000,5144.230662
7677.241529,1000,5155.305255
7624.374137,1000,5166.385885
7674.081949,1000,5177.451688
7883.139935,1000,5188.495243
7869.678406,1000,5199.568395
7775.372379,1000,5216.269708
7415.676939,1000,5227.493797
7726.266667,1000,5238.536261
7871.560667,1000,5249.599183
7789.633643,1000,5260.651556
7862.155656,1000,5271.687905
8056.701996,1000,5282.779142
7883.673316,1000,5294.327555
7818.298802,1000,5305.474797
7729.044436,1000,5316.519062
7695.587778,1000,5332.757307
7931.710342,1000,5343.819733
7764.249702,1000,5354.893352
7901.96185,1000,5366.361981
7893.898149,1000,5377.719199
7879.316035,1000,5388.75805
7761.587382,1000,5399.801356
7851.542643,1000,5410.858534
8023.945476,1000,5421.881877
7896.047283,1000,5432.811546
7846.096878,1000,5449.403287
8124.816437,1000,5460.431291
8169.792605,1000,5471.392994
7933.701726,1000,5482.364023
8145.382213,1000,5493.333176
7939.741305,1000,5504.328917
8071.402179,1000,5515.583013
8040.287419,1000,5526.999122
7845.822569,1000,5537.919779
7930.559301,1000,5548.851719
7912.750157,1000,5565.075722
7900.414498,1000,5576.286666
7987.77398,1000,5587.652886
8102.198488,1000,5598.903239
8072.528615,1000,5610.134359
8264.082332,1000,5621.407138
8032.843493,1000,5632.607907
8125.642539,1000,5643.864328
8167.203092,1000,5655.100737
8225.875336,1000,5666.55842
7848.937399,1000,5683.339014
7765.42894,1000,5694.469385
7919.8809,1000,5705.546352
8057.664262,1000,5716.658983
8064.726531,1000,5727.740596
8062.892893,1000,5738.897119
7939.723822,1000,5750.444161
7839.200295,1000,5761.612904
7965.602551,1000,5772.674632
8063.079579,1000,5783.755737
7965.092734,1000,5800.102481
7802.983499,1000,5811.18805
