#{"t_start": 1614621287.2260802, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1050.168172,1000,14.260152
-1137.053993,1000,15.505749
-1319.853164,1000,16.735924
-1414.974796,1000,17.981793
-1258.736587,1000,19.233066
-1401.171421,1000,20.435447
-1478.594106,1000,21.647876
-1452.23987,1000,22.898287
-1217.145219,1000,24.193398
-1308.532357,1000,25.418494
-1214.607291,1000,65.25193
-1350.998109,1000,87.672553
-821.620284,1000,106.851641
-332.961929,1000,126.244909
-549.817657,1000,148.690415
-173.06566,1000,169.805181
-278.845099,1000,189.864465
549.756705,1000,209.828228
-112.707766,1000,227.850034
237.830556,1000,244.916422
511.478839,1000,281.090377
-300.132836,1000,299.854451
157.928587,1000,319.895142
-171.233246,1000,339.535858
171.959472,1000,361.136247
63.139515,1000,383.368932
96.529101,1000,404.454159
77.605733,1000,425.349363
449.114266,1000,446.110801
462.381584,1000,463.657963
574.089315,1000,507.984478
577.42148,1000,528.593877
584.979564,1000,548.667566
418.019875,1000,568.168642
539.26279,1000,588.53208
604.7747,1000,608.769856
515.635683,1000,626.897648
318.345664,1000,644.312677
633.24464,1000,661.793569
68.069406,1000,678.181416
332.791573,1000,717.482054
587.218021,1000,737.246433
607.979467,1000,753.508852
622.533919,1000,772.497407
642.902213,1000,791.453458
533.521517,1000,809.612525
604.220691,1000,828.810003
569.362887,1000,847.142348
515.437194,1000,866.465561
504.165867,1000,886.016312
413.513397,1000,925.305575
368.622353,1000,944.89387
528.428371,1000,964.775032
552.945485,1000,986.458996
511.113872,1000,1006.813599
608.67904,1000,1024.88239
585.656248,1000,1046.97269
552.275832,1000,1067.142621
294.018358,1000,1085.097315
582.705454,1000,1104.365947
602.956991,1000,1144.436655
524.818128,1000,1162.562869
440.330882,1000,1181.839268
660.71452,1000,1201.172346
266.556651,1000,1220.511357
607.5583,1000,1240.213274
452.23283,1000,1258.194524
638.243217,1000,1277.329875
652.725769,1000,1298.20637
654.692779,1000,1320.102251
625.982559,1000,1363.709024
663.321546,1000,1381.713333
478.515431,1000,1401.148206
643.918553,1000,1419.978157
583.67181,1000,1437.970395
640.720833,1000,1457.011071
593.893558,1000,1476.682712
543.266048,1000,1498.475165
655.707671,1000,1521.689849
586.975305,1000,1543.770005
633.356235,1000,1589.545835
623.242807,1000,1608.35058
564.178586,1000,1626.044163
548.733291,1000,1645.174399
563.044348,1000,1664.089097
605.871801,1000,1681.945842
641.889885,1000,1704.554735
618.112694,1000,1726.6003
585.194419,1000,1749.540348
645.157479,1000,1768.867482
581.734334,1000,1813.164715
626.216848,1000,1836.087724
639.416195,1000,1855.55032
573.013784,1000,1877.090967
77.15988,1000,1900.157225
615.998312,1000,1921.491383
523.389231,1000,1944.450832
617.284065,1000,1967.561943
674.729386,1000,1988.902398
685.063222,1000,2012.075685
668.099063,1000,2058.90243
669.052788,1000,2080.570668
670.187175,1000,2100.672195
540.531048,1000,2119.207886
687.340309,1000,2141.687981
601.19244,1000,2164.522745
639.607213,1000,2186.050199
589.50007,1000,2209.313762
661.974365,1000,2229.467238
468.465915,1000,2250.358033
671.763267,1000,2293.438847
652.181127,1000,2311.285242
558.642062,1000,2330.381101
595.472056,1000,2349.233128
715.429195,1000,2369.147571
633.477447,1000,2392.112047
640.126927,1000,2411.286432
708.831409,1000,2429.251586
705.759326,1000,2450.186973
578.017275,1000,2471.219618
709.726943,1000,2511.011617
654.277337,1000,2530.252377
685.22244,1000,2548.095624
721.200785,1000,2569.453923
706.852773,1000,2591.967715
692.887003,1000,2609.740892
653.666636,1000,2631.993518
704.778268,1000,2652.4678
680.644669,1000,2672.582569
686.125945,1000,2695.752608
671.320346,1000,2739.490674
596.984611,1000,2758.250283
645.810697,1000,2779.935497
