#{"t_start": 1635497661.1074107, "env_id": "Hopper-v3"}
r,l,t
14.586174,19,24.731579
13.09917,27,24.745794
10.281308,16,24.754064
9.24557,14,24.761154
8.693514,12,24.767284
11.095033,28,24.780812
12.498593,16,24.788456
21.091004,27,24.801353
22.217933,22,24.811669
4.590485,11,24.816789
10.616914,16,24.824391
39.457788,45,24.844714
24.245813,22,24.854552
16.273613,18,24.862647
6.983625,9,24.866684
12.668751,19,24.87502
11.554824,14,24.881074
8.607936,16,24.888164
17.957508,19,24.896631
7.457851,20,24.905594
6.341827,9,24.909686
16.010167,22,24.91942
10.145253,19,24.927883
10.248229,14,24.934027
11.24871,21,24.943382
6.42682,10,24.947792
11.354634,14,24.953846
10.156314,18,24.961844
8.878585,20,24.970646
12.35081,17,24.978131
10.655037,14,24.984321
8.282092,21,24.993642
22.218895,21,25.002915
8.139237,10,25.007257
10.883182,17,25.01468
8.532652,18,25.022643
10.022555,15,25.02937
14.198345,15,25.035951
37.374183,29,25.048607
13.876155,28,25.06095
92.556623,97,25.103457
24.820364,22,25.113132
8.388387,23,25.12337
7.580761,11,25.128117
24.757062,44,25.147564
14.817573,40,25.165234
9.235073,20,25.174089
16.432927,16,25.181195
11.049758,16,25.188293
11.950983,15,25.194908
11.608607,15,25.201622
12.256134,15,25.208238
28.439148,45,25.228295
14.005666,15,25.235065
17.541713,20,25.243897
18.391806,20,25.252664
11.339025,19,25.261071
10.654717,14,25.267215
15.099261,18,25.275239
9.544897,12,25.280596
15.021959,17,25.288354
17.95425,26,25.299994
37.185385,31,25.313535
15.947568,23,25.323694
9.274325,13,25.329502
14.679906,17,25.337078
21.266777,32,25.351169
10.749747,14,25.35733
7.685326,10,25.361732
37.753943,35,25.37712
13.156502,17,25.384726
22.098246,24,25.395307
28.388014,40,25.413018
10.776439,14,25.41935
53.938824,49,25.440881
19.897368,34,25.455941
10.973158,29,25.468758
8.312684,24,25.479448
39.680816,35,25.494515
9.32345,11,25.499192
6.733229,12,25.504643
21.136206,24,25.515369
16.888051,19,25.523797
6.317731,9,25.527698
23.183387,26,25.539233
24.507366,22,25.548873
4.745057,25,25.560123
10.421447,12,25.565445
10.867298,13,25.571199
5.913788,8,25.574714
7.595722,11,25.579759
24.649887,25,25.590626
8.203788,13,25.596356
17.633463,20,25.605137
10.041611,13,25.610852
8.034396,19,25.619296
15.647006,17,25.626793
10.570334,13,25.63237
70.021493,63,25.659667
