#{"t_start": 1614621296.3431036, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.806424,14,9.447206
21.047742,13,9.457559
17.216547,7,9.463371
20.76542,7,9.46924
19.932346,11,9.478611
17.564304,12,9.488097
17.471501,9,9.495675
19.18908,9,9.503047
16.975286,6,9.508363
18.269443,7,9.514174
19.870396,8,9.52073
22.955301,14,9.532031
23.019022,13,9.542915
17.866111,7,9.548632
19.724159,14,9.559667
16.485434,32,9.584702
23.066199,11,9.594127
19.905893,14,9.605124
23.990996,16,9.617689
19.44123,8,9.624271
16.178373,13,9.634773
24.622518,14,9.646258
26.233696,16,9.659015
29.491836,30,9.682561
19.218504,15,9.694532
17.696925,17,9.708217
17.93443,8,9.714773
17.031953,11,9.723567
20.016521,17,9.737203
23.783344,10,9.745387
15.72988,12,9.755319
25.03583,39,9.78579
22.385998,11,9.794968
21.174752,12,9.805067
18.187668,6,9.81012
22.029674,10,9.818223
19.471907,16,9.831104
17.289616,6,9.836104
21.460783,10,9.844153
25.371478,20,9.860043
22.118786,13,9.870584
20.438298,9,9.877917
20.683004,11,9.886872
19.361897,9,9.894176
20.288588,14,9.906125
19.609347,7,9.91196
20.26085,11,9.920954
19.991062,7,9.926813
17.712982,10,9.935153
3.477616,21,9.95105
25.091221,15,9.96339
17.346713,10,9.971574
19.316762,8,9.978413
17.588652,8,9.984905
19.427265,10,9.993031
25.248512,15,10.004649
23.320338,15,10.017081
21.094233,12,10.026717
28.333442,23,10.044675
21.934865,8,10.051354
19.72131,15,10.063766
19.695499,17,10.077199
23.158402,11,10.086104
21.181993,15,10.098016
18.306251,8,10.104831
18.068328,11,10.113899
23.777322,17,10.127427
21.353823,13,10.137632
17.909349,10,10.145982
22.417355,26,10.166276
13.060629,10,10.174287
20.927777,9,10.181532
17.969064,17,10.195199
20.434179,11,10.204012
18.397785,13,10.214577
21.110872,10,10.222589
20.671658,15,10.234608
24.541292,13,10.244889
15.73051,17,10.258374
20.199531,13,10.269057
18.526601,8,10.275949
18.706994,8,10.282544
16.158473,5,10.286843
23.988249,16,10.299308
18.336704,15,10.311368
18.907723,7,10.317473
21.786399,11,10.326356
22.434319,20,10.342151
16.339496,7,10.348185
22.40798,12,10.35792
20.449034,12,10.367799
15.78276,8,10.374457
21.248317,20,10.389995
18.858293,12,10.399595
17.094022,22,10.416386
19.100783,8,10.423306
17.534023,6,10.428565
16.39751,12,10.437932
19.497359,7,10.443744
18.743216,20,10.459426
19.808287,8,10.466237
23.294421,12,10.476303
22.919969,11,10.48523
24.100157,22,10.502494
17.631357,7,10.508556
12.420889,20,10.524446
25.181827,30,10.548042
23.487861,14,10.559315
23.292718,11,10.568474
20.308761,10,10.576801
20.788181,9,10.584149
20.228612,20,10.599807
17.068668,9,10.607382
24.503934,18,10.621709
19.90469,12,10.631461
21.526818,14,10.642421
17.587039,9,10.649969
19.795305,13,10.660459
20.32557,7,10.666197
19.292747,17,10.679837
21.999351,14,10.69125
19.295977,10,10.699459
22.938118,15,10.711305
20.75546,8,10.717903
18.763667,6,10.723267
20.691997,13,10.733883
18.413317,12,10.743321
18.384618,11,10.751962
19.85286,14,10.763277
18.001749,10,10.771191
20.5598,9,10.778463
22.973106,13,10.789087
21.969116,15,10.8014
20.442987,10,10.809568
17.210461,6,10.814575
16.594078,8,10.82098
20.675629,10,10.829274
21.970188,13,10.839994
19.348823,7,10.84579
17.898522,6,10.850839
19.753585,6,10.856174
18.840834,11,10.865002
21.074623,10,10.873046
17.020778,8,10.879502
15.630726,9,10.887388
20.247685,8,10.893899
18.776447,7,10.899697
10.322046,14,10.910554
19.878007,14,10.921975
18.492596,10,10.929943
24.052348,15,10.942105
17.628422,9,10.949292
17.02369,8,10.956037
19.410394,14,10.967318
16.423311,10,10.975497
25.536578,14,10.986605
25.788919,19,11.001992
20.86258,7,11.007823
20.130575,10,11.015943
18.420734,13,11.026326
17.1579,7,11.032315
22.504891,13,11.042926
18.783526,10,11.051061
20.893589,10,11.059205
18.605821,18,11.073829
21.043467,9,11.081161
15.834566,10,11.089218
18.361786,6,11.094548
20.482083,11,11.103541
17.676928,8,11.110137
27.446772,18,11.124303
16.454234,12,11.134021
20.703907,12,11.143837
22.238446,12,11.15363
17.119555,15,11.16563
18.35438,6,11.170704
25.895619,17,11.184371
16.056855,10,11.192397
18.526347,7,11.198567
20.821408,9,11.205973
16.492817,16,11.218928
19.609071,14,11.229889
19.204443,15,11.24172
17.856104,6,11.246752
17.036696,7,11.253076
21.968621,9,11.260435
19.681384,11,11.269228
17.600845,9,11.276533
20.59171,9,11.284153
23.448476,17,11.297602
22.362768,9,11.305242
19.766735,14,11.3163
20.089848,11,11.325448
20.374401,11,11.334418
19.882891,8,11.341019
15.586579,12,11.350666
17.430256,14,11.362361
24.488093,14,11.37382
21.591624,10,11.381921
18.926948,8,11.388454
17.623427,9,11.395973
18.882354,12,11.40572
19.628336,14,11.417099
16.368544,8,11.423728
17.162423,7,11.429845
22.438332,20,11.44559
15.120123,8,11.452203
13.308679,9,11.459729
19.51454,13,11.470535
30.011632,21,11.486966
25.402225,16,11.499712
18.386727,8,11.506305
22.834088,16,11.519711
18.660595,11,11.528555
21.31854,13,11.538852
19.278975,7,11.544654
22.14619,18,11.559152
20.520483,13,11.569813
19.545827,9,11.577168
18.291347,12,11.586628
18.733025,12,11.596553
20.5255,15,11.608278
18.230734,8,11.615141
19.436389,13,11.625446
20.15453,8,11.632197
16.154153,12,11.641649
18.666879,12,11.651206
19.78135,19,11.666538
20.658494,9,11.674217
20.94236,12,11.684549
17.404464,6,11.689968
17.352757,6,11.695331
18.969269,10,11.704068
20.462458,11,11.712931
21.00434,10,11.721313
23.075622,21,11.737585
17.123841,6,11.742901
18.245338,8,11.749558
18.325641,10,11.757689
18.141856,10,11.765826
19.631693,9,11.773716
20.80708,9,11.781061
32.657614,24,11.800003
20.923499,12,11.809602
32.790493,30,11.833808
20.666391,15,11.845875
19.265506,10,11.853945
20.196436,10,11.86214
21.914751,14,11.873457
24.371419,18,11.88823
20.033176,11,11.897119
22.60607,11,11.906012
17.704701,6,11.911322
21.058881,11,11.920271
19.592147,12,11.930028
18.465146,14,11.941213
18.108756,7,11.947258
19.228959,10,11.955385
20.986623,8,11.961913
18.843455,12,11.97146
18.598917,13,11.98232
16.616004,5,11.986624
18.978157,14,11.997985
23.107594,14,12.008995
19.920382,9,12.016629
27.962492,16,12.02933
19.599762,7,12.035488
17.651892,10,12.043616
20.668269,13,12.054256
21.214741,9,12.061736
18.933946,26,12.082306
16.17282,13,12.093055
19.759619,14,12.104446
18.410314,17,12.117812
21.860873,14,12.129154
16.466899,10,12.137582
23.059574,15,12.149849
17.094555,8,12.156419
22.181536,12,12.165957
19.921848,9,12.173286
22.904524,10,12.181719
17.070795,13,12.192463
19.136172,17,12.205822
19.560427,7,12.211568
20.429167,11,12.220732
15.856827,12,12.230302
14.079413,12,12.239814
20.474163,9,12.247558
18.189917,7,12.253628
18.340694,10,12.261785
18.10356,5,12.266108
20.843574,9,12.273517
