#{"t_start": 1635497894.394412, "env_id": "Humanoid-v3"}
r,l,t
115.783956,23,3.042757
219.830929,44,3.090958
106.744885,21,3.112309
113.149211,23,3.134676
115.76151,24,3.158209
117.873894,25,3.183327
160.879392,31,3.215635
146.882754,28,3.244952
163.282741,31,3.278876
88.845019,18,3.297221
185.021152,35,3.334282
135.003807,26,3.361447
89.052024,18,3.379112
157.722498,32,3.412588
101.009103,20,3.432901
100.612899,20,3.452364
83.675674,17,3.46896
157.543323,31,3.500499
112.504185,22,3.522391
195.6297,39,3.563335
108.53719,22,3.58533
96.228709,19,3.604109
110.704379,22,3.62653
141.398543,28,3.656033
88.804179,18,3.673513
90.014971,18,3.690777
88.8763,18,3.708054
143.533099,28,3.73603
118.374032,23,3.758769
88.74414,18,3.776601
113.05574,22,3.798952
83.93363,17,3.815263
106.81804,21,3.836148
118.959364,23,3.859754
175.715973,36,3.897199
116.841029,23,3.920591
133.154832,27,3.946939
107.101616,21,3.971372
201.521013,40,4.017036
117.378808,23,4.039115
107.452025,22,4.061378
83.389472,17,4.077444
149.016484,29,4.106964
78.588118,16,4.12272
145.098311,28,4.151454
83.782879,17,4.167716
109.814856,23,4.191794
107.349241,21,4.212932
95.158064,19,4.231667
106.637883,21,4.25274
88.356716,18,4.27283
100.533515,20,4.292789
95.880248,19,4.311252
161.42189,32,4.345168
88.366815,18,4.362256
101.802483,20,4.382227
181.630434,36,4.418416
134.224882,27,4.445352
94.464637,19,4.463388
121.930936,24,4.487029
101.784923,20,4.506545
100.835929,20,4.526252
116.028797,23,4.548734
98.858195,20,4.56878
95.778159,19,4.587139
110.132957,22,4.608335
95.551963,19,4.627975
132.285947,26,4.654537
83.474268,17,4.672207
95.03995,19,4.69213
157.416868,30,4.726245
101.217567,20,4.74998
101.606736,20,4.771429
144.034827,28,4.799007
88.555544,18,4.816018
116.05307,23,4.839611
88.976433,18,4.856709
116.625101,25,4.882435
210.326532,43,4.927092
88.432794,18,4.943972
100.784244,20,4.964329
137.023831,27,4.99124
175.232523,36,5.029923
121.77336,24,5.053746
183.604118,35,5.092665
122.644127,24,5.118145
146.66733,31,5.151028
88.948732,18,5.168196
116.726796,24,5.191802
100.17617,20,5.211862
99.738914,20,5.230747
177.980384,35,5.266713
146.114028,30,5.297395
101.662293,20,5.316961
95.864571,19,5.335649
83.551313,17,5.35174
