#{"t_start": 1614859431.433694, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-108.147529,146,2.130312
-365.7458,99,2.160285
-355.985299,99,2.189997
-253.346091,135,2.232924
-381.35194,106,2.263112
-191.431809,106,2.293217
-109.90823,149,2.341335
-180.16075,116,2.373815
-142.240242,79,2.395675
-121.955318,189,2.46394
-400.130173,106,2.493909
-427.69295,100,2.521919
-67.791178,72,2.542261
-258.525202,92,2.567717
-383.618147,109,2.600291
-48.693089,87,2.625834
-75.299575,70,2.64599
-275.907087,92,2.670973
-399.630671,111,2.703524
-67.235254,76,2.72474
-369.846138,108,2.755702
-479.942981,93,2.783216
-418.065317,105,2.817089
-120.931629,114,2.851999
-207.121151,74,2.873778
-206.313668,82,2.896168
-9.501093,80,2.918572
-44.251753,68,2.937675
-332.612999,130,2.978098
-277.753151,83,3.002665
-166.741532,126,3.040407
-92.063602,94,3.06796
-57.923337,135,3.111257
-76.709298,114,3.145366
-301.814683,95,3.17138
-397.34108,98,3.1992
-132.401139,131,3.240066
-48.421936,150,3.286654
-276.486086,145,3.331559
-344.289229,106,3.362344
-450.731118,124,3.400569
-188.10097,77,3.423336
-55.02091,82,3.448159
-326.79916,168,3.505978
-23.811543,1000,5.260669
-585.408157,140,5.304296
-412.211778,82,5.327739
-413.861486,96,5.355429
-388.923493,119,5.392031
-191.75945,155,5.442723
-50.115982,70,5.46264
-358.835275,101,5.492368
-166.942449,178,5.558629
-442.244527,116,5.594015
-168.330873,91,5.619079
-425.617963,95,5.645397
-95.031661,106,5.676227
-40.853369,82,5.699938
-66.005527,80,5.722067
-95.056328,95,5.747978
-247.270161,116,5.78149
-102.704107,85,5.805188
-296.185077,110,5.836234
-159.908977,144,5.880659
-133.667934,85,5.906884
-62.182131,90,5.93305
-287.60529,117,5.967801
-114.008791,87,5.992695
-210.714916,133,6.03295
-25.721702,139,6.076953
-182.971552,91,6.103569
-423.656442,99,6.131902
-272.55531,137,6.176234
-247.150941,91,6.202575
-353.662482,87,6.226885
-75.671125,89,6.252879
-431.589816,108,6.285285
-55.194299,98,6.314551
-100.445483,75,6.334925
-370.527121,90,6.360338
-222.261343,109,6.392451
-68.864242,110,6.426342
-208.953216,105,6.456995
-124.953197,157,6.51061
-124.98565,127,7.491805
-3.826458,217,9.732953
23.000224,1000,21.151359
-162.026384,143,22.59733
-212.377617,193,24.619025
-28.629766,183,26.490539
-206.027489,805,35.617964
47.166845,1000,46.976578
-8.215726,1000,59.014824
19.029931,1000,71.171148
98.402569,1000,82.262094
70.576592,1000,93.557624
-28.867476,183,95.472935
-276.942375,895,105.750296
-122.034153,196,107.786143
-243.566815,272,110.652012
151.397029,588,117.024909
-272.079191,352,122.305303
62.578369,135,123.61237
261.306533,237,125.934195
-7.167804,187,127.769956
12.6582,174,129.459131
-99.0361,222,131.632836
-49.267935,212,133.764762
164.789662,261,136.508607
-108.217903,168,138.26344
3.879955,193,140.255669
195.813886,657,147.350647
-82.240923,176,149.184741
-32.425609,156,150.800717
-88.196877,173,152.602459
-65.878354,179,154.466933
-59.745639,157,156.089734
-216.844773,167,157.814638
225.533548,313,161.087324
-28.560735,152,162.643667
-87.040651,169,164.396202
-33.686755,153,166.006269
-203.647591,139,167.447066
-44.299093,197,169.498147
220.189063,597,176.09416
290.462555,278,179.020053
182.464857,743,187.521297
164.195779,510,192.635719
238.893871,349,196.090831
225.074829,305,199.084387
-43.014494,322,202.229889
184.07415,408,206.351447
216.663333,414,210.49351
209.019523,539,216.165592
188.837864,323,219.301366
215.823581,388,223.100449
-124.863025,265,231.494857
256.498908,410,235.430544
220.223785,390,239.200785
245.254627,392,243.035609
8.724783,125,244.204497
239.375186,405,248.168567
241.513673,340,251.456552
-59.708463,128,252.649857
269.968815,426,256.854402
281.3345,384,260.592997
-26.000884,166,262.14927
270.83784,381,265.86974
16.486264,157,267.348758
49.56989,100,268.30017
204.264071,361,271.795746
205.813698,363,275.357628
7.296497,200,277.239909
173.787463,445,281.650818
