#{"t_start": 1614621345.1626737, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.45421,999,11.600025
-4.337649,999,23.297135
-5.233076,999,35.025086
84.702836,820,44.988745
90.194121,418,49.938088
92.623385,195,52.20621
90.603845,282,55.603971
87.295296,392,60.167843
-29.525085,999,71.915541
84.672324,346,76.076824
90.200391,191,78.354204
78.812093,394,82.906071
90.857787,209,85.54345
78.054431,514,91.584071
76.49205,556,98.009624
94.37378,156,99.902239
87.630592,319,103.694779
93.671166,125,105.200606
89.830444,382,109.726348
86.461581,312,113.51699
80.304462,459,123.059023
86.775,245,125.842198
84.374078,423,130.394281
86.842736,276,133.520171
75.862514,484,138.793424
89.986333,212,140.903264
95.073661,135,142.640003
88.420163,252,145.100113
81.946408,411,149.624279
84.19853,375,153.801458
79.0599,498,159.391057
79.602897,420,163.962342
90.129483,215,166.132844
91.234869,210,168.641555
89.055716,234,171.160902
93.931683,123,172.593959
85.344118,393,176.941697
89.545507,248,179.832849
94.896232,181,181.992976
94.474231,209,184.177981
95.225722,174,186.340508
65.336226,808,195.403568
85.206676,275,198.663166
89.598497,160,200.471651
93.033506,98,201.559989
90.00394,173,203.37948
80.301315,259,206.283117
79.745568,269,209.688365
92.303807,101,210.825609
93.073821,89,211.5956
91.805943,106,213.09895
82.520641,205,215.384028
91.178685,103,216.525267
92.772927,93,217.659037
93.07672,96,218.805728
93.341842,83,219.939106
92.566014,89,221.078247
93.183737,86,221.854143
93.332704,89,222.99365
92.926314,78,224.081739
92.635702,92,224.828638
93.442541,88,225.918714
66.593636,413,230.63383
88.010571,155,232.445225
94.225186,79,233.178934
93.946519,77,234.262838
92.903093,86,235.701603
93.655004,84,236.418207
94.34698,73,237.129442
94.181424,77,238.177415
94.117722,86,239.234483
90.225699,165,240.994468
93.995118,86,241.709169
95.244278,78,242.75435
95.458431,80,243.464864
94.936216,82,244.517563
94.662908,68,245.225103
94.528119,95,246.278079
95.434748,71,246.983461
95.460017,76,248.029992
95.498816,76,248.748223
94.632912,109,249.8111
95.053923,80,250.861797
94.679006,80,251.572359
95.230994,78,252.616214
89.423911,163,254.395083
95.278812,89,255.449389
92.970391,130,256.859707
94.084661,145,258.26845
95.692054,81,259.310798
94.149495,86,260.018695
95.578833,78,261.054033
94.508113,130,262.450136
92.298341,129,263.845564
91.588693,130,265.2426
95.281477,79,266.279895
93.664111,136,267.685483
94.098043,122,269.091489
95.089493,88,269.806921
94.73048,80,270.853231
95.847537,84,271.567662
93.482847,90,272.618924
93.8402,85,273.667991
94.26071,87,274.723419
94.357767,87,275.436259
93.770153,90,276.484281
93.505995,85,277.525268
93.837941,85,278.565683
93.577922,86,279.280155
93.266884,91,280.324325
93.385228,84,281.36373
93.001342,89,282.074575
93.089542,91,283.125303
92.52555,92,284.213114
93.216908,90,285.37693
87.694076,182,287.576475
93.22077,90,288.312588
93.019053,84,289.390922
92.295401,97,290.476469
92.990029,86,291.559475
93.744435,79,292.295129
93.106282,83,293.405015
92.534944,88,294.542899
92.438579,89,295.333284
85.03156,179,297.626829
94.064747,83,298.698267
91.297995,100,299.784151
92.549486,94,300.86072
93.14031,86,301.591868
88.21516,158,303.392282
93.023966,84,304.490984
92.429906,87,305.626619
92.798663,86,306.450398
92.937132,92,307.601503
93.284659,86,308.736948
92.382988,85,309.865225
93.194958,82,310.62826
92.98005,81,311.752982
91.591752,100,312.884774
92.35748,88,314.013249
92.934871,84,314.779094
93.156203,81,315.900986
93.168806,81,316.666824
94.087268,86,317.802169
93.930207,76,318.57066
93.259916,80,319.710055
92.911165,85,320.492642
92.838861,85,321.644931
92.815616,83,322.790847
81.502884,234,325.459234
93.840413,77,326.223243
93.021379,84,327.350539
93.964454,87,328.478828
92.97676,82,329.25231
93.503474,78,330.376036
92.113388,94,331.495087
87.10462,157,333.372873
93.436982,78,334.14531
79.121576,252,337.171212
92.864706,85,338.299414
93.245189,80,339.070746
93.801482,82,340.197525
93.900116,73,340.958875
93.268726,82,341.725635
93.847131,93,342.859472
87.465179,158,344.763787
93.25912,97,345.906884
92.309631,96,347.048815
93.2904,80,348.180997
93.242987,84,348.961334
93.039316,82,350.488386
93.326574,81,351.61386
93.95236,80,352.386222
93.229902,86,353.509061
93.289493,109,354.657528
94.318276,99,355.804817
93.525918,120,357.325583
92.243895,144,358.864788
94.719668,79,360.006754
91.180627,136,361.519771
91.471218,127,363.045705
92.801516,117,364.569884
94.560066,80,365.338693
85.536286,229,367.999399
91.330997,121,369.520341
91.994964,118,371.032358
90.398435,126,372.559282
91.980638,112,373.707563
90.540957,126,375.230127
91.622113,137,377.124991
91.087391,119,378.281179
91.604782,128,379.815852
90.089723,136,381.711877
91.24514,117,382.878088
89.942095,142,384.779387
90.808056,124,386.29793
90.804152,119,387.452782
91.158155,138,389.355958
91.480806,113,390.507641
90.971265,122,392.015649
93.184752,116,393.516671
91.598392,126,394.671229
91.073297,128,396.18514
91.110572,117,397.699693
91.243031,134,399.231043
91.200029,111,400.756829
92.115018,115,401.922849
91.239823,105,403.4418
92.554618,102,404.597506
92.428965,109,405.748985
91.970584,103,406.895998
91.954897,107,408.408653
91.314836,132,409.935156
91.525693,106,411.083617
92.906888,97,412.236101
92.424439,102,413.381431
95.272599,76,414.513002
94.335787,106,415.663594
95.304828,105,416.813016
93.609589,115,418.330429
92.601643,101,419.48162
94.803164,102,420.631326
94.129477,122,422.163451
93.731797,114,423.666362
95.556817,75,424.440543
94.722502,94,425.589801
93.123859,111,427.108914
94.771307,109,428.262669
91.280539,151,430.163973
94.713349,115,431.311517
95.050229,81,432.44169
95.70683,79,433.210304
93.996918,83,434.345531
94.786742,69,435.099718
93.989098,113,436.600116
93.530445,141,438.115543
93.26447,134,439.628248
92.629891,120,441.130753
94.276136,95,442.266117
95.653498,91,443.392577
94.933554,71,444.154229
93.090856,121,445.654086
93.344824,182,447.548154
95.33362,97,448.676812
91.527897,137,450.554828
93.484258,114,451.69335
94.663838,112,453.191859
90.55385,180,455.077896
95.191404,80,456.208538
92.998929,122,457.723842
93.351732,152,459.263494
93.263813,158,461.169858
94.549555,114,462.692147
91.860268,144,464.239151
92.797744,114,465.755794
92.741804,131,467.285041
92.280857,112,469.481917
92.625994,111,470.636021
94.616139,102,471.784788
94.111479,111,473.309682
95.493333,79,474.084648
88.139684,198,476.383711
94.308368,144,478.286716
91.842951,163,480.189036
92.364611,138,481.709529
93.737462,129,483.227829
93.651414,77,484.35812
92.740368,129,485.866518
90.247899,160,487.762948
94.113897,132,489.28651
95.688285,92,490.413849
92.675265,107,491.548687
93.180149,178,493.799797
94.083077,140,495.330158
93.547905,128,496.861203
90.547371,161,498.765391
91.22422,157,500.65768
93.535111,89,501.785333
94.566177,140,503.306617
93.007903,116,504.817478
94.572304,84,505.584531
95.751336,81,506.708639
93.397326,105,507.846327
94.446297,127,509.361622
95.06886,87,510.494934
92.171028,153,512.38688
95.355186,77,513.151949
92.064173,143,515.044736
94.740318,89,515.817747
93.638901,100,516.941396
92.958656,128,518.465801
90.987548,182,520.744322
93.688968,145,522.633171
94.760767,82,523.402905
94.180263,83,524.534281
94.542851,108,525.670985
95.363432,88,526.795288
94.279933,86,527.919925
93.385274,101,529.067663
93.577751,105,530.216077
92.487045,122,531.736663
96.028091,82,532.514999
91.8803,128,534.042181
92.521476,96,535.179796
91.253469,178,537.444443
94.846612,75,538.206729
95.432941,83,539.340052
93.506431,108,540.49318
95.063791,93,541.638458
95.410559,87,542.779216
93.792271,105,543.931153
89.199797,171,546.211746
91.661982,179,548.111623
94.867317,83,549.250787
93.775714,90,550.382173
92.537777,164,552.283816
93.704803,68,553.048973
95.525096,96,554.196536
89.95713,170,556.093979
93.843111,80,557.220072
93.538082,89,557.989051
94.100941,92,559.120659
94.831275,91,560.252547
91.258658,156,562.143189
95.399598,83,563.268437
94.951166,82,564.039461
94.10914,151,565.925927
90.736926,168,567.8167
93.96085,78,568.940758
94.63188,77,569.710861
89.568905,176,571.606284
93.984422,150,573.49036
94.771154,90,574.630257
91.456929,224,577.290005
93.050497,172,579.191524
95.464035,81,580.319748
93.1465,152,582.202278
95.621087,79,582.965874
94.239381,107,584.146693
95.043697,79,585.308328
92.780495,135,586.876489
95.503202,99,588.531833
