#{"t_start": 1652346159.332999, "env_id": "PandaPickAndPlace-v2"}
r,l,t,is_success
-50.0,50,1.726844,0.0
-50.0,50,1.803394,0.0
-50.0,50,3.44883,0.0
-50.0,50,5.153569,0.0
-50.0,50,6.823616,0.0
-50.0,50,8.502452,0.0
-50.0,50,10.17359,0.0
-50.0,50,11.898557,0.0
-50.0,50,13.594747,0.0
-50.0,50,15.302248,0.0
-50.0,50,16.978736,0.0
-50.0,50,18.668892,0.0
-50.0,50,20.391468,0.0
-50.0,50,22.073911,0.0
-50.0,50,23.730941,0.0
-50.0,50,25.418151,0.0
-50.0,50,27.088591,0.0
-50.0,50,28.781073,0.0
-50.0,50,30.494379,0.0
-50.0,50,32.197721,0.0
-50.0,50,33.887451,0.0
-50.0,50,35.553314,0.0
-50.0,50,37.244478,0.0
-50.0,50,38.910544,0.0
-50.0,50,40.573726,0.0
-50.0,50,42.267099,0.0
-50.0,50,43.946786,0.0
-50.0,50,45.616043,0.0
-50.0,50,47.290781,0.0
-50.0,50,49.003034,0.0
-50.0,50,50.699812,0.0
-50.0,50,52.361234,0.0
-50.0,50,54.029666,0.0
-50.0,50,55.707466,0.0
-50.0,50,57.365807,0.0
-50.0,50,59.026397,0.0
-50.0,50,60.710095,0.0
-50.0,50,62.401131,0.0
-50.0,50,64.073167,0.0
-50.0,50,65.807232,0.0
-50.0,50,67.537222,0.0
-50.0,50,69.21535,0.0
-50.0,50,70.899137,0.0
-50.0,50,72.571894,0.0
-50.0,50,74.239649,0.0
-50.0,50,75.945002,0.0
-50.0,50,77.626491,0.0
-50.0,50,79.314487,0.0
-50.0,50,80.990013,0.0
-50.0,50,82.642524,0.0
-50.0,50,84.321309,0.0
-50.0,50,86.024402,0.0
-50.0,50,87.695184,0.0
-50.0,50,89.381601,0.0
-50.0,50,91.051088,0.0
-50.0,50,92.712968,0.0
-50.0,50,94.397663,0.0
-50.0,50,96.11961,0.0
-50.0,50,97.80497,0.0
-50.0,50,99.45897,0.0
-50.0,50,101.165025,0.0
-50.0,50,102.85212,0.0
-50.0,50,104.534007,0.0
-50.0,50,106.206769,0.0
-50.0,50,107.896213,0.0
-50.0,50,109.564447,0.0
-50.0,50,111.256468,0.0
-50.0,50,112.918186,0.0
-50.0,50,114.602632,0.0
-50.0,50,116.297244,0.0
-50.0,50,117.947013,0.0
-50.0,50,119.677665,0.0
-49.0,50,121.354972,0.0
-50.0,50,123.036152,0.0
-50.0,50,124.704174,0.0
-50.0,50,126.373475,0.0
-50.0,50,128.030592,0.0
-50.0,50,129.698902,0.0
-50.0,50,131.36981,0.0
-50.0,50,133.042901,0.0
-50.0,50,134.736913,0.0
-50.0,50,136.435978,0.0
-50.0,50,138.094756,0.0
-50.0,50,139.777519,0.0
0.0,50,141.479106,1.0
-50.0,50,143.187643,0.0
-50.0,50,144.870287,0.0
-50.0,50,146.582355,0.0
-50.0,50,148.294736,0.0
-50.0,50,149.996663,0.0
-50.0,50,151.741974,0.0
-50.0,50,153.4248,0.0
-50.0,50,155.17449,0.0
-45.0,50,156.912333,0.0
-50.0,50,158.595227,0.0
-50.0,50,160.288451,0.0
-50.0,50,162.002315,0.0
-50.0,50,163.72251,0.0
-50.0,50,165.395421,0.0
-50.0,50,167.08053,0.0
-50.0,50,168.764338,0.0
-50.0,50,170.466376,0.0
-50.0,50,172.150761,0.0
-50.0,50,173.868743,0.0
-50.0,50,175.568069,0.0
-50.0,50,177.319168,0.0
-50.0,50,179.01035,0.0
-50.0,50,180.745179,0.0
-50.0,50,182.440212,0.0
-50.0,50,184.124537,0.0
-50.0,50,185.937864,0.0
0.0,50,187.683274,1.0
-50.0,50,189.351061,0.0
-50.0,50,191.068134,0.0
-50.0,50,192.773664,0.0
-50.0,50,194.449085,0.0
-50.0,50,196.135767,0.0
-50.0,50,197.82983,0.0
-50.0,50,199.510141,0.0
-50.0,50,201.189626,0.0
-50.0,50,202.869874,0.0
-50.0,50,204.552928,0.0
-50.0,50,206.253544,0.0
-50.0,50,207.934742,0.0
-50.0,50,209.618137,0.0
-50.0,50,211.275454,0.0
-50.0,50,212.953723,0.0
-50.0,50,214.652466,0.0
-50.0,50,216.343202,0.0
-50.0,50,218.023595,0.0
-50.0,50,219.727709,0.0
-50.0,50,221.41838,0.0
-50.0,50,223.100732,0.0
-50.0,50,224.781586,0.0
-50.0,50,226.529094,0.0
-50.0,50,228.238134,0.0
-50.0,50,229.949111,0.0
-50.0,50,231.256085,0.0
-50.0,50,232.448142,0.0
-50.0,50,233.66004,0.0
-50.0,50,234.888816,0.0
-50.0,50,236.113419,0.0
-50.0,50,237.374687,0.0
-50.0,50,238.657259,0.0
-50.0,50,239.88334,0.0
-50.0,50,241.155296,0.0
-50.0,50,242.390228,0.0
-50.0,50,243.645904,0.0
-50.0,50,244.887275,0.0
-50.0,50,246.102586,0.0
-50.0,50,247.322262,0.0
-50.0,50,248.562796,0.0
-50.0,50,249.834957,0.0
-50.0,50,251.091063,0.0
-50.0,50,252.322329,0.0
-50.0,50,253.549226,0.0
-50.0,50,254.824943,0.0
-50.0,50,256.15414,0.0
-50.0,50,257.469502,0.0
-50.0,50,258.63479,0.0
-50.0,50,259.863675,0.0
-50.0,50,261.037409,0.0
-50.0,50,262.310138,0.0
-50.0,50,263.563583,0.0
-33.0,50,264.799685,0.0
-50.0,50,266.021921,0.0
-50.0,50,267.261239,0.0
-50.0,50,268.443465,0.0
-50.0,50,269.671184,0.0
-50.0,50,270.915468,0.0
-50.0,50,272.146351,0.0
-50.0,50,273.400819,0.0
-50.0,50,274.627444,0.0
-50.0,50,275.852846,0.0
-50.0,50,277.072998,0.0
-50.0,50,278.323623,0.0
-50.0,50,279.530936,0.0
-50.0,50,280.726051,0.0
-50.0,50,281.952627,0.0
-50.0,50,283.200417,0.0
-50.0,50,284.469764,0.0
