#{"t_start": 1652260237.0176692, "env_id": "PandaPush-v2"}
r,l,t,is_success
-50.0,50,1.777797,0.0
-50.0,50,1.866044,0.0
-50.0,50,3.761649,0.0
-50.0,50,5.595382,0.0
-50.0,50,7.50254,0.0
-50.0,50,9.367258,0.0
-50.0,50,11.277217,0.0
-50.0,50,13.152457,0.0
-50.0,50,15.043918,0.0
-50.0,50,17.012254,0.0
-50.0,50,18.884266,0.0
-50.0,50,20.814308,0.0
-50.0,50,22.719498,0.0
-50.0,50,24.632165,0.0
-50.0,50,26.549957,0.0
-50.0,50,28.391984,0.0
-50.0,50,30.248758,0.0
-50.0,50,32.137209,0.0
-50.0,50,34.049471,0.0
-50.0,50,35.937251,0.0
-50.0,50,37.811276,0.0
-50.0,50,39.676909,0.0
-50.0,50,41.624188,0.0
-50.0,50,43.520336,0.0
-50.0,50,45.450713,0.0
-50.0,50,47.309334,0.0
-50.0,50,49.171621,0.0
-50.0,50,51.105067,0.0
-50.0,50,53.076251,0.0
-50.0,50,55.006164,0.0
-50.0,50,56.833995,0.0
-50.0,50,58.717328,0.0
-50.0,50,60.700505,0.0
-50.0,50,62.664717,0.0
-50.0,50,64.633485,0.0
-50.0,50,66.616968,0.0
-50.0,50,68.656676,0.0
-50.0,50,70.550467,0.0
-50.0,50,72.506044,0.0
-50.0,50,74.449377,0.0
-50.0,50,76.355129,0.0
-50.0,50,78.294109,0.0
-50.0,50,80.198486,0.0
-50.0,50,82.117354,0.0
-7.0,50,84.015792,0.0
-50.0,50,85.992656,0.0
-50.0,50,87.977751,0.0
-50.0,50,89.971826,0.0
-50.0,50,91.964028,0.0
-50.0,50,93.886551,0.0
-50.0,50,95.821134,0.0
-50.0,50,97.789567,0.0
-50.0,50,99.847034,0.0
-50.0,50,101.833567,0.0
-50.0,50,103.694158,0.0
0.0,50,105.717416,1.0
-50.0,50,107.784475,0.0
-50.0,50,109.812811,0.0
-50.0,50,111.775032,0.0
-50.0,50,113.655403,0.0
0.0,50,115.698713,1.0
0.0,50,117.584576,1.0
-50.0,50,119.539208,0.0
-50.0,50,121.511042,0.0
-50.0,50,123.466016,0.0
-50.0,50,125.418578,0.0
-50.0,50,127.338336,0.0
-50.0,50,129.256776,0.0
-50.0,50,131.196421,0.0
-50.0,50,133.2804,0.0
-50.0,50,135.155113,0.0
-50.0,50,137.158416,0.0
-50.0,50,139.12448,0.0
-50.0,50,141.130534,0.0
-50.0,50,143.152297,0.0
-50.0,50,145.211735,0.0
-50.0,50,147.140585,0.0
-50.0,50,149.124864,0.0
-50.0,50,151.070318,0.0
-47.0,50,152.991106,0.0
-50.0,50,155.077241,0.0
-50.0,50,157.123544,0.0
-50.0,50,159.139704,0.0
-50.0,50,161.09928,0.0
-50.0,50,163.078225,0.0
-50.0,50,165.018407,0.0
-50.0,50,166.95944,0.0
-50.0,50,168.953922,0.0
-50.0,50,170.893969,0.0
-50.0,50,172.943633,0.0
-50.0,50,174.829359,0.0
-50.0,50,176.757103,0.0
-50.0,50,178.787165,0.0
-50.0,50,180.632388,0.0
-50.0,50,182.634924,0.0
-50.0,50,184.617545,0.0
-50.0,50,186.629685,0.0
-50.0,50,188.605396,0.0
-50.0,50,190.586386,0.0
-50.0,50,192.466052,0.0
-50.0,50,194.550291,0.0
-50.0,50,196.542526,0.0
-50.0,50,198.390212,0.0
-50.0,50,200.351096,0.0
-50.0,50,202.322642,0.0
-50.0,50,204.267436,0.0
-50.0,50,206.242233,0.0
-50.0,50,208.178591,0.0
-50.0,50,210.154884,0.0
-50.0,50,212.224349,0.0
-50.0,50,214.206542,0.0
-50.0,50,216.23845,0.0
-50.0,50,218.345717,0.0
-50.0,50,220.320373,0.0
-50.0,50,222.212926,0.0
-50.0,50,224.195957,0.0
-50.0,50,226.126777,0.0
-50.0,50,228.04318,0.0
-50.0,50,230.108515,0.0
0.0,50,232.150742,1.0
-50.0,50,234.106047,0.0
-50.0,50,236.088182,0.0
-50.0,50,237.957463,0.0
-50.0,50,239.98447,0.0
-50.0,50,241.925908,0.0
0.0,50,243.983373,1.0
-50.0,50,245.915709,0.0
-50.0,50,247.929317,0.0
0.0,50,249.920646,1.0
-50.0,50,251.991843,0.0
-50.0,50,254.033359,0.0
-50.0,50,256.064456,0.0
0.0,50,258.183903,1.0
-50.0,50,260.235385,0.0
-50.0,50,262.319798,0.0
-50.0,50,264.327474,0.0
-50.0,50,266.452399,0.0
-50.0,50,268.493709,0.0
-50.0,50,270.464403,0.0
-50.0,50,272.555271,0.0
-50.0,50,274.643038,0.0
-50.0,50,276.764024,0.0
-50.0,50,278.792886,0.0
-50.0,50,280.736504,0.0
-50.0,50,282.698997,0.0
-50.0,50,284.701237,0.0
-50.0,50,286.635637,0.0
-50.0,50,288.705603,0.0
-50.0,50,290.68084,0.0
-50.0,50,292.677432,0.0
