#{"t_start": 1652259717.3072793, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.787687,0.0
-50.0,50,1.871097,0.0
-50.0,50,1.95511,0.0
-50.0,50,2.042526,0.0
-50.0,50,2.130445,0.0
-50.0,50,2.212065,0.0
-50.0,50,2.301598,0.0
-48.0,50,2.385757,0.0
-50.0,50,2.466471,0.0
-50.0,50,2.554434,0.0
-50.0,50,2.640156,0.0
-50.0,50,2.727943,0.0
-50.0,50,2.817607,0.0
-50.0,50,2.898666,0.0
-50.0,50,2.977901,0.0
-49.0,50,3.068345,0.0
-50.0,50,3.158323,0.0
-50.0,50,3.247651,0.0
-50.0,50,3.328698,0.0
-50.0,50,3.409714,0.0
-50.0,50,4.29238,0.0
-50.0,50,5.179316,0.0
-50.0,50,6.038434,0.0
-50.0,50,6.910663,0.0
-50.0,50,7.760683,0.0
-50.0,50,8.644583,0.0
-50.0,50,9.513541,0.0
-50.0,50,10.360954,0.0
-50.0,50,11.234022,0.0
-45.0,50,12.095818,0.0
-50.0,50,12.966956,0.0
-50.0,50,13.836582,0.0
-50.0,50,14.704679,0.0
-50.0,50,15.57033,0.0
-50.0,50,16.446204,0.0
-50.0,50,17.315613,0.0
-50.0,50,18.175142,0.0
-49.0,50,19.032487,0.0
-50.0,50,19.890136,0.0
-48.0,50,20.75739,0.0
-50.0,50,21.602361,0.0
-50.0,50,22.435658,0.0
-50.0,50,23.28532,0.0
-48.0,50,24.157127,0.0
-48.0,50,25.020048,0.0
-50.0,50,25.871573,0.0
-50.0,50,26.719938,0.0
-50.0,50,27.596393,0.0
-50.0,50,28.466529,0.0
-50.0,50,29.328947,0.0
-50.0,50,30.188234,0.0
-50.0,50,31.044883,0.0
-50.0,50,31.909605,0.0
-48.0,50,32.773798,0.0
-49.0,50,33.648691,0.0
-50.0,50,34.503357,0.0
-50.0,50,35.378168,0.0
-50.0,50,36.256218,0.0
-46.0,50,37.107846,0.0
-50.0,50,37.975319,0.0
-50.0,50,38.82391,0.0
-50.0,50,39.686651,0.0
-50.0,50,40.540078,0.0
-50.0,50,41.40366,0.0
-50.0,50,42.28283,0.0
-50.0,50,43.160492,0.0
-50.0,50,44.024541,0.0
-49.0,50,44.886149,0.0
-48.0,50,45.75802,0.0
-46.0,50,46.629559,0.0
-45.0,50,47.497709,0.0
-48.0,50,48.360182,0.0
-50.0,50,49.205407,0.0
-50.0,50,50.063097,0.0
-49.0,50,50.91774,0.0
-50.0,50,51.756398,0.0
-50.0,50,52.627088,0.0
-46.0,50,53.486162,0.0
-49.0,50,54.363814,0.0
-50.0,50,55.211675,0.0
-47.0,50,56.090544,0.0
-50.0,50,56.976343,0.0
-50.0,50,57.846036,0.0
-49.0,50,58.725227,0.0
-49.0,50,59.580015,0.0
-38.0,50,60.414404,0.0
-44.0,50,61.289188,0.0
-50.0,50,62.166126,0.0
-23.0,50,63.045861,1.0
-45.0,50,63.92551,0.0
-40.0,50,64.803438,0.0
-27.0,50,65.678517,0.0
-41.0,50,66.552999,0.0
-39.0,50,67.424456,0.0
-5.0,50,68.304456,1.0
-7.0,50,69.189113,1.0
-46.0,50,70.043177,0.0
-12.0,50,70.906553,1.0
-20.0,50,71.78662,1.0
-6.0,50,72.66101,1.0
-7.0,50,75.581705,1.0
-3.0,50,76.439031,1.0
-10.0,50,77.321885,1.0
-5.0,50,78.193343,1.0
-11.0,50,79.079264,1.0
-10.0,50,79.955622,0.0
-1.0,50,80.83726,1.0
-4.0,50,81.723548,1.0
-4.0,50,82.577284,1.0
-5.0,50,83.439096,1.0
-5.0,50,84.325978,1.0
-2.0,50,85.196678,1.0
-3.0,50,86.08422,1.0
-3.0,50,86.950448,1.0
-4.0,50,87.82814,1.0
-1.0,50,88.691807,1.0
0.0,50,89.572803,1.0
-5.0,50,90.452391,1.0
-4.0,50,91.308947,1.0
-3.0,50,92.194806,1.0
-5.0,50,93.014194,1.0
-5.0,50,93.874828,1.0
-1.0,50,94.738897,1.0
-4.0,50,95.608195,1.0
-2.0,50,96.478324,1.0
-2.0,50,97.348855,1.0
-2.0,50,98.222141,1.0
-4.0,50,99.076282,1.0
-4.0,50,99.952571,1.0
-1.0,50,100.825894,1.0
-1.0,50,101.703648,1.0
-3.0,50,102.582459,1.0
-3.0,50,103.464752,1.0
-2.0,50,104.340522,1.0
-2.0,50,105.217093,1.0
0.0,50,106.085436,1.0
-4.0,50,106.965367,1.0
-3.0,50,107.837475,1.0
-3.0,50,108.71985,1.0
-1.0,50,109.603873,1.0
0.0,50,110.498583,1.0
-1.0,50,111.376454,1.0
0.0,50,112.250377,1.0
-2.0,50,113.128311,1.0
-1.0,50,114.011338,1.0
-2.0,50,114.892279,1.0
-2.0,50,115.767345,1.0
-1.0,50,116.631091,1.0
-3.0,50,117.508481,1.0
-2.0,50,118.35691,1.0
-4.0,50,119.239716,1.0
-2.0,50,120.102858,1.0
-4.0,50,120.986937,1.0
-1.0,50,121.890017,1.0
-2.0,50,122.789959,1.0
-1.0,50,123.666837,1.0
-1.0,50,124.531793,1.0
-3.0,50,125.412666,1.0
-2.0,50,126.297359,1.0
-2.0,50,127.172058,1.0
-3.0,50,128.047268,1.0
-3.0,50,128.928944,1.0
-2.0,50,129.803591,1.0
-3.0,50,130.685966,1.0
0.0,50,131.572093,1.0
-1.0,50,132.432124,1.0
-1.0,50,133.30651,1.0
-1.0,50,134.168596,1.0
-1.0,50,135.048188,1.0
-2.0,50,135.92846,1.0
-2.0,50,136.792372,1.0
-2.0,50,137.665279,1.0
-2.0,50,138.539614,1.0
-1.0,50,139.42987,1.0
-3.0,50,140.305051,1.0
0.0,50,141.190353,1.0
-2.0,50,142.052696,1.0
-3.0,50,142.924446,1.0
-1.0,50,143.798116,1.0
-3.0,50,144.666549,1.0
-1.0,50,145.549469,1.0
-2.0,50,146.418528,1.0
-2.0,50,147.298589,1.0
-2.0,50,148.171488,1.0
-2.0,50,149.043987,1.0
-1.0,50,149.921853,1.0
-2.0,50,150.802093,1.0
-1.0,50,151.673743,1.0
-2.0,50,152.557158,1.0
-2.0,50,153.424878,1.0
-3.0,50,154.295597,1.0
-1.0,50,155.16802,1.0
-1.0,50,156.051532,1.0
-2.0,50,156.927318,1.0
0.0,50,157.792253,1.0
-1.0,50,158.664714,1.0
-2.0,50,159.539382,1.0
-1.0,50,160.399315,1.0
-1.0,50,161.274802,1.0
-1.0,50,162.148492,1.0
-1.0,50,164.774904,1.0
-2.0,50,165.632056,1.0
-2.0,50,166.512512,1.0
-2.0,50,167.379649,1.0
-2.0,50,168.246567,1.0
-2.0,50,169.091402,1.0
-2.0,50,170.001323,1.0
-2.0,50,170.913105,1.0
-3.0,50,171.791616,1.0
-2.0,50,172.692732,1.0
-2.0,50,173.594044,1.0
-2.0,50,174.517229,1.0
-2.0,50,175.39623,1.0
-1.0,50,176.303301,1.0
-2.0,50,177.196411,1.0
-1.0,50,178.143733,1.0
-2.0,50,179.020433,1.0
-3.0,50,179.902777,1.0
-1.0,50,180.794608,1.0
-1.0,50,181.688571,1.0
-2.0,50,182.563182,1.0
-2.0,50,183.450427,1.0
-2.0,50,184.340335,1.0
-2.0,50,185.23516,1.0
-1.0,50,186.105262,1.0
0.0,50,186.971711,1.0
-2.0,50,187.861449,1.0
-1.0,50,188.766457,1.0
-3.0,50,189.638449,1.0
-3.0,50,190.51138,1.0
-1.0,50,191.387861,1.0
-1.0,50,192.278911,1.0
-3.0,50,193.161244,1.0
-1.0,50,194.048074,1.0
-3.0,50,194.914957,1.0
-2.0,50,195.788372,1.0
-2.0,50,196.68656,1.0
-1.0,50,197.573276,1.0
-1.0,50,198.454494,1.0
-3.0,50,199.3284,1.0
-1.0,50,200.214938,1.0
-2.0,50,201.126481,1.0
-3.0,50,201.998237,1.0
-2.0,50,202.859497,1.0
-1.0,50,203.743842,1.0
-2.0,50,204.612508,1.0
-2.0,50,205.494102,1.0
-2.0,50,206.383702,1.0
-3.0,50,207.279453,1.0
-1.0,50,208.166066,1.0
-2.0,50,209.050174,1.0
0.0,50,209.931536,1.0
-2.0,50,210.814682,1.0
0.0,50,211.67398,1.0
0.0,50,212.556336,1.0
-3.0,50,213.434067,1.0
-2.0,50,214.322197,1.0
-1.0,50,215.18414,1.0
-1.0,50,216.064325,1.0
-2.0,50,216.952651,1.0
-2.0,50,217.830823,1.0
0.0,50,218.702177,1.0
-2.0,50,219.580854,1.0
-2.0,50,220.464266,1.0
0.0,50,221.346073,1.0
-2.0,50,222.230794,1.0
0.0,50,223.115049,1.0
-1.0,50,223.975966,1.0
-2.0,50,224.848368,1.0
-2.0,50,225.703845,1.0
-3.0,50,226.575421,1.0
-2.0,50,227.443686,1.0
-2.0,50,228.319607,1.0
-1.0,50,229.192333,1.0
0.0,50,230.068361,1.0
-2.0,50,230.947093,1.0
-1.0,50,231.804771,1.0
0.0,50,232.661291,1.0
-1.0,50,233.536615,1.0
-3.0,50,234.380746,1.0
-2.0,50,235.246218,1.0
-1.0,50,236.119973,1.0
-2.0,50,236.989554,1.0
-1.0,50,237.819036,1.0
-2.0,50,238.665565,1.0
-1.0,50,239.508155,1.0
-2.0,50,240.371652,1.0
0.0,50,241.237561,1.0
-1.0,50,242.119888,1.0
-2.0,50,242.992441,1.0
-2.0,50,243.84491,1.0
-1.0,50,244.712027,1.0
-2.0,50,245.590424,1.0
-2.0,50,246.465008,1.0
-2.0,50,247.346189,1.0
-2.0,50,248.210275,1.0
-1.0,50,249.09061,1.0
-1.0,50,249.968637,1.0
-2.0,50,250.84539,1.0
-1.0,50,251.710727,1.0
0.0,50,254.728511,1.0
-3.0,50,255.650187,1.0
-2.0,50,256.526364,1.0
-2.0,50,257.395253,1.0
-1.0,50,258.289652,1.0
-3.0,50,259.168519,1.0
0.0,50,260.047712,1.0
0.0,50,260.947094,1.0
-2.0,50,261.832675,1.0
-2.0,50,262.701933,1.0
-2.0,50,263.576555,1.0
-3.0,50,264.486569,1.0
-2.0,50,265.389709,1.0
-2.0,50,266.283109,1.0
-1.0,50,267.161666,1.0
-3.0,50,268.04357,1.0
-1.0,50,268.920758,1.0
-2.0,50,269.80652,1.0
-2.0,50,270.68974,1.0
-1.0,50,271.588234,1.0
-3.0,50,272.484138,1.0
-2.0,50,273.370229,1.0
-1.0,50,274.267995,1.0
-3.0,50,275.187942,1.0
-3.0,50,276.081277,1.0
-2.0,50,276.977338,1.0
-1.0,50,277.867521,1.0
0.0,50,278.751755,1.0
-2.0,50,279.649539,1.0
-1.0,50,280.543258,1.0
-3.0,50,281.436521,1.0
-1.0,50,282.315045,1.0
0.0,50,283.211864,1.0
-2.0,50,284.095997,1.0
-2.0,50,284.979583,1.0
-2.0,50,285.861501,1.0
-4.0,50,286.784488,1.0
-2.0,50,287.65673,1.0
-3.0,50,288.540415,1.0
-3.0,50,289.414815,1.0
0.0,50,290.314702,1.0
0.0,50,291.172291,1.0
-2.0,50,292.048327,1.0
-2.0,50,292.915274,1.0
0.0,50,293.799467,1.0
-2.0,50,294.6848,1.0
-3.0,50,295.567387,1.0
-1.0,50,296.455228,1.0
-2.0,50,297.339713,1.0
-2.0,50,298.194254,1.0
-2.0,50,299.078955,1.0
-3.0,50,299.959077,1.0
-1.0,50,300.842546,1.0
-1.0,50,301.722025,1.0
-2.0,50,302.606716,1.0
-1.0,50,303.476003,1.0
-2.0,50,304.363427,1.0
-2.0,50,305.23982,1.0
-3.0,50,306.117152,1.0
-1.0,50,307.000351,1.0
-1.0,50,307.882754,1.0
-2.0,50,308.748183,1.0
-2.0,50,309.630905,1.0
-2.0,50,310.504107,1.0
0.0,50,311.39094,1.0
-1.0,50,312.267985,1.0
-1.0,50,313.148829,1.0
-1.0,50,314.021316,1.0
-4.0,50,314.899737,1.0
-1.0,50,315.77922,1.0
-2.0,50,316.656693,1.0
-1.0,50,317.518981,1.0
-3.0,50,318.397747,1.0
-2.0,50,319.276083,1.0
-1.0,50,320.152031,1.0
-2.0,50,321.034683,1.0
-2.0,50,321.916749,1.0
-2.0,50,322.797494,1.0
-1.0,50,323.654489,1.0
-2.0,50,324.53255,1.0
-2.0,50,325.407001,1.0
-1.0,50,326.297458,1.0
-1.0,50,327.189169,1.0
-2.0,50,328.019376,1.0
-4.0,50,328.920303,1.0
-2.0,50,329.79793,1.0
-2.0,50,330.680721,1.0
-2.0,50,331.563824,1.0
0.0,50,332.446009,1.0
-2.0,50,333.280045,1.0
-1.0,50,334.137121,1.0
-2.0,50,335.012852,1.0
-1.0,50,335.89561,1.0
-2.0,50,336.760514,1.0
-2.0,50,337.639654,1.0
-1.0,50,338.52002,1.0
-1.0,50,339.380797,1.0
-2.0,50,340.274507,1.0
-3.0,50,341.157239,1.0
-2.0,50,342.036937,1.0
