#{"t_start": 1652345401.4090471, "env_id": "PandaSlide-v2"}
r,l,t,is_success
-50.0,50,1.497998,0.0
-50.0,50,1.57498,0.0
-50.0,50,2.784904,0.0
-50.0,50,3.994516,0.0
-50.0,50,5.204194,0.0
-50.0,50,6.450998,0.0
-50.0,50,7.661492,0.0
-50.0,50,8.882119,0.0
-50.0,50,10.070248,0.0
-50.0,50,11.340701,0.0
-50.0,50,12.588872,0.0
-50.0,50,13.77671,0.0
-50.0,50,15.044069,0.0
-50.0,50,16.273648,0.0
-50.0,50,17.543586,0.0
-50.0,50,18.776814,0.0
-50.0,50,19.996222,0.0
-50.0,50,21.215605,0.0
-50.0,50,22.422817,0.0
-50.0,50,23.6503,0.0
-50.0,50,24.864244,0.0
-50.0,50,26.106752,0.0
-50.0,50,27.348946,0.0
-50.0,50,28.575945,0.0
-50.0,50,29.810135,0.0
-50.0,50,31.070529,0.0
-50.0,50,32.295112,0.0
-50.0,50,33.512526,0.0
-50.0,50,34.759253,0.0
-50.0,50,35.993216,0.0
-50.0,50,37.24879,0.0
-50.0,50,38.492175,0.0
-50.0,50,39.70712,0.0
-50.0,50,40.914602,0.0
-50.0,50,42.179331,0.0
-50.0,50,43.386469,0.0
-50.0,50,44.625606,0.0
-50.0,50,45.856078,0.0
-50.0,50,47.080844,0.0
-48.0,50,48.307502,0.0
-50.0,50,49.564349,0.0
-50.0,50,50.760812,0.0
-50.0,50,51.952024,0.0
-50.0,50,53.140624,0.0
-50.0,50,54.376502,0.0
-50.0,50,55.600278,0.0
-50.0,50,56.854554,0.0
-50.0,50,58.109446,0.0
-50.0,50,59.365602,0.0
-50.0,50,60.603439,0.0
-50.0,50,61.784661,0.0
-50.0,50,62.971944,0.0
-50.0,50,64.237979,0.0
-50.0,50,65.480429,0.0
-50.0,50,66.690393,0.0
-50.0,50,67.918966,0.0
-50.0,50,69.188632,0.0
-50.0,50,70.429615,0.0
-50.0,50,71.664228,0.0
-50.0,50,72.902327,0.0
-50.0,50,74.183448,0.0
-50.0,50,75.443081,0.0
-50.0,50,76.733433,0.0
-50.0,50,78.000493,0.0
-50.0,50,79.26383,0.0
-50.0,50,80.543767,0.0
-50.0,50,81.786134,0.0
-50.0,50,83.035113,0.0
-50.0,50,84.294839,0.0
-50.0,50,85.552282,0.0
-50.0,50,86.788159,0.0
-50.0,50,88.048254,0.0
-50.0,50,89.298539,0.0
-50.0,50,90.578052,0.0
-50.0,50,91.804172,0.0
