#{"t_start": 1652374217.2973642, "env_id": "PandaStack-v2"}
r,l,t,is_success
-100.0,100,1.540266,0.0
-100.0,100,3.916852,0.0
-100.0,100,6.293345,0.0
-100.0,100,8.674488,0.0
-100.0,100,11.036672,0.0
-100.0,100,13.363414,0.0
-100.0,100,15.730847,0.0
-100.0,100,18.126286,0.0
-99.0,100,20.466578,0.0
-100.0,100,22.850981,0.0
-100.0,100,25.194805,0.0
-100.0,100,27.55782,0.0
-100.0,100,30.025793,0.0
-100.0,100,32.435464,0.0
-100.0,100,34.901915,0.0
-100.0,100,37.287605,0.0
-100.0,100,39.678963,0.0
-82.0,100,42.065652,0.0
-100.0,100,44.48606,0.0
-100.0,100,46.85367,0.0
-100.0,100,49.228854,0.0
-100.0,100,51.655077,0.0
-89.0,100,54.049963,0.0
-100.0,100,56.47983,0.0
-100.0,100,58.953501,0.0
-100.0,100,61.358847,0.0
-100.0,100,63.837901,0.0
-100.0,100,66.243329,0.0
-100.0,100,68.6823,0.0
-100.0,100,71.094136,0.0
-100.0,100,73.535418,0.0
-100.0,100,75.939921,0.0
-100.0,100,78.417977,0.0
-100.0,100,80.813388,0.0
-100.0,100,83.293609,0.0
-100.0,100,85.824682,0.0
-100.0,100,88.292158,0.0
-98.0,100,90.878686,0.0
-100.0,100,93.329565,0.0
-100.0,100,95.872779,0.0
-100.0,100,98.371598,0.0
-100.0,100,100.958244,0.0
-100.0,100,103.510179,0.0
-100.0,100,105.9771,0.0
-100.0,100,108.456537,0.0
-100.0,100,111.007751,0.0
-100.0,100,113.490812,0.0
-100.0,100,115.930628,0.0
-100.0,100,118.474016,0.0
-100.0,100,120.966695,0.0
-100.0,100,123.536335,0.0
-100.0,100,126.096738,0.0
-100.0,100,128.654804,0.0
-100.0,100,131.110168,0.0
-100.0,100,133.743363,0.0
-100.0,100,136.324848,0.0
-100.0,100,138.85726,0.0
-100.0,100,141.448017,0.0
-100.0,100,144.038584,0.0
-100.0,100,146.592984,0.0
-100.0,100,149.131447,0.0
-100.0,100,151.604572,0.0
-100.0,100,154.143868,0.0
-100.0,100,156.546776,0.0
-100.0,100,158.981081,0.0
-100.0,100,161.470545,0.0
-100.0,100,164.057774,0.0
-100.0,100,166.63227,0.0
-100.0,100,169.186019,0.0
-100.0,100,171.745365,0.0
-100.0,100,174.292324,0.0
-100.0,100,176.882605,0.0
-100.0,100,179.440016,0.0
-100.0,100,181.970999,0.0
-100.0,100,184.573067,0.0
-100.0,100,187.133543,0.0
-100.0,100,189.730778,0.0
-100.0,100,192.319664,0.0
-100.0,100,194.98271,0.0
-100.0,100,197.536966,0.0
-100.0,100,200.157637,0.0
-100.0,100,202.732332,0.0
-100.0,100,205.374589,0.0
-99.0,100,207.895053,0.0
-100.0,100,210.422792,0.0
-100.0,100,213.033921,0.0
-100.0,100,215.648502,0.0
-100.0,100,218.289507,0.0
-100.0,100,221.075735,0.0
-100.0,100,223.726401,0.0
-100.0,100,226.284113,0.0
-100.0,100,229.009745,0.0
-100.0,100,231.605742,0.0
0.0,100,234.149064,1.0
-100.0,100,236.926031,0.0
-100.0,100,239.49999,0.0
-100.0,100,242.084284,0.0
-100.0,100,244.607241,0.0
-100.0,100,247.162812,0.0
-100.0,100,249.579551,0.0
-100.0,100,252.140467,0.0
-100.0,100,254.600083,0.0
-100.0,100,257.078793,0.0
-100.0,100,259.607119,0.0
-100.0,100,262.17466,0.0
-100.0,100,264.712326,0.0
-100.0,100,267.231603,0.0
-100.0,100,269.87165,0.0
-100.0,100,272.397546,0.0
-100.0,100,275.048062,0.0
-100.0,100,277.626618,0.0
-100.0,100,280.320948,0.0
-100.0,100,282.974163,0.0
-100.0,100,285.613101,0.0
-100.0,100,288.306707,0.0
-100.0,100,290.818837,0.0
-100.0,100,293.340076,0.0
-100.0,100,295.945025,0.0
-100.0,100,298.58677,0.0
0.0,100,301.134123,1.0
-100.0,100,303.633182,0.0
-100.0,100,306.172978,0.0
-100.0,100,308.804108,0.0
-100.0,100,311.450405,0.0
-100.0,100,314.005172,0.0
-100.0,100,316.624416,0.0
-100.0,100,319.275363,0.0
-100.0,100,321.950713,0.0
-100.0,100,324.698999,0.0
-100.0,100,327.40127,0.0
-100.0,100,330.199674,0.0
-99.0,100,333.412728,0.0
-100.0,100,336.702707,0.0
-100.0,100,339.917272,0.0
-100.0,100,343.24657,0.0
-100.0,100,346.493639,0.0
-100.0,100,349.775695,0.0
-100.0,100,352.579454,0.0
-100.0,100,355.210638,0.0
-100.0,100,357.770037,0.0
-100.0,100,360.259688,0.0
-100.0,100,362.737083,0.0
-100.0,100,365.364349,0.0
-100.0,100,367.873312,0.0
-100.0,100,370.355618,0.0
-100.0,100,372.808719,0.0
-100.0,100,375.376503,0.0
-100.0,100,377.816983,0.0
-95.0,100,380.339591,0.0
-100.0,100,382.899925,0.0
-100.0,100,385.455529,0.0
-100.0,100,388.081685,0.0
-100.0,100,390.643404,0.0
-100.0,100,393.192229,0.0
-100.0,100,395.75316,0.0
-100.0,100,398.364981,0.0
-100.0,100,401.054048,0.0
-100.0,100,403.791088,0.0
-99.0,100,406.339893,0.0
-100.0,100,408.946857,0.0
-100.0,100,411.556473,0.0
-100.0,100,414.223301,0.0
-100.0,100,416.81895,0.0
-100.0,100,419.578805,0.0
-100.0,100,422.082878,0.0
-100.0,100,424.744949,0.0
-100.0,100,427.372283,0.0
-100.0,100,429.970143,0.0
-100.0,100,432.525184,0.0
-100.0,100,435.072767,0.0
-100.0,100,437.666003,0.0
-100.0,100,440.242645,0.0
-100.0,100,442.842614,0.0
-100.0,100,445.444738,0.0
0.0,100,448.050577,1.0
-100.0,100,450.765153,0.0
-100.0,100,453.3933,0.0
-100.0,100,455.941131,0.0
-100.0,100,458.516352,0.0
0.0,100,461.071173,1.0
-100.0,100,463.589938,0.0
-100.0,100,466.262384,0.0
-100.0,100,468.773747,0.0
-100.0,100,471.505221,0.0
-100.0,100,474.262794,0.0
-100.0,100,476.985382,0.0
-100.0,100,479.510637,0.0
-100.0,100,482.056812,0.0
-100.0,100,484.626136,0.0
-100.0,100,487.30242,0.0
-100.0,100,489.896091,0.0
-100.0,100,492.639404,0.0
-100.0,100,495.223898,0.0
-100.0,100,497.849768,0.0
-100.0,100,500.419072,0.0
-100.0,100,503.055342,0.0
-100.0,100,505.562464,0.0
-100.0,100,508.25114,0.0
-100.0,100,510.835709,0.0
-100.0,100,513.446377,0.0
-100.0,100,516.082144,0.0
-100.0,100,518.643786,0.0
-100.0,100,521.252873,0.0
-100.0,100,523.921859,0.0
0.0,100,526.643009,1.0
-100.0,100,529.330431,0.0
-100.0,100,531.930297,0.0
-100.0,100,534.517454,0.0
-100.0,100,537.06561,0.0
-100.0,100,539.831431,0.0
-100.0,100,542.476217,0.0
-100.0,100,545.086017,0.0
-100.0,100,547.690609,0.0
-100.0,100,550.431533,0.0
-100.0,100,553.03124,0.0
-100.0,100,555.650208,0.0
-100.0,100,558.385188,0.0
-100.0,100,560.951111,0.0
-100.0,100,563.760526,0.0
-100.0,100,566.481063,0.0
-100.0,100,569.172618,0.0
-100.0,100,571.755543,0.0
-100.0,100,574.324406,0.0
-100.0,100,577.036367,0.0
-98.0,100,579.679821,0.0
-100.0,100,582.43718,0.0
-100.0,100,585.083613,0.0
-100.0,100,587.713539,0.0
-100.0,100,590.346105,0.0
-100.0,100,592.948148,0.0
-100.0,100,595.417641,0.0
-100.0,100,598.153359,0.0
-100.0,100,600.722001,0.0
-100.0,100,603.361663,0.0
-100.0,100,605.915344,0.0
-100.0,100,608.435427,0.0
-100.0,100,610.895041,0.0
-100.0,100,613.514329,0.0
-100.0,100,616.150244,0.0
-100.0,100,618.81999,0.0
-100.0,100,621.399091,0.0
-100.0,100,623.961435,0.0
-100.0,100,626.609328,0.0
-100.0,100,629.007986,0.0
-100.0,100,631.543085,0.0
-100.0,100,634.223203,0.0
-100.0,100,636.726807,0.0
0.0,100,639.254834,1.0
-100.0,100,641.747463,0.0
-100.0,100,644.258137,0.0
-100.0,100,646.94638,0.0
-100.0,100,649.833182,0.0
-100.0,100,653.045731,0.0
-100.0,100,656.14677,0.0
-100.0,100,659.23765,0.0
-100.0,100,662.376607,0.0
-100.0,100,665.465889,0.0
-100.0,100,668.279788,0.0
-100.0,100,670.950612,0.0
-100.0,100,673.45543,0.0
-100.0,100,676.103137,0.0
-100.0,100,678.649071,0.0
-100.0,100,681.230978,0.0
-100.0,100,683.696548,0.0
-100.0,100,686.299434,0.0
-100.0,100,688.729826,0.0
-100.0,100,691.394357,0.0
-100.0,100,694.041041,0.0
-100.0,100,696.54922,0.0
-100.0,100,699.260603,0.0
-100.0,100,701.814162,0.0
-100.0,100,704.534226,0.0
-100.0,100,707.031205,0.0
-100.0,100,709.655759,0.0
-100.0,100,712.260331,0.0
-100.0,100,715.055216,0.0
-100.0,100,717.676471,0.0
-100.0,100,720.270744,0.0
-100.0,100,722.787931,0.0
-100.0,100,725.327245,0.0
-100.0,100,727.986348,0.0
-100.0,100,730.634956,0.0
-100.0,100,733.028929,0.0
-100.0,100,735.562418,0.0
-100.0,100,738.240396,0.0
-100.0,100,740.90141,0.0
-100.0,100,743.501788,0.0
-100.0,100,746.071514,0.0
-100.0,100,748.583028,0.0
-100.0,100,751.097899,0.0
-100.0,100,753.641372,0.0
-100.0,100,756.305239,0.0
-100.0,100,758.903744,0.0
-100.0,100,761.493495,0.0
-100.0,100,764.117944,0.0
-100.0,100,766.581359,0.0
-100.0,100,769.047794,0.0
-100.0,100,771.820864,0.0
-100.0,100,774.435438,0.0
-100.0,100,777.123035,0.0
-100.0,100,779.869789,0.0
-100.0,100,782.467774,0.0
-100.0,100,785.170937,0.0
-100.0,100,787.898546,0.0
-99.0,100,790.510455,0.0
-100.0,100,792.992926,0.0
-100.0,100,795.405905,0.0
-100.0,100,797.935959,0.0
-100.0,100,800.481038,0.0
-100.0,100,803.102897,0.0
-100.0,100,805.618686,0.0
-100.0,100,808.267473,0.0
-100.0,100,810.837688,0.0
-100.0,100,813.369278,0.0
-100.0,100,816.189202,0.0
-100.0,100,818.586266,0.0
-100.0,100,821.220334,0.0
-100.0,100,823.705455,0.0
-100.0,100,826.359537,0.0
-100.0,100,828.991604,0.0
-100.0,100,831.709759,0.0
-100.0,100,834.345712,0.0
-100.0,100,837.033319,0.0
-100.0,100,839.644105,0.0
0.0,100,842.375013,1.0
-100.0,100,845.10794,0.0
-100.0,100,847.629217,0.0
-100.0,100,850.365428,0.0
-100.0,100,852.427851,0.0
-100.0,100,854.501469,0.0
-100.0,100,857.180593,0.0
-100.0,100,859.74249,0.0
-100.0,100,862.455642,0.0
-100.0,100,865.135602,0.0
-100.0,100,867.79207,0.0
-100.0,100,870.437614,0.0
-100.0,100,873.064229,0.0
-100.0,100,875.710643,0.0
-100.0,100,878.458023,0.0
-99.0,100,881.116264,0.0
-100.0,100,884.173066,0.0
-100.0,100,887.255255,0.0
-100.0,100,890.328142,0.0
-100.0,100,893.430518,0.0
-100.0,100,896.545338,0.0
-100.0,100,899.589329,0.0
-100.0,100,902.434325,0.0
-100.0,100,905.213329,0.0
-100.0,100,908.06839,0.0
-100.0,100,910.630182,0.0
-100.0,100,913.547578,0.0
-100.0,100,916.69675,0.0
-100.0,100,919.872311,0.0
-100.0,100,923.08709,0.0
-100.0,100,926.298465,0.0
-100.0,100,929.478642,0.0
-100.0,100,932.469445,0.0
-100.0,100,935.159778,0.0
-100.0,100,937.669353,0.0
-100.0,100,940.141016,0.0
-100.0,100,942.736592,0.0
-100.0,100,945.441388,0.0
-100.0,100,947.959276,0.0
-100.0,100,950.475407,0.0
-100.0,100,952.922541,0.0
-100.0,100,955.46381,0.0
-100.0,100,958.154466,0.0
-100.0,100,960.819988,0.0
-100.0,100,963.452987,0.0
-100.0,100,966.220012,0.0
-100.0,100,968.682384,0.0
-100.0,100,971.336162,0.0
-100.0,100,973.899025,0.0
-100.0,100,976.522185,0.0
-100.0,100,979.119635,0.0
0.0,100,981.894482,1.0
-100.0,100,984.639877,0.0
-100.0,100,987.334083,0.0
-100.0,100,990.015866,0.0
-100.0,100,992.594032,0.0
-100.0,100,995.425546,0.0
-100.0,100,998.129017,0.0
-100.0,100,1000.662213,0.0
-100.0,100,1003.272301,0.0
-100.0,100,1005.86214,0.0
-100.0,100,1008.509134,0.0
-100.0,100,1010.965941,0.0
-100.0,100,1013.560646,0.0
-100.0,100,1015.951481,0.0
-100.0,100,1018.448056,0.0
-100.0,100,1021.092657,0.0
-100.0,100,1023.706103,0.0
-100.0,100,1026.398435,0.0
-100.0,100,1029.016266,0.0
-99.0,100,1031.644294,0.0
-100.0,100,1034.339726,0.0
-100.0,100,1036.977729,0.0
-100.0,100,1039.597281,0.0
-100.0,100,1042.240898,0.0
-100.0,100,1044.881532,0.0
-100.0,100,1047.544489,0.0
-100.0,100,1050.168,0.0
-100.0,100,1052.668751,0.0
-100.0,100,1055.185775,0.0
-100.0,100,1057.656806,0.0
-100.0,100,1060.289434,0.0
-100.0,100,1062.936562,0.0
-100.0,100,1065.562916,0.0
-100.0,100,1068.180765,0.0
-100.0,100,1070.8036,0.0
-100.0,100,1073.499398,0.0
-100.0,100,1076.18532,0.0
-100.0,100,1078.956084,0.0
-100.0,100,1081.635262,0.0
-100.0,100,1084.32354,0.0
-100.0,100,1086.931,0.0
-100.0,100,1089.751748,0.0
-100.0,100,1092.426294,0.0
-100.0,100,1095.162627,0.0
-100.0,100,1098.133738,0.0
-100.0,100,1101.248251,0.0
-100.0,100,1104.36126,0.0
-100.0,100,1107.505095,0.0
-100.0,100,1110.678281,0.0
-100.0,100,1113.789506,0.0
-100.0,100,1116.423685,0.0
-100.0,100,1118.928442,0.0
-100.0,100,1121.536759,0.0
-100.0,100,1124.233428,0.0
-100.0,100,1126.850232,0.0
-100.0,100,1129.394597,0.0
-100.0,100,1131.941755,0.0
-100.0,100,1134.501453,0.0
-100.0,100,1137.215855,0.0
-100.0,100,1139.809788,0.0
-100.0,100,1142.358932,0.0
-100.0,100,1145.151161,0.0
-100.0,100,1147.780079,0.0
-100.0,100,1150.417571,0.0
-100.0,100,1153.091892,0.0
-100.0,100,1155.668343,0.0
-100.0,100,1158.189574,0.0
-100.0,100,1160.740632,0.0
-100.0,100,1163.454624,0.0
-100.0,100,1165.940667,0.0
-100.0,100,1168.545822,0.0
-100.0,100,1171.076016,0.0
-100.0,100,1173.824857,0.0
0.0,100,1176.464084,1.0
-100.0,100,1179.12196,0.0
-100.0,100,1181.673785,0.0
-100.0,100,1184.317491,0.0
-100.0,100,1186.90749,0.0
-100.0,100,1189.547813,0.0
-100.0,100,1192.205098,0.0
-100.0,100,1194.889863,0.0
-100.0,100,1197.389187,0.0
-100.0,100,1200.087718,0.0
-100.0,100,1202.826005,0.0
-100.0,100,1205.395613,0.0
-100.0,100,1208.116287,0.0
-100.0,100,1210.796111,0.0
-100.0,100,1213.396967,0.0
-100.0,100,1216.104911,0.0
-100.0,100,1218.763436,0.0
-100.0,100,1221.49473,0.0
-100.0,100,1224.167232,0.0
-100.0,100,1226.805546,0.0
-100.0,100,1229.249273,0.0
-100.0,100,1231.794586,0.0
-100.0,100,1234.336496,0.0
-100.0,100,1237.038551,0.0
-100.0,100,1239.735847,0.0
-100.0,100,1242.261771,0.0
-100.0,100,1244.897764,0.0
-100.0,100,1247.519984,0.0
-100.0,100,1250.20194,0.0
-100.0,100,1252.821416,0.0
-100.0,100,1255.410182,0.0
-100.0,100,1258.050425,0.0
-100.0,100,1260.750532,0.0
-100.0,100,1263.386955,0.0
-100.0,100,1265.964019,0.0
0.0,100,1268.654718,1.0
-100.0,100,1271.312319,0.0
-100.0,100,1274.023026,0.0
-100.0,100,1276.617817,0.0
-100.0,100,1279.311442,0.0
-100.0,100,1281.870742,0.0
-100.0,100,1284.54773,0.0
-100.0,100,1287.257946,0.0
-100.0,100,1289.895651,0.0
-100.0,100,1292.394673,0.0
-100.0,100,1294.993111,0.0
-100.0,100,1297.638106,0.0
-100.0,100,1300.236648,0.0
0.0,100,1302.906793,1.0
-100.0,100,1305.59696,0.0
-100.0,100,1308.032007,0.0
-100.0,100,1310.65821,0.0
-100.0,100,1317.44931,0.0
-100.0,100,1320.056496,0.0
-100.0,100,1322.713321,0.0
-100.0,100,1325.341826,0.0
-100.0,100,1327.932072,0.0
-100.0,100,1330.659286,0.0
-100.0,100,1333.151076,0.0
-100.0,100,1335.749868,0.0
-100.0,100,1338.333103,0.0
-100.0,100,1340.84681,0.0
-100.0,100,1343.438231,0.0
-100.0,100,1346.039967,0.0
-100.0,100,1348.646876,0.0
-100.0,100,1351.213289,0.0
-100.0,100,1353.826936,0.0
-100.0,100,1356.507962,0.0
-100.0,100,1359.167366,0.0
-100.0,100,1361.752738,0.0
-100.0,100,1364.363246,0.0
-100.0,100,1367.028218,0.0
-100.0,100,1369.667393,0.0
-100.0,100,1372.248948,0.0
-100.0,100,1374.85234,0.0
-100.0,100,1377.46338,0.0
-100.0,100,1379.978346,0.0
-100.0,100,1382.60956,0.0
-100.0,100,1385.334025,0.0
-100.0,100,1387.910965,0.0
-100.0,100,1390.455478,0.0
-100.0,100,1393.162089,0.0
-100.0,100,1395.750434,0.0
-100.0,100,1398.345941,0.0
-100.0,100,1401.090981,0.0
-100.0,100,1403.964037,0.0
-100.0,100,1406.629926,0.0
-100.0,100,1409.199661,0.0
-100.0,100,1411.874069,0.0
-100.0,100,1414.659765,0.0
-100.0,100,1417.522818,0.0
-100.0,100,1420.068259,0.0
-100.0,100,1422.701441,0.0
-100.0,100,1425.377347,0.0
-100.0,100,1428.054538,0.0
-100.0,100,1430.725826,0.0
-100.0,100,1433.152408,0.0
-100.0,100,1435.762632,0.0
-100.0,100,1438.347677,0.0
-100.0,100,1441.031283,0.0
-100.0,100,1443.751397,0.0
-100.0,100,1446.364987,0.0
-100.0,100,1449.049579,0.0
-100.0,100,1451.710046,0.0
-100.0,100,1454.329154,0.0
-100.0,100,1456.839132,0.0
-100.0,100,1459.437297,0.0
-100.0,100,1462.132452,0.0
-100.0,100,1464.84512,0.0
-100.0,100,1467.30786,0.0
-100.0,100,1470.053035,0.0
-100.0,100,1472.634384,0.0
-100.0,100,1475.14714,0.0
-100.0,100,1477.767303,0.0
-100.0,100,1480.37479,0.0
-100.0,100,1483.323536,0.0
-100.0,100,1486.481714,0.0
-100.0,100,1489.582133,0.0
-100.0,100,1492.667551,0.0
-100.0,100,1495.82382,0.0
-99.0,100,1499.041272,0.0
-100.0,100,1502.102353,0.0
-100.0,100,1504.844464,0.0
-100.0,100,1507.523324,0.0
-100.0,100,1510.153462,0.0
-100.0,100,1512.723117,0.0
-100.0,100,1515.455771,0.0
-100.0,100,1518.140346,0.0
-100.0,100,1520.70874,0.0
-100.0,100,1523.390714,0.0
-100.0,100,1526.085793,0.0
-100.0,100,1528.702575,0.0
-100.0,100,1531.321361,0.0
-100.0,100,1534.062232,0.0
-100.0,100,1536.515998,0.0
-100.0,100,1539.171203,0.0
-100.0,100,1542.358928,0.0
-100.0,100,1545.549252,0.0
-100.0,100,1548.746453,0.0
-100.0,100,1551.901028,0.0
-100.0,100,1555.202309,0.0
-100.0,100,1558.342715,0.0
-100.0,100,1560.764001,0.0
-100.0,100,1563.485866,0.0
-100.0,100,1566.13144,0.0
-100.0,100,1568.70257,0.0
-100.0,100,1571.304691,0.0
-100.0,100,1573.794073,0.0
-100.0,100,1576.437513,0.0
-100.0,100,1579.280082,0.0
-100.0,100,1581.986926,0.0
-100.0,100,1584.74638,0.0
-100.0,100,1587.803988,0.0
-100.0,100,1590.93255,0.0
-100.0,100,1594.149358,0.0
-100.0,100,1597.314649,0.0
-100.0,100,1600.466036,0.0
-100.0,100,1603.662885,0.0
-100.0,100,1606.77747,0.0
-100.0,100,1609.913877,0.0
-100.0,100,1613.007265,0.0
-100.0,100,1616.100208,0.0
-100.0,100,1619.231092,0.0
-100.0,100,1622.293681,0.0
-98.0,100,1625.413523,0.0
-100.0,100,1628.695979,0.0
-100.0,100,1631.923804,0.0
-100.0,100,1635.090739,0.0
-100.0,100,1638.285405,0.0
-100.0,100,1641.508131,0.0
-100.0,100,1644.737278,0.0
-100.0,100,1647.954637,0.0
-100.0,100,1651.136577,0.0
-100.0,100,1654.303743,0.0
0.0,100,1657.528883,1.0
-100.0,100,1660.754018,0.0
-100.0,100,1663.946324,0.0
-100.0,100,1667.070043,0.0
-100.0,100,1670.358202,0.0
-100.0,100,1673.531336,0.0
-100.0,100,1676.733332,0.0
-100.0,100,1679.802293,0.0
-100.0,100,1682.948664,0.0
-100.0,100,1686.183927,0.0
-100.0,100,1689.371808,0.0
-100.0,100,1692.529156,0.0
-100.0,100,1695.713784,0.0
-100.0,100,1698.910667,0.0
-100.0,100,1702.16079,0.0
-100.0,100,1705.335119,0.0
-100.0,100,1708.392263,0.0
-100.0,100,1711.425466,0.0
-100.0,100,1714.551445,0.0
-100.0,100,1717.791096,0.0
-100.0,100,1721.005444,0.0
-100.0,100,1724.201011,0.0
-100.0,100,1727.259518,0.0
-100.0,100,1730.443238,0.0
-100.0,100,1733.818581,0.0
-100.0,100,1736.967907,0.0
-100.0,100,1740.268265,0.0
-100.0,100,1743.519987,0.0
-100.0,100,1746.719327,0.0
-100.0,100,1749.853475,0.0
-100.0,100,1753.030537,0.0
-100.0,100,1756.176234,0.0
-100.0,100,1759.335964,0.0
-100.0,100,1762.631317,0.0
-100.0,100,1765.680585,0.0
-100.0,100,1768.497287,0.0
-100.0,100,1771.195277,0.0
-100.0,100,1773.944522,0.0
-100.0,100,1776.772426,0.0
-100.0,100,1779.690288,0.0
-100.0,100,1782.920707,0.0
-100.0,100,1786.127347,0.0
-100.0,100,1789.355494,0.0
-100.0,100,1792.474578,0.0
-100.0,100,1795.718715,0.0
-100.0,100,1798.807968,0.0
-100.0,100,1802.049449,0.0
-100.0,100,1805.387848,0.0
-100.0,100,1808.59452,0.0
-100.0,100,1811.628241,0.0
-100.0,100,1814.712277,0.0
-100.0,100,1817.390076,0.0
-100.0,100,1820.102506,0.0
-100.0,100,1822.751236,0.0
-100.0,100,1825.370175,0.0
-100.0,100,1827.907087,0.0
-100.0,100,1830.606689,0.0
-93.0,100,1833.220633,0.0
-100.0,100,1835.773615,0.0
-100.0,100,1838.369094,0.0
-100.0,100,1841.029813,0.0
-100.0,100,1843.883845,0.0
-100.0,100,1846.545953,0.0
-100.0,100,1849.192389,0.0
-100.0,100,1851.70308,0.0
-100.0,100,1854.262103,0.0
-100.0,100,1856.906508,0.0
-100.0,100,1859.630918,0.0
-100.0,100,1862.393534,0.0
-100.0,100,1865.041633,0.0
-100.0,100,1867.832664,0.0
-100.0,100,1870.468957,0.0
-100.0,100,1873.107247,0.0
-100.0,100,1875.74083,0.0
-100.0,100,1878.327894,0.0
-100.0,100,1880.958797,0.0
-100.0,100,1883.629278,0.0
-100.0,100,1886.360341,0.0
-100.0,100,1889.11038,0.0
-100.0,100,1891.790283,0.0
-100.0,100,1894.510217,0.0
-100.0,100,1897.24859,0.0
-100.0,100,1899.843458,0.0
-100.0,100,1902.509956,0.0
-100.0,100,1905.167263,0.0
-99.0,100,1907.862133,0.0
-100.0,100,1910.502431,0.0
-100.0,100,1913.212981,0.0
-100.0,100,1915.991542,0.0
-100.0,100,1918.635798,0.0
-100.0,100,1921.346846,0.0
-100.0,100,1923.984569,0.0
-100.0,100,1926.512738,0.0
-100.0,100,1929.12607,0.0
-100.0,100,1931.872996,0.0
-100.0,100,1934.504942,0.0
-100.0,100,1937.22283,0.0
-100.0,100,1939.901958,0.0
-100.0,100,1942.639163,0.0
-100.0,100,1945.357897,0.0
-100.0,100,1947.974972,0.0
-100.0,100,1950.525869,0.0
-100.0,100,1953.216042,0.0
-100.0,100,1955.79944,0.0
-100.0,100,1958.547283,0.0
-100.0,100,1961.31544,0.0
-100.0,100,1964.027495,0.0
-100.0,100,1966.843061,0.0
-100.0,100,1969.713508,0.0
-100.0,100,1972.396272,0.0
-100.0,100,1975.174783,0.0
-100.0,100,1978.040986,0.0
-100.0,100,1980.80224,0.0
-100.0,100,1983.576475,0.0
0.0,100,1986.22748,1.0
-100.0,100,1989.051921,0.0
-100.0,100,1991.841813,0.0
-100.0,100,1994.625082,0.0
-100.0,100,1997.34808,0.0
-100.0,100,2000.149321,0.0
-100.0,100,2002.86613,0.0
-100.0,100,2005.672849,0.0
-100.0,100,2008.356769,0.0
-100.0,100,2011.214375,0.0
-100.0,100,2014.069515,0.0
-100.0,100,2016.855823,0.0
-100.0,100,2019.55876,0.0
-100.0,100,2022.328852,0.0
-100.0,100,2024.978427,0.0
-100.0,100,2027.760237,0.0
-100.0,100,2030.484354,0.0
0.0,100,2033.251211,1.0
-100.0,100,2035.970772,0.0
-100.0,100,2038.763594,0.0
-100.0,100,2041.464887,0.0
-100.0,100,2044.24072,0.0
-100.0,100,2046.93584,0.0
-100.0,100,2049.647585,0.0
-100.0,100,2052.257061,0.0
-100.0,100,2054.91524,0.0
-100.0,100,2057.673766,0.0
-100.0,100,2060.394566,0.0
0.0,100,2063.118082,1.0
-100.0,100,2065.809805,0.0
-100.0,100,2068.598299,0.0
-100.0,100,2071.280189,0.0
-100.0,100,2073.890901,0.0
-100.0,100,2076.598261,0.0
-100.0,100,2079.322169,0.0
-100.0,100,2081.832035,0.0
-100.0,100,2084.504462,0.0
-100.0,100,2087.203538,0.0
-100.0,100,2089.700752,0.0
-100.0,100,2092.34887,0.0
-100.0,100,2095.044808,0.0
-100.0,100,2097.726178,0.0
-100.0,100,2100.406288,0.0
-100.0,100,2103.13428,0.0
-100.0,100,2105.803642,0.0
-100.0,100,2108.434418,0.0
-100.0,100,2110.948324,0.0
-100.0,100,2113.568006,0.0
-100.0,100,2116.133044,0.0
-100.0,100,2118.848475,0.0
-100.0,100,2121.644713,0.0
-100.0,100,2124.412223,0.0
-100.0,100,2127.128824,0.0
-100.0,100,2129.740804,0.0
-100.0,100,2132.41034,0.0
-100.0,100,2135.049716,0.0
-100.0,100,2137.413756,0.0
-100.0,100,2139.782482,0.0
-100.0,100,2142.559008,0.0
-100.0,100,2145.203911,0.0
-100.0,100,2147.840304,0.0
-100.0,100,2150.364669,0.0
-100.0,100,2152.859254,0.0
-100.0,100,2155.500366,0.0
-100.0,100,2158.132168,0.0
-100.0,100,2160.748924,0.0
-100.0,100,2163.388725,0.0
-100.0,100,2166.005207,0.0
-100.0,100,2168.631111,0.0
-100.0,100,2171.306487,0.0
-100.0,100,2173.735925,0.0
-100.0,100,2176.223556,0.0
-100.0,100,2178.803266,0.0
-100.0,100,2181.399945,0.0
-100.0,100,2184.035501,0.0
-100.0,100,2186.487657,0.0
-100.0,100,2189.192395,0.0
-100.0,100,2191.919925,0.0
-100.0,100,2194.558006,0.0
-100.0,100,2197.352277,0.0
-100.0,100,2200.008683,0.0
-100.0,100,2202.643712,0.0
-100.0,100,2205.274053,0.0
-100.0,100,2207.917435,0.0
-100.0,100,2210.555442,0.0
-100.0,100,2213.15327,0.0
-100.0,100,2215.889907,0.0
-100.0,100,2218.643198,0.0
-100.0,100,2221.336821,0.0
0.0,100,2223.964777,1.0
-98.0,100,2226.537918,0.0
-100.0,100,2229.182448,0.0
-100.0,100,2231.745505,0.0
-100.0,100,2234.414127,0.0
-100.0,100,2237.007342,0.0
-100.0,100,2238.78278,0.0
-100.0,100,2241.19946,0.0
-100.0,100,2243.857942,0.0
-100.0,100,2246.559996,0.0
-100.0,100,2249.293777,0.0
-100.0,100,2251.964687,0.0
-100.0,100,2254.60553,0.0
-100.0,100,2257.222425,0.0
-100.0,100,2259.873283,0.0
0.0,100,2262.487141,1.0
-100.0,100,2265.12061,0.0
-100.0,100,2267.725545,0.0
