#{"t_start": 1592838288.8149111, "env_id": "Pendulum-v0"}
r,l,t
-1176.279577,200,0.080243
-1575.668916,200,1.257729
-1479.668269,200,2.405003
-1656.396551,200,4.134065
-1681.903075,200,5.399709
-1217.534265,200,8.279725
-1325.389998,200,11.023493
-1410.004935,200,15.031465
-1304.805207,200,18.577591
-1320.059814,200,21.790367
-1185.258857,200,26.148757
-908.614356,200,30.604059
-1053.065694,200,33.851031
-263.943357,200,38.475751
-1090.884563,200,42.17012
-1334.672433,200,46.312122
-664.975798,200,49.585694
-1498.410284,200,52.844991
-1.27676,200,57.253379
-1181.928711,200,60.866026
-4.48664,200,64.586038
-282.550657,200,68.777674
-1039.92556,200,73.248677
-704.462052,200,77.199488
-4.755961,200,81.172745
-413.485904,200,84.839382
-129.774547,200,90.294431
-775.697213,200,94.25002
-503.994027,200,97.830009
-917.118658,200,102.135452
-128.23142,200,106.837578
-257.832623,200,111.730141
-7.783831,200,116.119234
-491.378954,200,120.121361
-5.079705,200,124.224833
-247.356938,200,129.751209
-406.310894,200,134.903856
-423.908379,200,140.268521
-117.043306,200,144.976257
-356.123795,200,149.337178
-127.2176,200,153.494081
-380.246827,200,157.001918
-125.375235,200,161.64483
-125.937206,200,166.40123
-243.284546,200,170.961995
-131.473645,200,175.863016
-4.262628,200,179.922811
-126.370082,200,183.938307
-244.661998,200,187.94179
-117.358506,200,191.841685
-239.56904,200,196.646779
-431.621042,200,200.847646
-124.21371,200,205.34788
-1473.344866,200,209.497371
-0.404543,200,213.834784
-119.941492,200,218.113688
-117.04135,200,222.405749
-120.696714,200,226.522964
-1.696618,200,230.716797
-117.620183,200,234.906921
-127.503991,200,237.456611
-257.452024,200,239.881642
-123.961569,200,242.895892
-132.915369,200,247.459303
-12.812032,200,252.151118
-393.206779,200,256.2715
-10.22326,200,260.379167
-125.409191,200,264.449182
-124.273634,200,268.517345
-122.833729,200,272.505679
-457.045029,200,276.304618
-121.050638,200,278.865896
-248.447738,200,282.886175
-2.555967,200,288.160795
-125.362862,200,292.966695
-246.635483,200,296.550562
-899.685253,200,301.146815
-118.797239,200,306.061125
-121.437444,200,310.477901
-0.906053,200,314.557178
-379.783994,200,317.290653
-125.75211,200,320.773527
-125.218935,200,324.621794
-122.640064,200,327.364177
-387.241471,200,331.293272
-229.92744,200,334.133564
-124.141605,200,336.537347
-122.531722,200,338.866946
-236.751117,200,342.988837
-344.891632,200,347.264765
-126.148747,200,351.301157
-133.182957,200,355.704343
-3.503191,200,360.075312
-346.591621,200,364.502665
-606.869938,200,369.118793
-233.766318,200,373.845781
-241.202071,200,378.650609
-124.83467,200,382.825111
-453.237486,200,387.156944
-124.341881,200,390.000084
