#{"t_start": 1614939467.0710008, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-6.350496,150,2.181139
18.056905,150,2.220069
1.854045,150,2.259082
-14.178479,150,2.297986
1.332561,150,2.337179
-4.835884,150,2.376214
-18.375477,150,2.415194
-22.99682,150,2.454068
-17.047854,150,2.493222
-14.936605,150,2.531792
23.221091,150,2.570377
-13.928738,150,2.609171
-2.312378,150,2.64816
-8.645677,150,2.686885
7.424906,150,2.726003
-21.968047,150,2.764852
-27.423611,150,2.803984
-10.90653,150,2.843221
-3.257291,150,2.88342
-37.321689,150,2.923187
-19.996303,150,2.963296
-15.661314,150,3.00308
-5.438442,150,3.042763
-20.953097,150,3.082041
-16.561806,150,3.121394
-7.734322,150,3.160595
-16.841373,150,3.200061
-14.870945,150,3.23931
-1.96072,150,3.27887
-7.205266,150,3.318294
22.48007,150,3.358372
-12.140623,150,3.398837
1.511747,150,3.439016
0.587088,150,3.478657
-18.266432,150,3.518583
15.172546,150,3.558089
-7.965652,150,3.597689
-0.37974,150,3.63726
-7.088314,150,3.676662
-18.486005,150,3.716104
-12.905129,150,3.756015
-2.696648,150,3.795445
-24.561693,150,3.834717
1.669995,150,3.874332
-5.301825,150,3.914094
7.898157,150,3.953412
4.716873,150,3.992938
-2.153701,150,4.032448
-0.434837,150,4.072305
-4.784349,150,4.111958
1.758715,150,4.151245
-18.705723,150,4.19056
4.033054,150,4.230323
-5.46636,150,4.269779
8.390605,150,4.309092
-5.946723,150,4.348705
6.286416,150,4.388547
-2.755111,150,4.427966
21.393586,150,4.46743
17.756606,150,4.50669
-6.806347,150,4.54633
-25.832899,150,4.585766
-24.489439,150,4.625203
-18.749321,150,4.66445
-27.244957,150,4.704311
-9.760059,150,4.743696
-9.740703,150,6.907316
-11.689914,150,8.323998
11.372882,150,9.743632
-123.703216,150,11.723985
-61.168425,150,13.101666
-11.68039,150,14.522315
-19.621,150,16.591119
-27.148865,150,18.011912
-16.143379,150,19.43147
-122.571935,150,21.437024
-39.077096,150,22.858568
-28.816919,150,24.280127
-5.669921,150,26.350304
24.685682,150,27.771827
0.887738,150,29.177294
4.444272,150,31.151413
0.605046,150,32.554326
14.441647,150,33.973325
1.510328,150,36.048168
-20.94595,150,37.468259
1.681985,150,38.891408
-25.175692,150,40.893094
-24.428902,150,42.313482
-7.476072,150,43.736273
-14.036505,150,45.803172
2.477941,150,47.224993
-3.163691,150,48.606372
11.521787,150,50.645382
-19.135807,150,52.064692
-19.219641,150,53.48446
-31.643773,150,55.551859
9.898875,150,56.958275
10.440109,150,58.938518
10.082268,150,60.332646
7.073379,150,61.752401
-9.250694,150,63.816197
0.987482,150,65.237795
-11.848492,150,66.659296
-8.207185,150,68.661861
-5.671059,150,70.082869
-7.905514,150,71.500827
-30.695963,150,73.572344
-9.298165,150,74.990527
-105.234226,150,76.379587
-8.543256,150,78.353325
1.074192,150,79.765733
-39.043786,150,81.187564
5.80118,150,83.255969
-31.073476,150,84.683066
-46.992427,150,86.099012
-49.28396,150,88.114637
14.178675,150,89.534953
-12.319015,150,90.957102
-11.102963,150,93.023924
32.460145,150,94.445718
3.151684,150,95.82478
-29.203782,150,97.886751
2.880914,150,99.30927
11.805749,150,100.732151
13.747702,150,102.807639
-27.809272,150,104.20831
5.895524,150,105.574603
-20.36423,150,107.664155
25.68728,150,109.128945
-14.885955,150,111.263098
-15.984672,150,112.72588
7.522,150,114.139238
-8.409703,150,117.339043
-1.113749,150,118.791484
26.183159,150,120.238575
4.038256,150,122.348153
24.166062,150,123.701203
8.932843,150,125.052601
8.147198,150,127.153834
20.567107,150,128.606777
-12.553816,150,130.052915
4.638338,150,132.165225
9.996756,150,133.551196
4.465116,150,134.964336
0.227011,150,137.079091
6.184961,150,138.522804
11.631192,150,139.970572
16.402599,150,142.037715
7.819218,150,143.412719
-5.778785,150,144.869233
-7.889833,150,146.974618
0.919307,150,148.394863
28.124988,150,149.814081
20.217659,150,151.819436
9.654186,150,153.167365
2.550046,150,154.586204
1.36931,150,156.655915
-5.634026,150,158.072819
8.749736,150,159.509813
-0.917322,150,161.502285
2.733903,150,162.915208
19.53799,150,165.028387
8.446202,150,166.47208
6.891759,150,167.908576
5.913741,150,169.916486
9.061947,150,171.267706
32.832436,150,172.657406
1.634843,150,174.719048
8.597419,150,176.136852
15.710477,150,177.554125
-5.101812,150,179.589993
10.701863,150,180.962287
13.899844,150,182.376314
2.957805,150,184.440571
23.686128,150,185.854962
25.087277,150,187.330775
0.480407,150,189.312758
3.878639,150,190.642688
-3.490367,150,192.114885
18.904888,150,194.258955
11.689643,150,195.737169
12.514096,150,197.212697
21.355997,150,199.28965
6.139603,150,200.685898
9.246094,150,202.166051
6.326678,150,204.312587
-3.189485,150,205.785739
16.442765,150,207.260394
17.587227,150,209.250355
13.975481,150,210.726904
14.207725,150,212.200672
6.904556,150,214.34839
25.090239,150,215.833264
11.328746,150,217.901575
21.729687,150,219.226376
21.47329,150,220.603837
9.15691,150,222.755812
22.203161,150,224.233654
24.888049,150,225.707837
10.630927,150,228.890205
10.414634,150,230.270838
15.483794,150,231.659257
28.656127,150,233.678079
-2.068404,150,235.06661
3.583894,150,236.448607
0.606606,150,238.375938
21.794837,150,239.730188
13.191875,150,241.119069
13.86552,150,243.14286
2.706226,150,244.536277
19.094058,150,245.940772
9.163083,150,247.891263
27.285377,150,249.281457
10.656124,150,250.67081
24.48169,150,252.696831
19.316829,150,254.086831
-1.543241,150,255.450449
9.449726,150,257.424196
14.857055,150,258.814292
-2.808265,150,260.20602
15.663541,150,262.228381
-1.598587,150,263.615987
7.200903,150,264.946273
24.193237,150,266.94662
-5.227072,150,268.40703
0.11919,150,270.428673
16.453566,150,271.816436
2.344996,150,273.208164
29.041261,150,275.159375
13.681689,150,276.566074
9.520188,150,277.953082
35.755124,150,279.976302
28.431633,150,281.366623
28.597741,150,282.736599
10.044356,150,284.665889
18.324942,150,286.034263
19.6031,150,287.423465
18.478456,150,289.4507
11.228601,150,290.840036
