#{"t_start": 1635497646.6448054, "env_id": "Swimmer-v3"}
r,l,t
6.423397,1000,30.37063
16.550444,1000,30.715302
1.17668,1000,31.063316
-9.634415,1000,31.417599
2.316402,1000,31.768837
-0.753214,1000,32.114017
-6.334279,1000,32.461636
-8.388759,1000,32.806664
15.373257,1000,33.180998
-27.765112,1000,33.538161
-6.93475,1000,55.48499
27.978393,1000,67.774444
23.148438,1000,79.539932
27.578995,1000,91.690693
23.167904,1000,104.031085
24.223063,1000,116.263905
20.577072,1000,128.192826
28.100011,1000,140.218781
28.830552,1000,152.232571
10.975978,1000,164.452065
2.31207,1000,183.068663
-3.331839,1000,195.229611
0.05681,1000,207.61262
-6.926158,1000,220.044633
-7.577951,1000,232.107054
2.713115,1000,244.034172
-1.738695,1000,256.216652
24.498382,1000,268.018512
24.602897,1000,280.152592
27.13038,1000,292.655087
24.652441,1000,311.320007
26.011935,1000,323.401091
28.900301,1000,335.792827
13.189979,1000,348.150731
1.061306,1000,360.300883
-1.025649,1000,372.882043
9.732354,1000,385.283811
14.306111,1000,397.777663
8.957898,1000,410.225017
4.074656,1000,422.580754
22.564279,1000,441.740632
12.071111,1000,454.064447
16.842824,1000,466.415279
16.423103,1000,478.507358
23.751486,1000,490.939401
10.112141,1000,503.066245
17.921906,1000,515.377632
14.300055,1000,527.470888
3.10386,1000,539.507389
-3.268495,1000,551.835328
7.067999,1000,570.462089
5.707763,1000,582.693333
21.758994,1000,595.208204
32.1347,1000,607.477096
27.963933,1000,619.946443
31.53015,1000,632.325968
33.176514,1000,644.618619
32.349893,1000,656.954192
37.140989,1000,669.214005
29.748902,1000,681.562071
31.560949,1000,700.319347
29.093766,1000,712.535962
9.462283,1000,725.04428
3.874953,1000,736.968244
3.463285,1000,749.188788
1.09954,1000,761.323603
0.645698,1000,773.388199
17.007089,1000,785.716079
-2.841396,1000,797.759412
4.029167,1000,810.034359
5.468954,1000,828.967353
10.139036,1000,841.313329
7.733812,1000,853.703413
9.679342,1000,866.012008
11.358858,1000,878.519253
12.30064,1000,891.054415
16.270326,1000,903.39865
13.867397,1000,915.974494
13.219233,1000,928.411902
21.056633,1000,940.77397
24.109744,1000,959.998155
17.655441,1000,972.330398
14.767438,1000,984.599638
12.057818,1000,997.064904
5.14932,1000,1008.973114
40.300207,1000,1021.107011
15.438613,1000,1033.327826
41.25624,1000,1045.35651
20.501595,1000,1057.569506
20.042242,1000,1070.049326
20.146481,1000,1088.715215
22.855646,1000,1101.158047
18.214335,1000,1113.608814
21.814108,1000,1126.009024
15.359425,1000,1138.465978
12.858691,1000,1151.0025
15.867454,1000,1163.330296
11.685918,1000,1175.836035
13.704724,1000,1188.362056
4.994556,1000,1200.4777
12.679587,1000,1219.360283
72.04284,1000,1231.74558
47.737325,1000,1244.0743
18.762522,1000,1256.493766
-7.576934,1000,1268.747785
11.053228,1000,1280.965175
134.551264,1000,1293.432608
71.298795,1000,1305.802211
9.147381,1000,1318.009059
22.370086,1000,1330.457575
22.601619,1000,1349.578258
30.779001,1000,1361.970557
13.842383,1000,1374.387815
16.56168,1000,1386.580083
23.81532,1000,1398.89322
30.601294,1000,1411.247203
101.861152,1000,1423.444892
125.797041,1000,1435.828837
66.572789,1000,1448.402616
162.703536,1000,1460.736994
152.677851,1000,1479.338492
177.679748,1000,1491.794157
219.943132,1000,1504.034939
249.171091,1000,1516.432176
243.106073,1000,1528.742526
266.708821,1000,1540.99463
282.211358,1000,1553.187891
279.978508,1000,1565.555552
306.279777,1000,1577.591668
312.706854,1000,1589.713462
308.842867,1000,1608.050222
321.249814,1000,1620.123811
322.472469,1000,1632.563158
324.997463,1000,1645.044677
332.572125,1000,1657.476017
327.504213,1000,1669.896739
323.896197,1000,1682.183485
328.218879,1000,1694.276007
328.654669,1000,1706.678773
334.048776,1000,1719.066568
334.593206,1000,1737.48149
337.171215,1000,1749.885129
336.072501,1000,1761.904772
344.274517,1000,1773.875612
340.662543,1000,1786.110786
336.681317,1000,1798.184812
341.190113,1000,1810.221772
338.895374,1000,1822.509129
341.379471,1000,1834.57222
333.310355,1000,1846.787591
336.506444,1000,1865.132938
327.332255,1000,1877.248155
334.106402,1000,1889.530769
335.475342,1000,1901.621911
344.646015,1000,1913.622827
337.658946,1000,1925.764374
337.888548,1000,1937.739062
337.477913,1000,1949.852375
337.147094,1000,1962.037262
335.547288,1000,1974.379894
334.693602,1000,1992.703734
329.828218,1000,2004.790117
329.949354,1000,2016.814441
332.98073,1000,2029.075596
335.441764,1000,2041.270385
336.733012,1000,2053.3337
334.062148,1000,2065.551162
331.119818,1000,2077.587296
340.965196,1000,2089.723216
334.304696,1000,2102.036963
334.609811,1000,2120.184399
334.451352,1000,2132.337369
335.688086,1000,2144.619777
335.558781,1000,2156.554439
335.202916,1000,2168.540133
333.032509,1000,2180.610859
337.626343,1000,2192.513842
332.416358,1000,2204.590154
330.141785,1000,2216.591785
329.932816,1000,2228.462789
329.22954,1000,2246.615006
338.267859,1000,2258.583225
336.446247,1000,2270.673668
332.537026,1000,2282.857186
332.113203,1000,2294.918473
341.366838,1000,2306.903984
332.609818,1000,2319.085331
329.82106,1000,2331.005472
326.712271,1000,2343.13302
323.394546,1000,2355.324064
329.916643,1000,2373.49069
336.438819,1000,2385.548224
335.84007,1000,2397.484073
334.745982,1000,2409.376712
333.794859,1000,2421.563717
345.072913,1000,2433.520229
339.584656,1000,2445.251329
110.686433,1000,2457.246902
21.886838,1000,2469.361964
11.123068,1000,2481.236039
11.435411,1000,2500.029539
7.808707,1000,2511.923739
5.608254,1000,2523.86197
8.435155,1000,2536.222347
9.349253,1000,2548.151023
10.79157,1000,2560.271249
14.598463,1000,2572.413834
27.843809,1000,2584.228411
31.348487,1000,2596.159468
37.948296,1000,2608.277707
27.141388,1000,2626.698793
27.991622,1000,2638.675529
19.700564,1000,2650.695855
22.002282,1000,2662.566724
30.893939,1000,2674.815647
29.663228,1000,2686.90191
34.610791,1000,2698.734841
24.30335,1000,2710.825781
22.124892,1000,2722.957736
22.498858,1000,2734.964017
