#{"t_start": 1614621300.1902814, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.052387,13,6.981868
18.097526,17,6.997637
20.203269,20,7.015701
12.483165,8,7.023301
15.062481,12,7.03528
13.774294,10,7.044531
22.867416,25,7.066993
23.996789,26,7.090335
16.662255,14,7.103447
11.243927,8,7.110891
14.195611,15,7.124851
15.58475,10,7.134196
15.875097,18,7.151142
14.722292,10,7.160455
15.128681,12,7.171653
17.422684,20,7.189887
15.880458,13,7.202031
13.1165,10,7.211567
14.378086,10,7.220767
15.26143,12,7.231685
17.829648,17,7.247355
15.766335,11,7.257572
23.92697,19,7.275043
22.48792,22,7.294854
24.952762,21,7.313527
22.205458,22,7.333938
13.130646,12,7.344878
16.871608,13,7.356795
14.405145,12,7.367941
12.325255,7,7.374581
18.33138,15,7.388659
15.623931,18,7.404966
20.92991,22,7.424899
21.471579,20,7.443154
16.411098,12,7.454249
12.262363,9,7.462796
15.523778,13,7.474733
13.745536,8,7.48229
15.863954,11,7.492363
15.438648,14,7.505351
14.801081,9,7.514054
16.229295,15,7.527394
18.776289,20,7.545421
15.832768,14,7.558296
19.814517,21,7.57785
13.23974,14,7.590717
14.242053,11,7.601061
14.885471,12,7.612026
19.9032,16,7.627205
22.461803,25,7.649878
15.542778,12,7.660838
19.433645,16,7.675476
15.213232,11,7.685814
16.326744,14,7.698571
16.241844,13,7.710763
19.215375,13,7.722749
19.400903,14,7.735803
14.659523,13,7.74835
14.136315,13,7.760253
16.497933,17,7.775895
18.080911,22,7.796366
16.502143,15,7.810357
22.684204,24,7.831691
14.246221,11,7.841878
25.410686,23,7.863031
14.760775,20,7.880989
17.946255,17,7.895827
16.461059,13,7.907572
18.43255,17,7.923551
21.725142,23,7.944114
15.048064,16,7.958561
18.796326,19,7.975473
15.411367,11,7.985945
16.028692,12,7.997027
22.143681,22,8.017065
18.043901,15,8.03101
15.354958,14,8.043745
18.632248,17,8.059294
17.577087,19,8.076207
17.116014,17,8.091796
12.386295,8,8.099605
18.012589,12,8.110523
13.974368,9,8.118821
17.042475,18,8.134856
15.031022,11,8.145313
16.282022,16,8.16027
13.527369,9,8.168731
24.49149,22,8.188617
15.366028,11,8.199072
11.438899,8,8.206825
21.565722,24,8.228457
12.461226,10,8.237712
14.662306,16,8.252369
17.776444,20,8.270619
16.076983,10,8.27985
16.916735,12,8.290997
20.76462,17,8.306607
14.132032,10,8.315898
16.174585,12,8.327267
12.951907,8,8.334825
14.651509,14,8.348087
17.634275,21,8.367342
18.390697,13,8.379193
15.938959,11,8.389795
13.467704,9,8.398522
13.61891,11,8.408791
11.823744,8,8.416396
17.789802,16,8.430632
15.942342,11,8.440903
15.081075,11,8.451218
17.683636,17,8.467641
20.841833,19,8.484761
12.395724,8,8.492615
19.79924,18,8.509263
13.900056,12,8.520141
16.898194,18,8.536618
22.193486,26,8.559893
14.906703,9,8.568592
19.35702,22,8.588024
15.132137,12,8.598792
12.778198,7,8.605708
19.063425,17,8.621487
14.296464,10,8.631019
15.582118,10,8.640431
16.042462,14,8.653576
16.946654,13,8.665855
16.495864,16,8.681017
15.392172,12,8.691876
17.983833,19,8.709121
18.598788,17,8.724252
15.730508,12,8.735398
13.478779,9,8.744179
20.995081,19,8.761739
22.098771,25,8.784396
18.339159,14,8.797258
16.754342,17,8.813204
16.916401,13,8.825621
16.808606,14,8.838856
15.099914,13,8.850887
15.084383,15,8.86472
16.192132,13,8.876835
16.330856,17,8.892192
26.0056,22,8.912123
15.446321,12,8.923641
26.174359,35,8.955923
17.662964,18,8.972224
12.670644,9,8.980679
20.602694,23,9.00162
24.196968,28,9.027709
12.571946,8,9.035591
