#{"t_start": 1635497646.142728, "env_id": "Walker2d-v3"}
r,l,t
-0.136914,23,30.614418
-5.566363,19,30.623414
2.19348,19,30.632423
1.28643,29,30.645702
-8.625656,15,30.653128
4.599455,32,30.668248
0.69642,13,30.674596
-1.593231,12,30.680143
1.8756,20,30.68934
-3.398172,21,30.699029
1.586426,15,30.706368
-1.484095,14,30.71305
-1.675547,10,30.717793
-8.83757,23,30.728139
-0.064606,18,30.736444
0.73045,26,30.748344
-2.341462,19,30.756985
-0.283553,13,30.763284
3.134007,15,30.770371
-0.63089,34,30.785597
8.996574,31,30.799978
4.197105,27,30.812557
-0.719988,54,30.83733
3.274733,17,30.845313
3.504897,16,30.852508
22.730015,32,30.867041
0.967599,14,30.873581
1.270146,23,30.884132
2.602637,14,30.890796
1.435647,15,30.897777
4.734591,18,30.906102
0.011236,9,30.910311
3.478014,20,30.919751
2.394337,21,30.929623
-2.621059,12,30.935188
3.061874,15,30.942118
-0.992616,24,30.952937
7.34657,24,30.964271
7.329936,28,30.976943
-5.22492,21,30.986915
7.590011,41,31.005415
-7.041701,18,31.013815
-1.777451,12,31.019385
6.389128,17,31.027327
3.862381,16,31.034702
1.372579,13,31.041019
-1.573318,10,31.045827
-4.013199,11,31.051042
0.481211,12,31.056614
-3.204927,18,31.064947
-0.432241,14,31.071769
-2.040276,13,31.077985
12.857828,43,31.097679
-1.807363,17,31.105851
-4.88048,19,31.114779
2.362081,12,31.120382
1.715036,18,31.128672
-0.07941,22,31.138809
2.833916,19,31.147506
-2.487386,13,31.153713
-2.355926,22,31.164014
7.459147,24,31.175079
-4.421408,11,31.180517
-1.767348,22,31.190466
-1.058785,10,31.195426
0.242059,15,31.202499
4.363605,20,31.211683
2.175993,25,31.222987
7.942023,19,31.231786
0.489311,14,31.238322
-5.667532,22,31.248486
-5.685162,11,31.253634
-0.110822,12,31.259177
4.37889,16,31.266782
5.156406,19,31.275868
5.058732,23,31.286437
-1.248817,14,31.29294
0.501344,16,31.300548
6.346005,21,31.310364
-1.95302,20,31.319538
11.671624,31,31.334203
5.194144,25,31.345986
-5.18042,15,31.352721
-3.032548,8,31.356571
-2.207799,22,31.366831
2.288418,14,31.372957
4.838094,21,31.38291
-2.81218,20,31.392166
-3.254375,33,31.407141
20.091361,32,31.421816
4.852037,26,31.433879
0.353377,28,31.447188
-5.851595,27,31.459494
3.911796,16,31.466944
2.651414,15,31.474088
0.067918,12,31.479836
0.862635,14,31.486562
-3.19201,10,31.491472
7.274913,38,31.508881
12.56962,32,31.523482
2.339803,15,31.53102
-3.861065,12,31.536392
0.23176,23,31.547069
4.466781,17,31.555398
2.208562,14,31.562168
3.848521,17,31.570257
8.229748,22,31.580637
-5.259874,17,31.588796
-3.010829,8,31.592844
0.442143,14,31.599478
-1.204406,17,31.607655
-3.980128,17,31.615396
-1.226954,14,31.621701
2.759979,17,31.629809
0.708265,15,31.636731
0.940424,13,31.642835
4.040292,18,31.651255
8.15855,23,31.661953
1.688016,15,31.669025
-4.532016,20,31.678235
-3.524137,20,31.687852
-0.336293,14,31.69465
2.090574,24,31.706099
6.198701,15,31.713314
-2.132295,19,31.721985
8.527179,28,31.734824
3.01374,23,31.745597
3.823538,14,31.752385
1.035335,15,31.759609
15.903623,27,31.772233
-7.385858,16,31.779797
-3.056929,15,31.786726
3.683104,25,31.798175
-7.493576,15,31.805319
16.783217,46,31.826829
-1.777427,12,31.832916
1.241502,15,31.840108
4.071918,23,31.851107
-0.951644,10,31.856316
15.622499,41,31.876083
4.798125,16,31.884257
-5.446985,20,31.893811
6.057304,18,31.902272
4.724179,18,31.911027
-2.617475,13,31.917184
-2.805059,10,31.922312
-4.995767,15,31.929381
-1.208668,17,31.937352
2.065974,16,31.94499
-3.546386,15,31.951929
0.526211,23,31.962726
8.274519,29,31.976407
-6.405782,21,31.98618
2.282394,27,31.998993
5.113118,24,32.009974
10.495605,36,32.026755
-0.23509,28,32.040393
8.807135,25,32.052305
2.20047,12,32.058019
0.33049,29,32.07172
1.720829,14,32.079209
0.679072,13,32.086019
-4.661758,21,32.096431
-2.556458,16,32.104235
8.919897,38,32.121493
6.779389,17,32.129568
-0.924976,15,32.136627
1.029453,14,32.143134
-1.511362,11,32.148212
-2.94913,20,32.157496
6.579476,21,32.167094
0.977168,21,32.176813
3.080126,16,32.184251
4.694368,23,32.194829
-1.974375,24,32.205745
-3.119798,19,32.214709
0.506073,22,32.224963
-0.32068,14,32.231409
0.855219,12,32.237058
-0.016016,20,32.245889
-6.87992,18,32.254184
3.339877,24,32.265264
6.800759,32,32.279855
-0.724477,11,32.285219
1.749853,15,32.292125
1.951026,23,32.302996
0.354901,41,32.323012
13.265924,31,32.337742
14.292605,27,32.350784
8.759014,30,32.36552
-0.031021,16,32.373406
-0.011333,11,32.37864
