#{"t_start": 1635497824.2416737, "env_id": "Ant-v3"}
r,l,t
-208.806271,383,12.556128
-18.40862,26,12.577326
-27.795484,48,12.615252
-249.236045,1000,13.408726
-289.923399,1000,14.179112
-4.01098,39,14.208509
-11.539588,103,14.285777
-16.367615,30,14.308508
-43.804398,64,14.356882
-4.157229,22,14.373633
-8.441612,14,14.384808
-36.08363,41,14.4157
11.870311,45,14.449824
-55.277689,140,14.555282
-35.006384,122,14.646088
-292.530089,1000,15.434918
-300.001235,1000,16.220369
-1.419848,16,16.23304
-98.536853,210,16.388314
-105.796131,110,16.470311
18.658717,44,16.50303
-4.192872,30,16.525825
-54.920734,102,16.601406
-30.418313,69,16.652383
-107.026005,238,16.82887
-55.640403,103,16.906381
-7.388847,60,16.95118
-28.572076,86,17.016075
3.265142,21,17.032543
-56.210332,101,17.109329
-8.414473,90,17.17748
-265.540813,1000,17.939676
-10.733063,30,17.962434
-63.793003,148,18.072599
-31.596632,239,18.248746
-330.188298,1000,19.030657
-78.609435,128,19.126311
-77.750578,170,19.252444
-38.532066,73,19.306918
-30.831196,72,19.361406
-40.965153,29,19.384039
-17.511199,25,19.402962
15.43401,43,19.4352
-8.13732,119,19.523375
-79.218817,112,19.607688
-18.616414,77,19.665434
536.680474,1000,38.068576
909.598898,1000,47.041801
894.823876,1000,55.715895
495.137974,1000,64.350905
531.864599,1000,73.081337
28.227584,67,80.475342
-361.041305,1000,82.316946
-3.961567,1000,90.938622
-32.279548,53,98.278992
-38.18491,45,98.720719
-2.535363,22,99.073123
-929.905271,1000,100.485904
157.057071,1000,109.078477
23.663845,61,116.365457
87.938528,247,117.108834
-4.383079,21,118.886329
-29.242359,83,119.139143
2.66785,146,119.904483
300.665817,1000,133.694598
2.39391,39,140.834896
-10.607546,61,141.189394
11.290016,99,141.746033
-66.03214,80,142.549942
-4.727206,17,143.138802
-25.073151,46,143.313646
-1.848608,165,143.841951
187.414966,1000,146.30688
58.802282,1000,154.680022
24.52374,100,161.89958
82.29827,1000,163.961595
-102.767705,1000,172.485499
13.56045,18,179.839942
8.275421,50,180.034679
-16.728524,73,180.496029
197.604761,1000,182.31993
0.428015,33,189.461882
-274.884472,1000,190.972105
10.596534,56,198.139839
39.242852,110,198.672169
-3.806299,41,199.502636
-21.853311,1000,201.051923
40.198094,73,208.238731
7.688245,28,208.794122
-7.723598,20,209.018045
606.386206,1000,210.455977
508.24355,1000,230.587898
-18.135757,342,238.235848
90.024133,230,240.940026
78.354463,130,242.737534
625.96903,1000,244.968171
201.878046,810,253.239358
237.733882,1000,260.204152
563.921808,1000,268.554255
206.670258,308,276.021917
30.402343,45,278.262207
63.284312,194,278.814214
168.853725,456,280.743006
47.800371,61,284.048113
18.339477,32,284.523365
144.795972,293,285.106343
47.215218,133,287.34885
80.992226,129,288.452684
54.573697,95,289.481863
86.083479,235,290.4478
-5.483193,31,292.156183
7.613604,25,292.410028
743.839981,1000,293.85582
15.014918,31,301.100833
83.096298,66,301.404591
54.147945,86,302.001616
116.142483,131,302.813625
763.115451,1000,305.045382
-125.706861,1000,327.934606
885.638865,1000,336.312773
746.968759,1000,344.628743
886.248298,1000,353.008801
123.956273,191,360.350489
472.720015,1000,362.981205
736.637156,1000,371.497236
12.935458,23,378.675137
95.085306,273,379.172589
120.199888,181,381.397894
137.862727,276,383.061915
518.531396,1000,386.405511
11.51653,33,393.562305
796.280949,1000,395.047676
686.393205,1000,403.366889
434.211239,1000,426.203267
35.05123,52,433.482643
507.228851,1000,435.165525
91.831326,209,442.511779
204.051111,222,444.261839
458.793872,466,446.400065
422.219925,1000,451.06974
581.425844,1000,459.590265
890.453463,1000,467.890218
-290.41453,1000,476.28586
-33.55765,1000,484.659866
195.465049,168,491.964725
123.822334,113,493.356492
544.541845,1000,495.46494
23.025202,16,502.734374
722.264549,1000,504.156635
85.697034,113,511.382749
75.770853,84,512.283081
379.129491,375,520.859873
221.975479,226,523.876278
41.331723,33,525.526611
669.775819,1000,527.05054
822.014823,899,535.241378
114.826049,95,541.730457
138.091644,102,542.524365
724.539032,1000,544.529515
17.498794,32,551.659963
265.493273,1000,553.179222
607.363192,458,560.866522
-94.814979,1000,565.524268
18.941113,26,572.643675
51.763587,35,572.872254
21.57989,28,573.157526
100.195464,76,573.449707
728.899953,1000,575.275259
411.993301,1000,583.628905
793.787673,1000,592.254398
1110.796023,1000,611.218163
120.538844,85,618.414455
27.567138,24,619.043585
9.016877,10,619.226481
710.520389,1000,620.575164
40.775555,45,627.815101
166.897052,122,628.284277
17.155161,23,629.176169
641.78356,1000,630.652478
245.441563,199,637.998423
1011.383163,961,640.58827
930.424412,718,648.274496
563.021318,1000,654.692286
818.72809,1000,663.260245
7.751521,21,670.367506
345.519773,224,670.795559
158.502363,127,672.535041
1290.891566,844,674.455964
183.569574,110,680.620916
121.696529,101,681.5228
1138.095847,1000,683.504735
1236.554449,835,691.69021
1156.520588,619,708.738708
206.049004,101,713.252063
1136.51989,1000,715.232216
854.886759,1000,723.6978
847.079174,1000,732.197223
925.183421,1000,740.628673
725.618031,1000,748.996004
124.807429,114,756.352579
706.722864,1000,758.517786
1374.130385,1000,766.819296
835.569683,1000,775.182954
348.324762,171,782.483674
1322.91161,1000,784.93688
796.55433,491,805.598297
1482.142374,1000,810.295039
1679.745634,1000,818.654685
1226.284211,1000,827.041062
963.168394,1000,835.408926
771.229324,446,843.071129
370.853976,193,846.464142
834.528912,1000,849.09558
1670.551118,1000,857.468474
23.498925,23,864.812908
213.372997,143,865.151703
827.86072,1000,867.448545
1003.108359,1000,875.822536
336.143026,240,883.242263
912.373527,1000,893.958194
1039.707508,1000,902.318808
1611.4927,712,910.249372
478.668317,214,915.54237
733.413568,1000,918.336065
1271.986729,743,926.336619
736.839947,1000,933.101113
487.783149,291,940.559337
49.269064,31,942.655177
118.640488,58,942.942974
2174.082219,1000,944.571072
19.934501,16,951.796367
1056.778516,1000,953.173474
2032.826679,1000,961.47346
845.83907,363,968.982523
1531.678486,1000,972.851518
569.460231,249,980.225083
550.576771,292,990.764493
706.781194,271,993.155666
1045.968141,1000,996.400116
933.393178,480,1004.248506
86.174242,56,1007.715453
1008.368001,430,1008.632714
1570.160173,556,1012.407299
402.116739,205,1016.760714
973.642037,1000,1019.503086
1923.559531,813,1027.561568
1185.430331,1000,1034.580515
676.084404,395,1042.127983
1677.081287,663,1045.723844
2971.943667,1000,1051.628076
297.536486,165,1058.975695
1040.660237,1000,1061.430985
1000.502325,1000,1083.862155
461.650392,203,1091.187261
186.153391,65,1092.705499
786.763525,1000,1094.410186
2449.785216,1000,1102.702721
97.149531,65,1109.888626
2944.356603,1000,1111.581784
74.188097,37,1118.695142
901.306346,337,1119.363481
1623.927877,1000,1122.997758
2270.540372,1000,1131.283023
2887.592706,1000,1139.821066
2793.066873,1000,1148.210106
2741.485612,1000,1156.502004
2415.471249,839,1164.586662
2082.026666,1000,1185.329964
27.952974,17,1192.426862
