#{"t_start": 1614621296.6554747, "env_id": "AntBulletEnv-v0"}
r,l,t
485.783029,1000,10.272442
54.16027,87,10.36849
510.19636,1000,11.494979
503.878593,1000,12.628402
508.199162,1000,13.76103
477.360138,1000,14.892405
340.76277,721,15.716202
24.166127,61,15.784657
490.249313,1000,16.916654
503.495907,1000,18.046987
42.678569,100,18.159621
531.525035,1000,19.298558
512.043534,1000,20.42642
586.494096,1000,22.997551
340.547461,1000,29.609825
3.053945,21,35.209774
4.74499,20,35.352999
3.963866,20,35.492364
8.033105,29,35.644997
316.153506,1000,37.317455
361.221386,1000,44.378426
186.000709,1000,51.429621
-2.34854,92,57.11045
251.659703,1000,59.141785
148.796087,1000,66.248333
654.2889,1000,73.367144
434.7879,1000,80.493242
228.307317,1000,101.829322
509.623746,1000,109.003579
521.028389,1000,116.352916
697.24685,1000,123.676306
477.469137,1000,130.982737
477.57907,1000,138.295713
541.477486,1000,145.6043
530.173577,1000,152.938455
713.639925,1000,160.225163
550.698114,1000,167.527734
528.952476,1000,188.943353
443.6032,1000,196.28873
261.952921,1000,203.63757
339.815869,1000,210.988371
367.859707,1000,218.307664
590.956289,1000,225.60681
12.978961,70,231.532402
224.372001,1000,233.512481
2.219538,20,239.347782
2.794712,20,239.489704
3.34467,20,239.631465
2.848474,20,239.77325
10.232,39,239.94249
506.729249,1000,241.682707
702.873012,1000,248.780199
61.14983,171,254.691911
414.95583,1000,257.112041
372.339641,1000,277.978978
505.529309,1000,285.095665
136.819411,309,291.209845
675.148566,1000,294.42303
1.152434,20,300.098279
1.335967,20,300.240592
0.969088,20,300.382794
0.558421,20,300.524644
0.490406,20,300.667472
0.82144,20,300.809338
0.343083,20,300.951439
0.695849,20,301.093495
1.037404,20,301.235321
0.063327,20,301.377321
-1.336377,20,301.519437
-1.427037,20,301.661479
0.416591,20,301.803312
3.214987,20,301.945105
4.48046,20,302.086788
2.48603,20,302.228777
1.585822,20,302.371037
0.991354,20,302.513155
0.689783,20,302.655171
0.527658,20,302.797139
1.269904,20,302.938835
1.701305,20,303.080668
2.373744,20,303.222548
1.607619,20,303.364335
1.393374,20,303.505968
1.390601,20,303.64766
1.300527,20,303.789357
1.555803,20,303.931096
1.164824,20,304.074928
1.985362,20,304.217673
1.004621,20,304.359613
0.09003,20,304.501427
0.280269,20,304.643283
0.60008,20,304.785636
3.280366,20,304.931668
3.523041,23,305.077534
3.558863,20,305.238134
3.067051,20,305.3799
504.883239,1000,306.94744
199.727613,496,313.330253
3.624002,24,316.170639
408.602789,1000,317.831499
490.856658,1000,324.95231
268.917719,1000,332.109581
398.152038,1000,339.25682
294.696443,1000,360.311468
553.587906,1000,367.442194
368.417233,1000,374.561756
528.945868,1000,381.649831
389.632285,1000,388.772363
404.965641,1000,395.893747
307.986944,1000,403.011254
181.856913,1000,410.144989
461.921963,1000,417.247926
451.511798,1000,424.351246
494.948755,1000,445.155059
116.148482,1000,452.183294
472.49723,1000,459.187254
390.301967,1000,466.159731
641.799903,1000,473.159273
274.868165,710,479.748589
692.525238,1000,485.128021
588.348596,1000,492.121218
560.85113,1000,499.111625
653.839657,1000,506.092921
303.680089,1000,513.152181
358.625935,1000,532.63857
24.1094,49,538.259812
607.879775,1000,539.964559
613.789107,1000,546.961004
403.50825,812,553.69071
634.502282,1000,559.636512
458.226928,1000,566.645778
571.718321,1000,573.638056
619.352299,1000,580.630201
759.351672,1000,587.607279
722.467897,1000,594.577715
539.405465,1000,615.294457
584.195062,1000,622.29151
84.883259,138,628.032849
707.167683,1000,630.240607
609.185406,1000,637.305939
509.798704,1000,644.465369
767.280313,1000,651.504568
669.228357,1000,659.132342
637.230203,1000,666.810577
549.723433,1000,674.465193
526.428563,1000,682.091074
490.43454,1000,704.105769
599.210785,1000,711.434297
367.028898,1000,718.776567
497.961504,1000,726.227226
613.916287,1000,733.124077
365.594727,1000,740.657479
530.471419,1000,748.150924
551.598179,1000,755.75717
461.476613,1000,763.430467
612.07941,1000,771.087779
363.074241,1000,792.765638
422.838531,1000,800.307874
488.090723,1000,807.95742
574.200691,1000,815.437577
709.966734,1000,822.921523
606.679526,1000,830.428574
677.62528,1000,837.887903
606.889038,1000,845.381623
600.784141,1000,852.864817
517.263879,1000,860.225645
442.648701,1000,881.916606
527.711843,1000,889.571519
738.060671,1000,897.259283
331.290168,1000,904.956076
567.325588,1000,912.579367
605.711619,1000,920.245123
793.897653,1000,927.745965
785.54727,1000,935.139602
668.271603,1000,942.460885
706.42749,1000,949.784358
506.304964,1000,971.38107
672.018949,1000,979.002317
484.453645,1000,986.670581
525.319263,1000,994.344698
738.803244,1000,1001.976869
824.28391,1000,1009.471006
750.852518,1000,1016.939428
546.923383,1000,1024.394419
600.47209,1000,1031.97282
800.21423,1000,1039.432453
681.462656,1000,1060.925799
668.046178,1000,1067.95776
728.934341,1000,1075.398665
755.074363,1000,1082.910407
636.334187,1000,1090.395195
757.035225,1000,1097.857116
598.466465,1000,1105.334615
745.82612,1000,1112.979206
662.666614,1000,1120.624652
729.147473,1000,1128.267343
757.058298,1000,1149.911503
662.976658,1000,1157.360239
604.899575,1000,1164.765276
709.756866,1000,1172.093439
766.918126,1000,1179.414367
788.23704,1000,1186.806603
841.392939,1000,1194.27038
716.082735,1000,1201.840357
607.823246,1000,1209.500275
645.94975,1000,1217.156382
700.817592,1000,1239.177604
517.285376,1000,1246.702306
827.406236,1000,1254.119154
513.277106,1000,1261.422529
661.273247,1000,1268.796357
627.916925,1000,1276.232128
735.345516,1000,1283.639714
648.704958,1000,1291.074558
648.724384,1000,1298.504647
663.142126,1000,1305.924777
736.400359,1000,1327.426323
651.621535,1000,1334.858503
693.132368,1000,1342.289958
690.167554,1000,1349.760195
623.924437,1000,1357.373646
775.968882,1000,1364.942806
313.405142,1000,1372.38571
626.645766,1000,1379.812652
472.338101,1000,1387.240722
634.393353,1000,1394.640805
774.228335,1000,1415.76082
758.868165,1000,1423.062713
677.473691,1000,1430.495144
988.232795,1000,1438.082922
913.338536,1000,1445.682618
672.620798,1000,1453.279649
792.765639,1000,1460.881381
749.206112,1000,1468.481431
564.373532,1000,1476.071637
824.039625,1000,1483.539546
784.310131,1000,1504.510957
996.195256,1000,1511.793034
989.341681,1000,1519.173343
1006.004879,1000,1526.589343
817.807844,1000,1534.059423
893.231119,1000,1541.643944
53.82697,242,1548.074813
346.11325,1000,1551.113889
969.853749,1000,1558.69763
866.640009,1000,1566.316151
1206.82695,1000,1587.661694
1151.485214,1000,1594.947376
672.135915,1000,1602.409496
1348.703205,1000,1609.815756
680.610695,1000,1617.242078
1137.99495,1000,1624.645022
1227.564393,1000,1632.065942
1351.352118,1000,1639.449991
1057.41349,1000,1646.972583
992.36118,1000,1654.396383
929.783176,1000,1675.87005
1180.65769,1000,1683.509135
1645.293376,1000,1691.099645
1151.176899,1000,1698.657858
1102.344289,1000,1706.130743
1457.280288,1000,1713.584666
881.764402,1000,1721.028542
1465.383808,1000,1728.419929
1382.364965,1000,1735.716262
1041.763139,1000,1743.022002
1144.377584,1000,1764.354908
863.466744,1000,1771.960998
847.701859,1000,1779.551529
1076.87053,1000,1787.088719
975.701409,1000,1794.675425
1733.403006,1000,1802.224747
1625.38576,1000,1809.715851
1654.386018,1000,1816.97621
1681.461413,1000,1824.220845
1646.47176,1000,1831.473224
1302.89282,1000,1852.496636
1597.343422,1000,1859.877841
1793.011457,1000,1867.414597
1158.713903,1000,1875.004791
1550.509845,1000,1882.571334
1563.732552,1000,1890.141477
1422.917007,1000,1897.576527
1744.472607,1000,1904.967383
1695.540803,1000,1912.351619
1749.734392,1000,1919.74835
1874.468086,1000,1940.860835
1919.253364,1000,1948.237967
1626.058199,1000,1955.620584
1855.944033,1000,1962.991008
1619.942204,1000,1970.399946
1500.149298,1000,1977.876277
1784.782427,1000,1985.267227
1575.100642,1000,1992.633906
1612.150493,1000,2000.040752
1775.565211,1000,2007.595124
1749.64102,1000,2028.827926
1795.32009,1000,2036.209961
1904.544186,1000,2043.586886
2032.047892,1000,2050.956397
1822.982872,1000,2058.207578
2015.145149,1000,2065.436601
1098.405913,1000,2072.691803
1924.456515,1000,2079.994351
1939.939188,1000,2087.528074
2053.066427,1000,2095.078358
1915.773787,1000,2116.598057
2047.41204,1000,2124.156887
2115.975233,1000,2131.694878
2016.005472,1000,2139.05075
2070.978586,1000,2146.267834
2139.850299,1000,2153.485176
2178.243754,1000,2160.71143
2110.723373,1000,2168.084996
2101.582539,1000,2175.446001
2199.794589,1000,2182.814756
1988.13365,1000,2203.927199
2193.451532,1000,2211.47832
1911.866447,1000,2218.950099
2121.642479,1000,2226.336979
2171.923892,1000,2233.723692
2177.512496,1000,2241.078307
2243.192404,1000,2248.570264
2279.515818,1000,2256.022244
2177.080157,1000,2263.403143
2145.003644,1000,2270.791051
1878.778977,1000,2291.723872
2149.775137,1000,2299.103693
1888.992667,1000,2306.480282
1971.865874,1000,2313.885379
2319.34153,1000,2321.270152
2195.520212,1000,2328.65798
2279.817912,1000,2336.212461
2292.656971,1000,2343.77143
2272.232529,1000,2351.295746
2306.431709,1000,2358.767136
2354.208254,1000,2379.692047
2291.914246,1000,2386.933559
2175.326137,1000,2394.156772
2257.531201,1000,2401.388475
2234.595294,1000,2408.738702
2308.812765,1000,2416.265714
2355.408231,1000,2423.813025
2390.888752,1000,2431.339671
2332.040438,1000,2438.852722
2249.032061,1000,2446.407288
2343.350606,1000,2467.501994
2407.75236,1000,2474.726079
2319.157003,1000,2481.955725
2384.704488,1000,2489.29646
2318.371612,1000,2496.68357
2415.906706,1000,2504.055336
2308.824765,1000,2511.409815
2370.936657,1000,2518.822
2497.874951,1000,2526.366928
2332.154886,1000,2533.902976
2233.003221,1000,2554.922257
2489.893105,1000,2562.290983
2326.947949,1000,2569.779156
2558.470136,1000,2577.162199
2448.799616,1000,2584.522933
2453.729142,1000,2591.882691
2292.932338,1000,2599.266806
2396.975286,1000,2606.642981
2347.452155,1000,2614.003843
2269.074498,1000,2621.324013
2207.116857,1000,2642.02559
2525.830927,1000,2649.487953
2322.014049,1000,2657.009037
2298.670552,1000,2664.50562
2350.486504,1000,2672.059371
2504.249181,1000,2679.594257
2344.022141,1000,2687.08094
2483.82397,1000,2694.463015
2285.464761,1000,2701.769879
2225.323984,1000,2709.012474
2425.653386,1000,2729.637947
2440.755737,1000,2737.011847
2165.714228,1000,2744.508188
2508.77284,1000,2752.041359
2478.121492,1000,2759.595663
2407.806778,1000,2767.142413
2438.974104,1000,2774.657754
2166.997147,1000,2782.184184
2240.812191,1000,2789.558512
2470.731469,1000,2796.89115
2442.901265,1000,2817.700081
2519.34151,1000,2825.083082
2412.086366,1000,2832.437042
2578.641319,1000,2839.803794
2372.483657,1000,2847.212442
2337.240629,1000,2854.74414
2285.765198,1000,2862.247164
2352.054448,1000,2869.590619
2364.863835,1000,2876.966209
2495.059699,1000,2884.397161
2464.352419,1000,2905.631473
2342.595841,1000,2913.012316
2477.991337,1000,2920.393727
2517.938427,1000,2927.748717
2563.834941,1000,2935.119978
2619.348589,1000,2941.830526
2516.722423,1000,2949.047695
2493.990719,1000,2956.280738
2491.703745,1000,2963.771286
2562.487402,1000,2971.310587
2498.096238,1000,2992.693306
2540.740636,1000,3000.239682
2436.405205,1000,3007.792673
2395.929383,1000,3015.077681
2470.94715,1000,3022.305936
2441.362365,1000,3029.534124
2489.055952,1000,3036.868071
2525.028825,1000,3044.25241
2574.610473,1000,3051.622262
2564.541693,1000,3058.977281
